file_id,filename,file_path,batch,a_doc_type,a_reason,b_doc_type,b_reason,final_doc_type,final_reason
SRC017,Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.pdf,data/documents/pdf/Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.pdf,batch1,Quarterly_Report,page 1 says PSERS Private Markets Fourth Quarter Report,Quarterly_Report,"Hamilton Lane ""PSERS Private Markets Fourth Quarter Report""",Quarterly_Report,both agents agreed
SRC024,Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.pdf,data/documents/pdf/Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.pdf,batch1,Cash_Flow_Notice,Capital Calls deskbook specifies information for capital call notices,Cash_Flow_Notice,POOR FIT: deskbook with sample capital call notices,Cash_Flow_Notice,both agents agreed
SRC026,Financials_KPMG_PE_Illustrative_2025.pdf,data/documents/pdf/Financials_KPMG_PE_Illustrative_2025.pdf,batch1,Financials,page 1 says Illustrative financial statements Private equity funds,Financials,"""Illustrative financial statements Private equity funds December 2025""",Financials,both agents agreed
SRC028,Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,data/documents/pdf/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf,batch1,Fee_Report,page 1 says PSERS Base Management Fees External Management,Fee_Report,"""PSERS Base Management Fees"" External Management FY2017",Fee_Report,both agents agreed
SRC029,Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.pdf,data/documents/pdf/Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.pdf,batch1,Performance,page 1 Direct Alpha table uses PSERS actual cash flows,Performance,"""Direct Alpha"" named-fund cash flows versus public benchmark",Performance,both agents agreed
SRC034,Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf,batch1,Financials,page 1 says Combined Financial Statements,Financials,Versa Capital Fund II combined financial statements March 31 2018,Financials,both agents agreed
SRC035,Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,batch1,Performance,page 1 Performance Analysis table reports TVPI and IRR,Performance,"""Oregon Growth Account Private Equity Program Performance Analysis"" TVPI IRR",Performance,both agents agreed
SRC036,Performance_Ohio_Capital_Fund_Annual_Report_2022.pdf,data/documents/pdf/Performance_Ohio_Capital_Fund_Annual_Report_2022.pdf,batch1,Performance,annual report contents include portfolio highlights and historical multiples,Institutional_Report,"""2022 ANNUAL REPORT"" Ohio Capital Fund mission and portfolio",Institutional_Report,"contents list mission, impact, companies, governance; returns one section"
SRC037,Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf,data/documents/pdf/Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf,batch1,Financials,annual report includes Independent Auditors Report and financial statements,Financials,"page 2 masthead ""FINANCIAL STATEMENTS"" Independent Auditors Report",Financials,both agents agreed
SRC038,Performance_MassVentures_Annual_Report_FY2015.pdf,data/documents/pdf/Performance_MassVentures_Annual_Report_FY2015.pdf,batch1,Institutional_Report,page 1 says MassVentures Fiscal 2015 Annual Report,Institutional_Report,"""MassVentures FISCAL 2015 ANNUAL REPORT"" OPMO statutory report",Institutional_Report,both agents agreed
SRC039,Financials_Connecticut_Innovations_FY2021.pdf,data/documents/pdf/Financials_Connecticut_Innovations_FY2021.pdf,batch1,Financials,page 1 says Independent Auditors Report Financial Statements,Financials,"""Independent Auditors' Report Financial Statements June 30, 2021""",Financials,both agents agreed
SRC040,Financials_TEDCO_Maryland_Annual_Report_FY2021.pdf,data/documents/pdf/Financials_TEDCO_Maryland_Annual_Report_FY2021.pdf,batch1,Financials,page 2 says Annual Report and Financial Statements,Institutional_Report,"""fiscal 2021 Annual Report of the Corporation's activities""",Institutional_Report,17 pages carry no statements; statutory activities report to Governor
SRC041,Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf,batch1,Financials,annual report Form 10-K includes Item 8 financial statements,Financials,"""Annual Report FSK 2025"" FS KKR Capital Corp",Financials,both agents agreed
SRC042,Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf,batch1,Financials,Form 10-K annual report includes Item 8 financial statements,Financials,Form 10-K annual report Blackstone Secured Lending Fund,Financials,both agents agreed
SRC043,Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf,batch1,Financials,annual report Form 10-K includes Item 8 financial statements,Financials,"""Annual Report"" Blackstone Private Credit Fund 2025",Financials,both agents agreed
SRC044,Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf,batch1,Financials,Form 10-K includes Item 8 consolidated financial statements,Financials,Form 10-K annual report Sixth Street Specialty Lending,Financials,both agents agreed
SRC045,Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf,batch1,Financials,annual report includes Item 8 consolidated financial statements,Financials,"""2025 ANNUAL REPORT"" MidCap Financial Investment Corporation",Financials,both agents agreed
SRC046,Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf,batch1,Financials,annual report Form 10-K includes consolidated financial statements,Financials,Apollo Debt Solutions BDC Annual Report December 31 2025,Financials,both agents agreed
SRC047,Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,batch1,Financials,Form 10-K includes Item 8 financial statements,Financials,Form 10-K annual report BlackRock TCP Capital Corp,Financials,both agents agreed
SRC048,Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf,batch1,Financials,Form 10-K includes Item 8 consolidated financial statements,Financials,Form 10-K annual report AB Private Credit Investors,Financials,both agents agreed
SRC049,Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,data/documents/pdf/Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf,batch1,Financials,Form 10-K includes Item 8 consolidated financial statements,Financials,Form 10-K annual report Franklin BSP Capital Corporation,Financials,both agents agreed
SRC050,Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.pdf,data/documents/pdf/Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.pdf,batch1,Financials,Form 10-K includes Item 8 financial statements,Financials,Form 10-K annual report Monroe Capital Corporation,Financials,both agents agreed
SRC051,NAV_Statement_SREIT_NAV_Supplement_May2025.pdf,data/documents/pdf/NAV_Statement_SREIT_NAV_Supplement_May2025.pdf,batch1,NAV_Statement,supplement discloses May 31 NAV per share by class,NAV_Statement,supplement discloses May 31 2025 NAV per share by class,NAV_Statement,both agents agreed
SRC052,NAV_Statement_BREIT_Prospectus_With_Supplements.pdf,data/documents/pdf/NAV_Statement_BREIT_Prospectus_With_Supplements.pdf,batch1,PPM,page 1 says supplement to prospectus for current public offering,NAV_Statement,supplement discloses June 30 2026 NAV per share by class,PPM,prospectus fills 501 pages; monthly NAV supplements bound in
SRC053,Performance_SREIT_Stockholder_Update_Apr2026.pdf,data/documents/pdf/Performance_SREIT_Stockholder_Update_Apr2026.pdf,batch1,Performance,POOR FIT: Shareholder Update changes repurchases distributions and portfolio strategy,Institutional_Report,"""Shareholder Update"" April 29 2026 strategic-review letter",Cash_Flow_Notice,"POOR FIT: letter cuts distribution rate, suspends share repurchases"
SRC054,Performance_SREIT_Fact_Sheet_Aug2025.pdf,data/documents/pdf/Performance_SREIT_Fact_Sheet_Aug2025.pdf,batch1,Performance,page 1 Fact Sheet presents SREIT Performance Summary,Performance,"""Fact Sheet"" SREIT Performance Summary as of August 31 2025",Performance,both agents agreed
SRC055,Quarterly_Report_JLLIPT_10Q_3Q2025.pdf,data/documents/pdf/Quarterly_Report_JLLIPT_10Q_3Q2025.pdf,batch1,Quarterly_Report,page 1 says Form 10-Q Quarterly Report,Quarterly_Report,Form 10-Q quarterly period ended September 30 2025,Quarterly_Report,both agents agreed
SRC056,Performance_JLLIPT_Quarterly_Update_3Q23.pdf,data/documents/pdf/Performance_JLLIPT_Quarterly_Update_3Q23.pdf,batch1,Performance,Q3 sales material presents net returns and NAV by share class,Quarterly_Report,JLLIPT Q3 2023 quarterly update total asset value,Performance,page 3 returns summary by share class fills the sheet
SRC058,Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf,data/documents/pdf/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf,batch1,Performance,portfolio table reports Total Value Multiple and IRR,Performance,OPERF Real Estate Portfolio as of Dec 31 2024 IRR multiples,Performance,both agents agreed
SRC059,Performance_LACERS_Real_Estate_Portfolio_Q4_2021.pdf,data/documents/pdf/Performance_LACERS_Real_Estate_Portfolio_Q4_2021.pdf,batch1,Quarterly_Report,page 1 says Performance Review Fourth Quarter 2021,Quarterly_Report,"""Real Estate Portfolio Performance Review FOURTH QUARTER 2021""",Quarterly_Report,both agents agreed
SRC060,Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,data/documents/pdf/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,batch1,Performance,portfolio table reports TWR IRR and Total Value Multiple,Performance,OPERF Alternatives Portfolio as of September 30 2022 IRR TWR,Performance,both agents agreed
SRC061,Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf,data/documents/pdf/Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf,batch1,Institutional_Report,page 1 Investment Reporting Package period ending April 30 2026,Institutional_Report,"""INVESTMENT REPORTING PACKAGE Period Ending April 30, 2026"" monthly",Institutional_Report,both agents agreed
SRC063,Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf,data/documents/pdf/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf,batch1,Performance,Portfolio and Partnership Report presents partnership performance summary,Performance,CalPERS PERF Real Assets partnership report returns June 30 2023,Performance,both agents agreed
SRC064,Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.pdf,data/documents/pdf/Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.pdf,batch1,Performance,Combined Portfolio Report presents Net IRR TVPI and PME,Performance,PSERS Private Markets Combined Portfolio Report NAV TVPI IRR,Performance,both agents agreed
SRC065,Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf,data/documents/pdf/Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf,batch1,Schedule_Inv,page 1 says Private Markets Investments List of Commitments,Performance,Private Markets List of Commitments with IRR investment multiple,Schedule_Inv,one row per fund investment; titled List of Commitments
SRC066,Performance_HVPE_Annual_Report.pdf,data/documents/pdf/Performance_HVPE_Annual_Report.pdf,batch1,Financials,Annual Report and Accounts contains financial statements and auditor report,Financials,"""Annual Report and Accounts 2025"" HarbourVest Global Private Equity",Financials,both agents agreed
SRC067,Performance_Pantheon_International_Annual_Report.pdf,data/documents/pdf/Performance_Pantheon_International_Annual_Report.pdf,batch1,Financials,Annual Report and Accounts contents include Financial Statements,Financials,Pantheon International Plc Annual Report and Accounts 2023,Financials,both agents agreed
SRC068,Performance_San_Jose_Federated_Private_Markets_Q2_2017.pdf,data/documents/pdf/Performance_San_Jose_Federated_Private_Markets_Q2_2017.pdf,batch1,Institutional_Report,page 1 says Private Markets Program Interim Report,Institutional_Report,"Meketa ""Interim Report"" San Jose Federated private markets June 30 2017",Institutional_Report,both agents agreed
SRC069,Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf,data/documents/pdf/Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf,batch1,Performance,POOR FIT: fund marketing deck presents strategy portfolio and track record,Performance,Landmark Real Estate Fund IX confidential materials Net IRR TVPI,Performance,both agents agreed
SRC070,Performance_WSIB_Private_Equity_Portfolio_Overview.pdf,data/documents/pdf/Performance_WSIB_Private_Equity_Portfolio_Overview.pdf,batch1,Performance,Private Equity Portfolio Overview explains IRRs and reported performance,Performance,WSIB Private Equity Portfolio Overview by strategy IRRs,Performance,both agents agreed
SRC071,Performance_CalPERS_PERF_Partnership_Report.pdf,data/documents/pdf/Performance_CalPERS_PERF_Partnership_Report.pdf,batch1,Performance,Portfolio and Partnership Report presents market value and performance,Performance,CalPERS PERF partnership report total returns by portfolio,Performance,both agents agreed
SRC074,Valuation_IPEV_Guidelines_December_2022.pdf,data/documents/pdf/Valuation_IPEV_Guidelines_December_2022.pdf,batch1,Valuation,page 1 says Private Equity and Venture Capital Valuation Guidelines,Valuation,"""International Private Equity and Venture Capital Valuation Guidelines""",Valuation,both agents agreed
SRC086,Financials_CohnReznick_Hedge_Fund_Illustrative_2025.pdf,data/documents/pdf/Financials_CohnReznick_Hedge_Fund_Illustrative_2025.pdf,batch1,Financials,page 1 says Hedge Fund 2025 Illustrative Financial Statements,Financials,"""Hedge Fund 2025 Illustrative Financial Statements""",Financials,both agents agreed
SRC087,Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,data/documents/pdf/Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf,batch1,Financials,page 1 says Private Equity Fund Illustrative Financial Statements,Financials,"""Private Equity Fund 2025 Illustrative Financial Statements""",Financials,both agents agreed
SRC088,Financials_PwC_Investment_Fund_Illustrative_2025.pdf,data/documents/pdf/Financials_PwC_Investment_Fund_Illustrative_2025.pdf,batch1,Financials,page 1 says Illustrative IFRS financial statements Investment funds,Financials,"""Illustrative IFRS financial statements 2025 Investment funds""",Financials,both agents agreed
SRC089,Financials_Withum_Venture_Capital_Fund_Illustrative.pdf,data/documents/pdf/Financials_Withum_Venture_Capital_Fund_Illustrative.pdf,batch1,Financials,page 1 says Venture Capital Fund Financial Statements Reference Manual,Financials,"""Venture Capital Fund ProForma Financial Statements""",Financials,both agents agreed
SRC090,Financials_EY_Good_Investment_Fund_Illustrative_2018.pdf,data/documents/pdf/Financials_EY_Good_Investment_Fund_Illustrative_2018.pdf,batch1,Financials,page 1 says Illustrative financial statements for year ended 2018,Financials,"""Good Investment Fund Limited Illustrative financial statements""",Financials,both agents agreed
SRC091,Financials_KPMG_Private_Equity_Illustrative_2022.pdf,data/documents/pdf/Financials_KPMG_Private_Equity_Illustrative_2022.pdf,batch1,Financials,page 1 says Illustrative financial statements Private equity funds,Financials,"""Illustrative financial statements Private equity funds January 2023""",Financials,both agents agreed
SRC092,Financials_KPMG_Alternative_Investment_Fund_Illustrative_2015.pdf,data/documents/pdf/Financials_KPMG_Alternative_Investment_Fund_Illustrative_2015.pdf,batch1,Financials,page 1 says Alternative Investment Fund Illustrative Financial Statements,Financials,"""Alternative Investment Fund Illustrative Financial Statements""",Financials,both agents agreed
SRC099,Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,data/documents/pdf/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,batch1,Quarterly_Report,page 1 says Real Estate Second Quarter 2017,Quarterly_Report,"""PSERS Real Estate Second Quarter 2017"" commitments and performance",Quarterly_Report,both agents agreed
SRC100,Performance_USS_Investment_Builder_Quarterly_Report.pdf,data/documents/pdf/Performance_USS_Investment_Builder_Quarterly_Report.pdf,batch1,Quarterly_Report,page 1 says Quarterly Investment Report Q1 2026,Quarterly_Report,"""QUARTERLY INVESTMENT REPORT Q1 2026"" USS Investment Builder",Quarterly_Report,both agents agreed
SRC101,PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf,data/documents/pdf/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf,batch1,Quarterly_Report,page 1 says Quarterly Report period ending June 30 2009,Quarterly_Report,"""QuarterlyReport Period Ending June 30, 2009"" Heritage Partners",Quarterly_Report,both agents agreed
SRC102,PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf,data/documents/pdf/PCAP_Jefferson_Partners_Fund_IV_PSERS_FOIA.pdf,batch1,Financials,page 1 says Financial Statements period ended December 2016,Financials,"""Financial Statements"" Jefferson Partners Fund IV unaudited liquidated",Financials,both agents agreed
SRC103,DDQ_AIMA_CTA_Chesapeake_Capital.pdf,data/documents/pdf/DDQ_AIMA_CTA_Chesapeake_Capital.pdf,batch1,DDQ,page 1 says Illustrative Questionnaire for Due Diligence,DDQ,AIMA illustrative questionnaire for due diligence of CTAs,DDQ,both agents agreed
SRC105,Financials_Tetragon_Financial_Group_Annual2025.pdf,data/documents/pdf/Financials_Tetragon_Financial_Group_Annual2025.pdf,batch1,Financials,annual report contents include Audited financial statements,Financials,Tetragon 2025 Annual Report with consolidated financial statements,Financials,both agents agreed
SRC106,Financials_Tetragon_Financial_Group_Annual2022.pdf,data/documents/pdf/Financials_Tetragon_Financial_Group_Annual2022.pdf,batch1,Financials,annual report contents include Audited financial statements,Financials,2022 Annual Report Tetragon Financial Group,Financials,both agents agreed
SRC107,DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.pdf,data/documents/pdf/DDQ_AIMA_Bear_Stearns_HGSCS_FCIC.pdf,batch1,DDQ,page 1 says Illustrative Questionnaire for Due Diligence,DDQ,AIMA illustrative DDQ completed for Bear Stearns HGSCS fund,DDQ,both agents agreed
SRC108,NAV_Statement_ThirdPoint_Monthly_Aug2025.pdf,data/documents/pdf/NAV_Statement_ThirdPoint_Monthly_Aug2025.pdf,batch1,Performance,Monthly Update reports NAV performance and benchmark returns,Performance,"""Monthly Update: August 2025 NAV Performance"" versus indices",Performance,both agents agreed
SRC109,Financials_PershingSquareHoldings_Annual2025.pdf,data/documents/pdf/Financials_PershingSquareHoldings_Annual2025.pdf,batch1,Financials,annual report contents identify Audited Financial Statements,Financials,"""2025 Annual Report and Audited Financial Statements"" Pershing Square",Financials,both agents agreed
SRC110,Financials_BlueCrest_AllBlue_Fund_2013.pdf,data/documents/pdf/Financials_BlueCrest_AllBlue_Fund_2013.pdf,batch1,Financials,Annual Report and Accounts contents include Financial Statements,Financials,"BlueCrest AllBlue ""Annual Report and Accounts 2013""",Financials,both agents agreed
SRC111,Financials_ThirdPoint_Investors_Annual2022.pdf,data/documents/pdf/Financials_ThirdPoint_Investors_Annual2022.pdf,batch1,Financials,page 1 says Annual Report and Audited Financial Statements,Financials,"""ANNUAL REPORT & AUDITED FINANCIAL STATEMENTS"" Third Point Investors",Financials,both agents agreed
SRC113,Financials_KPMG_HedgeFund_Illustrative_2025.pdf,data/documents/pdf/Financials_KPMG_HedgeFund_Illustrative_2025.pdf,batch1,Financials,page 1 says Illustrative financial statements Hedge funds,Financials,"""Illustrative financial statements Hedge funds December 2025""",Financials,both agents agreed
SRC114,NAV_Statement_BHMacro_Monthly_Apr2024.pdf,data/documents/pdf/NAV_Statement_BHMacro_Monthly_Apr2024.pdf,batch1,Performance,Monthly Shareholder Report presents NAV performance attribution,Institutional_Report,"""MONTHLY SHAREHOLDER REPORT"" BH Macro Limited April 2024",Performance,monthly NAV performance table since 2007 plus asset-class attribution
SRC120,Performance_Oregon_OPERF_Private_Equity_Portfolio_2025Q3.pdf,data/documents/pdf/Performance_Oregon_OPERF_Private_Equity_Portfolio_2025Q3.pdf,batch1,Performance,Private Equity Portfolio table reports IRR and Total Value Multiple,Performance,OPERF Private Equity Portfolio as of September 30 2025 IRR multiples,Performance,both agents agreed
SRC121,Performance_LACERA_Private_Equity_Holdings_2020Q3.pdf,data/documents/pdf/Performance_LACERA_Private_Equity_Holdings_2020Q3.pdf,batch1,Performance,Portfolio Investment Report gives DPI TVPI and Net IRR,Performance,LACERA private equity holdings DPI TVPI IRR as of September 30 2020,Performance,both agents agreed
SRC122,Performance_Florida_Growth_Fund_OPPAGA_Review_2025.pdf,data/documents/pdf/Performance_Florida_Growth_Fund_OPPAGA_Review_2025.pdf,batch1,Institutional_Report,annual statutory review covers Florida Growth Fund Program investments,Institutional_Report,"""Florida Growth Fund Program Investments: 2025"" statutory review",Institutional_Report,both agents agreed
SRC123,Performance_New_Mexico_SIC_Private_Equity_Program_2021.pdf,data/documents/pdf/Performance_New_Mexico_SIC_Private_Equity_Program_2021.pdf,batch1,Institutional_Report,institutional presentation reviews New Mexico private equity investment program,Institutional_Report,NMSIC October 2021 private equity strategy slides,Institutional_Report,both agents agreed
SRC124,Performance_SFERS_Private_Equity_Update_2025.pdf,data/documents/pdf/Performance_SFERS_Private_Equity_Update_2025.pdf,batch1,Institutional_Report,board calendar sheet says Private Equity Annual Update,Institutional_Report,"SFERS board calendar ""Private Equity Annual Update"" September 10 2025",Institutional_Report,both agents agreed
SRC125,Performance_Texas_ERS_PRB_Annual_Report_2023.pdf,data/documents/pdf/Performance_Texas_ERS_PRB_Annual_Report_2023.pdf,batch1,Institutional_Report,evaluation report reviews governance policy allocation and investment performance,Institutional_Report,"""INVESTMENT PRACTICES AND PERFORMANCE EVALUATION"" May 16 2024",Institutional_Report,both agents agreed
SRC126,Performance_NY_OSC_Pension_In_State_Investments.pdf,data/documents/pdf/Performance_NY_OSC_Pension_In_State_Investments.pdf,batch1,Institutional_Report,Status Report reviews pension in-state private equity investment activity,Institutional_Report,"""Status Report and Review of Investment Activity"" in-state PE",Institutional_Report,both agents agreed
SRC127,Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf,data/documents/pdf/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf,batch1,Quarterly_Report,page 1 says Quarterly Update as of December 31 2017,Quarterly_Report,"ASKIA PSERS ""QUARTERLY UPDATE AS OF DECEMBER 31, 2017""",Quarterly_Report,both agents agreed
SRC129,Financials_EisnerAmper_Illustrative_2022.pdf,data/documents/pdf/Financials_EisnerAmper_Illustrative_2022.pdf,batch1,Financials,page 1 says Illustrative Financial Statement Alternative Investment Funds,Financials,"""Illustrative Financial Statement Alternative Investment Funds""",Financials,both agents agreed
SRC130,Financials_Deloitte_AIFM_Illustrative_2024.pdf,data/documents/pdf/Financials_Deloitte_AIFM_Illustrative_2024.pdf,batch1,Financials,page 1 says Annual report Illustrative financial statements 2024,Financials,"Deloitte AIFM ""Illustrative financial statements 2024""",Financials,both agents agreed
SRC132,Valuation_JLLIPT_Institutional_Valuation_Methodology.pdf,data/documents/pdf/Valuation_JLLIPT_Institutional_Valuation_Methodology.pdf,batch1,Valuation,page 1 says Our Institutional Valuation Methodology,Valuation,"""Our Institutional Valuation Methodology"" NAV calculation",Valuation,both agents agreed
SRC134,Performance_PSERS_PEVCPD_Partnership_Data_20130331.pdf,data/documents/pdf/Performance_PSERS_PEVCPD_Partnership_Data_20130331.pdf,batch1,Performance,page 1 labels table performance information with IRR and Multiple,Performance,"""THIS PERFORMANCE INFORMATION"" PSERS PE IRR as of 3/31/2013",Performance,both agents agreed
SRC135,Performance_PSERS_PEVCPD_Partnership_Data_20141231.pdf,data/documents/pdf/Performance_PSERS_PEVCPD_Partnership_Data_20141231.pdf,batch1,Performance,page 1 labels table performance information with IRR and Multiple,Performance,PSERS PE VC PD PEIP IRR as of 12/31/2014,Performance,both agents agreed
SRC136,Performance_PSERS_PEVCPD_Partnership_Data_20150930.pdf,data/documents/pdf/Performance_PSERS_PEVCPD_Partnership_Data_20150930.pdf,batch1,Performance,page 1 labels table performance information with IRR,Performance,PSERS PE VC PD PEIP IRR as of 9/30/2015,Performance,both agents agreed
SRC137,Performance_PSERS_Real_Estate_Partnership_Data_1Q2013.pdf,data/documents/pdf/Performance_PSERS_Real_Estate_Partnership_Data_1Q2013.pdf,batch1,Performance,page 1 labels table performance information with IRR and Multiple,Performance,PSERS real estate partnership IRR as of March 31 2013,Performance,both agents agreed
SRC138,Performance_PSERS_PEVCSS_PEIP_Partnership_Data_4Q2016.pdf,data/documents/pdf/Performance_PSERS_PEVCSS_PEIP_Partnership_Data_4Q2016.pdf,batch1,Performance,page 1 labels table performance information with IRR and MOC,Performance,PSERS PE VC SS PEIP IRR as of 12/31/2016,Performance,both agents agreed
