scenario_id,scenario_type,fund_id,manager_id,strategy,baseline_score,scenario_score,baseline_tvpi,scenario_tvpi,haircut,official_eligibility,affected_ids,evidence_id
nav_20,nav_haircut,FUND_SYNTH_000004,MANAGER_SYNTH_00001,venture,83.7037037037,81.48148148148445,3.32384450566,3.2226847600568003,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000004:nav_20
nav_30,nav_haircut,FUND_SYNTH_000004,MANAGER_SYNTH_00001,venture,83.7037037037,81.48148148148445,3.32384450566,3.1721048872547,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000004:nav_30
nav_00,nav_haircut,FUND_SYNTH_000006,MANAGER_SYNTH_00002,buyout,34.9152542373,34.91525423729085,1.46665965281,1.466659652817,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000006:nav_00
nav_10,nav_haircut,FUND_SYNTH_000006,MANAGER_SYNTH_00002,buyout,34.9152542373,32.881355932206105,1.46665965281,1.4531825355102999,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000006:nav_10
nav_20,nav_haircut,FUND_SYNTH_000006,MANAGER_SYNTH_00002,buyout,34.9152542373,31.86440677966373,1.46665965281,1.4397054182036,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000006:nav_20
nav_30,nav_haircut,FUND_SYNTH_000006,MANAGER_SYNTH_00002,buyout,34.9152542373,31.86440677966373,1.46665965281,1.4262283008969,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000006:nav_30
nav_00,nav_haircut,FUND_SYNTH_000010,MANAGER_SYNTH_00003,fund_of_funds,21.3333333333,21.33333333332,1.17559792882,1.1755979288190002,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000010:nav_00
nav_10,nav_haircut,FUND_SYNTH_000010,MANAGER_SYNTH_00003,fund_of_funds,21.3333333333,21.33333333332,1.17559792882,1.1638427714261002,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000010:nav_10
nav_20,nav_haircut,FUND_SYNTH_000010,MANAGER_SYNTH_00003,fund_of_funds,21.3333333333,21.33333333332,1.17559792882,1.1520876140332001,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000010:nav_20
nav_30,nav_haircut,FUND_SYNTH_000010,MANAGER_SYNTH_00003,fund_of_funds,21.3333333333,21.33333333332,1.17559792882,1.1403324566403001,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000010:nav_30
nav_00,nav_haircut,FUND_SYNTH_000012,MANAGER_SYNTH_00003,buyout,32.8205128205,32.820512820501534,1.32858828736,1.328588287358,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000012:nav_00
nav_10,nav_haircut,FUND_SYNTH_000012,MANAGER_SYNTH_00003,buyout,32.8205128205,22.051282051270768,1.32858828736,1.2335447706151,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000012:nav_10
nav_20,nav_haircut,FUND_SYNTH_000012,MANAGER_SYNTH_00003,buyout,32.8205128205,17.435897435886154,1.32858828736,1.1385012538722001,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000012:nav_20
nav_30,nav_haircut,FUND_SYNTH_000012,MANAGER_SYNTH_00003,buyout,32.8205128205,14.358974358963078,1.32858828736,1.0434577371293,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000012:nav_30
nav_00,nav_haircut,FUND_SYNTH_000014,MANAGER_SYNTH_00004,fund_of_funds,54.6666666667,54.66666666668,1.55531096695,1.555310966952,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000014:nav_00
nav_10,nav_haircut,FUND_SYNTH_000014,MANAGER_SYNTH_00004,fund_of_funds,54.6666666667,50.66666666668,1.55531096695,1.5102346852578001,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000014:nav_10
nav_20,nav_haircut,FUND_SYNTH_000014,MANAGER_SYNTH_00004,fund_of_funds,54.6666666667,46.66666666668,1.55531096695,1.4651584035636,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000014:nav_20
nav_30,nav_haircut,FUND_SYNTH_000014,MANAGER_SYNTH_00004,fund_of_funds,54.6666666667,42.66666666668,1.55531096695,1.4200821218694,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000014:nav_30
nav_00,nav_haircut,FUND_SYNTH_000015,MANAGER_SYNTH_00004,buyout,63.6363636364,63.63636363637818,2.03773525025,2.037735250248,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000015:nav_00
nav_10,nav_haircut,FUND_SYNTH_000015,MANAGER_SYNTH_00004,buyout,63.6363636364,63.63636363637818,2.03773525025,2.0190104414632,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000015:nav_10
nav_20,nav_haircut,FUND_SYNTH_000015,MANAGER_SYNTH_00004,buyout,63.6363636364,58.181818181832725,2.03773525025,2.0002856326784,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000015:nav_20
nav_30,nav_haircut,FUND_SYNTH_000015,MANAGER_SYNTH_00004,buyout,63.6363636364,58.181818181832725,2.03773525025,1.9815608238936,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000015:nav_30
nav_00,nav_haircut,FUND_SYNTH_000017,MANAGER_SYNTH_00005,private_credit,43.5714285714,43.57142857141143,1.303232118,1.303232117993,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000017:nav_00
nav_10,nav_haircut,FUND_SYNTH_000017,MANAGER_SYNTH_00005,private_credit,43.5714285714,22.14285714284,1.303232118,1.199119539448,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000017:nav_10
nav_20,nav_haircut,FUND_SYNTH_000017,MANAGER_SYNTH_00005,private_credit,43.5714285714,9.285714285697143,1.303232118,1.095006960903,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000017:nav_20
nav_30,nav_haircut,FUND_SYNTH_000017,MANAGER_SYNTH_00005,private_credit,43.5714285714,7.1428571428400005,1.303232118,0.990894382358,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000017:nav_30
nav_00,nav_haircut,FUND_SYNTH_000019,MANAGER_SYNTH_00005,buyout,17.9487179487,17.948717948707692,1.173988749,1.173988748995,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000019:nav_00
nav_10,nav_haircut,FUND_SYNTH_000019,MANAGER_SYNTH_00005,buyout,17.9487179487,13.333333333323077,1.173988749,1.0900053576208,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000019:nav_10
nav_20,nav_haircut,FUND_SYNTH_000019,MANAGER_SYNTH_00005,buyout,17.9487179487,11.794871794861539,1.173988749,1.0060219662466001,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000019:nav_20
nav_30,nav_haircut,FUND_SYNTH_000019,MANAGER_SYNTH_00005,buyout,17.9487179487,10.2564102564,1.173988749,0.9220385748724,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000019:nav_30
nav_00,nav_haircut,FUND_SYNTH_000020,MANAGER_SYNTH_00005,private_credit,36.4285714286,36.428571428560005,1.21255290596,1.212552905957,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000020:nav_00
nav_10,nav_haircut,FUND_SYNTH_000020,MANAGER_SYNTH_00005,private_credit,36.4285714286,27.85714285713143,1.21255290596,1.1382935893471,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000020:nav_10
nav_20,nav_haircut,FUND_SYNTH_000020,MANAGER_SYNTH_00005,private_credit,36.4285714286,23.571428571417144,1.21255290596,1.0640342727371999,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000020:nav_20
nav_30,nav_haircut,FUND_SYNTH_000020,MANAGER_SYNTH_00005,private_credit,36.4285714286,21.42857142856,1.21255290596,0.9897749561272999,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000020:nav_30
nav_00,nav_haircut,FUND_SYNTH_000023,MANAGER_SYNTH_00006,private_credit,24.5,24.5,1.28698100773,1.286981007728,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000023:nav_00
nav_10,nav_haircut,FUND_SYNTH_000023,MANAGER_SYNTH_00006,private_credit,24.5,20.0,1.28698100773,1.2365526331549,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000023:nav_10
nav_20,nav_haircut,FUND_SYNTH_000023,MANAGER_SYNTH_00006,private_credit,24.5,20.0,1.28698100773,1.1861242585818,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000023:nav_20
nav_30,nav_haircut,FUND_SYNTH_000023,MANAGER_SYNTH_00006,private_credit,24.5,12.5,1.28698100773,1.1356958840087,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000023:nav_30
nav_00,nav_haircut,FUND_SYNTH_000024,MANAGER_SYNTH_00006,growth,40.0,40.0,1.90345156672,1.903451566723,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000024:nav_00
nav_10,nav_haircut,FUND_SYNTH_000024,MANAGER_SYNTH_00006,growth,40.0,40.0,1.90345156672,1.8814113779737,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000024:nav_10
nav_20,nav_haircut,FUND_SYNTH_000024,MANAGER_SYNTH_00006,growth,40.0,37.5,1.90345156672,1.8593711892244,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000024:nav_20
nav_30,nav_haircut,FUND_SYNTH_000024,MANAGER_SYNTH_00006,growth,40.0,35.0,1.90345156672,1.8373310004751,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000024:nav_30
nav_00,nav_haircut,FUND_SYNTH_000027,MANAGER_SYNTH_00007,buyout,100.0,100.0,2.69341614907,2.69341614907,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000027:nav_00
nav_10,nav_haircut,FUND_SYNTH_000027,MANAGER_SYNTH_00007,buyout,100.0,100.0,2.69341614907,2.668665838511,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000027:nav_10
nav_20,nav_haircut,FUND_SYNTH_000027,MANAGER_SYNTH_00007,buyout,100.0,100.0,2.69341614907,2.643915527952,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000027:nav_20
nav_30,nav_haircut,FUND_SYNTH_000027,MANAGER_SYNTH_00007,buyout,100.0,100.0,2.69341614907,2.6191652173930002,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000027:nav_30
nav_00,nav_haircut,FUND_SYNTH_000032,MANAGER_SYNTH_00008,real_estate,17.3333333333,17.33333333332,1.12029408869,1.120294088686,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000032:nav_00
nav_10,nav_haircut,FUND_SYNTH_000032,MANAGER_SYNTH_00008,real_estate,17.3333333333,13.333333333319999,1.12029408869,1.0398677257359001,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000032:nav_10
nav_20,nav_haircut,FUND_SYNTH_000032,MANAGER_SYNTH_00008,real_estate,17.3333333333,13.333333333319999,1.12029408869,0.9594413627858001,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000032:nav_20
nav_30,nav_haircut,FUND_SYNTH_000032,MANAGER_SYNTH_00008,real_estate,17.3333333333,13.333333333319999,1.12029408869,0.8790149998357,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000032:nav_30
nav_00,nav_haircut,FUND_SYNTH_000034,MANAGER_SYNTH_00009,buyout,90.9090909091,90.90909090909454,2.50323699559,2.503236995596,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000034:nav_00
nav_10,nav_haircut,FUND_SYNTH_000034,MANAGER_SYNTH_00009,buyout,90.9090909091,90.90909090909454,2.50323699559,2.4802347267294,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000034:nav_10
nav_20,nav_haircut,FUND_SYNTH_000034,MANAGER_SYNTH_00009,buyout,90.9090909091,85.45454545454909,2.50323699559,2.4572324578628,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000034:nav_20
nav_30,nav_haircut,FUND_SYNTH_000034,MANAGER_SYNTH_00009,buyout,90.9090909091,85.45454545454909,2.50323699559,2.4342301889962,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000034:nav_30
nav_00,nav_haircut,FUND_SYNTH_000037,MANAGER_SYNTH_00010,venture,17.037037037,17.037037037031112,0.484171549479,0.484171549479,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000037:nav_00
nav_10,nav_haircut,FUND_SYNTH_000037,MANAGER_SYNTH_00010,venture,17.037037037,17.037037037031112,0.484171549479,0.46276855468730005,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000037:nav_10
nav_20,nav_haircut,FUND_SYNTH_000037,MANAGER_SYNTH_00010,venture,17.037037037,14.81481481480889,0.484171549479,0.4413655598956,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000037:nav_20
nav_30,nav_haircut,FUND_SYNTH_000037,MANAGER_SYNTH_00010,venture,17.037037037,14.81481481480889,0.484171549479,0.4199625651039,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000037:nav_30
nav_00,nav_haircut,FUND_SYNTH_000038,MANAGER_SYNTH_00010,venture,1.48148148148,1.4814814814800001,0.300011070519,0.3000110705193,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000038:nav_00
nav_10,nav_haircut,FUND_SYNTH_000038,MANAGER_SYNTH_00010,venture,1.48148148148,1.4814814814800001,0.300011070519,0.29544448134627,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000038:nav_10
nav_20,nav_haircut,FUND_SYNTH_000038,MANAGER_SYNTH_00010,venture,1.48148148148,1.4814814814800001,0.300011070519,0.29087789217324,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000038:nav_20
nav_30,nav_haircut,FUND_SYNTH_000038,MANAGER_SYNTH_00010,venture,1.48148148148,1.4814814814800001,0.300011070519,0.28631130300020996,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000038:nav_30
nav_00,nav_haircut,FUND_SYNTH_000042,MANAGER_SYNTH_00011,private_credit,24.8275862069,24.82758620688,1.0180327699,1.018032769895,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000042:nav_00
nav_10,nav_haircut,FUND_SYNTH_000042,MANAGER_SYNTH_00011,private_credit,24.8275862069,24.82758620688,1.0180327699,0.9665398845482001,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000042:nav_10
nav_20,nav_haircut,FUND_SYNTH_000042,MANAGER_SYNTH_00011,private_credit,24.8275862069,24.82758620688,1.0180327699,0.9150469992014001,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000042:nav_20
nav_30,nav_haircut,FUND_SYNTH_000042,MANAGER_SYNTH_00011,private_credit,24.8275862069,24.82758620688,1.0180327699,0.8635541138546,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000042:nav_30
nav_00,nav_haircut,FUND_SYNTH_000044,MANAGER_SYNTH_00011,growth,37.5,37.5,1.92065751836,1.920657518352,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000044:nav_00
nav_10,nav_haircut,FUND_SYNTH_000044,MANAGER_SYNTH_00011,growth,37.5,35.0,1.92065751836,1.8860560762408,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000044:nav_10
nav_20,nav_haircut,FUND_SYNTH_000044,MANAGER_SYNTH_00011,growth,37.5,32.5,1.92065751836,1.8514546341296,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000044:nav_20
nav_30,nav_haircut,FUND_SYNTH_000044,MANAGER_SYNTH_00011,growth,37.5,30.0,1.92065751836,1.8168531920184001,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000044:nav_30
nav_00,nav_haircut,FUND_SYNTH_000046,MANAGER_SYNTH_00012,buyout,74.8275862069,74.82758620688966,1.99269553331,1.9926955333129999,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000046:nav_00
nav_10,nav_haircut,FUND_SYNTH_000046,MANAGER_SYNTH_00012,buyout,74.8275862069,70.6896551724069,1.99269553331,1.9612122851747,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000046:nav_10
nav_20,nav_haircut,FUND_SYNTH_000046,MANAGER_SYNTH_00012,buyout,74.8275862069,65.51724137930344,1.99269553331,1.9297290370364,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000046:nav_20
nav_30,nav_haircut,FUND_SYNTH_000046,MANAGER_SYNTH_00012,buyout,74.8275862069,63.44827586206206,1.99269553331,1.8982457888981,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000046:nav_30
nav_00,nav_haircut,FUND_SYNTH_000048,MANAGER_SYNTH_00012,buyout,73.1034482759,73.10344827587586,2.15759972358,2.157599723575,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000048:nav_00
nav_10,nav_haircut,FUND_SYNTH_000048,MANAGER_SYNTH_00012,buyout,73.1034482759,66.89655172415172,2.15759972358,2.0707835835205,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000048:nav_10
nav_20,nav_haircut,FUND_SYNTH_000048,MANAGER_SYNTH_00012,buyout,73.1034482759,61.724137931048276,2.15759972358,1.983967443466,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000048:nav_20
nav_30,nav_haircut,FUND_SYNTH_000048,MANAGER_SYNTH_00012,buyout,73.1034482759,52.41379310346207,2.15759972358,1.8971513034115,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000048:nav_30
nav_00,nav_haircut,FUND_SYNTH_000049,MANAGER_SYNTH_00013,buyout,84.7457627119,84.74576271185288,2.1897513327,2.189751332696,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000049:nav_00
nav_10,nav_haircut,FUND_SYNTH_000049,MANAGER_SYNTH_00013,buyout,84.7457627119,78.64406779659863,2.1897513327,2.1276892737184,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000049:nav_10
nav_20,nav_haircut,FUND_SYNTH_000049,MANAGER_SYNTH_00013,buyout,84.7457627119,74.57627118642915,2.1897513327,2.0656272147408004,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000049:nav_20
nav_30,nav_haircut,FUND_SYNTH_000049,MANAGER_SYNTH_00013,buyout,84.7457627119,72.5423728813444,2.1897513327,2.0035651557632,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000049:nav_30
nav_00,nav_haircut,FUND_SYNTH_000054,MANAGER_SYNTH_00014,venture,26.9230769231,26.923076923076923,1.2188783035,1.2188783035039998,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000054:nav_00
nav_10,nav_haircut,FUND_SYNTH_000054,MANAGER_SYNTH_00014,venture,26.9230769231,26.923076923076923,1.2188783035,1.1522541555389,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000054:nav_10
nav_20,nav_haircut,FUND_SYNTH_000054,MANAGER_SYNTH_00014,venture,26.9230769231,24.615384615384613,1.2188783035,1.0856300075738,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000054:nav_20
nav_30,nav_haircut,FUND_SYNTH_000054,MANAGER_SYNTH_00014,venture,26.9230769231,24.615384615384613,1.2188783035,1.0190058596087,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000054:nav_30
nav_00,nav_haircut,FUND_SYNTH_000059,MANAGER_SYNTH_00015,infrastructure,57.3333333333,57.33333333332,1.36334836116,1.363348361155,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000059:nav_00
nav_10,nav_haircut,FUND_SYNTH_000059,MANAGER_SYNTH_00015,infrastructure,57.3333333333,53.33333333332,1.36334836116,1.2919245765809,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000059:nav_10
nav_20,nav_haircut,FUND_SYNTH_000059,MANAGER_SYNTH_00015,infrastructure,57.3333333333,45.33333333332,1.36334836116,1.2205007920068,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000059:nav_20
nav_30,nav_haircut,FUND_SYNTH_000059,MANAGER_SYNTH_00015,infrastructure,57.3333333333,33.33333333332,1.36334836116,1.1490770074327,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000059:nav_30
nav_00,nav_haircut,FUND_SYNTH_000060,MANAGER_SYNTH_00015,venture,93.8461538462,93.8461538461354,2.7495256167,2.7495256166999997,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000060:nav_00
nav_10,nav_haircut,FUND_SYNTH_000060,MANAGER_SYNTH_00015,venture,93.8461538462,93.8461538461354,2.7495256167,2.5992274329100002,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000060:nav_10
nav_20,nav_haircut,FUND_SYNTH_000060,MANAGER_SYNTH_00015,venture,93.8461538462,91.53846153844309,2.7495256167,2.44892924912,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000060:nav_20
nav_30,nav_haircut,FUND_SYNTH_000060,MANAGER_SYNTH_00015,venture,93.8461538462,86.92307692305846,2.7495256167,2.29863106533,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000060:nav_30
nav_00,nav_haircut,FUND_SYNTH_000062,MANAGER_SYNTH_00016,private_credit,45.5172413793,45.51724137929931,1.24850442056,1.248504420562,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000062:nav_00
nav_10,nav_haircut,FUND_SYNTH_000062,MANAGER_SYNTH_00016,private_credit,45.5172413793,24.827586206885517,1.24850442056,1.159817883424,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000062:nav_10
nav_20,nav_haircut,FUND_SYNTH_000062,MANAGER_SYNTH_00016,private_credit,45.5172413793,18.620689655161378,1.24850442056,1.0711313462860002,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000062:nav_20
nav_30,nav_haircut,FUND_SYNTH_000062,MANAGER_SYNTH_00016,private_credit,45.5172413793,16.55172413792,1.24850442056,0.982444809148,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000062:nav_30
nav_00,nav_haircut,FUND_SYNTH_000065,MANAGER_SYNTH_00017,buyout,23.1578947368,23.15789473685263,1.31000558971,1.310005589715,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000065:nav_00
nav_10,nav_haircut,FUND_SYNTH_000065,MANAGER_SYNTH_00017,buyout,23.1578947368,13.684210526326314,1.31000558971,1.204896590274,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000065:nav_10
nav_20,nav_haircut,FUND_SYNTH_000065,MANAGER_SYNTH_00017,buyout,23.1578947368,7.3684210526421055,1.31000558971,1.0997875908330002,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000065:nav_20
nav_30,nav_haircut,FUND_SYNTH_000065,MANAGER_SYNTH_00017,buyout,23.1578947368,4.2105263158,1.31000558971,0.994678591392,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000065:nav_30
nav_00,nav_haircut,FUND_SYNTH_000066,MANAGER_SYNTH_00017,infrastructure,22.6666666667,22.666666666668,1.44300971078,1.443009710783,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000066:nav_00
nav_10,nav_haircut,FUND_SYNTH_000066,MANAGER_SYNTH_00017,infrastructure,22.6666666667,18.666666666668,1.44300971078,1.3832578518315999,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000066:nav_10
nav_20,nav_haircut,FUND_SYNTH_000066,MANAGER_SYNTH_00017,infrastructure,22.6666666667,14.666666666668,1.44300971078,1.3235059928802,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000066:nav_20
nav_30,nav_haircut,FUND_SYNTH_000066,MANAGER_SYNTH_00017,infrastructure,22.6666666667,14.666666666668,1.44300971078,1.2637541339288,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000066:nav_30
nav_00,nav_haircut,FUND_SYNTH_000067,MANAGER_SYNTH_00017,buyout,86.3157894737,86.31578947367368,1.99042518912,1.9904251891199998,0.0,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000067:nav_00
nav_10,nav_haircut,FUND_SYNTH_000067,MANAGER_SYNTH_00017,buyout,86.3157894737,86.31578947367368,1.99042518912,1.888042227373,0.1,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000067:nav_10
nav_20,nav_haircut,FUND_SYNTH_000067,MANAGER_SYNTH_00017,buyout,86.3157894737,83.15789473683157,1.99042518912,1.785659265626,0.2,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000067:nav_20
nav_30,nav_haircut,FUND_SYNTH_000067,MANAGER_SYNTH_00017,buyout,86.3157894737,73.68421052630526,1.99042518912,1.683276303879,0.3,same_as_baseline,[],SCENARIO:fund:FUND_SYNTH_000067:nav_30
