order,phase,stage,input,output,check_description,status,checked_at_utc,stage_id,execution_order,source,test,evidence,result_detail,next_readme
11,Publication,Normalize evidence fields,Published evidence and normalization matrices,Observation tables with printed and normalized values,Each normalized field retains its source; ambiguous slash dates require a source-backed order,PASS,2026-09-15T19:38:50+00:00,flatten,30,src/pipeline/publish_review_release.py,python -m src.flatten.flatten_extracted,ledgers/pipeline/release-checks.csv#6260738c9d9a49a8b9c15361384ba772,Stage completed; output receipts record data changes,data/extracted/tables/README.md
12,Publication,Build extraction review records,Proposals and final records and review decisions,Candidate-to-final links and document summaries and image index,Review records reconcile current candidates and finals,PASS,2026-09-15T19:39:00+00:00,extraction-review,40,src/pipeline/publish_review_release.py,python -m src.pipeline.build_extraction_review; render_image_corpus.py --manifest-only,ledgers/pipeline/release-checks.csv#91f281dc953f49199479abdc99782012,Stage completed; output receipts record data changes,data/extracted/review/README.md
13,Publication,Reconstruct source tables,Normalized observations and table positions,Wide source tables and observation links,Reconstructed cells retain observation references,PASS,2026-09-15T19:39:03+00:00,wide,50,src/pipeline/publish_review_release.py,python -m src.flatten.pivot_wide,ledgers/pipeline/release-checks.csv#efd7b51b0e384ae78ec22715085947a2,Stage completed; output receipts record data changes,data/extracted/wide/README.md
14,Publication,Build the evidence database,Evidence tables and reconstructed source tables,extracted.duckdb,Database tables match their CSV inputs,PASS,2026-09-15T19:39:20+00:00,extracted-database,60,src/pipeline/publish_review_release.py,python -m src.flatten.load_star,ledgers/pipeline/release-checks.csv#4f4873da1af0456da2d55c6331afb04d,Stage completed; output receipts record data changes,data/warehouse/README.md
15,Publication,Record inherited fund attributes,Reviewed fund attributes and source evidence,Attribute application record,Inherited attributes cite reviewed source evidence,PASS,2026-09-15T19:39:21+00:00,attribute-audit,70,src/pipeline/publish_review_release.py,python -m src.catalog.simple_pdf_extraction.fund_attributes apply,ledgers/pipeline/release-checks.csv#fb7016155b5f4485b382256d9bace095,Stage completed; output receipts record data changes,data/normalization/README.md
16,Publication,Build source-only fund data,Normalized evidence and reviewed identities,Source-only fund periods and transactions and terms and compatibility holdings,Source-only tables exclude generated completion values,PASS,2026-09-15T19:39:24+00:00,fund-model-promotion,80,src/pipeline/publish_review_release.py,python -m src.load.promote_extracted_to_fund_level,ledgers/pipeline/release-checks.csv#4fa6ea04cdde4a92b9a779e56054c000,Stage completed; output receipts record data changes,data/extracted/fund-level/README.md
17,Publication,Build owner-aware normalized holdings,Source holdings and exact observation links and reviewed owner decisions,Owners and targets and instruments and positions and field origins plus explicit refusals,Every source holding becomes one normalized source position or one stated refusal and source meanings stay distinct,PASS,2026-09-15T19:39:25+00:00,normalized-holdings,85,src/load/build_normalized_holdings.py,python -m src.load.build_normalized_holdings,ledgers/pipeline/release-checks.csv#cfb5348d81094fd4b7e6ba4c199e384e,Stage completed; output receipts record data changes,data/extracted/fund-level/README.md
18,Publication,Verify normalized holdings,Normalized source tables and refusal audit and source holdings,Verification result with no data rewrite,Source coverage is exact and the normalized holdings QA view has zero ERROR rows,PASS,2026-09-15T19:39:28+00:00,normalized-holdings-check,87,src/load/validate_normalized_holdings.py,python -m src.load.validate_normalized_holdings,ledgers/pipeline/release-checks.csv#f19e3cce995d4967b479a95acdc5381b,Stage completed; output receipts record data changes,data/extracted/fund-level/README.md
19,Publication,Verify promoted evidence,Promoted fund records and accepted source references,Verification result with no data rewrite,Promoted source rows satisfy evidence and usage requirements,PASS,2026-09-15T19:39:29+00:00,promotion-gate,90,src/pipeline/publish_review_release.py,python -m src.load.validate_round02_promotion,ledgers/pipeline/release-checks.csv#dab0daa99cab4dd1b2c0bd41f792a536,Stage completed; output receipts record data changes,data/csv/README.md
20,Publication,Preserve source-only fund tables,Promoted fund tables before completion,Source-only CSV snapshot,Source tables remain separate from subsequent generated values,PASS,2026-09-15T19:39:30+00:00,extracted-fund-level-snapshot,95,src/pipeline/publish_review_release.py,python -m src.pipeline.build_integrated_universe --snapshot-only,ledgers/pipeline/release-checks.csv#9d00d09b9e7b45a2afe905ec935fcda4,Stage completed; output receipts record data changes,data/extracted/fund-level/README.md
21,Publication,Complete missing analytical inputs,Source-only funds and documented generation assumptions,Completed fund tables and cell origins and reconciliation records,Source records are preserved; unsupported or conflicting currencies receive gaps instead of monetary completion,PASS,2026-09-15T19:39:48+00:00,integrated-completion,100,src/pipeline/publish_review_release.py,python -m src.pipeline.build_integrated_universe,ledgers/pipeline/release-checks.csv#de3aa5aa7bda4289a5210d034cae3ddc,Stage completed; output receipts record data changes,data/integrated/README.md
22,Publication,Verify benchmark usage rights,Benchmark series and source policies and promoted records,Verification result with no data rewrite,Demonstration benchmarks carry their source-specific use restrictions,PASS,2026-09-15T19:39:49+00:00,benchmark-rights-gate,105,src/pipeline/publish_review_release.py,python -m src.load.validate_round02_promotion,ledgers/pipeline/release-checks.csv#00459e0ae4ea49279f64c56fca795db3,Stage completed; output receipts record data changes,data/public_markets/README.md
23,Publication,Check the integrated fund data,Source and generated fund records,Integrated accounting and data-quality results,Every failure blocks release unless an exact source-value exception verifies its evidence,PASS,2026-09-15T19:39:51+00:00,quality,110,src/pipeline/publish_review_release.py,python -m src.quality.run_fund_checks --run-id INTEGRATED_QC_V1,ledgers/pipeline/release-checks.csv#6c6aac8b5e5b47979021d8cd618a5a67,Stage completed; output receipts record data changes,docs/SYNTHETIC-DATA-AND-QUALITY.md
24,Publication,Check source-only fund data,Source-only fund records,Source-only quality results,Source-only failures use the same exact-source policy and retain their FAIL records,PASS,2026-09-15T19:39:52+00:00,extracted-only-quality,112,src/pipeline/publish_review_release.py,python -m src.quality.run_fund_checks --run-id EXTRACTED_QC_V1,ledgers/pipeline/release-checks.csv#c9881ab2467347cd87b72943c8251081,Stage completed; output receipts record data changes,docs/SYNTHETIC-DATA-AND-QUALITY.md
25,Publication,Calculate source-only performance,Quality-approved source periods,Source-only fund metrics,Metrics require the necessary printed inputs and passing quality checks,PASS,2026-09-15T19:39:53+00:00,extracted-only-analytics,115,src/pipeline/publish_review_release.py,python -m src.analytics.run_extracted_analytics,ledgers/pipeline/release-checks.csv#e958b8a1b91b4edaa6d7b1eac75f9305,Stage completed; output receipts record data changes,data/extracted/fund-level/README.md
26,Publication,Calculate integrated performance,Completed fund periods and dated cash flows and benchmark levels,Fund metrics and public-market comparisons and allocation weights,Calculations retain the source class of their analytical inputs,PASS,2026-09-15T19:39:58+00:00,analytics,120,src/pipeline/publish_review_release.py,python -m src.analytics.run_integrated_analytics,ledgers/pipeline/release-checks.csv#9190f83d76314b0e9a2fbfa0e78f4e88,Stage completed; output receipts record data changes,data/csv/README.md
27,Publication,Publish reviewer tables,Evidence and fund periods and analytics and cell origins,Flattened reviewer observations and fund periods and cell-origin records,Reviewer exports reconcile their underlying tables,PASS,2026-09-15T19:40:04+00:00,reviewer-publication,130,src/pipeline/publish_review_release.py,python -m src.pipeline.build_reviewer_publication,ledgers/pipeline/release-checks.csv#1d3472041f8a4ce683aac42826bcb6ab,Stage completed; output receipts record data changes,data/extracted/review/README.md
28,Publication,Build the fund-model database,Completed fund tables and quality and analytics results,alts.duckdb,Database tables match their CSV inputs,PASS,2026-09-15T19:40:25+00:00,fund-model-database,140,src/pipeline/publish_review_release.py,python -m src.load.load_csv_to_duckdb --rebuild,ledgers/pipeline/release-checks.csv#76ce80818f284c0ab0af0aae446cb680,Stage completed; output receipts record data changes,data/warehouse/README.md
29,Verification,Run closing data checks,Published data and current assignments and transformation receipts,Recorded data-check result,Source coverage and preservation and accounting scope and database contents agree,PASS,2026-09-15T19:41:13+00:00,reviewer-check,150,src/pipeline/reviewer_check.py,python -m src.pipeline.reviewer_check,ledgers/pipeline/release-checks.csv#c0161d7bc9e04f43b5bf118f6e075b0c,Closing data checks passed; 4 documented observation(s),docs/STATUS.md
30,Verification,Verify repository and regression tests,Current code and published files and documentation,Recorded repository and test result,Folder guides and file manifest and release audit and regression tests pass,PASS,2026-09-14T17:59:28+00:00,repository-and-tests,160,tests/,python -m src.repository.build_release_audit --verify-repository,ledgers/pipeline/release-checks.csv#094e4eabaac348609296e53dcc9bf443,"PASS: 3500 files, 262 directories, folder guides, manifest and SHA-256; PASS: every project path passed its file, manifest, README, Git-policy, and source-ledger checks; 666 passed in 685.92s (0:11:25)",docs/FINAL-RELEASE-AUDIT.md
