position_id,scenario_id,hurdle_rate,future_cashflow_pv,max_reference_price,max_nav_fraction,currency,origin_type
POS_725036467434A9CFE2C8,base,0.2000000000,198437.62652619,203970.60926519,0.7103623150,USD,DERIVED
POS_725036467434A9CFE2C8,downside,0.1000000000,142542.63953572,148075.62227472,0.5156985225,USD,DERIVED
POS_725036467434A9CFE2C8,downside,0.1500000000,115027.45155647,120560.43429547,0.4198722037,USD,DERIVED
POS_725036467434A9CFE2C8,downside,0.2000000000,93153.55819198,98686.54093098,0.3436926522,USD,DERIVED
POS_725036467434A9CFE2C8,upside,0.1000000000,324154.69504945,329687.67778845,1.1481933739,USD,DERIVED
POS_725036467434A9CFE2C8,upside,0.1500000000,283297.10653552,288830.08927452,1.0058998774,USD,DERIVED
POS_725036467434A9CFE2C8,upside,0.2000000000,249010.03979967,254543.02253867,0.8864893399,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,base,0.1000000000,30981.75715380,23828.37347680,0.7200727942,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,base,0.1500000000,21029.52548804,13876.14181104,0.4193249789,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,base,0.2000000000,12961.32446213,5807.94078513,0.1755109367,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,downside,0.1000000000,-1103.56744701,-8256.95112401,-0.2495179066,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,downside,0.1500000000,-10311.42747004,-17464.81114704,-0.5277714559,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,downside,0.2000000000,-17307.39548513,-24460.77916213,-0.7391835459,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,upside,0.1000000000,44401.27363730,37247.88996030,1.1255989515,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,upside,0.1500000000,33419.35673008,26265.97305308,0.7937349407,USD,DERIVED
POS_03BACFCF783B5AAEF3FA,upside,0.2000000000,24403.85077201,17250.46709501,0.5212941645,USD,DERIVED
POS_BC8C03B81492D1FB1E28,base,0.1000000000,890.31456882,895.74373382,0.9219199717,USD,DERIVED
POS_BC8C03B81492D1FB1E28,base,0.1500000000,761.47080024,766.89996524,0.7893110133,USD,DERIVED
POS_BC8C03B81492D1FB1E28,base,0.2000000000,654.56508908,659.99425408,0.6792812063,USD,DERIVED
POS_BC8C03B81492D1FB1E28,downside,0.1000000000,452.42161829,457.85078329,0.4712305152,USD,DERIVED
POS_BC8C03B81492D1FB1E28,downside,0.1500000000,349.01596196,354.44512696,0.3648030447,USD,DERIVED
POS_BC8C03B81492D1FB1E28,downside,0.2000000000,267.36393126,272.79309626,0.2807649042,USD,DERIVED
POS_BC8C03B81492D1FB1E28,upside,0.1000000000,1108.88763049,1114.31679549,1.1468803741,USD,DERIVED
POS_BC8C03B81492D1FB1E28,upside,0.1500000000,959.93082543,965.35999043,0.9935706178,USD,DERIVED
POS_BC8C03B81492D1FB1E28,upside,0.2000000000,835.27038534,840.69955034,0.8652672370,USD,DERIVED
POS_759DB0D2AC8193AC62DD,base,0.1000000000,12033.09604173,11991.57075873,0.9139530813,USD,DERIVED
POS_759DB0D2AC8193AC62DD,base,0.1500000000,10206.11945741,10164.59417441,0.7747076970,USD,DERIVED
POS_759DB0D2AC8193AC62DD,base,0.2000000000,8693.18497565,8651.65969265,0.6593974379,USD,DERIVED
POS_759DB0D2AC8193AC62DD,downside,0.1000000000,5851.07879767,5809.55351467,0.4427826381,USD,DERIVED
POS_759DB0D2AC8193AC62DD,downside,0.1500000000,4365.70834801,4324.18306501,0.3295732074,USD,DERIVED
POS_759DB0D2AC8193AC62DD,downside,0.2000000000,3197.11860610,3155.59332310,0.2405076282,USD,DERIVED
POS_759DB0D2AC8193AC62DD,upside,0.1000000000,15078.21021666,15036.68493366,1.1460403982,USD,DERIVED
POS_759DB0D2AC8193AC62DD,upside,0.1500000000,12974.23390344,12932.70862044,0.9856831212,USD,DERIVED
POS_759DB0D2AC8193AC62DD,upside,0.2000000000,11216.17844914,11174.65316614,0.8516906500,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,base,0.1000000000,18644.47721944,13885.64601444,0.6988348953,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,base,0.1500000000,12317.18692118,7558.35571618,0.3803958937,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,base,0.2000000000,7192.97745702,2434.14625202,0.1225053800,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,downside,0.1000000000,-1705.84635143,-6464.67755643,-0.3253534087,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,downside,0.1500000000,-7593.89080579,-12352.72201079,-0.6216861055,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,downside,0.2000000000,-12060.88127264,-16819.71247764,-0.8465001914,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,upside,0.1000000000,27079.66292169,22320.83171669,1.1233597688,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,upside,0.1500000000,20112.32796928,15353.49676428,0.7727086873,USD,DERIVED
POS_3F7F05AC9AC73D2299D8,upside,0.2000000000,14397.66884380,9638.83763880,0.4851021037,USD,DERIVED
