result_id,deal_id,position_id,population,display_name,fund_id,manager_id,scenario_id,currency,reference_date,quote_date,closing_date,reference_nav,reference_unfunded,closing_economic_nav,closing_unfunded,actual_settlement_adjustment,forecast_settlement_adjustment,settlement_adjustment,ask_nav_fraction,ask_reference_price,ask_closing_seller_payment,buyer_transaction_cost,buyer_initial_outflow_at_ask,buyer_hurdle_rate,future_cashflow_pv_at_hurdle,max_closing_seller_payment,max_reference_price,max_nav_fraction,ask_npv_at_hurdle,ask_irr,ask_irr_status,buyer_money_multiple,future_calls,future_distributions,consent_status,status,status_reason,origin_type,source_record_ids
PRICE_5F17DE816AFB896953F6,DEAL_INTEGRATED_DEMO,POS_03BACFCF783B5AAEF3FA,integrated_demo,Demo Position 04,FUND_0026,MGR_0030,upside,USD,2026-06-05,2026-08-31,2026-09-30,33091.61749900,98549.236472,39750.82907000,90320.37522700,5085.66375100,1984.99088200,7070.65463300,0.8807337664,29144.90491700,36215.55955000,82.72904400,36298.28859400,0.1500000000,33419.35673008,33336.62768608,26265.97305308,0.7937349407,-2878.93186392,0.1358930591,OK,1.3023950532,90320.37522701,164907.52140902,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_D35D8007E962EEF10181
PRICE_5BE9DFE1FB039037E792,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,integrated_demo,Demo Position 05,FUND_0056,MGR_0044,base,USD,2026-06-05,2026-08-31,2026-09-30,971.60682200,313.150376,962.44123700,287.00231900,-5.50114800,-2.35703400,-7.85818200,0.7703033645,748.43200400,740.57382200,2.42901700,743.00283900,0.1500000000,761.47080024,759.04178324,766.89996524,0.7893110133,18.46796124,0.1580090272,OK,1.4822435049,287.00231901,1526.71845550,UNKNOWN,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,DERIVED,FPRINT_06BA40EA5807C58319A7
PRICE_F55D7E617C657954F767,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,integrated_demo,Demo Position 05,FUND_0056,MGR_0044,downside,USD,2026-06-05,2026-08-31,2026-09-30,971.60682200,313.150376,962.44123700,287.00231900,-5.50114800,-2.35703400,-7.85818200,0.7703033645,748.43200400,740.57382200,2.42901700,743.00283900,0.1500000000,349.01596196,346.58694496,354.44512696,0.3648030447,-393.98687704,0.0032666802,OK,1.0122329821,287.00231901,1042.60519265,UNKNOWN,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,DERIVED,FPRINT_06BA40EA5807C58319A7
PRICE_7679034D4DD786873820,DEAL_INTEGRATED_DEMO,POS_BC8C03B81492D1FB1E28,integrated_demo,Demo Position 05,FUND_0056,MGR_0044,upside,USD,2026-06-05,2026-08-31,2026-09-30,971.60682200,313.150376,962.44123700,287.00231900,-5.50114800,-2.35703400,-7.85818200,0.7703033645,748.43200400,740.57382200,2.42901700,743.00283900,0.1500000000,959.93082543,957.50180843,965.35999043,0.9935706178,216.92798643,0.2434052894,OK,1.7417682771,287.00231901,1794.03030948,UNKNOWN,DEMO_REVIEW,TRANSFER_CONSENT_UNKNOWN,DERIVED,FPRINT_06BA40EA5807C58319A7
PRICE_74AB1D76AE2EBDF8A8F7,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,integrated_demo,Demo Position 06,FUND_0057,MGR_0044,base,USD,2026-06-05,2026-08-31,2026-09-30,13120.55400200,5604.111232,13105.88073500,5136.16794400,8.23282400,0.49107400,8.72389800,0.7385585381,9690.29718200,9699.02108000,32.80138500,9731.82246500,0.1500000000,10206.11945741,10173.31807241,10164.59417441,0.7747076970,474.29699241,0.1647042876,OK,1.4889708515,5136.16794400,22138.00433918,APPROVED,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,DERIVED,FPRINT_C38D8769C44DA8D22870
PRICE_F8908E0CC2790B4D1482,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,integrated_demo,Demo Position 06,FUND_0057,MGR_0044,downside,USD,2026-06-05,2026-08-31,2026-09-30,13120.55400200,5604.111232,13105.88073500,5136.16794400,8.23282400,0.49107400,8.72389800,0.7385585381,9690.29718200,9699.02108000,32.80138500,9731.82246500,0.1500000000,4365.70834801,4332.90696301,4324.18306501,0.3295732074,-5366.11411699,0.0090249606,OK,1.0333652170,5136.16794400,15364.06413479,APPROVED,DEMO_DECLINE,ASK_EXCEEDS_BUYER_CEILING,DERIVED,FPRINT_C38D8769C44DA8D22870
PRICE_FF4BB6AFC6FF27345752,DEAL_INTEGRATED_DEMO,POS_759DB0D2AC8193AC62DD,integrated_demo,Demo Position 06,FUND_0057,MGR_0044,upside,USD,2026-06-05,2026-08-31,2026-09-30,13120.55400200,5604.111232,13105.88073500,5136.16794400,8.23282400,0.49107400,8.72389800,0.7385585381,9690.29718200,9699.02108000,32.80138500,9731.82246500,0.1500000000,12974.23390344,12941.43251844,12932.70862044,0.9856831212,3242.41143844,0.2501342325,OK,1.7387043848,5136.16794400,25851.04011749,APPROVED,DEMO_PURSUABLE,ASK_MEETS_BUYER_HURDLE,DERIVED,FPRINT_C38D8769C44DA8D22870
PRICE_F783AA07C7F81755F5FC,DEAL_INTEGRATED_DEMO,POS_3F7F05AC9AC73D2299D8,integrated_demo,Demo Position 07,FUND_0061,MGR_0047,base,USD,2026-06-05,2026-08-31,2026-09-30,19869.70900800,64725.709547,24308.63610200,59321.11280000,3386.79984800,1322.35708400,4709.15693200,0.9444186215,18765.32319000,23474.48012200,49.67427300,23524.15439500,0.1500000000,12317.18692118,12267.51264818,7558.35571618,0.3803958937,-11206.96747382,0.0677268205,OK,1.1555346316,59321.11280000,95730.57530612,DENIED,NO_QUOTE,TRANSFER_CONSENT_DENIED,DERIVED,FPRINT_EE18A02AB4A7D7189767
PRICE_D6120A301CFA0586F6EE,DEAL_INTEGRATED_DEMO,POS_3F7F05AC9AC73D2299D8,integrated_demo,Demo Position 07,FUND_0061,MGR_0047,downside,USD,2026-06-05,2026-08-31,2026-09-30,19869.70900800,64725.709547,24308.63610200,59321.11280000,3386.79984800,1322.35708400,4709.15693200,0.9444186215,18765.32319000,23474.48012200,49.67427300,23524.15439500,0.1500000000,-7593.89080579,-7643.56507879,-12352.72201079,-0.6216861055,-31118.04520079,-0.0270877257,OK,0.9149824559,59321.11280000,75801.96604160,DENIED,NO_QUOTE,TRANSFER_CONSENT_DENIED,DERIVED,FPRINT_EE18A02AB4A7D7189767
PRICE_3EE40D4839BFD8BC8DA7,DEAL_INTEGRATED_DEMO,POS_3F7F05AC9AC73D2299D8,integrated_demo,Demo Position 07,FUND_0061,MGR_0047,upside,USD,2026-06-05,2026-08-31,2026-09-30,19869.70900800,64725.709547,24308.63610200,59321.11280000,3386.79984800,1322.35708400,4709.15693200,0.9444186215,18765.32319000,23474.48012200,49.67427300,23524.15439500,0.1500000000,20112.32796928,20062.65369628,15353.49676428,0.7727086873,-3411.82642572,0.1242547132,OK,1.2743771645,59321.11280000,105576.11669957,DENIED,NO_QUOTE,TRANSFER_CONSENT_DENIED,DERIVED,FPRINT_EE18A02AB4A7D7189767
