check_id,scope,record_id,fund_id,rule,status,actual_value,expected_value,difference,notes
REC_B96782DE2C627FC17CD5,FUND_PERIOD,FPRINT_9F87AC93396DE8400E8F,FUND_0044,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_B6778365534F70BE9A6C,FUND_PERIOD,FPRINT_92D4081981A13B005A2F,FUND_0045,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_41C5FEDBAF59E228113E,FUND_PERIOD,FPRINT_2814ADB6C6F729242246,FUND_0046,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E747B5214C7D3AAA7260,FUND_PERIOD,FPRINT_B67B3C9CCD345B4785E2,FUND_0047,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7139B2C5E7EA095E06C9,FUND_PERIOD,FPRINT_809906F191B364B0D701,FUND_0048,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_B15CFDDF1E875DA02C65,FUND_PERIOD,FPRINT_0892D963459A233A3A8F,FUND_0049,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C37C85895B9681C20AD4,FUND_PERIOD,FPRINT_BDF79F3FEA1FBE3CD652,FUND_0050,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_AF73DD29E0661C2B1275,FUND_PERIOD,FPRINT_60E021718EC224DF0703,FUND_0051,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_A2FAB9C332F735612010,FUND_PERIOD,FPRINT_3B33944E87B4AECA9614,FUND_0052,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_D8AA803D2208A7D0FEF5,FUND_PERIOD,FPRINT_0525EA27D54B6162673B,FUND_0053,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C646ADBC62A25B0D168C,FUND_PERIOD,FPRINT_A06F51E30FB87D8DED4F,FUND_0054,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_09BAF4F0C6ED8F794460,FUND_PERIOD,FPRINT_203A5C7E12C535EAC9E7,FUND_0055,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_642E0A9112E3AA06B7D3,FUND_PERIOD,FPRINT_06BA40EA5807C58319A7,FUND_0056,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_B82BE5C194F43C6C4781,FUND_PERIOD,FPRINT_C38D8769C44DA8D22870,FUND_0057,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5481AE00CAD35548CA9B,FUND_PERIOD,FPRINT_C0056F1E0BAE5005CD7B,FUND_0058,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_21E29DAC7B7E5D2BA74E,FUND_PERIOD,FPRINT_BD26E52D28989D94EAB6,FUND_0059,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_BA29421DE9A024BE3BE2,FUND_PERIOD,FPRINT_5E8116813EC2610C5807,FUND_0060,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_6D91DAECC740DDA39CF0,FUND_PERIOD,FPRINT_EE18A02AB4A7D7189767,FUND_0061,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_946C9CDB1F30AFCC1FF2,FUND_PERIOD,FPRINT_FE9E5B130439761950D8,FUND_0062,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C10C1567EA6629E736FB,FUND_PERIOD,FPRINT_53D71F31F008C68CF9D3,FUND_0063,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_62D63E47DBD669248A0D,FUND_PERIOD,FPRINT_C6E5328AE2FA19535BED,FUND_0064,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E679339AA210DD90B020,FUND_PERIOD,FPRINT_B9DAFD4B8E94C798B930,FUND_0065,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_9725DEDCD276E245D6C7,FUND_PERIOD,FPRINT_6B3239FA6F1AF7006356,FUND_0066,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_63BE06102E4B430892F8,FUND_PERIOD,FPRINT_CCEBD9C33C9DB920D3CA,FUND_0067,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E4DF98F3164913367896,FUND_PERIOD,FPRINT_5B47FE902B09D55204AC,FUND_0068,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_152336EF626AC40DF08F,FUND_PERIOD,FPRINT_970E5E07841DBEE2B815,FUND_0069,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_0AB8D7A5FE8AC1F6FB06,FUND_PERIOD,FPRINT_3B906B44A75BB4A834E4,FUND_0070,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_2E47ADBD0C9EF078D408,FUND_PERIOD,FPRINT_27ADFE0E7AC00D985065,FUND_0071,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_0592B4EC6721E184215D,FUND_PERIOD,FPRINT_8376B3AAB10E70DCD882,FUND_0072,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_3BB2FF4A37CF5908E01F,FUND_PERIOD,FPRINT_32531E3B51513616F542,FUND_0073,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_537E196955434378973B,FUND_PERIOD,FPRINT_88773D0BAEB8EB843FE4,FUND_0074,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5D7B01C3410A3AB56013,FUND_PERIOD,FPRINT_26DE8859338905071E67,FUND_0075,FINANCIAL_IDENTITIES,PASS,0.0000000001,<=0.005,0.0000000001,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_61511D599EE56775C478,FUND_PERIOD,FPRINT_0AAED40DD94D8A0D7793,FUND_0076,FINANCIAL_IDENTITIES,PASS,0.0000000009,<=0.005,0.0000000009,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_867BC51EE58E43B456EC,FUND_PERIOD,FPRINT_956FF910EB01805049F3,FUND_0077,FINANCIAL_IDENTITIES,PASS,0.0000000112,<=0.005,0.0000000112,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_55A29CB9C4CA96F141AF,FUND_PERIOD,FPRINT_448EF4BB733A8B8D9AD3,FUND_0078,FINANCIAL_IDENTITIES,PASS,0.0000000102,<=0.005,0.0000000102,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E282E8C174BA28CD835F,FUND_PERIOD,FPRINT_4543793816EECF1F9AEB,FUND_0079,FINANCIAL_IDENTITIES,PASS,0.0000000298,<=0.005,0.0000000298,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_1C4541F14736F86640E4,FUND_PERIOD,FPRINT_C80571212F1CFB8F6E6D,FUND_0080,FINANCIAL_IDENTITIES,PASS,0.0000000149,<=0.005,0.0000000149,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_542BF0451A137341ACA9,FUND_PERIOD,FPRINT_E4F946EA5EE53E209116,FUND_0081,FINANCIAL_IDENTITIES,PASS,0.0000000102,<=0.005,0.0000000102,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7566ED1B62DEF5462A60,FUND_PERIOD,FPRINT_5587560A394726DC575A,FUND_0082,FINANCIAL_IDENTITIES,PASS,0.0000000261,<=0.005,0.0000000261,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_12CD0DC74D4AFA7FABC9,FUND_PERIOD,FPRINT_DAB65E66B4B4A26F6A3B,FUND_0083,FINANCIAL_IDENTITIES,PASS,0.0000000214,<=0.005,0.0000000214,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7E8FA05E9F104BCA4D80,FUND_PERIOD,FPRINT_97E121A58896C01D7460,FUND_0084,FINANCIAL_IDENTITIES,PASS,0.0000000224,<=0.005,0.0000000224,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5C2C1E74F7DE95F09E92,FUND_PERIOD,FPRINT_04E268BF6AF75E1A4F0B,FUND_0085,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5B227E7541DB18E82B0F,FUND_PERIOD,FPRINT_1AD41A3C653CBD42101A,FUND_0086,FINANCIAL_IDENTITIES,PASS,0.0000000037,<=0.005,0.0000000037,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_820115D86F76669B21B9,FUND_PERIOD,FPRINT_4595A6FA50746CE260EB,FUND_0087,FINANCIAL_IDENTITIES,PASS,0.0000000019,<=0.005,0.0000000019,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_1377F6DEB864238A2E9D,FUND_PERIOD,FPRINT_921C1D4F829AC6654A6F,FUND_0088,FINANCIAL_IDENTITIES,PASS,0.0000000577,<=0.005,0.0000000577,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_24BEB61C49FBB40BEF00,FUND_PERIOD,FPRINT_5B6B49275C5D77A04B5C,FUND_0089,FINANCIAL_IDENTITIES,PASS,0.0000000084,<=0.005,0.0000000084,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_FC0E26B40E0EE812F789,FUND_PERIOD,FPRINT_EDCBB17C80BF9F6BD398,FUND_0090,FINANCIAL_IDENTITIES,PASS,0.0000000056,<=0.005,0.0000000056,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_6EC63E46CE25B9EDF03A,FUND_PERIOD,FPRINT_C42355E8A97D1E41069F,FUND_0091,FINANCIAL_IDENTITIES,PASS,0.0000000214,<=0.005,0.0000000214,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_77E45DACC13DDAA614C6,FUND_PERIOD,FPRINT_6EF85FC13E2B0C1ECE8D,FUND_0092,FINANCIAL_IDENTITIES,PASS,0.0000000140,<=0.005,0.0000000140,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_5CC8F75FEB64E8E61672,FUND_PERIOD,FPRINT_6B4CBEA4CCE0B2929ABA,FUND_0093,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_C230214F031857BF32D1,FUND_PERIOD,FPRINT_B457E564D7D741635D41,FUND_0094,FINANCIAL_IDENTITIES,PASS,0.0000000047,<=0.005,0.0000000047,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_7DC68419400A791B70DE,FUND_PERIOD,FPRINT_F3483307C4ABA8410422,FUND_0095,FINANCIAL_IDENTITIES,PASS,0.0000000037,<=0.005,0.0000000037,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E60EE0C03A3CB9E85F35,FUND_PERIOD,FPRINT_61DD9FDDF4F91C9E4F61,FUND_0096,FINANCIAL_IDENTITIES,PASS,0.0000000130,<=0.005,0.0000000130,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_9E9275F4E1C14F1652B3,FUND_PERIOD,FPRINT_5EF0A50DC7D3A1D1BA4C,FUND_0097,FINANCIAL_IDENTITIES,PASS,0.0000000200,<=0.005,0.0000000200,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_E679C58973F793CE9A32,FUND_PERIOD,FPRINT_2999840CA3CFCA6E59F7,FUND_0098,FINANCIAL_IDENTITIES,PASS,0.0000000112,<=0.005,0.0000000112,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_D4D44D2F1813881736F1,FUND_PERIOD,FPRINT_7ABCA15A90593EF3E540,FUND_0099,FINANCIAL_IDENTITIES,PASS,0.0000000261,<=0.005,0.0000000261,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_4F0237F7BB856686E2AA,FUND_PERIOD,FPRINT_EA74C6B4529D24A82D1A,FUND_0100,FINANCIAL_IDENTITIES,PASS,0.0000000335,<=0.005,0.0000000335,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_45B00A2CB2C41FF7EED6,FUND_PERIOD,FPRINT_2060E75CF0D88B12C71A,FUND_0101,FINANCIAL_IDENTITIES,PASS,0.0000000373,<=0.005,0.0000000373,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_B3FBA4F81C5269C7F29B,FUND_PERIOD,FPRINT_F74761D1C1B773CD7782,FUND_0102,FINANCIAL_IDENTITIES,PASS,0.0000000009,<=0.005,0.0000000009,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_0244C86C1EC5118B2AD5,FUND_PERIOD,FPRINT_31D2876267D94A035521,FUND_0103,FINANCIAL_IDENTITIES,PASS,0.0000000121,<=0.005,0.0000000121,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_A04F35C25F109B72B520,FUND_PERIOD,FPRINT_72B18ADA95E575A1D515,FUND_0104,FINANCIAL_IDENTITIES,PASS,0.0000000130,<=0.005,0.0000000130,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_EBD3EDA224EBA97F5E24,FUND_PERIOD,FPRINT_786C6B35D6AEBB89195D,FUND_0105,FINANCIAL_IDENTITIES,PASS,0.0000000075,<=0.005,0.0000000075,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_24F3FF39934E2FED3699,FUND_PERIOD,FPRINT_8949AE30030498BB1532,FUND_0106,FINANCIAL_IDENTITIES,PASS,0.0000000689,<=0.005,0.0000000689,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_6DEFE74FE03AC67C2681,FUND_PERIOD,FPRINT_86712304E4EBD8C58067,FUND_0107,FINANCIAL_IDENTITIES,PASS,0.0000000019,<=0.005,0.0000000019,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_363CF63483BAFE3D53C5,FUND_PERIOD,FPRINT_51C33DB6A52D1D4CBCBA,FUND_0108,FINANCIAL_IDENTITIES,PASS,0.0000009499,<=0.005,0.0000009499,"DPI, RVPI, TVPI, and commitment identities are checked together."
