instrument_id,target_id,instrument_kind,security_title_raw,security_type_raw,currency,seniority,secured_status,stated_rate,rate_type,rate_basis_raw,spread_bps,maturity_date_raw,maturity_date,identifier_type,identifier_value,instrument_status,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status
INSTR_GENERATED_011F9C2F667C98D1F961,TARGET_GENERATED_F3D63DCC462FB9643626,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_013E2298B1B2F86AA304,TARGET_GENERATED_AABF62C700B2029CE33E,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_01497E93A6D1D4D622CB,TARGET_GENERATED_BC7E44721914F272D07C,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_018683CB39A36C15E3F8,TARGET_GENERATED_46554C3F76930AA2D3B4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_01C5B307C75BAB898580,TARGET_GENERATED_D6E2575BFCBF57C82FDF,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_01D567670F8A250E16C7,TARGET_GENERATED_F7D9C0C2375C55C85292,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_01D9A3564CA3CF6DD804,TARGET_GENERATED_E362E45C290E22C6CE4B,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_01FC072739F81B445627,TARGET_GENERATED_2A5898A9C34EA119BA83,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_021FD56EFA98EA81A408,TARGET_GENERATED_19BE9365DE1530C8CB1F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0243D8758220AAC3F951,TARGET_GENERATED_1E64DA4AC267F68EE1B3,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_024EB6866FFC031F0B3F,TARGET_GENERATED_0DC6ED4AC4C6FBFEC6E4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_02795B281EA0A900ABCF,TARGET_GENERATED_EF200E2D627BDD489698,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_028F72F49AB41381E4F1,TARGET_GENERATED_65FD4F89A8A72CDF53F1,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_02B56FA61918C2A02A8C,TARGET_GENERATED_FC2CFB3767BF83EEFACE,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_02BCE75F0F994AE71740,TARGET_GENERATED_7C88A7F2EABFD7A8DE2F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_02E9F16CF8CC9159C571,TARGET_GENERATED_A27E86596C8913A504A9,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_033DAED375A88E1E7EF5,TARGET_GENERATED_030CE742D2B7EB3BC9EC,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0350BD85DBF5C44575CE,TARGET_GENERATED_27FE2D556150A66A6386,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_036317F3C4AC3BDFBEEA,TARGET_GENERATED_3155C2E1BA7E6EE0D20E,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_036512E132CBA3416DC0,TARGET_GENERATED_719AA49BC2FF01A0D02B,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0381C0892EC2CF02CB03,TARGET_GENERATED_F4930DCDB332A605DE2F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_038A33135DA2451FE1EB,TARGET_GENERATED_3B7DF60EE99C2500B047,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0392B6CC5CE36BD50F96,TARGET_GENERATED_B5E55E412F65A725CC33,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_03BF660D92BFAB88E775,TARGET_GENERATED_BB26036DFD55CA6C434D,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_03CD4A53675D4DA9DA94,TARGET_GENERATED_3C43C0C6C7F3549EA1CB,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_03E4D8E34EA1C593D8D6,TARGET_GENERATED_EFF56F6BA07839051923,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0400C4FFC0A2849A51B7,TARGET_GENERATED_C8ED68DFC451C06D4318,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04039D6C297D0F004184,TARGET_GENERATED_BC016FC8AF22B5E91969,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_040CA92AE40A5C2B1BE1,TARGET_GENERATED_1C912D25DB10FBB0F7C8,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0412889558AEB8B0B488,TARGET_GENERATED_85010A3B0D06BCC06F0F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_044478FCEFBD87327913,TARGET_GENERATED_E2A6871ADDCA120C84AB,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04510BD4AEE0E5EC3224,TARGET_GENERATED_C512EB731E82FE3626EA,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_045556EA1753055144C0,TARGET_GENERATED_668A685A67CD3D106139,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0458A0940725E0ECC7F6,TARGET_GENERATED_2D1861DFC8B1A9AD16CD,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0471EC094F3DA46306FA,TARGET_GENERATED_D68A1EC41A479DE9AA08,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0499FA7387D653FC6650,TARGET_GENERATED_2932032BD2046A978BF1,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04AAFD6E6A8725662DE3,TARGET_GENERATED_EA53359CED12027B2953,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04BB5A17EE786F21E260,TARGET_GENERATED_56DE370B727DA2674BA3,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04CE1038B1C444B3B06A,TARGET_GENERATED_CFFB0D48A157CC6200A5,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04E97EC051281E119504,TARGET_GENERATED_71C8E1635EF94261EAF2,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_04F9483ABDB1941298FF,TARGET_GENERATED_72020C3C127F68F7E2C1,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_050CC2242CB7B7FC28A9,TARGET_GENERATED_0C3EEF5AA33795C7C2A4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0514A2F70771632DEBC6,TARGET_GENERATED_FE1CA4AC98B3CC754CAD,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_05503A944455072928C7,TARGET_GENERATED_497186747D6F20053AD4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_056216FE64A539B2BCBD,TARGET_GENERATED_8D543B9549EDF58719D9,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_05792E49E182E4250163,TARGET_GENERATED_CA241DE0C27C282502A0,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0588226B8090D0F7787C,TARGET_GENERATED_0D37100988575843FBB4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_058A5F71B219FEC45C85,TARGET_GENERATED_D5DE5E57C7C962FD7B7D,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0600F2A03DC4D1ED5595,TARGET_GENERATED_21DD8588EC5DD201FE60,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_060AA019AEC0D88CC896,TARGET_GENERATED_7F8AB02700068612BEB9,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_060BC5567229FF1E1493,TARGET_GENERATED_ACA574337710C04A8526,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_061E0A3A7565CF7312A9,TARGET_GENERATED_38B7F884251DD6A49F46,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06241AB3349CA655B489,TARGET_GENERATED_AE86A5D2A1BE1E4AECD8,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0675EBB816B672A709EB,TARGET_GENERATED_FF10E3103683E00820F2,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06A6A7B7B166E1BB7A8F,TARGET_GENERATED_4CD2BAC11A0823A0BA81,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06A9D812698AAF68C506,TARGET_GENERATED_6CA3C535B4E97B34980E,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06AE6C8E7B217B58ECA2,TARGET_GENERATED_241ACF09F6E5429E2F7D,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06CB13242348B9E59A5D,TARGET_GENERATED_29926412466A6ABD5C33,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06DCCAF6752412D49726,TARGET_GENERATED_90BC51348929B19903AF,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06E0A83C81C0BB1548B9,TARGET_GENERATED_BB06B291270D519F7FC9,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_06FFCD533910A25BF452,TARGET_GENERATED_5CE13645A2C97895884D,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0761CC62C6A2F69B0EE6,TARGET_GENERATED_663BFD24646C7F825719,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_07CB3059C393DD0B6DA2,TARGET_GENERATED_0C8007E4B5AC9407FA75,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_07CF7DC43F27B6C41698,TARGET_GENERATED_4DAFD430C78F90F39C4B,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_07EBB2E90B846822C9B5,TARGET_GENERATED_86542E354FBD68E283CE,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_07ED7C19EFFE910FB774,TARGET_GENERATED_1A447DC7C418DD900BA9,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_07FBBE5E0991670CD37F,TARGET_GENERATED_ACD85E690614BD4D046F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0802D8FC6868369B12E6,TARGET_GENERATED_E3F31C3D15A9580B9903,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0820FE548BA63232033E,TARGET_GENERATED_E1F809B51B0D17CD2C19,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_08217E535B0965EFB8AD,TARGET_GENERATED_F38875B1D1C8F6AD6DDC,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0849F66198883F73A019,TARGET_GENERATED_6D014369FD9DAA4D4D40,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_085FC2B254A44E3163BC,TARGET_GENERATED_2735ADC8B6B8BFC87CB3,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0861B698034FCAEF4EA2,TARGET_GENERATED_68F5A26457779B0D3B9F,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_08772405FAB9045F0B89,TARGET_GENERATED_F16E6B6AC737DC78E2D0,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_088486A55DA133A4D527,TARGET_GENERATED_14D634455FB01897DD8C,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_089794189C07882576ED,TARGET_GENERATED_6B1968EBEB4D52A59444,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_089AB81F23C996E1D721,TARGET_GENERATED_BF29C90DCEF7CC1B1D00,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_08A7CAFE93CDE4A91C5D,TARGET_GENERATED_04B1E557CAD8A858D98D,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_08B57AFE8AF799218704,TARGET_GENERATED_637B26D3D7100B3EDFF0,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_08F3FD0B6D5D921DD574,TARGET_GENERATED_009E63929896C27255C1,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_091D1B7046CD589ABCBA,TARGET_GENERATED_88F698C3A08C18EA83CD,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0972182784A0DB685560,TARGET_GENERATED_E09AF3CD286313859581,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0981C086AB979846DD9B,TARGET_GENERATED_ACC3E32E97900BF149E0,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0992E22776D0E5D72965,TARGET_GENERATED_7DB9CEEB0E27D8E89907,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_09BCA630E7C196D1421A,TARGET_GENERATED_9027D3DDBADAF2B1F859,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_09C32ACE8466EA93DEFF,TARGET_GENERATED_9C7FF4F6ED45B911D326,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
INSTR_GENERATED_0A07B2811BB7F1E1B37A,TARGET_GENERATED_E5C1F0708FC7EFE09DB4,OTHER_EQUITY,Private investment,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,INTEGRATED_COMPLETION_V1,ACTIVE
