alias_id,target_id,printed_name,name_key,first_seen_date,last_seen_date,first_seen_document_id,last_seen_document_id,position_count,match_basis,alias_status,lineage_id,provenance_type,synthetic_parameter_set_id,record_status
TALIAS_0FAF5F4D37779C814D2D,TARGET_PRI_C3EBCF1786A5DF602647,"ASIA DEBT MANAGEMENT CAPITAL - TO INVEST IN ASIA CLIMATE-SMART LANDSCAPE FUND (ACLF) OF ASIA DEBT MANAGEMENT CAPITAL TO PROMOTE SUSTAINABLE AGRICULTURE AND AGROFORESTRY IN INDONESIA, BY PROVIDING FAVORABLE FINANCING TO INCENTIVIZE SMALL ENTERPRISE BORROWERS ALONG THE AGRICULTURAL COMMODITY SUPPLY CHAIN TOWARDS MORE SUSTAINABLE LAND USE PRACTICES THAT ENABLE FOREST PROTECTION AND RESTORATION, REDUCE GHG EMISSIONS, PROMOTE BIODIVERSITY PROTECTION, AND IMPROVE RURAL LIVELIHOODS.",asia debt management capital to invest in asia climate smart landscape fund aclf of asia debt management capital to promote sustainable agriculture and agroforestry in indonesia by providing favorable financing to incentivize small enterprise borrowers along the agricultural commodity supply chain towards more sustainable land use practices that enable forest protection and restoration reduce ghg emissions promote biodiversity protection and improve rural livelihoods,,,SRC373,SRC373,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_10CB3972467DD6BB28CA,TARGET_NATIVE_11B5651A36CC28907C9C,"Green Equity Investors Side VII, L.P.",green equity investors side vii l p,2026-03-31,2026-03-31,SRC623,SRC623,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_11AE5E5DEE4F1C90DE8C,TARGET_FUND_0966,"TPG Growth III (A), L.P.",tpg growth iii a l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_123B14646AD9A4C59F21,TARGET_FUND_0807,"Paladin III (HR), L.P.",paladin iii hr l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1352B79BCF3A61707233,TARGET_FUND_0967,"TPG Partners VI, L.P.",tpg partners vi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_135743DF9F37EA5B9A85,TARGET_FUND_0974,"Trinity Ventures 2024, L.P.",trinity ventures 2024 l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1405275A2FBF9A05024B,TARGET_FUND_0399,Capiton VI GmbH & Co. Beteiligungs KG,capiton vi gmbh co beteiligungs kg,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_141B84866F621661D625,TARGET_NATIVE_AFBE5B35CCDA69C18368,PrimeStone Capital Fund ICAV,primestone capital fund icav,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1475126EC729AD1C5E5D,TARGET_FUND_0320,AUSTIN VENTURES X LP,austin ventures x lp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_170765EA1BFF92241472,TARGET_FUND_0614,"HCI Equity Partners EV I, L.P.",hci equity partners ev i l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_17151766ABC7164E7191,TARGET_FUND_0400,Capvis Equity IV L.P.,capvis equity iv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_178DCF127FF208C3FC73,TARGET_FUND_0621,"Hellman & Friedman Capital Partners VII, L.P.",hellman friedman capital partners vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_17B1D4CA09108B1B4994,TARGET_FUND_0950,"The Veritas Capital Fund VI, L.P.",the veritas capital fund vi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_192AD161D90A413FD40D,TARGET_CO_0035,Nvidia,nvidia,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1A23AACB1424549560E0,TARGET_FUND_0440,"Clearlake Opportunities Partners (P-Offshore), L.P.",clearlake opportunities partners p offshore l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1A80E9375F43AC7BA3A6,TARGET_FUND_0491,EQT VIII (No.1) SCSp,eqt viii no 1 scsp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1B175D9EBA00E16B6211,TARGET_FUND_0265,"ABRY Senior Equity V, L.P.",abry senior equity v l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1CBAAD896723E69C8496,TARGET_FUND_0340,"BC Life Sciences Private Investors, L.P.",bc life sciences private investors l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1DA8A8C692063B47C2C7,TARGET_FUND_0575,"H.I.G. Advantage Buyout Fund, L.P.",h i g advantage buyout fund l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1DF6A3E7795F4312A889,TARGET_FUND_0592,HANNATHON CIV LP,hannathon civ lp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1EB9DC23DDF2F997D985,TARGET_FUND_0402,"Carlyle Credit Opportunities Fund (Parallel), L.P.",carlyle credit opportunities fund parallel l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1EFD1100117CA316B9BD,TARGET_PRI_295B0E83273887292144,ALTHELIA - TO HELP LAUNCH THE SUSTAINABLE OCEAN FUND TO SUPPORT SUSTAINABLE FISHERIES AND OTHER MISSION-ALIGNED VENTURES THAT PROMOTE HEALTHY OCEANS.,althelia to help launch the sustainable ocean fund to support sustainable fisheries and other mission aligned ventures that promote healthy oceans,,,SRC373,SRC373,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1F15814BD61DE78EDD92,TARGET_FUND_0419,CCP Strider LP,ccp strider lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1F68EC345D4654269732,TARGET_FUND_0981,"Vector Capital V, L.P.",vector capital v l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1F93123794CEB62514F1,TARGET_FUND_0932,"TA Select Opportunities Fund-A, L.P.",ta select opportunities fund a l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_1F94C961C1B91E436575,TARGET_FUND_0963,"TowerBrook Investors III, L.P.",towerbrook investors iii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2024D0B2C41150B5B7DE,TARGET_FUND_0493,"Equistone Partners Europe Fund IV ""E"" L.P.",equistone partners europe fund iv e l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_203D902C170D1A5D5096,TARGET_DEBT_2B958330E1CF4738E9CD,CRC CF 5/4/2026,crc cf 5 4 2026,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2048DE8C60F9013991C0,TARGET_DEBT_0306840504858087D0D4,FNMA Single Family Mortgage 0% 1/2022,fnma single family mortgage 0 1 2022,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2078630DF4A225E154A2,TARGET_FUND_0993,"Warburg Pincus Private Equity XI, L.P.",warburg pincus private equity xi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_20CBA4F604895B92A6E5,TARGET_NATIVE_19F25DAA9A6A9F6CBFF8,"Portage Capital Solutions Intenational Fund I, L.P.",portage capital solutions intenational fund i l p,2025-12-31,2025-12-31,SRC624,SRC624,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_20CC9977E7F8430A2341,TARGET_NATIVE_7FA9D516BB3D2C9A963A,"Providence Strategic Growth II, L.P.",providence strategic growth ii l p,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_213FA2B422337639C985,TARGET_FUND_0438,"Clearlake Capital Partners VI, L.P.",clearlake capital partners vi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2279AF5192485497635F,TARGET_NATIVE_D6994C10576DA50680C1,"Portage Capital Solutions International Fund I, L.P.",portage capital solutions international fund i l p,2026-03-31,2026-03-31,SRC623,SRC623,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_231D963CE9283FBA68BE,TARGET_FUND_0844,RC III CKE LLC,rc iii cke llc,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_235638D96C850A8BFA2D,TARGET_FUND_0418,CCP Climb LP,ccp climb lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_23E7D90542663F1E2C3A,TARGET_NATIVE_96C138E157F1CE6F41AF,"OEP Jupiter, L.P.",oep jupiter l p,2026-03-31,2026-03-31,SRC623,SRC623,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_24357C1CC6E5F4AE11F1,TARGET_FUND_0349,"Berkshire Fund VIII (IND), L.P.",berkshire fund viii ind l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_244018301CEBD3D10B23,TARGET_NATIVE_7242B52A77C1AA722B9F,Sagard II-A FPCI and Sagard II-B FPCI,sagard ii a fpci and sagard ii b fpci,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2492268D1E9607C96C53,TARGET_FUND_0327,"Bain Capital Europe Fund V, SCSp",bain capital europe fund v scsp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_24A8ED8EC2C844E1EE2C,TARGET_NATIVE_84DD5562735A44E3E7F9,Sagard NewGen FPCI,sagard newgen fpci,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_252835A8A4EBF2E856C6,TARGET_FUND_0277,Advent International GPE VIII-C Limited Partnership,advent international gpe viii c limited partnership,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_25BEEC6F552862FBC0FE,TARGET_FUND_0813,PEP DEVELOPMENT OPPORTUNITIES FUND LP,pep development opportunities fund lp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_264B867E5421E4E64B7E,TARGET_FUND_0558,"Gryphon Mezzanine Partners, L.P.",gryphon mezzanine partners l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_265460F1275C2F7CA6E3,TARGET_FUND_0403,"Carlyle Europe Partners IV, L.P.",carlyle europe partners iv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_26C20F4F034860209BAB,TARGET_FUND_0965,"TPG Asia VI, L.P.",tpg asia vi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_26CDBA2BA177E29F3AE5,TARGET_FUND_1007,"Webster Equity Partners Bristol CF, L.P.",webster equity partners bristol cf l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_26F036564522871A73CD,TARGET_FUND_0763,"New Mountain SRC Rollover Fund, L.P.",new mountain src rollover fund l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2859949C532351131034,TARGET_FUND_0421,"CDRF8 Private Investors, LLC",cdrf8 private investors llc,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_28928BA8D22EDC91EACF,TARGET_FUND_0746,Mid Europa Fund V LP,mid europa fund v lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_298784C3C95FA309D18C,TARGET_FUND_0488,EQT INFRASTRUCTURE IV CO-INVESTMENT A SCSP,eqt infrastructure iv co investment a scsp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2A0646793C1B320D8B67,TARGET_FUND_0872,ROX II MED CENTER LP,rox ii med center lp,2025-06-30,2025-06-30,SRC356,SRC356,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2A07FA0EFD24DB6AA694,TARGET_FUND_0808,"Pamlico Capital III Continuation Fund, L.P.",pamlico capital iii continuation fund l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2AECB153712171270555,TARGET_FUND_0828,Providence Equity Partners VII L.P.,providence equity partners vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2B15F27F46D4F744F7E3,TARGET_FUND_0955,"Thoma Bravo Fund XV-A, L.P.",thoma bravo fund xv a l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2BBF4F4704550803843B,TARGET_FUND_0958,"Thomas H. Lee Parallel (Cayman) Fund VII, L.P.",thomas h lee parallel cayman fund vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2E4B48553F304B310307,TARGET_FUND_0566,"Gryphon Partners VI-A, L.P.",gryphon partners vi a l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2E59DE9927CB668D028D,TARGET_CO_0021,Nomura Global Financial Products Inc.,nomura global financial products inc,2025-12-31,2025-12-31,SRC407,SRC407,3,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2E9E99B5FF198F91B0F2,TARGET_FUND_0370,"BP ACE EV, L.P.",bp ace ev l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2ED8AE08D94A82A0A8E2,TARGET_FUND_0338,BC European Capital X-2 LP,bc european capital x 2 lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2FA7E3F0DFD991BD3C09,TARGET_FUND_0915,"Sterling Capital Partners IV, L.P.",sterling capital partners iv l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_2FABC3B9DD85AF175A7E,TARGET_FUND_0330,"Bain Capital Fund XI, L.P.",bain capital fund xi l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_30A1B4E41719C141B3BF,TARGET_NATIVE_3A5A90A1039C145FFB81,Peak Rock Capital Fund IV-C NUS,peak rock capital fund iv c nus,2025-12-31,2026-03-31,SRC624,SRC623,2,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_30E67DE577847A557AE4,TARGET_FUND_0609,"Harvest Partners Structured Capital Fund III, L.P.",harvest partners structured capital fund iii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_312DFD2A21DBAE8D9E43,TARGET_FUND_0425,Charterhouse Capital Partners IX,charterhouse capital partners ix,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_3353F790D27E74B68A25,TARGET_DEBT_246980F085C76364E4EB,United States Treasury Bond 1.75% 8/15/2041,united states treasury bond 1 75 8 15 2041,2021-12-31,2021-12-31,SRC192,SRC192,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_3358856D992C877C5638,TARGET_FUND_0650,Insight Equity II LP,insight equity ii lp,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_33606410A387860308D3,TARGET_FUND_0995,"Warburg Pincus Private Equity XII, L.P.",warburg pincus private equity xii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_33866882794E6F262983,TARGET_FUND_0328,"Bain Capital Fund VII, L.P.",bain capital fund vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_33B3404E8662B3638C70,TARGET_FUND_0809,"Parthenon Investors III, L.P.",parthenon investors iii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
TALIAS_3455EF05B0349D3754CE,TARGET_FUND_0968,"TPG Partners VII, L.P.",tpg partners vii l p,2025-12-31,2025-12-31,SRC407,SRC407,1,TARGET_PRINTED_NAME,PRINTED,,DERIVED,,ACTIVE
