lineage_id,record_type,record_id,field_name,value_raw,normalized_value,provenance_type,origin_type,source_holding_id,source_observation_id,source_document_id,source_sha256,source_page,source_table,source_row_label,source_column_label,source_occurrence,evidence_quote,definition_keys,pair_id,pair_status,adjudication_status,source_agents,source_review_decision_id,formula_id,parent_lineage_ids,matrix_rule_id,confidence_level,confidence_basis,effective_date,available_at,synthetic_parameter_set_id,notes
HFL_0019B18FBAFC00D1A19E,POSITION,POS_GENERATED_A5EFBC322A8305D4476A,fund_ownership_fraction,0.2000000000,0.2000000000,SYNTHETIC,COMPLETION,HOLDINT_4BAB8F5BD3CDE7349B32,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_4BAB8F5BD3CDE7349B32
HFL_001D2EF8A138BEF4A2E8,POSITION,POS_GENERATED_EF63A22D7BD28E493EC7,fund_ownership_fraction,0.2000000000,0.2000000000,SYNTHETIC,COMPLETION,HOLDINT_99AA3C4ED73F45581785,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_99AA3C4ED73F45581785
HFL_002C22597446E77E55F2,POSITION,POS_GENERATED_33183F175565A762037F,owner_id,OWNER_FUND_0051,OWNER_FUND_0051,SYNTHETIC,COMPLETION,HOLDINT_0BD6B18EC1893A0ED81F,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_0BD6B18EC1893A0ED81F
HFL_0033C8F577CEFFA6DC58,POSITION,POS_GENERATED_F142164AE50A6444740A,owner_id,OWNER_FUND_0840,OWNER_FUND_0840,SYNTHETIC,COMPLETION,HOLDINT_CBCA8F56F43FEA66CC79,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_CBCA8F56F43FEA66CC79
HFL_0034EFFB104EE0B45CD2,POSITION,POS_GENERATED_4A83778650397A447605,fair_value,11674225.200347,11674225.200347,SYNTHETIC,COMPLETION,HOLDINT_5FB9A16CD2C7C61BB07B,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_5FB9A16CD2C7C61BB07B
HFL_0035521F4608B526F2EC,POSITION,POS_GENERATED_B73BC0DCD82B63D5C235,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_07D26397CDCF40D5EDD6,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_07D26397CDCF40D5EDD6
HFL_0038823992D2741BF0DF,POSITION,POS_SOURCE_97CCFB0862C6427BB6A0,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,cc0e8e7cee23974b8e1d,71c622e7f93552e78d9d,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,5,Consolidated Schedule of Investments,"Lee Equity Partners Fund II, L.P.",Cost,1,"Lee Equity Partners Fund II, L.P.(d)(f)(g) North America 03/28/2024 7,676,157 3,729,595",,PAIR_065D0495285299568EFB37FE,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_003F0E0B53BD684AFD0A,INSTRUMENT,INSTR_SOURCE_C426A9FB13CA4724DEF3,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,e2144fa6f4e7664be9e9,7ad4b585d3f914ae66e9,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,5,Consolidated Schedule of Investments,Permira IV Feeder L.P.,Cost,1,"Permira IV Feeder L.P.(f)(g) North America 04/23/2020 3,367,755 7,038,173",,PAIR_65824EE1221ADA0D7FCBA55B,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_0040C500FAD084138B39,POSITION,POS_GENERATED_0ECE8A2BEE5AD1CFEDFA,owner_id,OWNER_FUND_0969,OWNER_FUND_0969,SYNTHETIC,COMPLETION,HOLDINT_30CF556E2578A7D2D477,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_30CF556E2578A7D2D477
HFL_00444D14F02313C107AA,POSITION,POS_GENERATED_2051389FC54E496E32DC,owner_id,OWNER_FUND_0024,OWNER_FUND_0024,SYNTHETIC,COMPLETION,HOLDINT_5F3423F4304D40EEFE89,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_5F3423F4304D40EEFE89
HFL_00507426B95BFD7F385D,POSITION,POS_GENERATED_7F03E77C5220D9122187,fair_value,2175600.000000,2175600.000000,SYNTHETIC,COMPLETION,HOLDINT_FEDB1F62ABAA9F4E6E88,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_FEDB1F62ABAA9F4E6E88
HFL_0050BFD3448E5AA99E4C,POSITION,POS_SOURCE_583087ECE96C925242C1,cost,"984,319",984319,EXTRACTED,DIRECT_SOURCE,7b7274aaa08acdf5edb2,2b53751937690dc76e7b,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,2,Consolidated Schedule of Investments,BC European Capital X-7 LP,Cost,1,"BC European Capital X-7 LP(f)(g) Europe 03/28/2024 984,319 904,794",,PAIR_0395942869BA81FD9C5C2EF9,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_0051116FBB145A9A5401,POSITION,POS_GENERATED_1F750423D6C73365EA08,owner_id,OWNER_FUND_1027,OWNER_FUND_1027,SYNTHETIC,COMPLETION,HOLDINT_BF733A66A0DBB3DB8732,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_BF733A66A0DBB3DB8732
HFL_0052C672B4FAEF42A043,POSITION,POS_GENERATED_65B0FC54B322568A1606,position_class,DIRECT_COMPANY,DIRECT_COMPANY,SYNTHETIC,COMPLETION,HOLDINT_FB486B9BD94AB3A41BD2,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_FB486B9BD94AB3A41BD2
HFL_0054521184B7186A4C13,POSITION,POS_GENERATED_C7F7D7EE94035B9E1885,cost,27039130.434783,27039130.434783,SYNTHETIC,COMPLETION,HOLDINT_CD7EDA2DD47805202D00,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_CD7EDA2DD47805202D00
HFL_006272ED6AAF65873A95,POSITION,POS_SOURCE_F3E5B3DE8F5BD9DE03CD,acquisition_channel,Early Secondary Investments,SECONDARY,DERIVED,MATRIX_NORMALIZATION,940cc54cd89fb67bd5fc,1edc9ae84dd5fdfb60eb,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,1,Consolidated Schedule of Investments,"VSS Structured Capital Parallel III, L.P.",Cost,1,"VSS Structured Capital Parallel III, L.P.(d)(f) North America 01/26/2018 2,973,298 2,810,624",,PAIR_0F639BC35B295D5A5A86CF0A,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,ACQUISITION_CHANNEL_HEADING_V1,HIGH,schedule heading in fact_observation.strategy,,,,
HFL_0065850A619B20DA6146,POSITION,POS_GENERATED_9237540D12AA5D505BDB,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_76341E276E8E1BCF50E5,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_76341E276E8E1BCF50E5
HFL_0068BD81B3082FB7E019,POSITION,POS_GENERATED_C352B3C1F9343339AC7C,fair_value,1225000.000000,1225000.000000,SYNTHETIC,COMPLETION,HOLDINT_6FD54B0FAD70E0899F53,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_6FD54B0FAD70E0899F53
HFL_006E95674C677A2DDBB2,POSITION,POS_GENERATED_ADA7ACB7821019113905,fair_value,2574990.784203,2574990.784203,SYNTHETIC,COMPLETION,HOLDINT_59D47D19931A971589A1,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_59D47D19931A971589A1
HFL_0070F11491C3AD6C1AA2,POSITION,POS_GENERATED_6DACAA99BFFFC158E9F8,fair_value,192238457.457806,192238457.457806,SYNTHETIC,COMPLETION,HOLDINT_DC31F96072E2ED9D1981,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_DC31F96072E2ED9D1981
HFL_00740C6D82A70C15A0F0,POSITION,POS_GENERATED_B404CC8C15F794E102BA,cost,31087948.916464,31087948.916464,SYNTHETIC,COMPLETION,HOLDINT_A514343E8A3B69E2D86D,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_A514343E8A3B69E2D86D
HFL_00750B476DBC180D474B,POSITION,POS_GENERATED_D6B5F55A65E634747239,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_3FC1839E06C1E4E5C364,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_3FC1839E06C1E4E5C364
HFL_007C13D19E7E4E52EB74,POSITION,POS_GENERATED_2A57C279FE1572604C03,position_class,DIRECT_COMPANY,DIRECT_COMPANY,SYNTHETIC,COMPLETION,HOLDINT_8907E1880DAB2AB4C377,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_8907E1880DAB2AB4C377
HFL_007F8FF6F0FCD5C936BC,POSITION,POS_GENERATED_7F7D73C7F1189E6601BD,cost,26486380.610694,26486380.610694,SYNTHETIC,COMPLETION,HOLDINT_607EEA850F79384DC7CE,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_607EEA850F79384DC7CE
HFL_00802FC821231919C2D5,POSITION,POS_GENERATED_E39904B0072E3BB269DD,fund_ownership_fraction,0.2000000000,0.2000000000,SYNTHETIC,COMPLETION,HOLDINT_390BBF08F99FCC6997A6,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_390BBF08F99FCC6997A6
HFL_008660B9C5211BBD3636,POSITION,POS_GENERATED_8060E89E62EB4BCF8943,cost,42494191.722715,42494191.722715,SYNTHETIC,COMPLETION,HOLDINT_06B550324DE5F73A3573,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_06B550324DE5F73A3573
HFL_0087460CA367D7E0CF9A,POSITION,POS_GENERATED_A38131640D54B083F226,cost,39452000.000000,39452000.000000,SYNTHETIC,COMPLETION,HOLDINT_BE56BCB26E189FDC5E21,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_BE56BCB26E189FDC5E21
HFL_0089E213FFDB77387547,POSITION,POS_SOURCE_7236C9EA03C74DCFF50C,fair_value,"133,480",133480,EXTRACTED,DIRECT_SOURCE,653146d2ff0e2cb69b92,5444beec7eaaa900b103,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,"Equistone Partners Europe Fund IV ""E"" L.P.",Fair Value,1,"Equistone Partners Europe Fund IV ""E"" L.P.(f)(g) Europe 12/31/2021 443,182 133,480",,PAIR_DE3FBA1CA85ED449704502FB,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_008CAD9CB905D6514EA3,INSTRUMENT,INSTR_SOURCE_10D5BB6BE9BDC1C86A0D,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,1c3fac71242bfc33b10f,330741bf3fa89e37d2a5,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,2,Consolidated Schedule of Investments,Apax IX USD L.P.,Fair Value,1,"Apax IX USD L.P.(f)(g) Europe 10/19/2023 12,913,267 9,743,693",,PAIR_B5D67A6D4AE49EF4CF59D638,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_008D8E70701291737B8A,POSITION,POS_GENERATED_27C92D25B6B990ECC4B6,owner_id,OWNER_FUND_0762,OWNER_FUND_0762,SYNTHETIC,COMPLETION,HOLDINT_EF0D250212398F49419F,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_EF0D250212398F49419F
HFL_0096B255A8655C0A5C6A,POSITION,POS_GENERATED_293C0DE22E020B651840,cost,295278.260870,295278.260870,SYNTHETIC,COMPLETION,HOLDINT_0F9382A37ABEAEEFBF57,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_0F9382A37ABEAEEFBF57
HFL_0097B37BED9FC78062E2,POSITION,POS_GENERATED_3B3628A2C2F78AB86ED7,fair_value,86593091.550970,86593091.550970,SYNTHETIC,COMPLETION,HOLDINT_3C25879D154A2EC1FE66,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_3C25879D154A2EC1FE66
HFL_009AC4EAFC6237FE8E52,POSITION,POS_SOURCE_07E3B377C78B4BD36739,cost,"$1,272,869",1272869,EXTRACTED,DIRECT_SOURCE,c1c51db822db16035d1a,44c55cda419a4d99869f,SRC624,c4a66a28478c1861fff90eb921d1d92380e24d4382f2fa38c8b5be45cd99e2ba,table-001,Consolidated Schedule of Investments,Bregal Unternehmerkapital IV-B SCSp,Cost Value,1,"Bregal Unternehmerkapital IV-B SCSp $1,272,869",4|5|6|7,,NATIVE_DIRECT,RESOLVED,NATIVE_HTML,,,,,HIGH,Accepted source observation,,,,
HFL_009DE15FC3EBE4A9A1AF,POSITION,POS_GENERATED_F3BFFE6D7C2B94DE7530,owner_id,OWNER_FUND_0153,OWNER_FUND_0153,SYNTHETIC,COMPLETION,HOLDINT_DFA0EE3D04E30D9F9657,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_DFA0EE3D04E30D9F9657
HFL_00A20A38252A781D694D,POSITION,POS_GENERATED_B15F0DF4425336114E70,fund_ownership_fraction,0.1500000000,0.1500000000,SYNTHETIC,COMPLETION,HOLDINT_F5A5ECF21A3AC732085E,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_F5A5ECF21A3AC732085E
HFL_00A35D74CBD5B83FAA73,POSITION,POS_GENERATED_F6CF912502377424373D,position_class,DIRECT_COMPANY,DIRECT_COMPANY,SYNTHETIC,COMPLETION,HOLDINT_A883CD993DBDE6340ED4,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_A883CD993DBDE6340ED4
HFL_00A5315AC356C75CBCE2,POSITION,POS_GENERATED_30D8DA682D19F61FDEBE,owner_id,OWNER_FUND_0956,OWNER_FUND_0956,SYNTHETIC,COMPLETION,HOLDINT_4F2512980B2E9C8EBBCA,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_4F2512980B2E9C8EBBCA
HFL_00AA76707F11CD7398E8,POSITION,POS_GENERATED_E37A57862DFB20FDEA7D,fair_value,55409727.506521,55409727.506521,SYNTHETIC,COMPLETION,HOLDINT_5D1E52EC6749C6B0FD9A,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_5D1E52EC6749C6B0FD9A
HFL_00AEB68365044E3AA3A6,POSITION,POS_GENERATED_593DCE3DCDE14BF35691,owner_id,OWNER_FUND_0911,OWNER_FUND_0911,SYNTHETIC,COMPLETION,HOLDINT_87CB15D08B55F6B049A3,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_87CB15D08B55F6B049A3
HFL_00B41479B6B433C7AC90,POSITION,POS_GENERATED_56403271CF4767BD6F06,fair_value,43313022.541661,43313022.541661,SYNTHETIC,COMPLETION,HOLDINT_D9778B717C6A498C873F,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_D9778B717C6A498C873F
HFL_00B5C4C19AC34EFC4172,POSITION,POS_GENERATED_FACCDF96EE006CF4C540,owner_id,OWNER_FUND_0270,OWNER_FUND_0270,SYNTHETIC,COMPLETION,HOLDINT_978168D9BEDCF9ABAE1E,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_978168D9BEDCF9ABAE1E
HFL_00B6BC2DA64E61322747,POSITION,POS_GENERATED_1662A02CE786B02F4D2A,fair_value,49943273.187805,49943273.187805,SYNTHETIC,COMPLETION,HOLDINT_8ACA6B62C733AA720232,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_8ACA6B62C733AA720232
HFL_00B9E05D3A00E1DB45CD,POSITION,POS_GENERATED_4E0D082DB25C747691B8,fair_value,12326865.915578,12326865.915578,SYNTHETIC,COMPLETION,HOLDINT_215521E2F32D57E18C3F,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_215521E2F32D57E18C3F
HFL_00BCABD2821A44D56008,POSITION,POS_GENERATED_3F9D0521804C0DCCCF26,fair_value,65984724.341901,65984724.341901,SYNTHETIC,COMPLETION,HOLDINT_E439F5211E578DD3B220,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_E439F5211E578DD3B220
HFL_00BF3B190ED7C20562D2,POSITION,POS_GENERATED_3D691C7E8D37644B1EAE,fair_value,2779795.609740,2779795.609740,SYNTHETIC,COMPLETION,HOLDINT_228B6E79303C08638D96,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_228B6E79303C08638D96
HFL_00C399FFF21DAFC0DC2E,POSITION,POS_GENERATED_C7093F66C97F42E0EF2E,position_class,DIRECT_COMPANY,DIRECT_COMPANY,SYNTHETIC,COMPLETION,HOLDINT_7AFD5BCD4CE72348D707,,,,,,,,,,,,,,,,,,,HIGH,Generated fund_holdings row,,,INTEGRATED_COMPLETION_V1,compatibility holding HOLDINT_7AFD5BCD4CE72348D707
HFL_00C47279D4CA26BFCF95,POSITION,POS_SOURCE_EF9074BC5705867F95EE,acquisition_channel,Secondary Investments,SECONDARY,DERIVED,MATRIX_NORMALIZATION,78731acbc922d8bfe85f,07c196c46dc331d4a24a,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,4,Consolidated Schedule of Investments,"Insight Venture Partners VIII, L.P.",Fair Value,1,"Insight Venture Partners VIII, L.P.(d)(f)(g) North America 06/30/2015 2,024,605 2,988,784",,PAIR_D441F46C6A29735D800157D2,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,ACQUISITION_CHANNEL_HEADING_V1,HIGH,schedule heading in fact_observation.strategy,,,,
HFL_00C4F8DD680A87B95CA9,POSITION,POS_SOURCE_667321BDC3DDFCE9D7F8,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,bd66581b2243460bdf2f,7abc0e253cab18ecf56a,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,1,Consolidated Schedule of Investments,"ABS Capital Partners IX, L.P.",Fair Value,1,"ABS Capital Partners IX, L.P.(d)(f)(g) North America 03/25/2024 1,335,119 1,550,645",,PAIR_505002B20D66C0E8C66F5556,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
