level,record_id,status,primary_reason,additional_reasons,source_ids,evidence_ids
fund,FUND_SYNTH_000044,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000044_20260630""]","[""SYNTH:FUND_SYNTH_000044:FP_FUND_SYNTH_000044_20260630""]"
fund,FUND_SYNTH_000045,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000046,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000046_20260630""]","[""SYNTH:FUND_SYNTH_000046:FP_FUND_SYNTH_000046_20260630""]"
fund,FUND_SYNTH_000047,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000048,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000048_20260630""]","[""SYNTH:FUND_SYNTH_000048:FP_FUND_SYNTH_000048_20260630""]"
fund,FUND_SYNTH_000049,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000049_20260630""]","[""SYNTH:FUND_SYNTH_000049:FP_FUND_SYNTH_000049_20260630""]"
fund,FUND_SYNTH_000050,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000050_20260630""]","[""SYNTH:FUND_SYNTH_000050:FP_FUND_SYNTH_000050_20260630""]"
fund,FUND_SYNTH_000051,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000051_20260630""]","[""SYNTH:FUND_SYNTH_000051:FP_FUND_SYNTH_000051_20260630""]"
fund,FUND_SYNTH_000052,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=4"",""peer_managers=4""]","[""FP_FUND_SYNTH_000052_20260630""]","[""SYNTH:FUND_SYNTH_000052:FP_FUND_SYNTH_000052_20260630""]"
fund,FUND_SYNTH_000053,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=0"",""peer_managers=0""]","[""FP_FUND_SYNTH_000053_20260630""]","[""SYNTH:FUND_SYNTH_000053:FP_FUND_SYNTH_000053_20260630""]"
fund,FUND_SYNTH_000054,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000054_20260630""]","[""SYNTH:FUND_SYNTH_000054:FP_FUND_SYNTH_000054_20260630""]"
fund,FUND_SYNTH_000055,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000055_20260630""]","[""SYNTH:FUND_SYNTH_000055:FP_FUND_SYNTH_000055_20260630""]"
fund,FUND_SYNTH_000056,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000056_20260630""]","[""SYNTH:FUND_SYNTH_000056:FP_FUND_SYNTH_000056_20260630""]"
fund,FUND_SYNTH_000057,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000057_20260630""]","[""SYNTH:FUND_SYNTH_000057:FP_FUND_SYNTH_000057_20260630""]"
fund,FUND_SYNTH_000058,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=0"",""peer_managers=0""]","[""FP_FUND_SYNTH_000058_20260630""]","[""SYNTH:FUND_SYNTH_000058:FP_FUND_SYNTH_000058_20260630""]"
fund,FUND_SYNTH_000059,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000059_20260630""]","[""SYNTH:FUND_SYNTH_000059:FP_FUND_SYNTH_000059_20260630""]"
fund,FUND_SYNTH_000060,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000060_20260630""]","[""SYNTH:FUND_SYNTH_000060:FP_FUND_SYNTH_000060_20260630""]"
fund,FUND_SYNTH_000061,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=2"",""peer_managers=2""]","[""FP_FUND_SYNTH_000061_20260630""]","[""SYNTH:FUND_SYNTH_000061:FP_FUND_SYNTH_000061_20260630""]"
fund,FUND_SYNTH_000062,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000062_20260630""]","[""SYNTH:FUND_SYNTH_000062:FP_FUND_SYNTH_000062_20260630""]"
fund,FUND_SYNTH_000063,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=0"",""peer_managers=0""]","[""FP_FUND_SYNTH_000063_20260630""]","[""SYNTH:FUND_SYNTH_000063:FP_FUND_SYNTH_000063_20260630""]"
fund,FUND_SYNTH_000064,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000064_20260630""]","[""SYNTH:FUND_SYNTH_000064:FP_FUND_SYNTH_000064_20260630""]"
fund,FUND_SYNTH_000065,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000065_20260630""]","[""SYNTH:FUND_SYNTH_000065:FP_FUND_SYNTH_000065_20260630""]"
fund,FUND_SYNTH_000066,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000066_20260630""]","[""SYNTH:FUND_SYNTH_000066:FP_FUND_SYNTH_000066_20260630""]"
fund,FUND_SYNTH_000067,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000067_20260630""]","[""SYNTH:FUND_SYNTH_000067:FP_FUND_SYNTH_000067_20260630""]"
fund,FUND_SYNTH_000068,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000068_20260630""]","[""SYNTH:FUND_SYNTH_000068:FP_FUND_SYNTH_000068_20260630""]"
fund,FUND_SYNTH_000069,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000069_20260630""]","[""SYNTH:FUND_SYNTH_000069:FP_FUND_SYNTH_000069_20260630""]"
fund,FUND_SYNTH_000070,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=3"",""peer_managers=3""]","[""FP_FUND_SYNTH_000070_20260630""]","[""SYNTH:FUND_SYNTH_000070:FP_FUND_SYNTH_000070_20260630""]"
fund,FUND_SYNTH_000071,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000071_20260630""]","[""SYNTH:FUND_SYNTH_000071:FP_FUND_SYNTH_000071_20260630""]"
fund,FUND_SYNTH_000072,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000073,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000073_20260630""]","[""SYNTH:FUND_SYNTH_000073:FP_FUND_SYNTH_000073_20260630""]"
fund,FUND_SYNTH_000074,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000074_20260630""]","[""SYNTH:FUND_SYNTH_000074:FP_FUND_SYNTH_000074_20260630""]"
fund,FUND_SYNTH_000075,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000076,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000076_20260630""]","[""SYNTH:FUND_SYNTH_000076:FP_FUND_SYNTH_000076_20260630""]"
fund,FUND_SYNTH_000077,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=4"",""peer_managers=4""]","[""FP_FUND_SYNTH_000077_20260630""]","[""SYNTH:FUND_SYNTH_000077:FP_FUND_SYNTH_000077_20260630""]"
fund,FUND_SYNTH_000078,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=0"",""peer_managers=0""]","[""FP_FUND_SYNTH_000078_20260630""]","[""SYNTH:FUND_SYNTH_000078:FP_FUND_SYNTH_000078_20260630""]"
fund,FUND_SYNTH_000079,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000079_20260630""]","[""SYNTH:FUND_SYNTH_000079:FP_FUND_SYNTH_000079_20260630""]"
fund,FUND_SYNTH_000080,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=4"",""peer_managers=4""]","[""FP_FUND_SYNTH_000080_20260630""]","[""SYNTH:FUND_SYNTH_000080:FP_FUND_SYNTH_000080_20260630""]"
fund,FUND_SYNTH_000081,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000081_20260630""]","[""SYNTH:FUND_SYNTH_000081:FP_FUND_SYNTH_000081_20260630""]"
fund,FUND_SYNTH_000082,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=3"",""peer_managers=3""]","[""FP_FUND_SYNTH_000082_20260630""]","[""SYNTH:FUND_SYNTH_000082:FP_FUND_SYNTH_000082_20260630""]"
fund,FUND_SYNTH_000083,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=4"",""peer_managers=4""]","[""FP_FUND_SYNTH_000083_20260630""]","[""SYNTH:FUND_SYNTH_000083:FP_FUND_SYNTH_000083_20260630""]"
fund,FUND_SYNTH_000084,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000085,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000085_20260630""]","[""SYNTH:FUND_SYNTH_000085:FP_FUND_SYNTH_000085_20260630""]"
fund,FUND_SYNTH_000086,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000086_20260630""]","[""SYNTH:FUND_SYNTH_000086:FP_FUND_SYNTH_000086_20260630""]"
fund,FUND_SYNTH_000087,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000087_20260630""]","[""SYNTH:FUND_SYNTH_000087:FP_FUND_SYNTH_000087_20260630""]"
fund,FUND_SYNTH_000088,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000088_20260630""]","[""SYNTH:FUND_SYNTH_000088:FP_FUND_SYNTH_000088_20260630""]"
fund,FUND_SYNTH_000089,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000089_20260630""]","[""SYNTH:FUND_SYNTH_000089:FP_FUND_SYNTH_000089_20260630""]"
fund,FUND_SYNTH_000090,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000090_20260630""]","[""SYNTH:FUND_SYNTH_000090:FP_FUND_SYNTH_000090_20260630""]"
fund,FUND_SYNTH_000091,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000092,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000092_20260630""]","[""SYNTH:FUND_SYNTH_000092:FP_FUND_SYNTH_000092_20260630""]"
fund,FUND_SYNTH_000093,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000094,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000095,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000095_20260630""]","[""SYNTH:FUND_SYNTH_000095:FP_FUND_SYNTH_000095_20260630""]"
fund,FUND_SYNTH_000096,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000096_20260630""]","[""SYNTH:FUND_SYNTH_000096:FP_FUND_SYNTH_000096_20260630""]"
fund,FUND_SYNTH_000097,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000097_20260630""]","[""SYNTH:FUND_SYNTH_000097:FP_FUND_SYNTH_000097_20260630""]"
fund,FUND_SYNTH_000098,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000099,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=2"",""peer_managers=2""]","[""FP_FUND_SYNTH_000099_20260630""]","[""SYNTH:FUND_SYNTH_000099:FP_FUND_SYNTH_000099_20260630""]"
fund,FUND_SYNTH_000100,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000100_20260630""]","[""SYNTH:FUND_SYNTH_000100:FP_FUND_SYNTH_000100_20260630""]"
fund,FUND_SYNTH_000101,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000101_20260630""]","[""SYNTH:FUND_SYNTH_000101:FP_FUND_SYNTH_000101_20260630""]"
fund,FUND_SYNTH_000102,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000102_20260630""]","[""SYNTH:FUND_SYNTH_000102:FP_FUND_SYNTH_000102_20260630""]"
fund,FUND_SYNTH_000103,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000103_20260630""]","[""SYNTH:FUND_SYNTH_000103:FP_FUND_SYNTH_000103_20260630""]"
fund,FUND_SYNTH_000104,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000104_20260630""]","[""SYNTH:FUND_SYNTH_000104:FP_FUND_SYNTH_000104_20260630""]"
fund,FUND_SYNTH_000105,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000105_20260630""]","[""SYNTH:FUND_SYNTH_000105:FP_FUND_SYNTH_000105_20260630""]"
fund,FUND_SYNTH_000106,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000106_20260630""]","[""SYNTH:FUND_SYNTH_000106:FP_FUND_SYNTH_000106_20260630""]"
fund,FUND_SYNTH_000107,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000108,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000109,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000110,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=5"",""peer_managers=5""]","[""FP_FUND_SYNTH_000110_20260630""]","[""SYNTH:FUND_SYNTH_000110:FP_FUND_SYNTH_000110_20260630""]"
fund,FUND_SYNTH_000111,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000111_20260630""]","[""SYNTH:FUND_SYNTH_000111:FP_FUND_SYNTH_000111_20260630""]"
fund,FUND_SYNTH_000112,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000112_20260630""]","[""SYNTH:FUND_SYNTH_000112:FP_FUND_SYNTH_000112_20260630""]"
fund,FUND_SYNTH_000113,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000113_20260630""]","[""SYNTH:FUND_SYNTH_000113:FP_FUND_SYNTH_000113_20260630""]"
fund,FUND_SYNTH_000114,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000114_20260630""]","[""SYNTH:FUND_SYNTH_000114:FP_FUND_SYNTH_000114_20260630""]"
fund,FUND_SYNTH_000115,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000115_20260630""]","[""SYNTH:FUND_SYNTH_000115:FP_FUND_SYNTH_000115_20260630""]"
fund,FUND_SYNTH_000116,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000116_20260630""]","[""SYNTH:FUND_SYNTH_000116:FP_FUND_SYNTH_000116_20260630""]"
fund,FUND_SYNTH_000117,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000117_20260630""]","[""SYNTH:FUND_SYNTH_000117:FP_FUND_SYNTH_000117_20260630""]"
fund,FUND_SYNTH_000118,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000118_20260630""]","[""SYNTH:FUND_SYNTH_000118:FP_FUND_SYNTH_000118_20260630""]"
fund,FUND_SYNTH_000119,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000119_20260630""]","[""SYNTH:FUND_SYNTH_000119:FP_FUND_SYNTH_000119_20260630""]"
fund,FUND_SYNTH_000120,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000121,EXCLUDED,STALE_OR_NO_COMMON_DATE,[],[],[]
fund,FUND_SYNTH_000122,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000122_20260630""]","[""SYNTH:FUND_SYNTH_000122:FP_FUND_SYNTH_000122_20260630""]"
fund,FUND_SYNTH_000123,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000123_20260630""]","[""SYNTH:FUND_SYNTH_000123:FP_FUND_SYNTH_000123_20260630""]"
fund,FUND_SYNTH_000124,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000124_20260630""]","[""SYNTH:FUND_SYNTH_000124:FP_FUND_SYNTH_000124_20260630""]"
fund,FUND_SYNTH_000125,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000125_20260630""]","[""SYNTH:FUND_SYNTH_000125:FP_FUND_SYNTH_000125_20260630""]"
fund,FUND_SYNTH_000126,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=1"",""peer_managers=1""]","[""FP_FUND_SYNTH_000126_20260630""]","[""SYNTH:FUND_SYNTH_000126:FP_FUND_SYNTH_000126_20260630""]"
fund,FUND_SYNTH_000127,EXCLUDED,PEERS_INSUFFICIENT,"[""peer_funds=5"",""peer_managers=5""]","[""FP_FUND_SYNTH_000127_20260630""]","[""SYNTH:FUND_SYNTH_000127:FP_FUND_SYNTH_000127_20260630""]"
fund,FUND_SYNTH_000128,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000128_20260630""]","[""SYNTH:FUND_SYNTH_000128:FP_FUND_SYNTH_000128_20260630""]"
fund,FUND_SYNTH_000129,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000129_20260630""]","[""SYNTH:FUND_SYNTH_000129:FP_FUND_SYNTH_000129_20260630""]"
fund,FUND_SYNTH_000130,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000130_20260630""]","[""SYNTH:FUND_SYNTH_000130:FP_FUND_SYNTH_000130_20260630""]"
fund,FUND_SYNTH_000131,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000131_20260630""]","[""SYNTH:FUND_SYNTH_000131:FP_FUND_SYNTH_000131_20260630""]"
fund,FUND_SYNTH_000132,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000132_20260630""]","[""SYNTH:FUND_SYNTH_000132:FP_FUND_SYNTH_000132_20260630""]"
fund,FUND_SYNTH_000133,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000133_20260630""]","[""SYNTH:FUND_SYNTH_000133:FP_FUND_SYNTH_000133_20260630""]"
fund,FUND_SYNTH_000134,EXCLUDED,MINIMUM_MATURITY_NOT_MET,[],"[""FP_FUND_SYNTH_000134_20260630""]","[""SYNTH:FUND_SYNTH_000134:FP_FUND_SYNTH_000134_20260630""]"
fund,FUND_SYNTH_000135,SELECTED,RANKABLE_FUND,[],"[""FP_FUND_SYNTH_000135_20260630""]","[""SYNTH:FUND_SYNTH_000135:FP_FUND_SYNTH_000135_20260630""]"
