candidate_id,expansion_document_id,folder,proposed_doc_type,title,source_format,source_url,filename,priority,status,validation_status,validated_content_type,validated_page_count,validation_note,resolved_url
EXP-011,EXPDOC-011,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Suggested Guidance,pdf,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf,ilpa-capital-call-distribution-guidance.pdf,P0,DISCOVERED,LIVE_VALIDATED,application/pdf,26,Capital call/distribution reporting guidance; transaction amounts and unfunded commitment changes,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf
EXP-012,EXPDOC-012,ilpa,Portfolio_Company_Report,DRAFT ILPA Portfolio Company Template 2026,xlsx,https://ilpa.org/wp-content/uploads/2026/07/ILPA-Portfolio-Company-Template_Comment-PeriodvF.xlsx,ilpa-portfolio-company-template-2026-draft.xlsx,P0,DISCOVERED,LIVE_VALIDATED,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,"Portfolio-company look-through; ownership, cost, fair value, IRR/MOIC, EBITDA, revenue, debt, EV, M&A",https://ilpa.org/wp-content/uploads/2026/07/ILPA-Portfolio-Company-Template_Comment-PeriodvF.xlsx
EXP-013,EXPDOC-013,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Template Examples,xlsx,https://ilpa.org/wp-content/uploads/2025/09/ILPA-CCD-Template-Examples-1.xlsx,ilpa-ccd-template-examples.xlsx,P0,DISCOVERED,LIVE_VALIDATED,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Capital-call/distribution examples for cash-flow reconstruction,https://ilpa.org/wp-content/uploads/2025/09/ILPA-CCD-Template-Examples-1.xlsx
EXP-014,EXPDOC-014,ilpa,Continuation_Fund,ILPA Continuation Fund Disclosure Template,docx,https://go.ilpa.org/l/224412/2026-01-27/2b9x3n,ilpa-continuation-fund-disclosure-template.docx,P0,DISCOVERED,LIVE_VALIDATED,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Redirect resolves to ILPA Continuation Fund Disclosure Template DOCX,https://ilpa.org/wp-content/uploads/2026/01/ILPA-Continuation-Fund-Disclosure-Template.docx
EXP-015,EXPDOC-015,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Template v2,xlsx,https://go.ilpa.org/l/224412/2025-09-11/27t2sj,ilpa-capital-call-distribution-template-v2.xlsx,P0,DISCOVERED,LIVE_VALIDATED,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Redirect resolves to ILPA Capital Call & Distribution Template v2 XLSX,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Capital-Call-Distribution-Template-v.-2.0.xlsx
EXP-016,EXPDOC-016,sec-filings,Financials,Carlyle AlpInvest Private Markets Secondaries Fund N-CSR 2026,html,https://www.sec.gov/Archives/edgar/data/2058263/000205826326000005/caps_202603xn-csr.htm,carlyle-alpinvest-secondaries-ncsr-2026.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Carlyle AlpInvest Secondaries N-CSR; schedule of investments, acquisition date, cost, fair value",https://www.sec.gov/Archives/edgar/data/2058263/000205826326000005/caps_202603xn-csr.htm
EXP-017,EXPDOC-017,sec-filings,Schedule_Inv,Carlyle AlpInvest Private Markets Secondaries Fund NPORT-EX 2025-12,html,https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/CAPS_2025.12_N-PORT_PART_F.htm,carlyle-alpinvest-secondaries-nport-ex-2025-12.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,Carlyle AlpInvest Secondaries NPORT-EX; private equity schedule,https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/CAPS_2025.12_N-PORT_PART_F.htm
EXP-018,EXPDOC-018,sec-filings,Schedule_Inv,Carlyle AlpInvest Private Markets Secondaries Fund NPORT-P 2025-12,xml,https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/primary_doc.xml,carlyle-alpinvest-secondaries-nport-p-2025-12.xml,P0,DISCOVERED,LIVE_VALIDATED,text/xml,,"Carlyle AlpInvest NPORT-P; machine-readable issuer, value, portfolio percentage",https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/primary_doc.xml
EXP-019,EXPDOC-019,sec-filings,PPM,Carlyle AlpInvest Private Markets Secondaries Fund Prospectus 2026-07,html,https://www.sec.gov/Archives/edgar/data/2058263/000139834426013055/fp0100147-1_486bposixbrl.htm,carlyle-alpinvest-secondaries-prospectus-2026-07.html,P1,DISCOVERED,LIVE_VALIDATED,text/html,,"Carlyle AlpInvest prospectus; secondaries strategy, repurchase, valuation, unfunded, leverage, fees",https://www.sec.gov/Archives/edgar/data/2058263/000139834426013055/fp0100147-1_486bposixbrl.htm
EXP-020,EXPDOC-020,sec-filings,Financials,Coller Secondaries Private Equity Opportunities Fund N-CSR 2026,html,https://www.sec.gov/Archives/edgar/data/1969180/000110465926070882/tm266851d1_ncsr.htm,coller-secondaries-ncsr-2026.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Coller N-CSR; underlying funds, acquisition date, cost, fair value, NAV %, unfunded commitments",https://www.sec.gov/Archives/edgar/data/1969180/000110465926070882/tm266851d1_ncsr.htm
EXP-021,EXPDOC-021,sec-filings,Schedule_Inv,Coller Secondaries Private Equity Opportunities Fund NPORT-EX 2025-12,html,https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/NPORT_CZVC_38764804_1225.htm,coller-secondaries-nport-ex-2025-12.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Coller NPORT-EX; private-market holdings, underlying funds, portfolio-company data, cost/fair value",https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/NPORT_CZVC_38764804_1225.htm
EXP-022,EXPDOC-022,sec-filings,Schedule_Inv,Coller Secondaries Private Equity Opportunities Fund NPORT-P 2025-12,xml,https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/primary_doc.xml,coller-secondaries-nport-p-2025-12.xml,P0,DISCOVERED,LIVE_VALIDATED,text/xml,,"Coller NPORT-P; machine-readable issuer, value, portfolio percentage",https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/primary_doc.xml
EXP-023,EXPDOC-023,sec-filings,Institutional_Report,Coller Secondaries SC TO-I 2026,html,https://www.sec.gov/Archives/edgar/data/1969180/000121390026057349/ea0289481-01_sctoi.htm,coller-secondaries-sc-to-i-2026.html,P1,DISCOVERED,LIVE_VALIDATED,text/html,,"Coller tender; NAV pricing, 2% early fee, valuation date, 65-day payment, 5% holdback",https://www.sec.gov/Archives/edgar/data/1969180/000121390026057349/ea0289481-01_sctoi.htm
EXP-024,EXPDOC-024,sec-filings,Financials,Ares Private Markets Fund N-CSR 2026,html,https://www.sec.gov/Archives/edgar/data/1876006/000110465926070470/tm2616630d1_ncsr.htm,ares-private-markets-ncsr-2026.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Ares N-CSR; geographic region, acquisition date, cost, fair value, NAV %, unfunded, redemption terms",https://www.sec.gov/Archives/edgar/data/1876006/000110465926070470/tm2616630d1_ncsr.htm
EXP-025,EXPDOC-025,sec-filings,Schedule_Inv,Ares Private Markets Fund NPORT-EX 2025-12,html,https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/fp0097777_nportex.htm,ares-private-markets-nport-ex-2025-12.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Ares NPORT-EX; holdings, portfolio-company data, cost/fair value, unfunded, redemption restrictions",https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/fp0097777_nportex.htm
EXP-026,EXPDOC-026,sec-filings,Schedule_Inv,Ares Private Markets Fund NPORT-P 2025-12,xml,https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/primary_doc.xml,ares-private-markets-nport-p-2025-12.xml,P0,DISCOVERED,LIVE_VALIDATED,text/xml,,Ares NPORT-P; very broad underlying fund-interest inventory,https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/primary_doc.xml
EXP-027,EXPDOC-027,sec-filings,Institutional_Report,Ares Private Markets Fund SC TO-I 2026,html,https://www.sec.gov/Archives/edgar/data/1876006/000110465926022851/tm267622d1_sctoi.htm,ares-private-markets-sc-to-i-2026.html,P1,DISCOVERED,LIVE_VALIDATED,text/html,,"Ares tender; NAV pricing, early fee, 5% holdback, 65-day settlement",https://www.sec.gov/Archives/edgar/data/1876006/000110465926022851/tm267622d1_sctoi.htm
EXP-028,EXPDOC-028,sec-filings,Financials,Hamilton Lane Private Assets Fund N-CSR 2026,html,https://www.sec.gov/Archives/edgar/data/1803491/000121390026066804/ea0291054-01_ncsr.htm,hamilton-lane-private-assets-ncsr-2026.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Hamilton Lane N-CSR; fund and portfolio data, acquisition date, cost/fair value, debt terms, unfunded",https://www.sec.gov/Archives/edgar/data/1803491/000121390026066804/ea0291054-01_ncsr.htm
EXP-029,EXPDOC-029,sec-filings,Schedule_Inv,Hamilton Lane Private Assets Fund NPORT-EX 2026-06,html,https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/hlpafsoi6302026.htm,hamilton-lane-private-assets-nport-ex-2026-06.html,P0,DISCOVERED,LIVE_VALIDATED,text/html,,"Hamilton Lane NPORT-EX; investment type, acquisition date, cost, fair value, rate, maturity, principal",https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/hlpafsoi6302026.htm
EXP-030,EXPDOC-030,sec-filings,Schedule_Inv,Hamilton Lane Private Assets Fund NPORT-P 2026-06,xml,https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/primary_doc.xml,hamilton-lane-private-assets-nport-p-2026-06.xml,P0,DISCOVERED,LIVE_VALIDATED,text/xml,,"Hamilton Lane NPORT-P; identifier, issuer, amount outstanding, rate",https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/primary_doc.xml
EXP-031,EXPDOC-031,sec-filings,Institutional_Report,Hamilton Lane Private Assets Fund SC TO-I 2026,html,https://www.sec.gov/Archives/edgar/data/1803491/000121390026013125/ea0274415-01_sctoi.htm,hamilton-lane-private-assets-sc-to-i-2026.html,P1,DISCOVERED,LIVE_VALIDATED,text/html,,"Hamilton Lane tender; NAV pricing, 2% early fee, cash settlement",https://www.sec.gov/Archives/edgar/data/1803491/000121390026013125/ea0274415-01_sctoi.htm
