fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_0053,"Portland Seed Fund III, L.P.",,MGR_0041,Portland Seed,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0054,"Portland Seed Fund III - Side Car, L.P.",,MGR_0042,Portland Seed Fund III - Side Car,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0055,Rethink Impact Fund II,,MGR_0043,Rethink Impact,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0056,"Riverlake Equity Partners I, L.P.",,MGR_0044,Riverlake Equity Partners,Buyout,,2004,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0057,"Riverlake Equity Partners II, L.P.",,MGR_0044,Riverlake Equity Partners,Buyout,,2008,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0058,"Seven Peaks Ventures Fund II, L.P.",,MGR_0045,Seven Peaks Ventures,Venture Capital,,2017,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0059,"Seven Peaks Ventures Fund, L.P.",,MGR_0045,Seven Peaks Ventures,Venture Capital,,2014,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0060,"SmartForest Ventures I, L.P.",,MGR_0046,SmartForest Ventures,Venture Capital,,2000,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0061,Stellex Capital Partners II,,MGR_0047,Stellex Capital Partners,Buyout,,2021,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0062,"Tamarack Mezzanine Partners, L.P.",,MGR_0048,Tamarack Mezzanine Partners,Mezzanine,,1999,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0063,"Timberline Annex Fund, L.P.",,MGR_0049,Timberline Anne,Venture Capital,,2003,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0064,"Timberline Venture Partners, L.P.",,MGR_0050,Timberline Venture Partners,Venture Capital,,1999,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0065,"Tiverton AgriFinance II, L.P.",,MGR_0051,Tiverton AgriFinance,Natural Resources,,2021,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0066,"TL Ventures VII, L.P.",,MGR_0052,TL Ventures,Venture Capital,,2008,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0067,"Updata Partners V, L.P.",,MGR_0053,Updata Partners,Growth Equity,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0068,"Updata Partners VI, L.P.",,MGR_0053,Updata Partners,Growth Equity,,2019,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0069,"VamosVentures Fund I, L.P.",,,,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0070,"VFC - Burnside Fund, L.P.",,MGR_0054,VFC - Burnside,Growth Equity,,2019,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0071,"Voyager Capital Fund IV, L.P.",,MGR_0055,Voyager Capita,Venture Capital,,2013,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0072,"Voyager Capital Fund V, L.P.",,MGR_0055,Voyager Capita,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0073,"Women's VC Fund II, L.P.",,,,Venture Capital,,2017,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0074,"Women's Venture Capital Fund, L.P.",,MGR_0056,Women's Venture Capita,Venture Capital,,2011,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0075,"Yaletown Ventures II (USA), L.P.",,MGR_0057,Yaletown Ventures,Venture Capital,,2009,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0076,"Allos Ventures II, L.P.",,MGR_0058,Allos Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0077,"Arboretum Ventures IIa, L.P.",,MGR_0059,Arboretum Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0078,"Arsenal Venture Partners IIa, L.P.",,MGR_0060,Arsenal Venture Partners,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0079,Arsenal Ventures IIa,,MGR_0061,Arsenal Ventures,,,,,,,,,,,,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0080,"Athenian Venture Partners III, L.P.",,MGR_0062,Athenian Venture Partners,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0081,"Charter Life Sciences (Ohio) II, L.P.",,MGR_0063,Charter Life Sciences,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0082,"Chrysalis Ventures (Ohio) III, L.P.",,MGR_0064,Chrysalis Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0083,Draper Triangle III,,MGR_0065,Draper Triangle,,,,,,,,,,,,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0084,"Draper Triangle Ohio Ventures, L.P.",,MGR_0066,Draper Triangle Ohio Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0085,"Draper Triangle Ventures Ohio III, L.P.",,MGR_0067,Draper Triangle Ventures Ohio,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0086,"Early Stage Partners Fund II, L.P.",,MGR_0068,Early Stage Partners,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0087,Early Stage Partners II,,MGR_0068,Early Stage Partners,,,,,,,,,,,,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0088,"Early Stage Partners II, L.P.",,MGR_0068,Early Stage Partners,,,,,,,,,,,,EXTRACTED,SRC036,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0089,"Edison Venture Fund VII, L.P.",,MGR_0069,Edison Venture,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0090,"Edison Venture Fund VIII, L.P.",,MGR_0069,Edison Venture,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0091,Edison VII AF I,,MGR_0070,Edison VII AF,,,,,,,,,,,,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0092,"Emerging Market Fund, LLC",,MGR_0071,Emerging Market,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0093,FSV II-B,,,,,,,,,,,,,,,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0094,"FSV II-B, L.P.",,,,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0095,Glengary LLC,,,,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0096,"NCT Ventures Fund I, L.P.",,MGR_0072,NCT Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0097,"NCT Ventures Fund II, L.P.",,MGR_0072,NCT Ventures,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0098,"Primus Capital Fund VI, L.P.",,MGR_0073,Primus Capita,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0099,"QCA First Fund III, LLC",,MGR_0074,QCA First,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0100,"Radius Venture Partners (Ohio) III, QP, L.P.",,MGR_0075,"Radius Venture Partners (Ohio) III, QP",,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0101,"Reservoir Venture Partners II, L.P.",,MGR_0076,Reservoir Venture Partners,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0102,"River Cities Capital Fund IV, L.P.",,MGR_0077,River Cities Capita,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0103,"RiverVest Venture Fund II (Ohio), L.P.",,MGR_0078,RiverVest Venture,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0104,"RiverVest Venture Fund III (Ohio), L.P.",,MGR_0078,RiverVest Venture,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0105,"SunBridge Partners Technology Fund III, L.P.",,MGR_0079,SunBridge Partners Technology,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0106,"SV Life Sciences Fund IV, L.P.",,MGR_0080,SV Life Sciences,,,,,,,,,,,,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0107,The Ohio Capital Fund LLC,,MGR_0001,"Buckeye Venture Partners, LLC",,,,,,,,,,,,EXTRACTED,SRC036,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0108,Commonwealth Fund III,,MGR_0002,MassVentures,,,,,,,,,,,,EXTRACTED,SRC038,13,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0110,Starwood Real Estate Income Trust,,MGR_0003,Starwood Capital Group,,,,,,,,,,,,EXTRACTED,SRC053,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0111,"Versa Capital Fund II-A, L.P.",,MGR_0005,"Versa Capital Management, LLC",,,,,,,,,,,,EXTRACTED,SRC034,9,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0112,"Versa Capital Fund II, L.P.",,MGR_0005,"Versa Capital Management, LLC",,,,,,,,,,,,EXTRACTED,SRC034,11,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0113,Khosla Ventures III,,MGR_0081,Khosla Ventures,,,,,,,,,,,,EXTRACTED,SRC037,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0114,Media Technology Ventures V,,MGR_0082,Media Technology Ventures,,,,,,,,,,,,EXTRACTED,SRC037,23,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0115,New Enterprise Associates 13,,MGR_0083,New Enterprise Associates,,,,,,,,,,,,EXTRACTED,SRC037,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0116,Sorenson Capital Partners II Cont. Vehicle,,MGR_0084,Sorenson Capital Partners II Cont. Vehicle,,,,,,,,,,,,EXTRACTED,SRC037,23,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0117,SV Fund IV,,,,,,,,,,,,,,,EXTRACTED,SRC037,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0118,SV Life Sciences IV CF,,MGR_0085,SV Life Sciences IV CF,,,,,,,,,,,,EXTRACTED,SRC037,23,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0119,TA XI,,,,Secondary Investments,,,,,,,,,,,EXTRACTED,SRC037,23,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0120,"Utah Fund of Funds, LLC",,MGR_0006,Utah Capital Investment Corporation,,,,,,,,,,,,EXTRACTED,SRC037,17,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0121,BioScience Facilities Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,18,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0122,CBRA Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,25,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0123,Clean Tech Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,18,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0124,Connecticut Bioscience Innovation Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,26,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0125,Connecticut Capital Access Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,19,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0126,Connecticut Clean Energy Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,26,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0127,Connecticut State Treasurer's Short-Term Investment Fund,,MGR_0086,Connecticut State Treasurer's Short-Term Investment,,,,,,,,,,,,EXTRACTED,SRC039,23,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0128,Connecticut Works Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,19,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0129,Connecticut Works Guarantee Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,19,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0130,Eli Whitney Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,17,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0131,Fund of Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,38,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0132,Growth Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,18,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0134,PreSeed Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,18,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0135,Proof of Concept,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0136,Regenerative Medicine Research Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,36,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0137,Seed Fund,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0138,SSBCI,,MGR_0007,"Connecticut Innovations, Incorporated",,,,,,,,,,,,EXTRACTED,SRC039,24,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0139,Builder Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,10,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0140,Business Assistance Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,7,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0141,Coordinating Emerging Nanobiotechnology Research in Maryland Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,7,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0142,Cybersecurity Investment Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,6,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0143,Gap Investment Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,6,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0144,Incubator Development Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,7,,,ACTIVE,2026-08-11T10:42:52Z
FUND_0145,Life Science Investment Fund,,MGR_0008,Maryland Technology Development Corporation,,,,,,,,,,,,EXTRACTED,SRC040,6,,,ACTIVE,2026-08-11T10:42:52Z
