manager_observation_id,manager_id,file_id,metric_id,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,cashflow_date,effective_date,due_date,maturity_date,value_raw,value_numeric,value_text,currency,unit,perspective,measure_basis,provenance_type,source_page,source_anchor,extractor_version,formula_id,synthetic_parameter_set_id,imputation_method,confidence,record_status
MO_8a65482c119c357b,MGR_0097,SRC107,ddq_quantitative_observation.aum,as_of,"March 31, 2006",day,2006-03-31,,,,,,,,$36.1,36.1,,USD,currency,manager_total,point_in_time,EXTRACTED,13,MANAGER TRACK RECORD / Total assets managed/advised by the company / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_baf047d4a144f109,MGR_0096,SRC107,ddq_quantitative_observation.service_provider_count,static_no_date,,unknown,,,,,,,,,15,15,,,number,manager_total,static,EXTRACTED,17,RISK MANAGEMENT / Please describe the operational risk management policy / UNLABELED_COLUMN_1,2026-08-22.2,,,,,ACTIVE
MO_a0f4fce53f12ad74,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"Lubert-Adler Group VII, L.P.",,text,manager_total,static,EXTRACTED,3,"Lubert-Adler Group VII, L.P.",2026-08-22.2,,,,,ACTIVE
MO_181d3cfe7f455f01,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"Lubert-Adler Group VII, L.P.",,text,manager_total,static,EXTRACTED,29,To:,2026-08-22.2,,,,,ACTIVE
MO_a55856b39318ada6,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"as of this 11 day of July, 2014",,text,manager_total,static,EXTRACTED,41,"IN WITNESS WHEREOF / as of this 11 day of July, 2014",2026-08-22.2,,,,,ACTIVE
MO_0ba94b2b79ff41ca,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"Lubert-Adler Group VII, L.P.",,text,manager_total,static,EXTRACTED,41,"IN WITNESS WHEREOF / Lubert-Adler Group VII, L.P.",2026-08-22.2,,,,,ACTIVE
MO_c60b6f874ccf7aa2,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"as of this 11 day of July, 2014",,text,manager_total,static,EXTRACTED,43,"IN WITNESS WHEREOF / as of this 11 day of July, 2014",2026-08-22.2,,,,,ACTIVE
MO_ca8766bd062a7f71,MGR_0110,SRC607,subscription_reference,static_no_date,,unknown,,,,,,,,,,,"Lubert-Adler Group VII, L.P.",,text,manager_total,static,EXTRACTED,43,"IN WITNESS WHEREOF / Lubert-Adler Group VII, L.P.",2026-08-22.2,,,,,ACTIVE
MO_413c844c949b80c6,MGR_0114,SRC612,legal_clause,static_no_date,,unknown,,,,,,,,,,,"To report to the Board at least quarterly through the Investment Office, with the exact frequency and format of reporting to be determined by the Investment Office, on the composition and relative performance of the investments in their designated portfolios; the economic and investment outlook for the near and long term; significant changes in the portfolio during the preceding period; and the reasons for any significant differences between the performance of their portfolios and the appropriate market indices or metrics.",,text,manager_total,static,EXTRACTED,25,3.,2026-08-22.2,,,,,ACTIVE
MO_dd82cc6ba1be90d7,MGR_0092,SRC247,valuation_observation.valuer,as_of,"May 31, 2024",day,2024-05-31,,,,,,,,ultimately responsible for determining our NAV,,ultimately responsible for determining our NAV,,text,manager_total,point_in_time,EXTRACTED,1,"May 31, 2024 NAV Per Share / NAV advisor responsibility",2026-08-22.2,,,,,ACTIVE
MO_8d016e28dfb0a44f,MGR_0092,SRC247,valuation_observation.valuer,as_of,"May 31, 2024",day,2024-05-31,,,,,,,,assumptions are determined by the Advisor,,assumptions are determined by the Advisor,,text,manager_total,point_in_time,EXTRACTED,3,UNTITLED_TABLE_1 / Advisor assumption determination,2026-08-22.2,,,,,ACTIVE
MO_6502462a9c868eda,MGR_0107,SRC247,valuation_observation.independent_review,as_of,"May 31, 2024",day,2024-05-31,,,,,,,,independent valuation advisor,,independent valuation advisor,,text,manager_total,point_in_time,EXTRACTED,3,UNTITLED_TABLE_1 / Independent valuation advisor review,2026-08-22.2,,,,,ACTIVE
MO_a6d08a2caab5e7ee,MGR_0101,SRC151,stewardship_observation.coverage,static_no_date,,unknown,,,,,,,,,"1,200+",1200,,,clients,manager_total,static,EXTRACTED,3,"Glass Lewis clients / 1,200+ clients with US$35 trillion in assets.",2026-08-22.2,,,,,ACTIVE
MO_9ade45d5a9b6f92e,MGR_0101,SRC151,stewardship_observation.aum,static_no_date,,unknown,,,,,,,,,US$35,35,,USD,currency,manager_total,point_in_time,EXTRACTED,3,"Glass Lewis clients / 1,200+ clients with US$35 trillion in assets.",2026-08-22.2,,,,,ACTIVE
MO_0b8eefdd28e73dd8,MGR_0101,SRC151,stewardship_observation.coverage,static_no_date,,unknown,,,,,,,,,9 of the 15,9,,,pensions,manager_total,static,EXTRACTED,3,"Glass Lewis clients / Majority of world’s largest pensions, mutual funds and asset managers including 9 of the 15 largest pensions in the United States.",2026-08-22.2,,,,,ACTIVE
MO_85f9a53ecd5aeb84,MGR_0101,SRC151,stewardship_observation.coverage,static_no_date,,unknown,,,,,,,,,"20,000+",20000,,,companies,manager_total,static,EXTRACTED,3,"Research and policy / Guarantee recommendations on 20,000+ companies across 100 countries",2026-08-22.2,,,,,ACTIVE
MO_66658923464966ef,MGR_0101,SRC151,stewardship_observation.coverage,static_no_date,,unknown,,,,,,,,,100,100,,,countries,manager_total,static,EXTRACTED,3,"Research and policy / Guarantee recommendations on 20,000+ companies across 100 countries",2026-08-22.2,,,,,ACTIVE
MO_76c084debdcd3c87,MGR_0101,SRC151,stewardship_observation.engagement_count,static_no_date,,unknown,,,,,,,,,"over 4,500",4500,,,companies,manager_total,static,EXTRACTED,4,"Engagement is a growing focus for investors / In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.",2026-08-22.2,,,,,ACTIVE
MO_d7f52ee722398977,MGR_0101,SRC151,stewardship_observation.meeting_count,static_no_date,,unknown,,,,,,,,,"approximately 1,500",1500,,,meetings,manager_total,static,EXTRACTED,4,"Engagement is a growing focus for investors / In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.",2026-08-22.2,,,,,ACTIVE
MO_d6b3b7f3576b10d4,MGR_0101,SRC151,stewardship_observation.score,static_no_date,,unknown,,,,,,,,,84.1%,84.1,,,%,manager_total,rate,EXTRACTED,12,"High volume SOP year / GL supported 84.1% of 2,000+ SOPs.",2026-08-22.2,,,,,ACTIVE
MO_4cbf904b8abf5226,MGR_0101,SRC151,stewardship_observation.score,static_no_date,,unknown,,,,,,,,,83.6%,83.6,,,%,manager_total,rate,EXTRACTED,12,"Other Compensation Proposals / GL supported 83.6% of approx. 1,000 equity grant and amendment proposals, with evergreen provisions and cost as top concerns.",2026-08-22.2,,,,,ACTIVE
MO_86ec22899d23f11a,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,2018: Noting instances of all-male boards.,,text,manager_total,static,EXTRACTED,17,Board Gender Diversity / 2018: Noting instances of all-male boards.,2026-08-22.2,,,,,ACTIVE
MO_2a29dee05af80e52,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,"2019: Recommending against nominating chair, if no plan is disclosed.",,text,manager_total,static,EXTRACTED,17,"Board Gender Diversity / 2019: Recommending against nominating chair, if no plan is disclosed.",2026-08-22.2,,,,,ACTIVE
MO_34c646482532555c,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,Threshold of materiality: 20%.,,text,manager_total,static,EXTRACTED,17,Board Responsiveness / Threshold of materiality: 20%.,2026-08-22.2,,,,,ACTIVE
MO_a50d12688645e046,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,"Included in Glass Lewis research, but not determinative of recommendation.",,text,manager_total,static,EXTRACTED,17,"CEO Pay Ratio / Included in Glass Lewis research, but not determinative of recommendation.",2026-08-22.2,,,,,ACTIVE
MO_a8770ddfc2cc837d,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,Strengthened language. Scrutinizing IPOs.,,text,manager_total,static,EXTRACTED,17,Dual-Class Share Structures / Strengthened language. Scrutinizing IPOs.,2026-08-22.2,,,,,ACTIVE
MO_78d8ff3ef4f8f771,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,"2018: Noting instances of virtual-only; 2019 recommending against governance chair, if disclosure is lacking.",,text,manager_total,static,EXTRACTED,17,"Virtual Shareholder Meetings / 2018: Noting instances of virtual-only; 2019 recommending against governance chair, if disclosure is lacking.",2026-08-22.2,,,,,ACTIVE
MO_26ad9852f9c295c8,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,20% threshold of materiality.,,text,manager_total,static,EXTRACTED,18,Board responsiveness / 20% threshold of materiality.,2026-08-22.2,,,,,ACTIVE
MO_36bfc07c31a904de,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,Strengthened language. Scrutinizing IPOs.,,text,manager_total,static,EXTRACTED,18,Dual-Class Share Structures / Strengthened language. Scrutinizing IPOs.,2026-08-22.2,,,,,ACTIVE
MO_79909b50879e4d66,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,Clarified our requirements for director nominee disclosures.,,text,manager_total,static,EXTRACTED,18,Election of directors / Clarified our requirements for director nominee disclosures.,2026-08-22.2,,,,,ACTIVE
MO_a07758a6c5b6c4d8,MGR_0101,SRC151,stewardship_policy,static_no_date,,unknown,,,,,,,,,,,"Clarified that we favor allowing discretion in compensation plans, when used correctly.",,text,manager_total,static,EXTRACTED,18,"Executive Compensation / Clarified that we favor allowing discretion in compensation plans, when used correctly.",2026-08-22.2,,,,,ACTIVE
MO_5009a42babf44591,MGR_0115,SRC339,stewardship_observation.engagement_count,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,543,543,,,activities,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_0a246b0c23ad69c3,MGR_0115,SRC339,stewardship_observation.coverage,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,352,352,,,companies,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_f865f1b5eee5d41f,MGR_0115,SRC339,stewardship_observation.coverage,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,34,34,,,countries,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_bcf2d9b2f0caf7e4,MGR_0115,SRC339,stewardship_observation.engagement_count,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,304,304,,,activities,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_178b667f50939b98,MGR_0115,SRC339,stewardship_observation.coverage,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,214,214,,,companies,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_c42f6e2cca8953db,MGR_0115,SRC339,stewardship_observation.engagement_count,static_no_date,,month,,,2024-07-31,2025-06-30,,,,,46,46,,,milestones,manager_total,static,EXTRACTED,14,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.",2026-08-22.2,,,,,ACTIVE
MO_ce54ae09d49c9b93,MGR_0115,SRC339,stewardship_observation.coverage,as_of,June 2025,month,2025-06-30,,,,,,,,"6,400",6400,,,companies,manager_total,point_in_time,EXTRACTED,14,"Engage / It has been engaging on behalf of clients for 25 years. In that time it has engaged with more than 6,400 companies on a wide range of ESG issues.",2026-08-22.2,,,,,ACTIVE
MO_3017e68e80760629,MGR_0115,SRC339,stewardship_observation.aum,as_of,June 2025,month,2025-06-30,,,,,,,,US$732,732,,USD,currency,manager_total,point_in_time,EXTRACTED,14,"Engage / The reo® service has US$732 billion in assets under engagement (as at June 2025), with 45 responsible investment specialists.",2026-08-22.2,,,,,ACTIVE
