case_id,split,configuration,model_version,scope,evidence_ids,expected_fields,returned_fields,result,execution_state,latency_ms,usage,cost,label,publication_permission
DEV-028-3,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:note:4|SRC028:p1:note:3|SRC028:p1:row:12:5226954fea|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:14:ce0cff719a|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:3:e31d571cd8|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4,,1,pass,OK,85,,0,offline_local_hybrid,foia
DEV-028-3,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC028:p1:page:0|SRC028:p1:paragraph:1|SRC028:p1:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,29932,in=1751;out=904,0.000893,historical_model_unverified_authorization,foia
DEV-028-4,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:paragraph:1|SRC028:p1:row:1:be23885491|SRC028:p1:row:2:ca32951b1f|SRC028:p1:note:4|SRC028:p1:row:18:015eb6f9f1|SRC028:p1:row:14:ce0cff719a|SRC028:p1:row:11:b6bd32c9f0|SRC028:p1:row:10:f97e9da0e3|SRC028:p1:row:13:10e9c505be,value=INSUFFICIENT_EVIDENCE,value=INSUFFICIENT_EVIDENCE,pass,OK,3126,,0,offline_keyword,foia
DEV-028-4,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:1:be23885491|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:2:ca32951b1f|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:note:4|SRC028:p1:note:3|SRC028:p1:row:18:015eb6f9f1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:14:ce0cff719a|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:11:b6bd32c9f0|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:10:f97e9da0e3|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:13:10e9c505be|SRC028:p1:note:3|SRC028:p1:note:4,value=INSUFFICIENT_EVIDENCE,value=INSUFFICIENT_EVIDENCE,pass,OK,6,,0,offline_keyword_context,foia
DEV-028-4,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC028:p1:row:3:e31d571cd8|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:1:be23885491|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:paragraph:1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:2:ca32951b1f|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:14:ce0cff719a|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:18:015eb6f9f1|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:note:4|SRC028:p1:note:3|SRC028:p1:row:16:c2267c4d04|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:5:532b06edcc|SRC028:p1:note:3|SRC028:p1:note:4|SRC028:p1:row:7:510b49848d|SRC028:p1:note:3|SRC028:p1:note:4,value=INSUFFICIENT_EVIDENCE,value=INSUFFICIENT_EVIDENCE,pass,OK,308,,0,offline_local_hybrid,foia
DEV-028-4,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,"SRC028:p1:page:0|SRC028:p1:paragraph:1|SRC028:p1:page:0|SRC028:p1:row:US Equity|SRC028:p1:page:0|SRC028:p1:row:Non-US Equity|SRC028:p1:row:Private Equity 102,714,000|SRC028:p1:row:US Core Plus|SRC028:p1:row:Non-US Developed|SRC028:p1:row:Inflation Protected|SRC028:p1:row:Emerging Markets|SRC028:p1:row:High Yield/Opp",value=INSUFFICIENT_EVIDENCE,value=INSUFFICIENT_EVIDENCE,pass,OK,3660,in=2719;out=397,0.001292,historical_model_unverified_authorization,foia
DEV-034-1,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1,,3,pass,OK,62,,0,offline_keyword,foia
DEV-034-1,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1,,3,pass,OK,2,,0,offline_keyword_context,foia
DEV-034-1,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1|SRC034:p5:paragraph:1|SRC034:p4:paragraph:1|SRC034:p7:paragraph:1|SRC034:p10:paragraph:1,,3|4|5|7|10,pass,OK,90,,0,offline_local_hybrid,foia
DEV-034-1,dev,approved_assessor,deepseek/deepseek-v4.1-flash,79c48c829163428ba344e76bf303b6de,SRC034:p3:page:0|SRC034:p3:paragraph:1|SRC034:p3:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,2036,in=879;out=225,0.000534,historical_model_unverified_authorization,foia
DEV-034-2,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1|SRC034:p4:paragraph:1,,3|4,pass,OK,17,,0,offline_keyword,foia
DEV-034-2,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1|SRC034:p4:paragraph:1,,3|4,pass,OK,2,,0,offline_keyword_context,foia
DEV-034-2,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p3:paragraph:1|SRC034:p4:paragraph:1|SRC034:p12:paragraph:2|SRC034:p5:paragraph:1|SRC034:p11:paragraph:2,,3|4|5|11|12,pass,OK,79,,0,offline_local_hybrid,foia
DEV-034-2,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC034:p3:page:0|SRC034:p3:paragraph:1|SRC034:p3:page:0|SRC034:p4:page:0|SRC034:p4:paragraph:1|SRC034:p4:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,9074,in=1843;out=239,0.000512,historical_model_unverified_authorization,foia
DEV-034-3,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p5:paragraph:1|SRC034:p10:paragraph:1,,5|10,pass,OK,20,,0,offline_keyword,foia
DEV-034-3,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p5:paragraph:1|SRC034:p10:paragraph:1,,5|10,pass,OK,2,,0,offline_keyword_context,foia
DEV-034-3,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p5:paragraph:1|SRC034:p10:paragraph:1|SRC034:p4:paragraph:1|SRC034:p3:paragraph:1|SRC034:p11:paragraph:1,,3|4|5|10|11,pass,OK,77,,0,offline_local_hybrid,foia
DEV-034-3,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC034:p5:page:0|SRC034:p5:paragraph:1|SRC034:p5:page:0|SRC034:p10:page:0|SRC034:p10:paragraph:1|SRC034:p10:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,20676,in=1865;out=369,0.000594,historical_model_unverified_authorization,foia
DEV-034-4,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p7:paragraph:1,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,pass,OK,29,,0,offline_keyword,foia
DEV-034-4,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p7:paragraph:1,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,pass,OK,4,,0,offline_keyword_context,foia
DEV-034-4,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC034:p7:paragraph:1|SRC034:p11:paragraph:2|SRC034:p13:paragraph:1|SRC034:p11:paragraph:1|SRC034:p12:paragraph:1|SRC034:p12:paragraph:2|SRC034:p5:paragraph:1|SRC034:p3:paragraph:1|SRC034:p8:paragraph:1|SRC034:p6:paragraph:1,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,pass,OK,93,,0,offline_local_hybrid,foia
DEV-034-4,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC034:p7:page:0|SRC034:p7:paragraph:1|SRC034:p7:page:0,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,value=SUPPORTED;fee_basis=INSUFFICIENT_EVIDENCE,pass,OK,3769,in=1046;out=567,0.000994,historical_model_unverified_authorization,foia
DEV-132-1,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p1:paragraph:1,,1,pass,OK,57,,0,offline_keyword,restricted
DEV-132-1,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p1:paragraph:1,,1,pass,OK,3,,0,offline_keyword_context,restricted
DEV-132-1,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p1:paragraph:1|SRC132:p1:paragraph:2|SRC132:p2:paragraph:2|SRC132:p2:note:3|SRC132:p2:note:3|SRC132:p2:paragraph:1|SRC132:p2:note:3,,1|2,pass,OK,89,,0,offline_local_hybrid,restricted
DEV-132-1,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC132:p1:page:0|SRC132:p1:paragraph:1,retrieved_fact=SUPPORTED,retrieved_fact=CONTRADICTED,fail,OK,5525,in=902;out=921,0.001376,historical_model_unverified_authorization,restricted
DEV-132-2,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p2:paragraph:1,,2,pass,OK,13,,0,offline_keyword,restricted
DEV-132-2,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p2:paragraph:1|SRC132:p2:note:3,,2,pass,OK,3,,0,offline_keyword_context,restricted
DEV-132-2,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p2:paragraph:1|SRC132:p2:note:3|SRC132:p2:note:3|SRC132:p1:paragraph:2|SRC132:p2:paragraph:2|SRC132:p2:note:3|SRC132:p1:paragraph:1,,1|2,pass,OK,77,,0,offline_local_hybrid,restricted
DEV-132-2,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC132:p2:page:0|SRC132:p2:paragraph:1,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,1932,in=978;out=269,0.000616,historical_model_unverified_authorization,restricted
DEV-132-3,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p3:paragraph:3,,3,pass,OK,17,,0,offline_keyword,restricted
DEV-132-3,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p3:paragraph:3,,3,pass,OK,2,,0,offline_keyword_context,restricted
DEV-132-3,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC132:p3:paragraph:3|SRC132:p3:paragraph:4|SRC132:p3:paragraph:2|SRC132:p3:paragraph:5|SRC132:p3:paragraph:1,,3,pass,OK,76,,0,offline_local_hybrid,restricted
DEV-132-3,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC132:p3:page:0|SRC132:p3:paragraph:1,retrieved_fact=SUPPORTED,retrieved_fact=INSUFFICIENT_EVIDENCE,fail,OK,2582,in=846;out=373,0.000701,historical_model_unverified_authorization,restricted
DEV-373-1,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p1:row:33:3e5a23a82c|SRC373:p19:row:3:3e5a23a82c|SRC373:p133:paragraph:2|SRC373:p186:paragraph:3|SRC373:p139:note:3,,1|19|133|139|186,pass,OK,21,,0,offline_keyword,permitted
DEV-373-1,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p1:row:33:3e5a23a82c|SRC373:p1:note:10|SRC373:p1:note:11|SRC373:p1:note:12|SRC373:p1:note:13|SRC373:p1:note:14|SRC373:p1:note:15|SRC373:p1:note:16|SRC373:p1:note:17|SRC373:p1:note:18|SRC373:p1:note:19|SRC373:p1:note:2|SRC373:p1:note:20|SRC373:p1:note:21|SRC373:p1:note:22|SRC373:p1:note:23|SRC373:p1:note:24|SRC373:p1:note:25|SRC373:p1:note:3|SRC373:p1:note:4|SRC373:p1:note:5|SRC373:p1:note:6|SRC373:p1:note:7|SRC373:p1:note:8|SRC373:p1:note:9|SRC373:p19:row:3:3e5a23a82c|SRC373:p133:paragraph:2|SRC373:p186:paragraph:3|SRC373:p186:note:2|SRC373:p139:note:3|SRC373:p139:note:2,,1|19|133|139|186,pass,OK,4,,0,offline_keyword_context,permitted
DEV-373-1,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p1:row:33:3e5a23a82c|SRC373:p1:note:10|SRC373:p1:note:11|SRC373:p1:note:12|SRC373:p1:note:13|SRC373:p1:note:14|SRC373:p1:note:15|SRC373:p1:note:16|SRC373:p1:note:17|SRC373:p1:note:18|SRC373:p1:note:19|SRC373:p1:note:2|SRC373:p1:note:20|SRC373:p1:note:21|SRC373:p1:note:22|SRC373:p1:note:23|SRC373:p1:note:24|SRC373:p1:note:25|SRC373:p1:note:3|SRC373:p1:note:4|SRC373:p1:note:5|SRC373:p1:note:6|SRC373:p1:note:7|SRC373:p1:note:8|SRC373:p1:note:9|SRC373:p133:paragraph:2|SRC373:p19:row:3:3e5a23a82c|SRC373:p139:note:3|SRC373:p139:note:2|SRC373:p186:paragraph:3|SRC373:p186:note:2,,1|19|133|139|186,pass,OK,86,,0,offline_local_hybrid,permitted
DEV-373-1,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC373:p1:page:0|SRC373:p1:paragraph:1|SRC373:p2:page:0,retrieved_fact=SUPPORTED,retrieved_fact=INSUFFICIENT_EVIDENCE,fail,OK,15473,in=1612;out=327,0.000519,historical_model_unverified_authorization,permitted
DEV-373-2,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p133:paragraph:2|SRC373:p186:paragraph:3|SRC373:p139:note:3|SRC373:p127:note:5|SRC373:p166:paragraph:2,,127|133|139|166|186,pass,OK,9,,0,offline_keyword,permitted
DEV-373-2,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p133:paragraph:2|SRC373:p186:paragraph:3|SRC373:p186:note:2|SRC373:p139:note:3|SRC373:p139:note:2|SRC373:p127:note:5|SRC373:p127:note:2|SRC373:p127:note:3|SRC373:p127:note:4|SRC373:p166:paragraph:2,,127|133|139|166|186,pass,OK,3,,0,offline_keyword_context,permitted
DEV-373-2,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p127:note:5|SRC373:p127:note:2|SRC373:p127:note:3|SRC373:p127:note:4|SRC373:p170:note:5|SRC373:p170:note:3|SRC373:p170:note:4|SRC373:p133:paragraph:2|SRC373:p186:paragraph:3|SRC373:p186:note:2|SRC373:p139:note:3|SRC373:p139:note:2,,127|133|139|170|186,pass,OK,85,,0,offline_local_hybrid,permitted
DEV-373-2,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC373:p1:page:0|SRC373:p1:paragraph:1|SRC373:p2:page:0,retrieved_fact=SUPPORTED,retrieved_fact=INSUFFICIENT_EVIDENCE,fail,OK,17828,in=1596;out=266,0.000479,historical_model_unverified_authorization,permitted
DEV-373-3,dev,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p11:row:4:6c5c71f01c|SRC373:p5:row:1:6c5c71f01c|SRC373:p11:row:1:78c4706404|SRC373:p2:row:1:78c4706404|SRC373:p3:row:1:78c4706404,,2|3|5|11,pass,OK,22,,0,offline_keyword,permitted
DEV-373-3,dev,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p11:row:4:6c5c71f01c|SRC373:p11:note:2|SRC373:p5:row:1:6c5c71f01c|SRC373:p5:note:3|SRC373:p5:note:4|SRC373:p5:note:5|SRC373:p11:row:1:78c4706404|SRC373:p11:note:2|SRC373:p2:row:1:78c4706404|SRC373:p2:note:10|SRC373:p2:note:11|SRC373:p2:note:12|SRC373:p2:note:13|SRC373:p2:note:14|SRC373:p2:note:15|SRC373:p2:note:16|SRC373:p2:note:17|SRC373:p2:note:18|SRC373:p2:note:19|SRC373:p2:note:2|SRC373:p2:note:20|SRC373:p2:note:21|SRC373:p2:note:22|SRC373:p2:note:23|SRC373:p2:note:24|SRC373:p2:note:25|SRC373:p2:note:26|SRC373:p2:note:27|SRC373:p2:note:28|SRC373:p2:note:29|SRC373:p2:note:3|SRC373:p2:note:30|SRC373:p2:note:31|SRC373:p2:note:32|SRC373:p2:note:33|SRC373:p2:note:34|SRC373:p2:note:35|SRC373:p2:note:36|SRC373:p2:note:4|SRC373:p2:note:5|SRC373:p2:note:6|SRC373:p2:note:7|SRC373:p2:note:8|SRC373:p2:note:9|SRC373:p3:row:1:78c4706404|SRC373:p3:note:10|SRC373:p3:note:11|SRC373:p3:note:12|SRC373:p3:note:13|SRC373:p3:note:2|SRC373:p3:note:3|SRC373:p3:note:4|SRC373:p3:note:5|SRC373:p3:note:6|SRC373:p3:note:7|SRC373:p3:note:8|SRC373:p3:note:9,,2|3|5|11,pass,OK,5,,0,offline_keyword_context,permitted
DEV-373-3,dev,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC373:p11:row:4:6c5c71f01c|SRC373:p11:note:2|SRC373:p5:row:1:6c5c71f01c|SRC373:p5:note:3|SRC373:p5:note:4|SRC373:p5:note:5|SRC373:p3:row:1:78c4706404|SRC373:p3:note:10|SRC373:p3:note:11|SRC373:p3:note:12|SRC373:p3:note:13|SRC373:p3:note:2|SRC373:p3:note:3|SRC373:p3:note:4|SRC373:p3:note:5|SRC373:p3:note:6|SRC373:p3:note:7|SRC373:p3:note:8|SRC373:p3:note:9|SRC373:p11:row:1:78c4706404|SRC373:p11:note:2|SRC373:p2:row:1:78c4706404|SRC373:p2:note:10|SRC373:p2:note:11|SRC373:p2:note:12|SRC373:p2:note:13|SRC373:p2:note:14|SRC373:p2:note:15|SRC373:p2:note:16|SRC373:p2:note:17|SRC373:p2:note:18|SRC373:p2:note:19|SRC373:p2:note:2|SRC373:p2:note:20|SRC373:p2:note:21|SRC373:p2:note:22|SRC373:p2:note:23|SRC373:p2:note:24|SRC373:p2:note:25|SRC373:p2:note:26|SRC373:p2:note:27|SRC373:p2:note:28|SRC373:p2:note:29|SRC373:p2:note:3|SRC373:p2:note:30|SRC373:p2:note:31|SRC373:p2:note:32|SRC373:p2:note:33|SRC373:p2:note:34|SRC373:p2:note:35|SRC373:p2:note:36|SRC373:p2:note:4|SRC373:p2:note:5|SRC373:p2:note:6|SRC373:p2:note:7|SRC373:p2:note:8|SRC373:p2:note:9,,2|3|5|11,pass,OK,97,,0,offline_local_hybrid,permitted
DEV-373-3,dev,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC373:p1:page:0|SRC373:p1:paragraph:1|SRC373:p2:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,8813,in=1602;out=271,0.000483,historical_model_unverified_authorization,permitted
HOLD-606-1,held-out,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p1:paragraph:1,,1|2,pass,OK,44,,0,offline_keyword,permitted
HOLD-606-1,held-out,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p1:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:3|SRC606:p6:footnote:1|SRC606:p6:footnote:4,,1|2,pass,OK,4,,0,offline_keyword_context,permitted
HOLD-606-1,held-out,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p1:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:3|SRC606:p6:footnote:1|SRC606:p6:footnote:4|SRC606:p2:row:13:d2f52517fc|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p2:row:10:5175c9e84d|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p2:row:11:ac646a68ce|SRC606:p6:footnote:2|SRC606:p6:footnote:9,,1|2,pass,OK,92,,0,offline_local_hybrid,permitted
HOLD-606-1,held-out,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC606:p1:page:0|SRC606:p1:paragraph:1|SRC606:p1:page:0|SRC606:p2:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,2352,in=1877;out=368,0.001005,historical_model_unverified_authorization,permitted
HOLD-606-2,held-out,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p1:paragraph:1,,1|2,pass,OK,18,,0,offline_keyword,permitted
HOLD-606-2,held-out,keyword_context,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p1:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:3|SRC606:p6:footnote:1|SRC606:p6:footnote:4,,1|2,pass,OK,4,,0,offline_keyword_context,permitted
HOLD-606-2,held-out,keyword_vector_context,BAAI/bge-small-en-v1.5@52398278842ec682c6f32300af41344b1c0b0bb2:384,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:9|SRC606:p1:paragraph:1|SRC606:p6:footnote:2|SRC606:p6:footnote:3|SRC606:p6:footnote:1|SRC606:p6:footnote:4|SRC606:p3:row:11:44b029ffc0|SRC606:p3:row:2:cec24dcab1|SRC606:p3:row:13:cccfdf8668,,1|2|3,pass,OK,93,,0,offline_local_hybrid,permitted
HOLD-606-2,held-out,approved_assessor,deepseek/deepseek-v4.1-flash,1196605642ab4179911f35803a32f3c0,SRC606:p1:page:0|SRC606:p1:paragraph:1|SRC606:p1:page:0|SRC606:p2:page:0,retrieved_fact=SUPPORTED,retrieved_fact=SUPPORTED,pass,OK,2742,in=1879;out=372,0.001010,historical_model_unverified_authorization,permitted
HOLD-606-3,held-out,keyword,unrun,49c90d2a7e2d451e883e2b018f5554fa,SRC606:p2:row:6:5175c9e84d|SRC606:p2:paragraph:1,,2,pass,OK,21,,0,offline_keyword,permitted
