fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_0013,"Endeavour Capital Fund III, L.P.","Endeavour Capital Fund III, L.P.",MGR_0019,Endeavour Capita,Buyout,Multi-Strategy,2000,,USD,251108579.910373,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0014,"Enlightened Hospitality Investments, L.P.","Enlightened Hospitality Investments, L.P.",MGR_0020,Enlightened Hospitality Investments,Growth Equity,Multi-Strategy,2017,,USD,503931573.095573,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0015,"Epic Venture Fund IV, L.P.","Epic Venture Fund IV, L.P.",MGR_0021,Epic Venture,Venture Capital,Venture Capital,2009,,USD,340433213.779613,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0016,"Epic Venture Fund V, L.P.","Epic Venture Fund V, L.P.",MGR_0021,Epic Venture,Venture Capital,Venture Capital,2016,,USD,597313612.657703,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0017,"Epic Ventures VI, L.P.","Epic Ventures VI, L.P.",MGR_0022,Epic Ventures,Venture Capital,Venture Capital,2020,,USD,412798269.892823,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0018,"Fluke Venture Partners II, L.P.","Fluke Venture Partners II, L.P.",MGR_0023,Fluke Venture Partners,Venture Capital,Venture Capital,2004,,USD,403097837.346880,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0019,"Founders' Co-op III, L.P.","Founders' Co-op III, L.P.",MGR_0024,Founders' Co-op,Venture Capital,Multi-Strategy,2014,,USD,512236403.284607,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0020,"Founders’ Co-op IV, L.P.","Founders’ Co-op IV, L.P.",MGR_0024,Founders’ Co-op,Venture Capital,Multi-Strategy,2018,,USD,304518493.898735,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0021,"Goode Partners Consumer Fund III, L.P.","Goode Partners Consumer Fund III, L.P.",MGR_0025,Goode Partners Consumer,Growth Equity,Multi-Strategy,2016,,USD,556528772.080787,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0022,"Grain Communications Opportunity Fund III, L.P.","Grain Communications Opportunity Fund III, L.P.",MGR_0026,Grain Communications Opportunity,Infrastructure,Multi-Strategy,2021,,USD,514161861.051348,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0023,"Homestead Capital USA Farmland Fund III, L.P.","Homestead Capital USA Farmland Fund III, L.P.",MGR_0027,Homestead Capital USA Farmland,Natural Resources,Multi-Strategy,2018,,USD,478642262.139885,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0024,"K1 Special Opportunities Fund, L.P.","K1 Special Opportunities Fund, L.P.",MGR_0028,K1 Special Opportunities,Buyout,Multi-Strategy,2016,,USD,582683292.068126,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0025,"K4 Private Investors, L.P.","K4 Private Investors, L.P.",MGR_0029,K4 Private Investors,Buyout,Multi-Strategy,2018,,USD,573693510.498852,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0026,"K5 Private Investors, L.P.","K5 Private Investors, L.P.",MGR_0030,K5 Private Investors,Buyout,Multi-Strategy,2020,,USD,191521271.350106,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0027,"Madrona Venture Fund III, L.P.","Madrona Venture Fund III, L.P.",MGR_0031,Madrona Venture,Venture Capital,Venture Capital,2005,,USD,485795069.240689,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0028,"Montlake Capital II, L.P.","Montlake Capital II, L.P.",MGR_0032,Montlake Capita,Growth Equity,Multi-Strategy,2007,,USD,155029699.165588,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0029,"Northwest Technology Ventures, L.P.","Northwest Technology Ventures, L.P.",MGR_0033,Northwest Technology Ventures,Venture Capital,Venture Capital,2002,,USD,279846957.626875,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0030,Oregon Angel Conferences 2011,Oregon Angel Conferences 2011,MGR_0034,Oregon Angel Conferences,Special Situations,Venture Capital,2011,,USD,195209452.057233,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0031,Oregon Angel Conferences 2012,Oregon Angel Conferences 2012,MGR_0034,Oregon Angel Conferences,Special Situations,Venture Capital,2012,,USD,599472026.409798,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0032,Oregon Angel Conferences 2013,Oregon Angel Conferences 2013,MGR_0034,Oregon Angel Conferences,Special Situations,Venture Capital,2013,,USD,485509346.415401,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0033,Oregon Angel Conferences 2014,Oregon Angel Conferences 2014,MGR_0034,Oregon Angel Conferences,Special Situations,Venture Capital,2014,,USD,438942880.216929,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0034,"Oregon Angel Fund 2008, LLC","Oregon Angel Fund 2008, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2008,,USD,531601150.581411,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0035,"Oregon Angel Fund 2009, LLC","Oregon Angel Fund 2009, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2009,,USD,348983301.841767,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0036,"Oregon Angel Fund 2010, LLC","Oregon Angel Fund 2010, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2010,,USD,150943152.282316,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0037,"Oregon Angel Fund 2011, LLC","Oregon Angel Fund 2011, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2011,,USD,596668007.310059,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0038,"Oregon Angel Fund 2012, LLC","Oregon Angel Fund 2012, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2012,,USD,245162307.528227,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0039,"Oregon Angel Fund 2013, LLC","Oregon Angel Fund 2013, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2013,,USD,292205078.312682,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0040,"Oregon Angel Fund 2014, LLC","Oregon Angel Fund 2014, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2014,,USD,423343907.677238,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0041,"Oregon Angel Fund 2015, LLC","Oregon Angel Fund 2015, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2015,,USD,313330596.400634,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0042,"Oregon Angel Fund 2016, LLC","Oregon Angel Fund 2016, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2016,,USD,256946415.619246,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0043,"Oregon Angel Fund 2017, LLC","Oregon Angel Fund 2017, LLC",MGR_0035,Oregon Ange,Venture Capital,Venture Capital,2017,,USD,453696716.628966,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0044,"Oregon Venture Fund XII, LLC","Oregon Venture Fund XII, LLC",MGR_0036,Oregon Venture,Venture Capital,Venture Capital,2018,,USD,516252225.013128,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0045,"OVP Venture Partners VII, L.P.","OVP Venture Partners VII, L.P.",MGR_0037,OVP Venture Partners,Venture Capital,Venture Capital,2006,,USD,272721399.920316,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0046,"Phoenix Venture Partners II, L.P.","Phoenix Venture Partners II, L.P.",MGR_0038,Phoenix Venture Partners,Venture Capital,Venture Capital,2016,,USD,447645934.865568,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0047,"Phoenix Venture Partners III, L.P.","Phoenix Venture Partners III, L.P.",MGR_0038,Phoenix Venture Partners,Venture Capital,Venture Capital,2019,,USD,492825522.697886,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0048,"Phoenix Venture Partners, L.P.","Phoenix Venture Partners, L.P.",MGR_0038,Phoenix Venture Partners,Venture Capital,Venture Capital,2011,,USD,574627811.426853,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0049,Pioneer Square Ventures Fund II,Pioneer Square Ventures Fund II,MGR_0039,Pioneer Square Ventures,Venture Capital,Venture Capital,2020,,USD,464049333.134954,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0050,"Pivotal Investments Partners Fund I, L.P.","Pivotal Investments Partners Fund I, L.P.",MGR_0040,Pivotal Investments Partners,Venture Capital,Multi-Strategy,2009,,USD,571303238.107028,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0051,"Portland Seed Fund I, L.P.","Portland Seed Fund I, L.P.",MGR_0041,Portland Seed,Venture Capital,Venture Capital,2011,,USD,445907462.827276,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0052,"Portland Seed Fund II, L.P.","Portland Seed Fund II, L.P.",MGR_0041,Portland Seed,Venture Capital,Venture Capital,2014,,USD,596884042.650759,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0053,"Portland Seed Fund III, L.P.","Portland Seed Fund III, L.P.",MGR_0041,Portland Seed,Venture Capital,Venture Capital,2018,,USD,239017960.365636,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0054,"Portland Seed Fund III - Side Car, L.P.","Portland Seed Fund III - Side Car, L.P.",MGR_0042,Portland Seed Fund III - Side Car,Venture Capital,Venture Capital,2018,,USD,241876567.479492,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0055,Rethink Impact Fund II,Rethink Impact Fund II,MGR_0043,Rethink Impact,Venture Capital,Multi-Strategy,2020,,USD,363443679.440923,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0056,"Riverlake Equity Partners I, L.P.","Riverlake Equity Partners I, L.P.",MGR_0044,Riverlake Equity Partners,Buyout,Buyout,2004,,USD,576504752.944507,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0057,"Riverlake Equity Partners II, L.P.","Riverlake Equity Partners II, L.P.",MGR_0044,Riverlake Equity Partners,Buyout,Buyout,2008,,USD,308821092.204946,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0058,"Seven Peaks Ventures Fund II, L.P.","Seven Peaks Ventures Fund II, L.P.",MGR_0045,Seven Peaks Ventures,Venture Capital,Venture Capital,2017,,USD,575096082.273608,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0059,"Seven Peaks Ventures Fund, L.P.","Seven Peaks Ventures Fund, L.P.",MGR_0045,Seven Peaks Ventures,Venture Capital,Venture Capital,2014,,USD,380534275.329731,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0060,"SmartForest Ventures I, L.P.","SmartForest Ventures I, L.P.",MGR_0046,SmartForest Ventures,Venture Capital,Venture Capital,2000,,USD,566128961.760014,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0061,Stellex Capital Partners II,Stellex Capital Partners II,MGR_0047,Stellex Capital Partners,Buyout,Multi-Strategy,2021,,USD,292814547.607248,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0062,"Tamarack Mezzanine Partners, L.P.","Tamarack Mezzanine Partners, L.P.",MGR_0048,Tamarack Mezzanine Partners,Mezzanine,Direct Lending,1999,,USD,570564314.632904,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0063,"Timberline Annex Fund, L.P.","Timberline Annex Fund, L.P.",MGR_0049,Timberline Anne,Venture Capital,Natural Resources,2003,,USD,220073789.607426,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0064,"Timberline Venture Partners, L.P.","Timberline Venture Partners, L.P.",MGR_0050,Timberline Venture Partners,Venture Capital,Venture Capital,1999,,USD,572168863.551866,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0065,"Tiverton AgriFinance II, L.P.","Tiverton AgriFinance II, L.P.",MGR_0051,Tiverton AgriFinance,Natural Resources,Multi-Strategy,2021,,USD,448347273.563238,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0066,"TL Ventures VII, L.P.","TL Ventures VII, L.P.",MGR_0052,TL Ventures,Venture Capital,Venture Capital,2008,,USD,419273460.100478,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0067,"Updata Partners V, L.P.","Updata Partners V, L.P.",MGR_0053,Updata Partners,Growth Equity,Multi-Strategy,2016,,USD,272771490.438420,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0068,"Updata Partners VI, L.P.","Updata Partners VI, L.P.",MGR_0053,Updata Partners,Growth Equity,Multi-Strategy,2019,,USD,253901337.389415,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0069,"VamosVentures Fund I, L.P.","VamosVentures Fund I, L.P.",,,Venture Capital,Venture Capital,2020,,USD,370521298.755887,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0070,"VFC - Burnside Fund, L.P.","VFC - Burnside Fund, L.P.",MGR_0054,VFC - Burnside,Growth Equity,Multi-Strategy,2019,,USD,239725196.046402,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0071,"Voyager Capital Fund IV, L.P.","Voyager Capital Fund IV, L.P.",MGR_0055,Voyager Capita,Venture Capital,Multi-Strategy,2013,,USD,530769726.731991,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0072,"Voyager Capital Fund V, L.P.","Voyager Capital Fund V, L.P.",MGR_0055,Voyager Capita,Venture Capital,Multi-Strategy,2018,,USD,589887739.947683,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0073,"Women's VC Fund II, L.P.","Women's VC Fund II, L.P.",,,Venture Capital,Multi-Strategy,2017,,USD,317898663.081667,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0074,"Women's Venture Capital Fund, L.P.","Women's Venture Capital Fund, L.P.",MGR_0056,Women's Venture Capita,Venture Capital,Venture Capital,2011,,USD,301289123.882818,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0075,"Yaletown Ventures II (USA), L.P.","Yaletown Ventures II (USA), L.P.",MGR_0057,Yaletown Ventures,Venture Capital,Venture Capital,2009,,USD,209274178.385130,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0076,"Allos Ventures II, L.P.","Allos Ventures II, L.P.",MGR_0058,Allos Ventures,Venture Capital,Venture Capital,2007,,USD,190288799.313802,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0077,"Arboretum Ventures IIa, L.P.","Arboretum Ventures IIa, L.P.",MGR_0059,Arboretum Ventures,Venture Capital,Venture Capital,2023,,USD,224586482.856369,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0078,"Arsenal Venture Partners IIa, L.P.","Arsenal Venture Partners IIa, L.P.",MGR_0060,Arsenal Venture Partners,Venture Capital,Venture Capital,2002,,USD,262730648.729770,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0079,Arsenal Ventures IIa,Arsenal Ventures IIa,MGR_0061,Arsenal Ventures,Venture Capital,Venture Capital,2008,,USD,210106772.082130,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0080,"Athenian Venture Partners III, L.P.","Athenian Venture Partners III, L.P.",MGR_0062,Athenian Venture Partners,Venture Capital,Venture Capital,2021,,USD,535531709.174500,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0081,"Charter Life Sciences (Ohio) II, L.P.","Charter Life Sciences (Ohio) II, L.P.",MGR_0063,Charter Life Sciences,Diversified Alternatives,Multi-Strategy,2012,,USD,357124757.580232,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0082,"Chrysalis Ventures (Ohio) III, L.P.","Chrysalis Ventures (Ohio) III, L.P.",MGR_0064,Chrysalis Ventures,Venture Capital,Venture Capital,2011,,USD,444694500.633427,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0083,Draper Triangle III,Draper Triangle III,MGR_0065,Draper Triangle,Diversified Alternatives,Multi-Strategy,2007,,USD,369928473.271497,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0084,"Draper Triangle Ohio Ventures, L.P.","Draper Triangle Ohio Ventures, L.P.",MGR_0066,Draper Triangle Ohio Ventures,Venture Capital,Venture Capital,2003,,USD,532126980.780410,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0085,"Draper Triangle Ventures Ohio III, L.P.","Draper Triangle Ventures Ohio III, L.P.",MGR_0067,Draper Triangle Ventures Ohio,Venture Capital,Venture Capital,2021,,USD,321280136.834416,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0086,"Early Stage Partners Fund II, L.P.","Early Stage Partners Fund II, L.P.",MGR_0068,Early Stage Partners,Diversified Alternatives,Multi-Strategy,2008,,USD,367235049.224576,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0087,Early Stage Partners II,Early Stage Partners II,MGR_0068,Early Stage Partners,Diversified Alternatives,Multi-Strategy,2001,,USD,474645242.347761,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0088,"Early Stage Partners II, L.P.","Early Stage Partners II, L.P.",MGR_0068,Early Stage Partners,Diversified Alternatives,Multi-Strategy,2015,,USD,592743711.632334,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0089,"Edison Venture Fund VII, L.P.","Edison Venture Fund VII, L.P.",MGR_0069,Edison Venture,Venture Capital,Venture Capital,2011,,USD,414481683.704669,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0090,"Edison Venture Fund VIII, L.P.","Edison Venture Fund VIII, L.P.",MGR_0069,Edison Venture,Venture Capital,Venture Capital,2020,,USD,319013038.868577,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0091,Edison VII AF I,Edison VII AF I,MGR_0070,Edison VII AF,Diversified Alternatives,Multi-Strategy,2013,,USD,293164998.750963,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,17,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0092,"Emerging Market Fund, LLC","Emerging Market Fund, LLC",MGR_0071,Emerging Market,Diversified Alternatives,Multi-Strategy,2006,,USD,382626613.586653,USD,,,,ACTIVE_OR_UNKNOWN,EXTRACTED,SRC036,16,,,ACTIVE,2026-08-10T23:57:56Z
