"document_fund_map_id","file_id","census_item_id","fund_id","fund_name_raw","fund_name_normalized","fund_manager_raw","manager_source_page","manager_pdf_page_number","manager_source_anchor","manager_source_quote","manager_source_bbox","relationship_role","perspective","share_class_name","lp_name","source_page","pdf_page_number","source_anchor","source_quote","source_bbox","provenance_type","agent_a_record_id","agent_b_record_id","adjudication_status","confidence","notes"
"DFM_00019","SRC035","","FUND_0019","Founders' Co-op III, L.P.","FOUNDERS CO OP III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Founders' Co-op III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00020","SRC035","","FUND_0020","Founders’ Co-op IV, L.P.","FOUNDERS CO OP IV L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Founders’ Co-op IV, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00021","SRC035","","FUND_0021","Goode Partners Consumer Fund III, L.P.","GOODE PARTNERS CONSUMER FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Goode Partners Consumer Fund III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00022","SRC035","","FUND_0022","Grain Communications Opportunity Fund III, L.P.","GRAIN COMMUNICATIONS OPPORTUNITY FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Grain Communications Opportunity Fund III, L.P. 2021 Infrastructure $5,000,000 $1,813,042 $3,188,225 $644 $1,577,891","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00023","SRC035","","FUND_0023","Homestead Capital USA Farmland Fund III, L.P.","HOMESTEAD CAPITAL USA FARMLAND FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Homestead Capital USA Farmland Fund III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00024","SRC035","","FUND_0024","K1 Special Opportunities Fund, L.P.","K1 SPECIAL OPPORTUNITIES FUND L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","K1 Special Opportunities Fund, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00025","SRC035","","FUND_0025","K4 Private Investors, L.P.","K4 PRIVATE INVESTORS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","K4 Private Investors, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00026","SRC035","","FUND_0026","K5 Private Investors, L.P.","K5 PRIVATE INVESTORS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","K5 Private Investors, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00027","SRC035","","FUND_0027","Madrona Venture Fund III, L.P.","MADRONA VENTURE FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Madrona Venture Fund III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00028","SRC035","","FUND_0028","Montlake Capital II, L.P.","MONTLAKE CAPITAL II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Montlake Capital II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00029","SRC035","","FUND_0029","Northwest Technology Ventures, L.P.","NORTHWEST TECHNOLOGY VENTURES L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Northwest Technology Ventures, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00030","SRC035","","FUND_0030","Oregon Angel Conferences 2011","OREGON ANGEL CONFERENCES 2011","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Oregon Angel Conferences 2011","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00031","SRC035","","FUND_0031","Oregon Angel Conferences 2012","OREGON ANGEL CONFERENCES 2012","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Conferences 2012","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00032","SRC035","","FUND_0032","Oregon Angel Conferences 2013","OREGON ANGEL CONFERENCES 2013","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Conferences 2013","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00033","SRC035","","FUND_0033","Oregon Angel Conferences 2014","OREGON ANGEL CONFERENCES 2014","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Conferences 2014","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00034","SRC035","","FUND_0034","Oregon Angel Fund 2008, LLC","OREGON ANGEL FUND 2008 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Oregon Angel Fund 2008, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00035","SRC035","","FUND_0035","Oregon Angel Fund 2009, LLC","OREGON ANGEL FUND 2009 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Oregon Angel Fund 2009, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00036","SRC035","","FUND_0036","Oregon Angel Fund 2010, LLC","OREGON ANGEL FUND 2010 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Oregon Angel Fund 2010, LLC 2010 Venture Capital $1,500,000 $1,500,000 $0 $277,541 $929,930 0.80 -2.16","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00037","SRC035","","FUND_0037","Oregon Angel Fund 2011, LLC","OREGON ANGEL FUND 2011 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Oregon Angel Fund 2011, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00038","SRC035","","FUND_0038","Oregon Angel Fund 2012, LLC","OREGON ANGEL FUND 2012 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2012, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00039","SRC035","","FUND_0039","Oregon Angel Fund 2013, LLC","OREGON ANGEL FUND 2013 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2013, LLC 2013 Venture Capital $1,500,000 $1,500,000 $0 $109,684 $5,496,437 3.74 16.30","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00040","SRC035","","FUND_0040","Oregon Angel Fund 2014, LLC","OREGON ANGEL FUND 2014 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2014, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00041","SRC035","","FUND_0041","Oregon Angel Fund 2015, LLC","OREGON ANGEL FUND 2015 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2015, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00042","SRC035","","FUND_0042","Oregon Angel Fund 2016, LLC","OREGON ANGEL FUND 2016 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2016, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00043","SRC035","","FUND_0043","Oregon Angel Fund 2017, LLC","OREGON ANGEL FUND 2017 LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Oregon Angel Fund 2017, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00044","SRC035","","FUND_0044","Oregon Venture Fund XII, LLC","OREGON VENTURE FUND XII LLC","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Oregon Venture Fund XII, LLC","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00045","SRC035","","FUND_0045","OVP Venture Partners VII, L.P.","OVP VENTURE PARTNERS VII L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","OVP Venture Partners VII, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00046","SRC035","","FUND_0046","Phoenix Venture Partners II, L.P.","PHOENIX VENTURE PARTNERS II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Phoenix Venture Partners II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00047","SRC035","","FUND_0047","Phoenix Venture Partners III, L.P.","PHOENIX VENTURE PARTNERS III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Phoenix Venture Partners III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00048","SRC035","","FUND_0048","Phoenix Venture Partners, L.P.","PHOENIX VENTURE PARTNERS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Phoenix Venture Partners, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00049","SRC035","","FUND_0049","Pioneer Square Ventures Fund II","PIONEER SQUARE VENTURES FUND II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Pioneer Square Ventures Fund II","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00050","SRC035","","FUND_0050","Pivotal Investments Partners Fund I, L.P.","PIVOTAL INVESTMENTS PARTNERS FUND I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Pivotal Investments Partners Fund I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00051","SRC035","","FUND_0051","Portland Seed Fund I, L.P.","PORTLAND SEED FUND I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Portland Seed Fund I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00052","SRC035","","FUND_0052","Portland Seed Fund II, L.P.","PORTLAND SEED FUND II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Portland Seed Fund II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00053","SRC035","","FUND_0053","Portland Seed Fund III, L.P.","PORTLAND SEED FUND III L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Portland Seed Fund III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00054","SRC035","","FUND_0054","Portland Seed Fund III - Side Car, L.P.","PORTLAND SEED FUND III SIDE CAR L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Portland Seed Fund III - Side Car, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00055","SRC035","","FUND_0055","Rethink Impact Fund II","RETHINK IMPACT FUND II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Rethink Impact Fund II","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00056","SRC035","","FUND_0056","Riverlake Equity Partners I, L.P.","RIVERLAKE EQUITY PARTNERS I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Riverlake Equity Partners I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00057","SRC035","","FUND_0057","Riverlake Equity Partners II, L.P.","RIVERLAKE EQUITY PARTNERS II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Riverlake Equity Partners II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00058","SRC035","","FUND_0058","Seven Peaks Ventures Fund II, L.P.","SEVEN PEAKS VENTURES FUND II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Seven Peaks Ventures Fund II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00059","SRC035","","FUND_0059","Seven Peaks Ventures Fund, L.P.","SEVEN PEAKS VENTURES FUND L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Seven Peaks Ventures Fund, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00060","SRC035","","FUND_0060","SmartForest Ventures I, L.P.","SMARTFOREST VENTURES I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","SmartForest Ventures I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00061","SRC035","","FUND_0061","Stellex Capital Partners II","STELLEX CAPITAL PARTNERS II","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Stellex Capital Partners II","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00062","SRC035","","FUND_0062","Tamarack Mezzanine Partners, L.P.","TAMARACK MEZZANINE PARTNERS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Tamarack Mezzanine Partners, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00063","SRC035","","FUND_0063","Timberline Annex Fund, L.P.","TIMBERLINE ANNEX FUND L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Timberline Annex Fund, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00064","SRC035","","FUND_0064","Timberline Venture Partners, L.P.","TIMBERLINE VENTURE PARTNERS L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Timberline Venture Partners, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00065","SRC035","","FUND_0065","Tiverton AgriFinance II, L.P.","TIVERTON AGRIFINANCE II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Tiverton AgriFinance II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00066","SRC035","","FUND_0066","TL Ventures VII, L.P.","TL VENTURES VII L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","TL Ventures VII, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00067","SRC035","","FUND_0067","Updata Partners V, L.P.","UPDATA PARTNERS V L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Updata Partners V, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00068","SRC035","","FUND_0068","Updata Partners VI, L.P.","UPDATA PARTNERS VI L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Updata Partners VI, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00069","SRC035","","FUND_0069","VamosVentures Fund I, L.P.","VAMOSVENTURES FUND I L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","VamosVentures Fund I, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00070","SRC035","","FUND_0070","VFC - Burnside Fund, L.P.","VFC BURNSIDE FUND L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","VFC - Burnside Fund, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00071","SRC035","","FUND_0071","Voyager Capital Fund IV, L.P.","VOYAGER CAPITAL FUND IV L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Voyager Capital Fund IV, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00072","SRC035","","FUND_0072","Voyager Capital Fund V, L.P.","VOYAGER CAPITAL FUND V L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","3","3","","Voyager Capital Fund V, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00073","SRC035","","FUND_0073","Women's VC Fund II, L.P.","WOMEN S VC FUND II L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Women's VC Fund II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00074","SRC035","","FUND_0074","Women's Venture Capital Fund, L.P.","WOMEN S VENTURE CAPITAL FUND L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","2","2","","Women's Venture Capital Fund, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00075","SRC035","","FUND_0075","Yaletown Ventures II (USA), L.P.","YALETOWN VENTURES II USA L P","","","","","","","subject_fund","lp_position","","Oregon Growth Account Private Equity Program","1","1","","Yaletown Ventures II (USA), L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form Oregon Growth Account Private Equity Program"
"DFM_00076","SRC036","","FUND_0076","Allos Ventures II, L.P.","ALLOS VENTURES II L P","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","16","16","","Allos Ventures II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
"DFM_00077","SRC036","","FUND_0077","Arboretum Ventures IIa, L.P.","ARBORETUM VENTURES IIA L P","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","16","16","","Arboretum Ventures IIa, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
"DFM_00078","SRC036","","FUND_0078","Arsenal Venture Partners IIa, L.P.","ARSENAL VENTURE PARTNERS IIA L P","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","16","16","","Arsenal Venture Partners IIa, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
"DFM_00079","SRC036","","FUND_0079","Arsenal Ventures IIa","ARSENAL VENTURES IIA","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","17","17","","Arsenal Ventures IIa","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
"DFM_00080","SRC036","","FUND_0080","Athenian Venture Partners III, L.P.","ATHENIAN VENTURE PARTNERS III L P","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","16","16","","Athenian Venture Partners III, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
"DFM_00081","SRC036","","FUND_0081","Charter Life Sciences (Ohio) II, L.P.","CHARTER LIFE SCIENCES OHIO II L P","","","","","","","subject_fund","lp_position","","The Ohio Capital Fund LLC","16","16","","Charter Life Sciences (Ohio) II, L.P.","","EXTRACTED","","","ADJUDICATED","","lp_name: took the longer printed form The Ohio Capital Fund LLC"
