analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,benchmark_selection,input_fee_basis,input_method
ANL_FUND_0006_20260605_KS_PME,FUND_0006,2026-06-05,ks_pme,0.464957103,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_2F4E447332E7FA73F43D;CFINT_35AF1F88A4EA488E1C87;CFINT_3FA8A46DEA8747C940E8;CFINT_23D356B2D4E5FC21A347;CFINT_89210ADC4FCA067ECA76;CFINT_5F79F7C12B474D7EB1C0;CFINT_0FA1987C8EB5D6C64218;CFINT_55390AA4DD635FD13EBC;RET_SPY_20160722;RET_SPY_20171127;RET_SPY_20190405;RET_SPY_20200810;RET_SPY_20220408;RET_SPY_20231207;RET_SPY_20250521;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0006_20260605_DIRECT_ALPHA,FUND_0006,2026-06-05,direct_alpha,-0.1054507815,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_2F4E447332E7FA73F43D;CFINT_35AF1F88A4EA488E1C87;CFINT_3FA8A46DEA8747C940E8;CFINT_23D356B2D4E5FC21A347;CFINT_89210ADC4FCA067ECA76;CFINT_5F79F7C12B474D7EB1C0;CFINT_0FA1987C8EB5D6C64218;CFINT_55390AA4DD635FD13EBC;RET_SPY_20160722;RET_SPY_20171127;RET_SPY_20190405;RET_SPY_20200810;RET_SPY_20220408;RET_SPY_20231207;RET_SPY_20250521;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0007_20260605_KS_PME,FUND_0007,2026-06-05,ks_pme,0.5571338753,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_E88ED3B59384377C2B08;CFINT_000E5588CDEA924BB176;CFINT_689E98689884565B3D64;CFINT_69611329546C5B244A8A;CFINT_DD6E44D3DA061A37B5E9;CFINT_90A745D0F014FD427F0E;CFINT_EB7450277704FC969023;CFINT_11B81A5F46599E032882;RET_SPY_20180615;RET_SPY_20190719;RET_SPY_20200821;RET_SPY_20210923;RET_SPY_20230126;RET_SPY_20240530;RET_SPY_20250801;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0007_20260605_DIRECT_ALPHA,FUND_0007,2026-06-05,direct_alpha,-0.0846937634,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_E88ED3B59384377C2B08;CFINT_000E5588CDEA924BB176;CFINT_689E98689884565B3D64;CFINT_69611329546C5B244A8A;CFINT_DD6E44D3DA061A37B5E9;CFINT_90A745D0F014FD427F0E;CFINT_EB7450277704FC969023;CFINT_11B81A5F46599E032882;RET_SPY_20180615;RET_SPY_20190719;RET_SPY_20200821;RET_SPY_20210923;RET_SPY_20230126;RET_SPY_20240530;RET_SPY_20250801;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0008_20260605_KS_PME,FUND_0008,2026-06-05,ks_pme,0.4108129585,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_5F4680E6BF42F3C680D0;CFINT_C541E8651337E654DA96;CFINT_835D0BB6264ACE15DC1F;CFINT_F69DA208239D40516D6C;CFINT_30BB8AF40B546C878982;CFINT_1CE92B54D58741D07EC6;CFINT_185A2C740C4FBADCE038;CFINT_AE5D8E0D185E8A754FCA;RET_SPY_20190529;RET_SPY_20200514;RET_SPY_20210430;RET_SPY_20220414;RET_SPY_20230621;RET_SPY_20240826;RET_SPY_20250908;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0008_20260605_DIRECT_ALPHA,FUND_0008,2026-06-05,direct_alpha,-0.139441295,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_5F4680E6BF42F3C680D0;CFINT_C541E8651337E654DA96;CFINT_835D0BB6264ACE15DC1F;CFINT_F69DA208239D40516D6C;CFINT_30BB8AF40B546C878982;CFINT_1CE92B54D58741D07EC6;CFINT_185A2C740C4FBADCE038;CFINT_AE5D8E0D185E8A754FCA;RET_SPY_20190529;RET_SPY_20200514;RET_SPY_20210430;RET_SPY_20220414;RET_SPY_20230621;RET_SPY_20240826;RET_SPY_20250908;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0009_20260605_KS_PME,FUND_0009,2026-06-05,ks_pme,0.5519411403,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_3B479EEC5FE668ED543D;CFINT_6768472E0B4828B5B58B;CFINT_02FB8B2BB986807CDA57;CFINT_9A35C5CF698FD129E0AE;CFINT_BDB46EB2519DDDB4BB19;CFINT_9525C467643F5C18F08B;CFINT_4129671C867C69218CBE;CFINT_7C6ABF2BABAC8A3112FA;RET_SPY_20210423;RET_SPY_20220104;RET_SPY_20220916;RET_SPY_20230530;RET_SPY_20240409;RET_SPY_20250214;RET_SPY_20251120;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0009_20260605_DIRECT_ALPHA,FUND_0009,2026-06-05,direct_alpha,-0.1324219476,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_3B479EEC5FE668ED543D;CFINT_6768472E0B4828B5B58B;CFINT_02FB8B2BB986807CDA57;CFINT_9A35C5CF698FD129E0AE;CFINT_BDB46EB2519DDDB4BB19;CFINT_9525C467643F5C18F08B;CFINT_4129671C867C69218CBE;CFINT_7C6ABF2BABAC8A3112FA;RET_SPY_20210423;RET_SPY_20220104;RET_SPY_20220916;RET_SPY_20230530;RET_SPY_20240409;RET_SPY_20250214;RET_SPY_20251120;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0010_20260605_KS_PME,FUND_0010,2026-06-05,ks_pme,0.2378407901,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_F7B5BB77DCA548C85CB6;CFINT_0DB5D9DF66AA71D50597;CFINT_2168E730BA7FA6CF6F6A;CFINT_AEAC4AC28B618289B849;CFINT_FA79117B014CA537258B;CFINT_EB9F193734FD407A7008;CFINT_CEA7E48EB3F572FFC489;CFINT_3EE92212AEEB78E223F7;RET_SPY_20080104;RET_SPY_20100712;RET_SPY_20130118;RET_SPY_20150727;RET_SPY_20180831;RET_SPY_20211008;RET_SPY_20240626;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0010_20260605_DIRECT_ALPHA,FUND_0010,2026-06-05,direct_alpha,-0.0992000647,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_F7B5BB77DCA548C85CB6;CFINT_0DB5D9DF66AA71D50597;CFINT_2168E730BA7FA6CF6F6A;CFINT_AEAC4AC28B618289B849;CFINT_FA79117B014CA537258B;CFINT_EB9F193734FD407A7008;CFINT_CEA7E48EB3F572FFC489;CFINT_3EE92212AEEB78E223F7;RET_SPY_20080104;RET_SPY_20100712;RET_SPY_20130118;RET_SPY_20150727;RET_SPY_20180831;RET_SPY_20211008;RET_SPY_20240626;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0011_20260605_KS_PME,FUND_0011,2026-06-05,ks_pme,0.5229264934,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_273D6DF554EC5548952F;CFINT_D95F7CB9296AB02C5D34;CFINT_8B8D052E275A1FAF99C7;CFINT_D8A1D2ED3F0BDB59DC6B;CFINT_879374237520F34120D9;CFINT_5B5002C28E0AE0AEE5D3;CFINT_13AA9CA714983ADB1E8C;CFINT_D823F2AE26FC36E9C0AE;RET_SPY_20150810;RET_SPY_20170201;RET_SPY_20180727;RET_SPY_20200117;RET_SPY_20211112;RET_SPY_20230908;RET_SPY_20250415;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0011_20260605_DIRECT_ALPHA,FUND_0011,2026-06-05,direct_alpha,-0.0705725898,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_273D6DF554EC5548952F;CFINT_D95F7CB9296AB02C5D34;CFINT_8B8D052E275A1FAF99C7;CFINT_D8A1D2ED3F0BDB59DC6B;CFINT_879374237520F34120D9;CFINT_5B5002C28E0AE0AEE5D3;CFINT_13AA9CA714983ADB1E8C;CFINT_D823F2AE26FC36E9C0AE;RET_SPY_20150810;RET_SPY_20170201;RET_SPY_20180727;RET_SPY_20200117;RET_SPY_20211112;RET_SPY_20230908;RET_SPY_20250415;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0012_20260605_KS_PME,FUND_0012,2026-06-05,ks_pme,0.4738139799,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_49E478A6918AE1906654;CFINT_23CB6A344B268BE4C840;CFINT_130669E8B55C7AB76676;CFINT_8CEFA61171DF6D52BF10;CFINT_64B5E04653E01E905BE1;CFINT_DD042443C1B4DEBFA680;CFINT_9E76951924402B453A01;CFINT_29B82C30DC2F4F94B794;RET_SPY_20200508;RET_SPY_20210309;RET_SPY_20220107;RET_SPY_20221104;RET_SPY_20231114;RET_SPY_20241122;RET_SPY_20251014;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0012_20260605_DIRECT_ALPHA,FUND_0012,2026-06-05,direct_alpha,-0.1366038377,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_49E478A6918AE1906654;CFINT_23CB6A344B268BE4C840;CFINT_130669E8B55C7AB76676;CFINT_8CEFA61171DF6D52BF10;CFINT_64B5E04653E01E905BE1;CFINT_DD042443C1B4DEBFA680;CFINT_9E76951924402B453A01;CFINT_29B82C30DC2F4F94B794;RET_SPY_20200508;RET_SPY_20210309;RET_SPY_20220107;RET_SPY_20221104;RET_SPY_20231114;RET_SPY_20241122;RET_SPY_20251014;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
ANL_FUND_0013_20260605_KS_PME,FUND_0013,2026-06-05,ks_pme,0.8083450705,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_39134BF37290A608363E;CFINT_48E18F6EB4A80C8AF205;CFINT_33566B59CE54483F7F11;CFINT_9A2E1ED1CAD0C536C45A;CFINT_B2DBAF2BC527A9CAE0AE;CFINT_B3FEA4E11D15894FF9C2;CFINT_3DEB3827277575C98126;CFINT_6494C4BE5870C3257093;RET_SPY_20010510;RET_SPY_20041014;RET_SPY_20080320;RET_SPY_20110825;RET_SPY_20151113;RET_SPY_20200203;RET_SPY_20231013;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,mapped_series_starts_after_first_cashflow,unstated,unstated
ANL_FUND_0013_20260605_DIRECT_ALPHA,FUND_0013,2026-06-05,direct_alpha,-0.0151121314,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_39134BF37290A608363E;CFINT_48E18F6EB4A80C8AF205;CFINT_33566B59CE54483F7F11;CFINT_9A2E1ED1CAD0C536C45A;CFINT_B2DBAF2BC527A9CAE0AE;CFINT_B3FEA4E11D15894FF9C2;CFINT_3DEB3827277575C98126;CFINT_6494C4BE5870C3257093;RET_SPY_20010510;RET_SPY_20041014;RET_SPY_20080320;RET_SPY_20110825;RET_SPY_20151113;RET_SPY_20200203;RET_SPY_20231013;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,mapped_series_starts_after_first_cashflow,unstated,unstated
ANL_FUND_0014_20260605_KS_PME,FUND_0014,2026-06-05,ks_pme,0.4369280969,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_021AEB476CDBCF805230;CFINT_C32AF18145601AAB5DA8;CFINT_A9B92E326B4A035AA86B;CFINT_3E4CBA94DE3524AABFC0;CFINT_33610E48FC73B6E07EC3;CFINT_0FA41EDFE46B0AB83B06;CFINT_033A9CE9DEA0D876821C;CFINT_EBCD220BAD3A51C6668E;RET_QQQ_20170705;RET_QQQ_20180924;RET_QQQ_20191213;RET_QQQ_20210303;RET_QQQ_20220902;RET_QQQ_20240304;RET_QQQ_20250627;RET_QQQ_20260605,BMK_ETF_QQQ,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,mapped,unstated,unstated
ANL_FUND_0014_20260605_DIRECT_ALPHA,FUND_0014,2026-06-05,direct_alpha,-0.108691951,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_021AEB476CDBCF805230;CFINT_C32AF18145601AAB5DA8;CFINT_A9B92E326B4A035AA86B;CFINT_3E4CBA94DE3524AABFC0;CFINT_33610E48FC73B6E07EC3;CFINT_0FA41EDFE46B0AB83B06;CFINT_033A9CE9DEA0D876821C;CFINT_EBCD220BAD3A51C6668E;RET_QQQ_20170705;RET_QQQ_20180924;RET_QQQ_20191213;RET_QQQ_20210303;RET_QQQ_20220902;RET_QQQ_20240304;RET_QQQ_20250627;RET_QQQ_20260605,BMK_ETF_QQQ,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,mapped,unstated,unstated
ANL_FUND_0015_20260605_KS_PME,FUND_0015,2026-06-05,ks_pme,0.6115987589,multiple,KS_PME_ASOF_BENCHMARK_V1,FPRINT_2DCF113B32777ED5FB8A;CFINT_980CAA375142E3B99573;CFINT_47D7E8A53B15E8F2BF64;CFINT_03460D0E2BCE054EB309;CFINT_2473BF253B61C0DEDE32;CFINT_9C47BB5E2101D9033FB8;CFINT_1E27EE0E2D8717C1C9A6;CFINT_F63F8568F5BF810812A0;RET_SPY_20091127;RET_SPY_20120302;RET_SPY_20140606;RET_SPY_20160909;RET_SPY_20190621;RET_SPY_20220401;RET_SPY_20240906;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Each cash flow uses the latest benchmark observation on or before its date; terminal NAV uses the as-of benchmark level.,no_canonical_strategy,unstated,unstated
ANL_FUND_0015_20260605_DIRECT_ALPHA,FUND_0015,2026-06-05,direct_alpha,-0.0470707794,decimal_rate,DIRECT_ALPHA_ASOF_BENCHMARK_XIRR_V1,FPRINT_2DCF113B32777ED5FB8A;CFINT_980CAA375142E3B99573;CFINT_47D7E8A53B15E8F2BF64;CFINT_03460D0E2BCE054EB309;CFINT_2473BF253B61C0DEDE32;CFINT_9C47BB5E2101D9033FB8;CFINT_1E27EE0E2D8717C1C9A6;CFINT_F63F8568F5BF810812A0;RET_SPY_20091127;RET_SPY_20120302;RET_SPY_20140606;RET_SPY_20160909;RET_SPY_20190621;RET_SPY_20220401;RET_SPY_20240906;RET_SPY_20260605,BMK_ETF_SPY,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Benchmark-scaled dated cash flows include terminal NAV on the as-of date.,no_canonical_strategy,unstated,unstated
