analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,input_fee_basis,input_method
ANL_FUND_0004_20260605_RVPI,FUND_0004,2026-06-05,rvpi,0.05,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_CF2B4688F5681A644B25,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0004_20260605_TVPI,FUND_0004,2026-06-05,tvpi,1.999525179,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_CF2B4688F5681A644B25,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0004_20260605_XIRR,FUND_0004,2026-06-05,xirr,0.0645646641,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_CF2B4688F5681A644B25;CFINT_D407D2A83F59AC2E3A18;CFINT_7DD6614006A60AAEB302;CFINT_72AA7016286651C6A676;CFINT_E678B748CB02D2BEA64D;CFINT_274F27FA389601AF1A35;CFINT_8F306F09E2A9DF6DDA4E;CFINT_59CD0575FD4FF1B8CDF2,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0005_20260605_DPI,FUND_0005,2026-06-05,dpi,0.01,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_90F094E455A743758BD9,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0005_20260605_RVPI,FUND_0005,2026-06-05,rvpi,1.021216,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_90F094E455A743758BD9,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0005_20260605_TVPI,FUND_0005,2026-06-05,tvpi,1.031216,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_90F094E455A743758BD9,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0005_20260605_XIRR,FUND_0005,2026-06-05,xirr,0.0061377032,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_90F094E455A743758BD9;CFINT_9F537CF4D0CB357CD839;CFINT_B131AB8F9E91A74B2C56;CFINT_39553F59E9F17E80B244;CFINT_5F632981F0015A120D5F;CFINT_2459C2FA0EC73EA2E148;CFINT_0E70CA4B3F8436B7F8A4;CFINT_F6EED28D1B686A7A653C,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0006_20260605_DPI,FUND_0006,2026-06-05,dpi,0.624534,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_2F4E447332E7FA73F43D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0006_20260605_RVPI,FUND_0006,2026-06-05,rvpi,0.547196,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_2F4E447332E7FA73F43D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0006_20260605_TVPI,FUND_0006,2026-06-05,tvpi,1.17173,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_2F4E447332E7FA73F43D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0006_20260605_XIRR,FUND_0006,2026-06-05,xirr,0.0230876312,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_2F4E447332E7FA73F43D;CFINT_35AF1F88A4EA488E1C87;CFINT_3FA8A46DEA8747C940E8;CFINT_23D356B2D4E5FC21A347;CFINT_89210ADC4FCA067ECA76;CFINT_5F79F7C12B474D7EB1C0;CFINT_0FA1987C8EB5D6C64218;CFINT_55390AA4DD635FD13EBC,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0007_20260605_DPI,FUND_0007,2026-06-05,dpi,0.066947,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_E88ED3B59384377C2B08,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0007_20260605_RVPI,FUND_0007,2026-06-05,rvpi,1.337358,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_E88ED3B59384377C2B08,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0007_20260605_TVPI,FUND_0007,2026-06-05,tvpi,1.404305,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_E88ED3B59384377C2B08,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0007_20260605_XIRR,FUND_0007,2026-06-05,xirr,0.0532259953,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_E88ED3B59384377C2B08;CFINT_000E5588CDEA924BB176;CFINT_689E98689884565B3D64;CFINT_69611329546C5B244A8A;CFINT_DD6E44D3DA061A37B5E9;CFINT_90A745D0F014FD427F0E;CFINT_EB7450277704FC969023;CFINT_11B81A5F46599E032882,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0008_20260605_DPI,FUND_0008,2026-06-05,dpi,0.01,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_5F4680E6BF42F3C680D0,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0008_20260605_RVPI,FUND_0008,2026-06-05,rvpi,1,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_5F4680E6BF42F3C680D0,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0008_20260605_TVPI,FUND_0008,2026-06-05,tvpi,1.01,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_5F4680E6BF42F3C680D0,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0008_20260605_XIRR,FUND_0008,2026-06-05,xirr,0.0017149666,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_5F4680E6BF42F3C680D0;CFINT_C541E8651337E654DA96;CFINT_835D0BB6264ACE15DC1F;CFINT_F69DA208239D40516D6C;CFINT_30BB8AF40B546C878982;CFINT_1CE92B54D58741D07EC6;CFINT_185A2C740C4FBADCE038;CFINT_AE5D8E0D185E8A754FCA,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0009_20260605_DPI,FUND_0009,2026-06-05,dpi,0.01,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_3B479EEC5FE668ED543D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0009_20260605_RVPI,FUND_0009,2026-06-05,rvpi,1,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_3B479EEC5FE668ED543D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0009_20260605_TVPI,FUND_0009,2026-06-05,tvpi,1.01,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_3B479EEC5FE668ED543D,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0009_20260605_XIRR,FUND_0009,2026-06-05,xirr,0.002353104,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_3B479EEC5FE668ED543D;CFINT_6768472E0B4828B5B58B;CFINT_02FB8B2BB986807CDA57;CFINT_9A35C5CF698FD129E0AE;CFINT_BDB46EB2519DDDB4BB19;CFINT_9525C467643F5C18F08B;CFINT_4129671C867C69218CBE;CFINT_7C6ABF2BABAC8A3112FA,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0010_20260605_DPI,FUND_0010,2026-06-05,dpi,0.3572924,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_F7B5BB77DCA548C85CB6,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0010_20260605_RVPI,FUND_0010,2026-06-05,rvpi,1.0133736,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_F7B5BB77DCA548C85CB6,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0010_20260605_TVPI,FUND_0010,2026-06-05,tvpi,1.370666,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_F7B5BB77DCA548C85CB6,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0010_20260605_XIRR,FUND_0010,2026-06-05,xirr,0.0225101198,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_F7B5BB77DCA548C85CB6;CFINT_0DB5D9DF66AA71D50597;CFINT_2168E730BA7FA6CF6F6A;CFINT_AEAC4AC28B618289B849;CFINT_FA79117B014CA537258B;CFINT_EB9F193734FD407A7008;CFINT_CEA7E48EB3F572FFC489;CFINT_3EE92212AEEB78E223F7,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0011_20260605_DPI,FUND_0011,2026-06-05,dpi,0.1534298018,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_273D6DF554EC5548952F,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0011_20260605_RVPI,FUND_0011,2026-06-05,rvpi,1.581219259,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_273D6DF554EC5548952F,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0011_20260605_TVPI,FUND_0011,2026-06-05,tvpi,1.7346490608,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_273D6DF554EC5548952F,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0011_20260605_XIRR,FUND_0011,2026-06-05,xirr,0.0645910867,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_273D6DF554EC5548952F;CFINT_D95F7CB9296AB02C5D34;CFINT_8B8D052E275A1FAF99C7;CFINT_D8A1D2ED3F0BDB59DC6B;CFINT_879374237520F34120D9;CFINT_5B5002C28E0AE0AEE5D3;CFINT_13AA9CA714983ADB1E8C;CFINT_D823F2AE26FC36E9C0AE,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0012_20260605_DPI,FUND_0012,2026-06-05,dpi,0.01,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_49E478A6918AE1906654,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0012_20260605_RVPI,FUND_0012,2026-06-05,rvpi,1.01238875,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_49E478A6918AE1906654,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0012_20260605_TVPI,FUND_0012,2026-06-05,tvpi,1.02238875,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_49E478A6918AE1906654,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0012_20260605_XIRR,FUND_0012,2026-06-05,xirr,0.0044180005,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_49E478A6918AE1906654;CFINT_23CB6A344B268BE4C840;CFINT_130669E8B55C7AB76676;CFINT_8CEFA61171DF6D52BF10;CFINT_64B5E04653E01E905BE1;CFINT_DD042443C1B4DEBFA680;CFINT_9E76951924402B453A01;CFINT_29B82C30DC2F4F94B794,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0013_20260605_DPI,FUND_0013,2026-06-05,dpi,2.690963664,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_39134BF37290A608363E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0013_20260605_RVPI,FUND_0013,2026-06-05,rvpi,0.05,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_39134BF37290A608363E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0013_20260605_TVPI,FUND_0013,2026-06-05,tvpi,2.740963664,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_39134BF37290A608363E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0013_20260605_XIRR,FUND_0013,2026-06-05,xirr,0.0692561634,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_39134BF37290A608363E;CFINT_48E18F6EB4A80C8AF205;CFINT_33566B59CE54483F7F11;CFINT_9A2E1ED1CAD0C536C45A;CFINT_B2DBAF2BC527A9CAE0AE;CFINT_B3FEA4E11D15894FF9C2;CFINT_3DEB3827277575C98126;CFINT_6494C4BE5870C3257093,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0014_20260605_DPI,FUND_0014,2026-06-05,dpi,0.218611462,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_021AEB476CDBCF805230,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0014_20260605_RVPI,FUND_0014,2026-06-05,rvpi,1.4105344003,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_021AEB476CDBCF805230,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0014_20260605_TVPI,FUND_0014,2026-06-05,tvpi,1.6291458623,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_021AEB476CDBCF805230,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0014_20260605_XIRR,FUND_0014,2026-06-05,xirr,0.0706969189,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_021AEB476CDBCF805230;CFINT_C32AF18145601AAB5DA8;CFINT_A9B92E326B4A035AA86B;CFINT_3E4CBA94DE3524AABFC0;CFINT_33610E48FC73B6E07EC3;CFINT_0FA41EDFE46B0AB83B06;CFINT_033A9CE9DEA0D876821C;CFINT_EBCD220BAD3A51C6668E,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0015_20260605_DPI,FUND_0015,2026-06-05,dpi,2.0238270249,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_2DCF113B32777ED5FB8A,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0015_20260605_RVPI,FUND_0015,2026-06-05,rvpi,0.25440136,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_2DCF113B32777ED5FB8A,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0015_20260605_TVPI,FUND_0015,2026-06-05,tvpi,2.2782283849,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FPRINT_2DCF113B32777ED5FB8A,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0015_20260605_XIRR,FUND_0015,2026-06-05,xirr,0.0836986097,decimal_rate,XIRR_ACTUAL_365_TERMINAL_NAV_V1,FPRINT_2DCF113B32777ED5FB8A;CFINT_980CAA375142E3B99573;CFINT_47D7E8A53B15E8F2BF64;CFINT_03460D0E2BCE054EB309;CFINT_2473BF253B61C0DEDE32;CFINT_9C47BB5E2101D9033FB8;CFINT_1E27EE0E2D8717C1C9A6;CFINT_F63F8568F5BF810812A0,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,Dated cash flows use the sign convention and terminal NAV is added on the as-of date.,unstated,unstated
ANL_FUND_0016_20260605_DPI,FUND_0016,2026-06-05,dpi,1.0564861372,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FPRINT_5F6EB9379A2ECA3CA0FC,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_FUND_0016_20260605_RVPI,FUND_0016,2026-06-05,rvpi,0.7436213528,multiple,RVPI_NAV_OVER_PAID_IN_V1,FPRINT_5F6EB9379A2ECA3CA0FC,,SYNTHETIC,ERROR_SEVERITY_APPROVED;run_id=INTEGRATED_QC_V1;approved=945;reviewed=945,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
