position_id,source_holding_id,owner_id,owner_fund_id,instrument_id,position_class,accounting_scope,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,quantity_raw,quantity,quantity_unit,currency,cost,fair_value,market_value,reported_value,realized_proceeds,commitment,unfunded_commitment,principal_amount,notional_amount,fund_ownership_fraction,portfolio_weight_fraction,initial_investment_date,exit_date,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,origin_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status
POS_GENERATED_011F9C2F667C98D1F961,,OWNER_FUND_0935,FUND_0935,INSTR_GENERATED_011F9C2F667C98D1F961,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,17574174.660695,23725135.791938,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_013E2298B1B2F86AA304,,OWNER_FUND_0730,FUND_0730,INSTR_GENERATED_013E2298B1B2F86AA304,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,4624000.000000,6242400.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_01497E93A6D1D4D622CB,,OWNER_FUND_0141,FUND_0141,INSTR_GENERATED_01497E93A6D1D4D622CB,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,50818928.401327,63523660.501659,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_018683CB39A36C15E3F8,,OWNER_FUND_1018,FUND_1018,INSTR_GENERATED_018683CB39A36C15E3F8,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,11194119.775473,13992649.719341,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_01C5B307C75BAB898580,,OWNER_FUND_0442,FUND_0442,INSTR_GENERATED_01C5B307C75BAB898580,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,362962.962963,490000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_01D567670F8A250E16C7,,OWNER_FUND_0849,FUND_0849,INSTR_GENERATED_01D567670F8A250E16C7,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,20513197.875005,25641497.343756,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_01D9A3564CA3CF6DD804,,OWNER_FUND_0437,FUND_0437,INSTR_GENERATED_01D9A3564CA3CF6DD804,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,69605209.009537,80045990.360967,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_01FC072739F81B445627,,OWNER_FUND_0059,FUND_0059,INSTR_GENERATED_01FC072739F81B445627,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,424241.720000,530302.150000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_021FD56EFA98EA81A408,,OWNER_FUND_0803,FUND_0803,INSTR_GENERATED_021FD56EFA98EA81A408,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,37553275.940914,46941594.926142,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0243D8758220AAC3F951,,OWNER_FUND_0973,FUND_0973,INSTR_GENERATED_0243D8758220AAC3F951,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,71974974.927145,97166216.151646,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_024EB6866FFC031F0B3F,,OWNER_FUND_0311,FUND_0311,INSTR_GENERATED_024EB6866FFC031F0B3F,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,75713807.000026,102213639.450035,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_02795B281EA0A900ABCF,,OWNER_FUND_0103,FUND_0103,INSTR_GENERATED_02795B281EA0A900ABCF,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,37838552.552480,47298190.690600,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_028F72F49AB41381E4F1,,OWNER_FUND_1020,FUND_1020,INSTR_GENERATED_028F72F49AB41381E4F1,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,672000.000000,840000.000000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_02B56FA61918C2A02A8C,,OWNER_FUND_0377,FUND_0377,INSTR_GENERATED_02B56FA61918C2A02A8C,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,62881116.044865,84889506.660568,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_02BCE75F0F994AE71740,,OWNER_FUND_0889,FUND_0889,INSTR_GENERATED_02BCE75F0F994AE71740,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,13288888.888889,17940000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_02E9F16CF8CC9159C571,,OWNER_FUND_0426,FUND_0426,INSTR_GENERATED_02E9F16CF8CC9159C571,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,64610956.985664,74302600.533514,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_033DAED375A88E1E7EF5,,OWNER_FUND_0804,FUND_0804,INSTR_GENERATED_033DAED375A88E1E7EF5,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,195555.555556,264000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0350BD85DBF5C44575CE,,OWNER_FUND_0344,FUND_0344,INSTR_GENERATED_0350BD85DBF5C44575CE,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,31953219.610706,36746202.552312,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_036317F3C4AC3BDFBEEA,,OWNER_FUND_0865,FUND_0865,INSTR_GENERATED_036317F3C4AC3BDFBEEA,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,362962.962963,490000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_036512E132CBA3416DC0,,OWNER_FUND_0480,FUND_0480,INSTR_GENERATED_036512E132CBA3416DC0,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,51937742.508472,64922178.135590,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0381C0892EC2CF02CB03,,OWNER_FUND_0851,FUND_0851,INSTR_GENERATED_0381C0892EC2CF02CB03,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,680869.565217,783000.000000,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_038A33135DA2451FE1EB,,OWNER_FUND_0324,FUND_0324,INSTR_GENERATED_038A33135DA2451FE1EB,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,38824455.622364,52413015.090191,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0392B6CC5CE36BD50F96,,OWNER_FUND_0592,FUND_0592,INSTR_GENERATED_0392B6CC5CE36BD50F96,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,74900088.431676,93625110.539595,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_03BF660D92BFAB88E775,,OWNER_FUND_0676,FUND_0676,INSTR_GENERATED_03BF660D92BFAB88E775,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,65324000.000000,81655000.000000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_03CD4A53675D4DA9DA94,,OWNER_FUND_0587,FUND_0587,INSTR_GENERATED_03CD4A53675D4DA9DA94,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,2518138.848863,3399487.445965,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_03E4D8E34EA1C593D8D6,,OWNER_FUND_0410,FUND_0410,INSTR_GENERATED_03E4D8E34EA1C593D8D6,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,3532171.848046,4768431.994862,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0400C4FFC0A2849A51B7,,OWNER_FUND_0106,FUND_0106,INSTR_GENERATED_0400C4FFC0A2849A51B7,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,94572668.128284,118215835.160355,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04039D6C297D0F004184,,OWNER_FUND_0482,FUND_0482,INSTR_GENERATED_04039D6C297D0F004184,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,36349172.385289,45436465.481611,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_040CA92AE40A5C2B1BE1,,OWNER_FUND_0859,FUND_0859,INSTR_GENERATED_040CA92AE40A5C2B1BE1,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,14822957.835576,20010993.078027,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0412889558AEB8B0B488,,OWNER_FUND_0464,FUND_0464,INSTR_GENERATED_0412889558AEB8B0B488,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,29472358.534330,33893212.314480,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_044478FCEFBD87327913,,OWNER_FUND_0145,FUND_0145,INSTR_GENERATED_044478FCEFBD87327913,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,31305820.050080,39132275.062600,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04510BD4AEE0E5EC3224,,OWNER_FUND_0533,FUND_0533,INSTR_GENERATED_04510BD4AEE0E5EC3224,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,16283539.444507,21982778.250085,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_045556EA1753055144C0,,OWNER_FUND_0866,FUND_0866,INSTR_GENERATED_045556EA1753055144C0,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,1372000.000000,1715000.000000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0458A0940725E0ECC7F6,,OWNER_FUND_0732,FUND_0732,INSTR_GENERATED_0458A0940725E0ECC7F6,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,42177690.214893,48504343.747127,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0471EC094F3DA46306FA,,OWNER_FUND_0843,FUND_0843,INSTR_GENERATED_0471EC094F3DA46306FA,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,22298606.438542,25643397.404323,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0499FA7387D653FC6650,,OWNER_FUND_1037,FUND_1037,INSTR_GENERATED_0499FA7387D653FC6650,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,19173913.043478,22050000.000000,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04AAFD6E6A8725662DE3,,OWNER_FUND_0559,FUND_0559,INSTR_GENERATED_04AAFD6E6A8725662DE3,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,86371696.810820,107964621.013525,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04BB5A17EE786F21E260,,OWNER_FUND_0036,FUND_0036,INSTR_GENERATED_04BB5A17EE786F21E260,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,260380.400000,325475.500000,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04CE1038B1C444B3B06A,,OWNER_FUND_0974,FUND_0974,INSTR_GENERATED_04CE1038B1C444B3B06A,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,87014670.546446,108768338.183058,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04E97EC051281E119504,,OWNER_FUND_1012,FUND_1012,INSTR_GENERATED_04E97EC051281E119504,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,326666.666667,441000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_04F9483ABDB1941298FF,,OWNER_FUND_0483,FUND_0483,INSTR_GENERATED_04F9483ABDB1941298FF,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,3157777.777778,4263000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_050CC2242CB7B7FC28A9,,OWNER_FUND_0693,FUND_0693,INSTR_GENERATED_050CC2242CB7B7FC28A9,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,37260444.196414,46575555.245518,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0514A2F70771632DEBC6,,OWNER_FUND_0809,FUND_0809,INSTR_GENERATED_0514A2F70771632DEBC6,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,54527991.303537,62707189.999068,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_05503A944455072928C7,,OWNER_FUND_0060,FUND_0060,INSTR_GENERATED_05503A944455072928C7,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,48148.148148,65000.000000,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_056216FE64A539B2BCBD,,OWNER_FUND_1015,FUND_1015,INSTR_GENERATED_056216FE64A539B2BCBD,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,1917391.304348,2205000.000000,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_05792E49E182E4250163,,OWNER_FUND_1038,FUND_1038,INSTR_GENERATED_05792E49E182E4250163,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,4434289.192198,5986290.409467,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0588226B8090D0F7787C,,OWNER_FUND_0341,FUND_0341,INSTR_GENERATED_0588226B8090D0F7787C,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,24026002.188356,30032502.735445,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_058A5F71B219FEC45C85,,OWNER_FUND_0267,FUND_0267,INSTR_GENERATED_058A5F71B219FEC45C85,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,141931513.983441,177414392.479301,,,,,,,,0.2000000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_0600F2A03DC4D1ED5595,,OWNER_FUND_0541,FUND_0541,INSTR_GENERATED_0600F2A03DC4D1ED5595,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,36937740.270724,49865949.365477,,,,,,,,0.2500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
POS_GENERATED_060AA019AEC0D88CC896,,OWNER_FUND_0910,FUND_0910,INSTR_GENERATED_060AA019AEC0D88CC896,DIRECT_COMPANY,fund_total,as_of,2026-06-05,day,2026-06-05,,,,,,,,USD,17334782.608696,19935000.000000,,,,,,,,0.1500000000,,,,HIGH,generated holding schema,Equity,SYNTHETIC,COMPLETION,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,ACTIVE
