fund_period_id,fund_id,lp_id,lp_name,share_class_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,perspective,currency,commitment,paid_in_capital_itd,distributions_itd,nav,unfunded_commitment,recallable_distributions_itd,dpi,rvpi,tvpi,reported_irr,calculated_irr,beginning_nav,contributions_period,distributions_period,realized_gain_period,unrealized_gain_period,net_income_period,management_fee_period,other_expenses_period,ending_nav,period_return,benchmark_return,fund_size,vintage_year,strategy,sub_strategy,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_observation_ids,synthetic_parameter_set_id,defect_expected,record_status
FP_7edbe31cad2c2ab9,FUND_0037,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,2359274,1920321,0,,,,2.85,0.2869,,,,,,,,,,,,,,2011,Venture Capital,,EXTRACTED,SRC035,,,,068210993d3ca776fee4 | 3ce283a0a71273861b0a | 3f63931da686d6bbed05 | 9fc556b58ac66367768a | af6316ff9bcf46af1dbf | b71166557a38079f4076 | c5dc22b979ca2977aea3,,,ACTIVE
FP_b91d8e998efa78d9,FUND_0038,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,941364,605254,0,,,,1.03,0.0054,,,,,,,,,,,,,,2012,Venture Capital,,EXTRACTED,SRC035,,,,0e0c0f7f75b9e92316b0 | 26c51c275a6a0bf17fa2 | 4b8523a1f9768316b5ec | 643aca903c8d587e33ca | 6849dad6d6797784bb4c | a9732370b63172f026d5 | b830ade847acd771e698,,,ACTIVE
FP_b754d0d76e31a793,FUND_0039,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,109684,5496437,0,,,,3.74,0.163,,,,,,,,,,,,,,2013,Venture Capital,,EXTRACTED,SRC035,,,,08d58e639c7f3f5eca7d | 0d795a2c4fa318203400 | 44f26ab3365faa4d7a23 | c84723eefe991cdb76e4 | cd82fe9560218a3bc6c5 | ecad2443f96f16b97243 | fc6c9e9d7e56eab0fdc3,,,ACTIVE
FP_4557cf19e28a2c56,FUND_0040,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,1908054,1719155,0,,,,2.42,0.1205,,,,,,,,,,,,,,2014,Venture Capital,,EXTRACTED,SRC035,,,,02ae3d8f24892d711714 | 366caccf83f2e642c5c3 | 4764a8038eab375eed34 | 7f98821c63a8f1580209 | 9e890a86067b59c9a36c | c395376cb6d57d4e0280 | ecfa7e66c456aa1f6331,,,ACTIVE
FP_902ff87f8392ed22,FUND_0041,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,176438,3846459,0,,,,2.68,0.1673,,,,,,,,,,,,,,2015,Venture Capital,,EXTRACTED,SRC035,,,,011164427b4455a4dd04 | 1795a413c3a24b2501c2 | 7ed2928d1eb7f222f35d | 8b5edb6f963e50258634 | a6c37d475fac63fc15da | af75028275551ae0c39f | e3a24fb9c83f07f3fba5,,,ACTIVE
FP_606cfd9da213c652,FUND_0042,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,817089,6739109,0,,,,5.04,0.3506,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,,,,1cdcd9f2c5c924539379 | 27fa04c1560d86c92677 | 4197f98d94a342f12e1e | 8ff572b74fd51eb9192a | c30def6e809814a10b7f | f330b85e223194fb27ea | f58ac95a075bfeff846d,,,ACTIVE
FP_e2d74c122ea9a0fc,FUND_0043,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,0,3282386,0,,,,2.19,0.1937,,,,,,,,,,,,,,2017,Venture Capital,,EXTRACTED,SRC035,,,,520c8eee731dc1dc0f03 | 65502c2c43479a3141e0 | 955735b692be40e5f923 | 9e82970edee9cc4e5258 | ad641e6c073c5cb886aa | b2ee198cfa0ef4ddd251 | d9996928903871abd54c,,,ACTIVE
FP_c067217bdc380fb8,FUND_0044,,,,as_of,,day,2021-12-31,,,,,fund_total,,7500000,5700000,479097,7490738,1800000,,,,1.4,0.1601,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,3cb02da59926723619e6 | 6d351a211751ca3208b1 | 86118ece61a8867c6a6b | 869ea3b07f676aa3dcd1 | 8d024103f0d9f7b3229c | f49ae35b09cdfe0f4de5 | fbbeb017f241d9de6b0c,,,ACTIVE
FP_389d6614888e6135,FUND_0045,,,,as_of,,day,2021-12-31,,,,,fund_total,,7000000,7000000,6209668,18311665,0,,,,3.5,0.1097,,,,,,,,,,,,,,2006,Venture Capital,,EXTRACTED,SRC035,,,,6226af245e99574d29b7 | 6faa3fbbe8e4fbd14cd3 | 877c45b4a5ad6c40c36a | a57781924e3739dd872f | ace1ec8fd25a8318819d | ba212853416f41c9bc02 | c15012a226412e30a81c,,,ACTIVE
FP_7ffd48f71f56c5fb,FUND_0046,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4333940,0,9101859,666060,,,,2.1,0.2469,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,,,,05236e229c34ef9f439d | 65c8b92d2eb40971d0f7 | 6fce94ae2387b909c96c | 909e7e22d1b9932ee41b | a86e992331e60e0118c7 | cda90f1c05c0939a1b76 | e479297e021a67e759c0,,,ACTIVE
FP_a48ee526cd8a736e,FUND_0047,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,1371567,0,1269537,3628433,,,,,,,,,,,,,,,,,,,2019,Venture Capital,,EXTRACTED,SRC035,,,,07887284cb3c28ab31f1 | 0ed6042a9acd57997ae8 | 185fc70ff99869de6fd5 | 838590c892069f57bab4 | d21fc980c275fcffa078,,,ACTIVE
FP_808c421098466dd8,FUND_0048,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,5000000,2276490,4114064,0,,,,1.28,0.0416,,,,,,,,,,,,,,2011,Venture Capital,,EXTRACTED,SRC035,,,,22c6d5dbeb8a314edc4f | 5b7211bd0d32e94306fd | 638788da68f2fcd7ea66 | 88fd635dfe8ffe2b962d | a60feb2bea12778a6a80 | b44cb3e82e6df605736d | c96f7424bf76f9915474,,,ACTIVE
FP_579f48fb1fd37714,FUND_0049,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,750000,0,694288,4250000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,1b466e41d8dc4561cd8c | a7bc2849c65ae7ae7595 | c08e8ccc0e6a2dd6600a | c13da05f3e444ed0fc1b | d63f524d736541fe6848,,,ACTIVE
FP_33e913261ee3f35f,FUND_0050,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4718038,2562843,550976,0,,,,0.66,-0.0628,,,,,,,,,,,,,,2009,Venture Capital,,EXTRACTED,SRC035,,,,0b9c52a10c32a58f2ac0 | 1a3ffedadfdd3819c58a | b07e18a4ff1553b2ff0e | ba7065150bc31068939a | cc116c38d242dde4786b | e08eb63e5d4385d93cdd | e587180c095b579f7c53,,,ACTIVE
FP_e3790698c67f9bbe,FUND_0051,,,,as_of,,day,2021-12-31,,,,,fund_total,,750000,750000,337174,0,0,,,,0.45,-0.1842,,,,,,,,,,,,,,2011,Venture Capital,,EXTRACTED,SRC035,,,,1eb81c6f9fb52b5802a6 | 39b75f9216c601ca2938 | 53dde7403e174131948f | 62cc140eb17cd76a2448 | 749570e839bbe3981f41 | bc63ab58a4c24b7738ef | e0e8a2f52ac93b105dfd,,,ACTIVE
FP_02563ffc4f8af625,FUND_0052,,,,as_of,,day,2021-12-31,,,,,fund_total,,1250000,1250000,1813393,1790063,0,,,,2.88,0.2275,,,,,,,,,,,,,,2014,Venture Capital,,EXTRACTED,SRC035,,,,0ac269406b9f4f401c54 | 145676b88ef5305e6384 | 4e8127f4745de730378f | 896b4b17a75f7699b9fb | a1205e634a1a7985a2ff | dca9491d648e9979685b | f45cd9643e193e03d85c,,,ACTIVE
FP_4d7aca5ebd0c757d,FUND_0053,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,2021123,36695,1746688,0,,,,0.88,-0.0743,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,4bca2a2fabbbda176c6a | 6f583fd11f4dcd69c6a2 | 7d465609ce5d415def47 | b92d37170dc72f6e6e63 | cd6d37b880c334ccc69d | e28c920d010112ff5a74 | fc869e9c51dc08e5d446,,,ACTIVE
FP_954204dcb31bf879,FUND_0054,,,,as_of,,day,2021-12-31,,,,,fund_total,,250000,252640,7992,244510,0,,,,1,-0.0003,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,09197f7df61b2786fd16 | 4156a7fedfc3fc78b224 | 5403ead7e45a921652b8 | 86f81f167cec035b3aa0 | 8b85c5ab15bbe41a85aa | c1819fe9c005f322b174 | cb7daae23eacf588775b,,,ACTIVE
FP_ef9b46aab76432cc,FUND_0055,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,1282401,0,1169932,3722793,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,0ef27e8a0cd7a2c178e9 | 863ee4eba20de3b0e2de | 8b7f65201b250b6bb9b1 | 9034fa226d85bed53d06 | db66e61d67824845f06d,,,ACTIVE
FP_76079955852127f5,FUND_0056,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,1968281,1962279,0,0,,,,1,-0.0008,,,,,,,,,,,,,,2004,Buyout,,EXTRACTED,SRC035,,,,03d769daef1c92f70f1c | 32a833b89f49264f6107 | 5c084ac9989a902bdbf9 | 5ebca78f566a3d843027 | 6c17488fa19161bcc5c0 | b4bb4fcf3acf49566efb | d34ff1ae8216d1238664,,,ACTIVE
FP_33537f3b30692600,FUND_0057,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4471233,3885926,1237969,0,,,,1.15,0.0188,,,,,,,,,,,,,,2008,Buyout,,EXTRACTED,SRC035,,,,2620246cd19dd6abd40f | 2ed140ddcbb3d92077b0 | 2f1bfced52413fcb4652 | 8eed87a38f6e3407a0a7 | 9cf616353b9c92e52bc2 | d6796cb4cd211ec65ba3 | fe3de79d5d6d0d32c7bb,,,ACTIVE
FP_72717c23af2a49ad,FUND_0058,,,,as_of,,day,2021-12-31,,,,,fund_total,,3000000,2700000,428886,2487116,300000,,,,1.08,0.045,,,,,,,,,,,,,,2017,Venture Capital,,EXTRACTED,SRC035,,,,0f511ebd61b0d201b552 | 1111cc5c61858b250273 | 410db856cee351058bcc | 9a3ce1f3ecfd0ad63f4e | c21e04c7c2bd500dcbfc | e8dff67d7f5ce6b76f7f | eddfebb4e29abc5e49ca,,,ACTIVE
FP_06a1ef246b77d07c,FUND_0059,,,,as_of,,day,2021-12-31,,,,,fund_total,,500000,500000,104687,1515149,0,,,,3.24,0.2158,,,,,,,,,,,,,,2014,Venture Capital,,EXTRACTED,SRC035,,,,164b5d09470444280568 | 29a6fe59be7681e78a5b | 4c0661d66116afc9d17c | c0fc76e277d1f7f3042f | c173d888d13cf51604d2 | e907a1b32fcb582eae78 | ffed088bccd22e8b078a,,,ACTIVE
FP_1b6ed8d8405d3993,FUND_0060,,,,as_of,,day,2021-12-31,,,,,fund_total,,6500000,6500000,0,0,0,,,,0,,,,,,,,,,,,,,,2000,Venture Capital,,EXTRACTED,SRC035,,,,05270cbda4d2ab458db3 | 11f7c1404e9815d8c372 | 13fd6909379c608ec62e | 85fd66e3d331389a6bdf | b741989b3a4a6b8e0d01 | e0c3a53e5fe86fac5b50,,,ACTIVE
FP_211f25d8af533b6d,FUND_0061,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,1256760,0,1149112,3743105,,,,,,,,,,,,,,,,,,,2021,Buyout,,EXTRACTED,SRC035,,,,32c9bd6aba9dfff15c9e | 6e20bd9040a9698fe983 | 88643efefb48e9c1b528 | 9125a7cb743eefb6ba3b | fc35f32152412a68c889,,,ACTIVE
FP_fce48e9e50abfc94,FUND_0062,,,,as_of,,day,2021-12-31,,,,,fund_total,,1369921,1369921,0,0,0,,,,0,,,,,,,,,,,,,,,1999,Mezzanine,,EXTRACTED,SRC035,,,,4a5969c60e2c450e9af0 | 4e5fb6e25da3a992d6da | 55fd3a8285920049599b | a2fb7e0ff477d3d750c3 | afc5305831c8de60976e | b6730193fb340985089c,,,ACTIVE
