"route_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"19","SRC381","Financials_J_Paul_Getty_Trust_FY2022_Audited.pdf","28","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","The J. Paul Getty Trust","a6e2ae1f5754006c605f43ae139f22f56508a4766c59d571b1a5eb24bbcc9214","data/documents/txt/Financials_J_Paul_Getty_Trust_FY2022_Audited.txt","data/documents/pdf/Financials_J_Paul_Getty_Trust_FY2022_Audited.pdf","data/documents/images/Financials_J_Paul_Getty_Trust_FY2022_Audited","data/documents/grids/Financials_J_Paul_Getty_Trust_FY2022_Audited.csv"
"20","SRC410","Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024.pdf","28","Financials","Schedule_Inv","01-financials","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","AMG Pantheon Credit Solutions Fund (PCSJX)","d9bf3b0ce25787d92e726d76ff12584e38d7b2d572c5a1f58962d0b88d4443de","data/documents/txt/Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024.txt","data/documents/pdf/Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024.pdf","data/documents/images/Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024","data/documents/grids/Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024.csv"
"21","SRC368","Financials_MacArthur_Foundation_Dec2024_Audited.pdf","29","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","John D. and Catherine T. MacArthur Foundation","ce589d7f41b5e8cd2feaded7b1b84b61f8976658b2a7270b800ba71744561d1e","data/documents/txt/Financials_MacArthur_Foundation_Dec2024_Audited.txt","data/documents/pdf/Financials_MacArthur_Foundation_Dec2024_Audited.pdf","data/documents/images/Financials_MacArthur_Foundation_Dec2024_Audited","data/documents/grids/Financials_MacArthur_Foundation_Dec2024_Audited.csv"
"22","SRC445","Financials_RicheyMay_Hedge_Fund_Template_2020.pdf","29","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","809119ce909a3126f22e0794a0b93e6050ea1f14509dea488dc7ebe4b8c6213c","data/documents/txt/Financials_RicheyMay_Hedge_Fund_Template_2020.txt","data/documents/pdf/Financials_RicheyMay_Hedge_Fund_Template_2020.pdf","data/documents/images/Financials_RicheyMay_Hedge_Fund_Template_2020","data/documents/grids/Financials_RicheyMay_Hedge_Fund_Template_2020.csv"
"23","SRC449","Financials_RicheyMay_PE_And_VC_Template_2025.pdf","29","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","da7d7bb7c8c1d4a74bfdeafd5705ce94b2e12e41ca4cc539c6c4b943b3d85483","data/documents/txt/Financials_RicheyMay_PE_And_VC_Template_2025.txt","data/documents/pdf/Financials_RicheyMay_PE_And_VC_Template_2025.pdf","data/documents/images/Financials_RicheyMay_PE_And_VC_Template_2025","data/documents/grids/Financials_RicheyMay_PE_And_VC_Template_2025.csv"
"24","SRC360","Financials_Indiana_University_Foundation_FY2025_Audited.pdf","30","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Indiana University Foundation","6e89b08534a69ea7fb417c3730b245031d0cdea7ba8be110925522505745e3da","data/documents/txt/Financials_Indiana_University_Foundation_FY2025_Audited.txt","data/documents/pdf/Financials_Indiana_University_Foundation_FY2025_Audited.pdf","data/documents/images/Financials_Indiana_University_Foundation_FY2025_Audited","data/documents/grids/Financials_Indiana_University_Foundation_FY2025_Audited.csv"
"25","SRC444","Financials_RicheyMay_Hedge_Fund_Template_2019.pdf","30","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","7504bff5cd9a84a0d1d40d2d943202a2c7a9eebb79ac3d64a6356172d344712a","data/documents/txt/Financials_RicheyMay_Hedge_Fund_Template_2019.txt","data/documents/pdf/Financials_RicheyMay_Hedge_Fund_Template_2019.pdf","data/documents/images/Financials_RicheyMay_Hedge_Fund_Template_2019","data/documents/grids/Financials_RicheyMay_Hedge_Fund_Template_2019.csv"
"26","SRC087","Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf","31","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","CohnReznick LLP","b854d236d8eebd177fe1ed30356b9c1e5206cf06bd8d7c0ae962137c5c42477b","data/documents/txt/Financials_CohnReznick_Private_Equity_Illustrative_2025.txt","data/documents/pdf/Financials_CohnReznick_Private_Equity_Illustrative_2025.pdf","data/documents/images/Financials_CohnReznick_Private_Equity_Illustrative_2025","data/documents/grids/Financials_CohnReznick_Private_Equity_Illustrative_2025.csv"
"27","SRC294","Financials_Pantheon_Infrastructure_Financial_Statements_FY2024.pdf","31","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Pantheon Infrastructure Plc","8c9475cabac8e57ed4197a926183a0782918ecc697f91c4e79513288d59e96c0","data/documents/txt/Financials_Pantheon_Infrastructure_Financial_Statements_FY2024.txt","data/documents/pdf/Financials_Pantheon_Infrastructure_Financial_Statements_FY2024.pdf","data/documents/images/Financials_Pantheon_Infrastructure_Financial_Statements_FY2024","data/documents/grids/Financials_Pantheon_Infrastructure_Financial_Statements_FY2024.csv"
"28","SRC406","Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025.pdf","31","Financials","Schedule_Inv","01-financials","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Pomona Investment Fund (Pomona Capital / Voya)","ab85563118c8aaa71e7791208f4587f68ed5c4b53cc0274a91c20885fb444bda","data/documents/txt/Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025.txt","data/documents/pdf/Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025.pdf","data/documents/images/Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025","data/documents/grids/Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025.csv"
"29","SRC446","Financials_RicheyMay_Hedge_Fund_Template_2025.pdf","31","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Richey May & Co.","98aa4eb4ee62841ffe41d6dd18c9cd63adbe8c000059c9861f34b1584c69831b","data/documents/txt/Financials_RicheyMay_Hedge_Fund_Template_2025.txt","data/documents/pdf/Financials_RicheyMay_Hedge_Fund_Template_2025.pdf","data/documents/images/Financials_RicheyMay_Hedge_Fund_Template_2025","data/documents/grids/Financials_RicheyMay_Hedge_Fund_Template_2025.csv"
"30","SRC394","Financials_NC_State_University_Foundation_FY2023_Audited.pdf","33","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","NC State University Foundation, Inc.","1e0cad3cb61d14df370e95c2b5e0ad29473aecb62518aeb8c90db91ddc859b13","data/documents/txt/Financials_NC_State_University_Foundation_FY2023_Audited.txt","data/documents/pdf/Financials_NC_State_University_Foundation_FY2023_Audited.pdf","data/documents/images/Financials_NC_State_University_Foundation_FY2023_Audited","data/documents/grids/Financials_NC_State_University_Foundation_FY2023_Audited.csv"
"31","SRC481","Schedule_Inv_Calamos_Aksia_Private_Equity_Alternatives_Fund_SemiAnnual.pdf","34","Financials","Schedule_Inv","01-financials","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Calamos Aksia Private Equity and Alternatives Fund","2183fd4469e17ffd9dc678db4fe5aef4c49fb8b9a25b1dc6d218a3e8be945550","data/documents/txt/Schedule_Inv_Calamos_Aksia_Private_Equity_Alternatives_Fund_SemiAnnual.txt","data/documents/pdf/Schedule_Inv_Calamos_Aksia_Private_Equity_Alternatives_Fund_SemiAnnual.pdf","data/documents/images/Schedule_Inv_Calamos_Aksia_Private_Equity_Alternatives_Fund_SemiAnnual","data/documents/grids/Schedule_Inv_Calamos_Aksia_Private_Equity_Alternatives_Fund_SemiAnnual.csv"
"32","SRC419","Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr.pdf","35","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Variant Alternative Lending Fund","e75eca60dcfc2bc5efb91a2749cb34899b1e19c336b0e112cbdd716b8c98d12a","data/documents/txt/Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr.txt","data/documents/pdf/Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr.pdf","data/documents/images/Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr","data/documents/grids/Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr.csv"
"33","SRC479","Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.pdf","35","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Equity Trustees / Partners Group Global Multi-Asset Fund (ARSN 603 696 171)","abe71c69a5e920dcc0349c3365e99ff926c5c2453934ebc57c9729be954ba7b9","data/documents/txt/Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.txt","data/documents/pdf/Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.pdf","data/documents/images/Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report","data/documents/grids/Financials_Partners_Group_Global_MultiAsset_Fund_Annual_Report.csv"
"34","SRC387","Financials_Washington_University_StLouis_FY2025_Consolidated.pdf","36","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Washington University in St. Louis","3fcf3f6930b5c8b0d54273fe7163bd0679d7398872cbe1a6a71c5c1034570cb5","data/documents/txt/Financials_Washington_University_StLouis_FY2025_Consolidated.txt","data/documents/pdf/Financials_Washington_University_StLouis_FY2025_Consolidated.pdf","data/documents/images/Financials_Washington_University_StLouis_FY2025_Consolidated","data/documents/grids/Financials_Washington_University_StLouis_FY2025_Consolidated.csv"
"35","SRC430","Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015.pdf","36","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","KPMG LLP (US)","4237a6297bbfc3db7ce1e245b755260433ddb81f65427d92a891e431b6a24471","data/documents/txt/Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015.txt","data/documents/pdf/Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015.pdf","data/documents/images/Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015","data/documents/grids/Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015.csv"
"36","SRC037","Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf","38","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Utah Capital Investment Corporation / Utah Fund of Funds, LLC","29c835fc4a64961aecf5b06a9ad2e53b4952bb6078d06e3dfd2e5662c9336ff7","data/documents/txt/Financials_Utah_Fund_of_Funds_LLC_FY2021.txt","data/documents/pdf/Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf","data/documents/images/Financials_Utah_Fund_of_Funds_LLC_FY2021","data/documents/grids/Financials_Utah_Fund_of_Funds_LLC_FY2021.csv"
"37","SRC130","Financials_Deloitte_AIFM_Illustrative_2024.pdf","38","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Deloitte","4cf98c7fbbca05de59f3384ce37223992292c129b03b2cb255e5481d25c764e6","data/documents/txt/Financials_Deloitte_AIFM_Illustrative_2024.txt","data/documents/pdf/Financials_Deloitte_AIFM_Illustrative_2024.pdf","data/documents/images/Financials_Deloitte_AIFM_Illustrative_2024","data/documents/grids/Financials_Deloitte_AIFM_Illustrative_2024.csv"
"38","SRC361","Financials_University_of_Illinois_Foundation_FY2025_Audited.pdf","38","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Illinois Foundation","0a173e607c1e226e1dc38cd6c1bcda7d30bed80240a14659d327b4896c385207","data/documents/txt/Financials_University_of_Illinois_Foundation_FY2025_Audited.txt","data/documents/pdf/Financials_University_of_Illinois_Foundation_FY2025_Audited.pdf","data/documents/images/Financials_University_of_Illinois_Foundation_FY2025_Audited","data/documents/grids/Financials_University_of_Illinois_Foundation_FY2025_Audited.csv"
"39","SRC091","Financials_KPMG_Private_Equity_Illustrative_2022.pdf","40","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","KPMG LLP","6be1d6b689ffd90dcf2195ef49ef7532db66e83d17e26f33c07bda4b72ef1d65","data/documents/txt/Financials_KPMG_Private_Equity_Illustrative_2022.txt","data/documents/pdf/Financials_KPMG_Private_Equity_Illustrative_2022.pdf","data/documents/images/Financials_KPMG_Private_Equity_Illustrative_2022","data/documents/grids/Financials_KPMG_Private_Equity_Illustrative_2022.csv"
"40","SRC393","Financials_Georgia_Tech_Foundation_FY2025_Consolidated.pdf","40","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Georgia Tech Foundation, Inc.","b5f4de1b091ada685341bc50abe16e650299ddf7ff46cfd1c3f7bfdd3126bdf2","data/documents/txt/Financials_Georgia_Tech_Foundation_FY2025_Consolidated.txt","data/documents/pdf/Financials_Georgia_Tech_Foundation_FY2025_Consolidated.pdf","data/documents/images/Financials_Georgia_Tech_Foundation_FY2025_Consolidated","data/documents/grids/Financials_Georgia_Tech_Foundation_FY2025_Consolidated.csv"
"41","SRC431","Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022.pdf","40","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","KPMG Cayman Islands","b6a3883351c14c1096c64420e41868144a87a823488daf711cda48ba268e96c9","data/documents/txt/Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022.txt","data/documents/pdf/Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022.pdf","data/documents/images/Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022","data/documents/grids/Financials_KPMG_Cayman_Private_Equity_Illustrative_FY2022.csv"
"42","SRC354","Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited.pdf","41","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Texas/Texas A&M Investment Management Company (UTIMCO)","4f358069b7ed3c9ceb42c107a729f3428668cbab43c92d1f66abce4e394d6915","data/documents/txt/Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited.txt","data/documents/pdf/Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited.pdf","data/documents/images/Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited","data/documents/grids/Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited.csv"
"43","SRC129","Financials_EisnerAmper_Illustrative_2022.pdf","42","Financials","Financials","01-financials","REFERENCE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","EisnerAmper","22d4ebd8e97dc6c52da9b606071f30906cd3d4166da932b257c6b27f2a208b3a","data/documents/txt/Financials_EisnerAmper_Illustrative_2022.txt","data/documents/pdf/Financials_EisnerAmper_Illustrative_2022.pdf","data/documents/images/Financials_EisnerAmper_Illustrative_2022","data/documents/grids/Financials_EisnerAmper_Illustrative_2022.csv"
"44","SRC386","Financials_University_of_Notre_Dame_FY2025_Consolidated.pdf","42","Financials","Financials","01-financials","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Notre Dame du Lac","1c5f160267721ac634197f91b94f43dc79ed8a5d8b32289773b0bf950ecabb72","data/documents/txt/Financials_University_of_Notre_Dame_FY2025_Consolidated.txt","data/documents/pdf/Financials_University_of_Notre_Dame_FY2025_Consolidated.pdf","data/documents/images/Financials_University_of_Notre_Dame_FY2025_Consolidated","data/documents/grids/Financials_University_of_Notre_Dame_FY2025_Consolidated.csv"
