metric_id,standard_measure,measure_scope,note,decided_by,evidence
fund_economics_observation.commitment,commitment,mixed,Capital committed for an investment row or a printed portfolio total; eligible fund rows populate fund_periods.commitment.,"metric vocabulary review, 2026-08-28","published rows: fund 343, portfolio 19, investor 4, asset_class 2, investment 1; PERIOD_COLUMNS"
fund_economics_observation.contribution,contribution_amount,mixed,"One contribution or a period total at the source's investor, portfolio, or asset-class grain.","metric vocabulary review, 2026-08-28","published rows: investor 46, portfolio 54, asset_class 6"
fund_economics_observation.distribution,reported_distribution_amount,mixed,Distribution amount at the period or inception-to-date basis printed by the source; eligible inception-to-date rows populate fund_periods.distributions_itd.,"metric vocabulary review, 2026-08-28","published rows: fund 315, portfolio 64, investor 63, foundation 12, asset_class 6; PERIOD_COLUMNS"
fund_economics_observation.dpi,dpi,mixed,"Distributions to paid-in at fund, portfolio, asset-class, or investor grain.","metric vocabulary review, 2026-08-28","published rows: portfolio 65, fund 58, asset_class 2, investor 1"
fund_economics_observation.ending_capital,capital_closing_balance,mixed,"Closing balance at the investor, portfolio, or asset-class grain printed by the source.","metric vocabulary review, 2026-08-28","published rows: asset_class 6, investor 3, portfolio 2"
fund_economics_observation.fee,fee_amount,mixed,"Fee amount at the service-provider, fee-line, fund, portfolio, asset-class, or investor grain printed by the source.","metric vocabulary review, 2026-08-28","published rows: fund 179, portfolio 17, service_provider 10, fee_scope 8, asset_class 6, investor 4, other_printed_scope 1"
fund_economics_observation.fund_expense,fund_expense_ratio,fee_schedule,Six fee-schedule rows printed as percentages by share class.,"metric vocabulary review, 2026-08-28",published rows: value kind percent; subject type fee_scope 6
fund_economics_observation.income,reported_income_or_distribution_rate,mixed,Twelve investor capital-account amounts and four annualized distribution rates. Value kind and unit preserve the distinction.,"metric vocabulary review, 2026-08-28","published rows: 12 number values, 4 percent values labelled Annualized Distribution Rate"
fund_economics_observation.irr,internal_rate_of_return,mixed,"IRR at fund, portfolio, or asset-class grain under the fee basis printed by the source; eligible fund rows populate fund_periods.reported_irr.","metric vocabulary review, 2026-08-28","published rows: fund 310, portfolio 72, asset_class 2; PERIOD_COLUMNS"
fund_economics_observation.nav,reported_residual_value,mixed,Residual value reported for a fund row or aggregate portfolio and asset-class total; eligible fund rows populate fund_periods.nav.,"metric vocabulary review, 2026-08-28","published rows: fund 375, portfolio 76, asset_class 2; labels Fair Market Value, Market Value, Remaining Value, Reported Market Value; PERIOD_COLUMNS"
fund_economics_observation.ownership_percentage,ownership_percentage,mixed,Ownership share reported for an investor position or an investment example.,"metric vocabulary review, 2026-08-28","published rows: investor 2, investment 1"
fund_economics_observation.paid_in_capital,paid_in_capital,mixed,"Paid-in capital at fund, portfolio, asset-class, or investor grain; eligible fund rows populate fund_periods.paid_in_capital_itd.","metric vocabulary review, 2026-08-28","published rows: fund 339, portfolio 19, asset_class 2, investor 1; PERIOD_COLUMNS"
fund_economics_observation.preferred_return,preferred_return_component,cash_flow_event,"The preferred-return component of a distribution.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fund_economics_observation.realized_gain_loss,realized_gain_loss,investor_position,Realized gain or loss for one investor position.,"metric vocabulary review, 2026-08-28",published rows: investor 1
fund_economics_observation.recallable_distribution,recallable_distributions,investor_position,Distributed capital subject to a future call at investor-position grain.,"metric vocabulary review, 2026-08-28",published rows: investor 4
fund_economics_observation.return,net_modified_dietz_time_weighted_return,mixed,"SRC457 reports net time-weighted returns calculated with Modified Dietz for fund, portfolio, asset-class, and benchmark rows.","metric vocabulary review, 2026-08-28",SRC457 page 4 footnote 1 and pages 9 to 10 footnote 1
fund_economics_observation.return_of_capital,return_of_capital_component,cash_flow_event,"The return-of-capital component of a distribution.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
fund_economics_observation.rvpi,rvpi,mixed,"Residual value to paid-in at fund, portfolio, or asset-class grain.","metric vocabulary review, 2026-08-28","published rows: portfolio 65, fund 58, asset_class 2"
fund_economics_observation.tvpi,tvpi,mixed,"Total value to paid-in at fund, portfolio, or asset-class grain.","metric vocabulary review, 2026-08-28","published rows: fund 347, portfolio 74, asset_class 2"
fund_economics_observation.unfunded_commitment,unfunded_commitment,mixed,"Uncalled commitment at fund, portfolio, asset-class, or investor grain; eligible fund rows populate fund_periods.unfunded_commitment.","metric vocabulary review, 2026-08-28","published rows: fund 126, portfolio 16, asset_class 2, investor 2; PERIOD_COLUMNS"
fund_economics_observation.unrealized_gain_loss,unrealized_gain_loss,mixed,"Change in unrealized gain or loss at investor, portfolio, or asset-class grain.","metric vocabulary review, 2026-08-28","published rows: asset_class 6, investor 3, portfolio 1"
legal_clause,legal_clause_text,legal_text,"Printed wording of one operative provision.","metric vocabulary review, 2026-08-28","record family definition"
legal_term,legal_term_text,legal_text,"Printed wording of one economic term.","metric vocabulary review, 2026-08-28","record family definition"
nav_observation.nav,net_asset_value,nav_statement,"The NAV total of a NAV statement, by class or in total.","metric vocabulary review, 2026-08-28","published rows: subject types other_printed_scope 10, reporting_entity 5"
nav_observation.nav_component,nav_build_up_line,nav_statement,"One line of the NAV build-up: investments, cash, debt, other assets and liabilities.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.nav_per_share,nav_per_share,nav_statement,"NAV per share or unit by class.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.repurchase_limit,repurchase_limit,nav_statement,"A repurchase or redemption limit as a share of NAV or an amount.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.request_satisfaction,repurchase_requests_satisfied,nav_statement,"Share or amount of repurchase requests satisfied.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.shares_units,shares_outstanding,nav_statement,"Shares or units outstanding, issued, or sold.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.transaction_price,transaction_price_per_share,nav_statement,"Transaction price per share by class.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
nav_observation.valuation_assumption,valuation_input_rate,nav_statement,A model input such as a discount rate or exit capitalization rate.,"metric vocabulary review, 2026-08-28",SRC247 page 2 untitled assumptions table
nav_observation.valuation_sensitivity,valuation_sensitivity,nav_statement,"Change in value for a stated change in an assumption.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
performance_observation.alpha,excess_return_vs_benchmark,mixed,"Value Added rows; the subject is the pool or asset class whose benchmark is printed beside it.","metric vocabulary review, 2026-08-28","SRC384 pages 2 to 4: Value Added rows under each policy benchmark"
performance_observation.aum,portfolio_total_value,portfolio_total,"Market value of a whole pool, plan, endowment, or reported portfolio total.","metric vocabulary review, 2026-08-28","published rows: portfolio 59, reporting_entity 1"
performance_observation.fair_value,reported_market_or_fair_value,mixed,"Seventy-three partnership ending market values, ten holding market values, twenty-three asset-class values, and two portfolio values.","metric vocabulary review, 2026-08-28","published rows: fund 73, investment 10, asset_class 23, portfolio 2"
performance_observation.irr,internal_rate_of_return,portfolio_total,"IRR of a whole portfolio as printed.","metric vocabulary review, 2026-08-28","SRC457 page 5 Net Total Portfolio Performance"
performance_observation.return,printed_period_return,mixed,"Method and fee basis differ by document: time-weighted, holding-period, annualized, or money-weighted; net, gross, or unstated. Read RETURN-METHOD-BY-DOCUMENT.csv before comparing across documents.","metric vocabulary review, 2026-08-28","footnotes and headers of SRC063, SRC192, SRC356, SRC363, SRC375, SRC384, SRC389, SRC457, SRC606"
performance_observation.yield,reported_yield_rate,fund,One annualized distribution rate and one weighted-average investment yield for the reported fund.,"metric vocabulary review, 2026-08-28",SRC606 pages 1 and 3
position_observation.cost,holding_cost,single_holding,"Cost of one holding.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
position_observation.fair_value,holding_fair_value,single_holding,"One holding on a schedule of investments; when the holding is itself a fund the subject is that fund, not the reporting entity.","metric vocabulary review, 2026-08-28","published rows: subject types fund 379, investment 35, portfolio 18"
position_observation.interest_rate,holding_coupon_or_yield,single_holding,"Coupon or yield printed on one holding.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
position_observation.market_value,holding_market_value,single_holding,"The same measure as holding_fair_value under a market-value heading; fills fund_holdings.fair_value when fair_value is absent.","metric vocabulary review, 2026-08-28","promote_extracted_to_fund_level.py line 603"
position_observation.maturity_date,holding_maturity_date,single_holding,"Maturity or settlement date printed on one holding.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
position_observation.notional,holding_notional,single_holding,"Notional, par, purchase, or sale amount of one contract or security.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
position_observation.portfolio_weight,holding_portfolio_weight,single_holding,"One holding's share of the portfolio.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
position_observation.quantity,holding_quantity,single_holding,"Shares, units, or par held.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.aum,assets_under_stewardship,stewardship_report,"Assets stated in a stewardship report.","metric vocabulary review, 2026-08-28","published rows: subject types other_printed_scope, service_provider"
stewardship_observation.coverage,stewardship_coverage,stewardship_report,"Share or count of a universe covered, held, or voted.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.engagement_count,engagement_count,stewardship_report,"Engagements, milestones, or companies engaged.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.meeting_count,meeting_count,stewardship_report,"Meetings held or voted at.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.score,support_or_assessment_score,stewardship_report,"Support percentage or assessment score.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.target,target_year_or_level,stewardship_report,"A stated target year or level.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_observation.vote_count,vote_count,stewardship_report,"Proposals, directors, or votes counted.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
stewardship_policy,stewardship_policy_text,legal_text,"Printed wording of one policy statement.","metric vocabulary review, 2026-08-28","record family definition"
subscription_reference,subscription_reference_text,legal_text,"One whitelisted subscription reference fact.","metric vocabulary review, 2026-08-28","record family definition"
valuation_observation.frequency,valuation_frequency,valuation_policy,"How often NAV or appraisals are produced.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
valuation_observation.independent_review,valuation_independent_review,valuation_policy,"Independent review or appraisal of valuations.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
valuation_observation.method,valuation_method,valuation_policy,"The valuation method or principle stated.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
valuation_observation.oversight,valuation_oversight,valuation_policy,"Who approves or oversees valuations.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
valuation_observation.valuer,valuer,valuation_policy,"Who values or calculates NAV.","metric vocabulary review, 2026-08-28","EXTRACTION-METRIC-CATEGORIES.csv definition"
