"category","kind","definition","unit_hint","preferred_family","qualified","required_dimensions","disposition"
"method","metric","The valuation method or principle stated.","text","valuation_observation","no","","qualitative"
"frequency","metric","How often NAV or appraisals are produced.","text","valuation_observation","no","","qualitative"
"valuer","metric","Who values or calculates NAV.","text","valuation_observation","no","","qualitative"
"oversight","metric","Who approves or oversees valuations.","text","valuation_observation","no","","qualitative"
"independent_review","metric","Independent review or appraisal of valuations.","text","valuation_observation","no","","qualitative"
"enterprise_value","metric","Enterprise value of a company or portfolio company.","currency","valuation_observation","no","","evidence_only"
"outstanding_balance","metric","Balance drawn on a credit facility or loan.","currency","financing_observation","no","","evidence_only"
"staff_count","metric","Employees or investment professionals at the firm.","count","ddq_quantitative_observation","no","","evidence_only"
"lockup","metric","Lock-up period.","years or months","ddq_quantitative_observation","no","","evidence_only"
"redemption_notice","metric","Redemption notice period or fee.","days or %","ddq_quantitative_observation","no","","evidence_only"
"position_limit","metric","Position or exposure limit.","%","ddq_quantitative_observation","no","","evidence_only"
"leverage","metric","Leverage ratio or policy limit.","x","ddq_quantitative_observation","no","","evidence_only"
"liquidity","metric","Redemption proceeds timing in days, or a withdrawal size as a percent of proceeds or of NAV; the unit column says which.","% or days","ddq_quantitative_observation","no","","evidence_only"
"minimum_investment","metric","Minimum initial investment.","currency","ddq_quantitative_observation","no","","evidence_only"
"service_provider_count","metric","Number of service providers or counterparties stated.","count","ddq_quantitative_observation","no","","evidence_only"
"meeting_count","metric","Meetings held or voted at.","count","stewardship_observation","no","","evidence_only"
"vote_count","metric","Proposals, directors, or votes counted.","count","stewardship_observation","no","","evidence_only"
"engagement_count","metric","Engagements, milestones, or companies engaged.","count","stewardship_observation","no","","evidence_only"
"coverage","metric","Share or count of a universe covered, held, or voted.","% or count","stewardship_observation","no","","evidence_only"
"score","metric","Support percentage or assessment score.","%","stewardship_observation","no","","evidence_only"
"target","metric","A stated target year or level.","year","stewardship_observation","no","","evidence_only"
"management_fee","term","Management fee rate, basis, and step-downs.","text","legal_term","no","","qualitative"
"carried_interest","term","Carried interest rate and basis.","text","legal_term","no","","qualitative"
"catch_up","term","GP catch-up provision.","text","legal_term","no","","qualitative"
"waterfall","term","Distribution waterfall, including the preferred return hurdle.","text","legal_term","no","","qualitative"
"clawback","term","GP clawback provision.","text","legal_term","no","","qualitative"
"fee_offset","term","Offset of transaction or monitoring fees against the management fee.","text","legal_term","no","","qualitative"
"organizational_expense","term","Organizational expense cap or treatment.","text","legal_term","no","","qualitative"
"recycling","term","Reinvestment or recycling of proceeds.","text","legal_term","no","","qualitative"
"fund_term","term","Term of the fund or agreement.","text","legal_term","no","","qualitative"
"term_extension","term","Extension of the term.","text","legal_term","no","","qualitative"
"commitment_period","term","Commitment period.","text","legal_term","no","","qualitative"
"investment_period","term","Investment period.","text","legal_term","no","","qualitative"
"key_person","term","Key-person provision.","text","legal_clause","no","","qualitative"
"gp_removal","term","Removal of the general partner, for cause or without.","text","legal_clause","no","","qualitative"
"no_fault_termination","term","Termination without cause.","text","legal_clause","no","","qualitative"
"mfn","term","Most-favoured-nation provision.","text","legal_clause","no","","qualitative"
"reporting","term","Reporting duties.","text","legal_clause","no","","qualitative"
"transfer","term","Transfer or assignment of interests.","text","legal_clause","no","","qualitative"
"tax","term","Tax provisions and certifications.","text","legal_clause","no","","qualitative"
"governing_law","term","Governing law.","text","legal_clause","no","","qualitative"
"confidentiality","term","Confidentiality.","text","legal_clause","no","","qualitative"
"notice","term","Notice provisions.","text","legal_clause","no","","qualitative"
"subscription_fund","term","The fund subscribed to.","text","subscription_reference","no","","qualitative"
"general_partner","term","The general partner named.","text","subscription_reference","no","","qualitative"
"requested_commitment","term","Commitment requested.","text","subscription_reference","no","","qualitative"
"accepted_commitment","term","Commitment accepted.","text","subscription_reference","no","","qualitative"
"subscriber_entity_type","term","Entity type of the subscriber.","text","subscription_reference","no","","qualitative"
"fund_jurisdiction","term","Jurisdiction of the fund.","text","subscription_reference","no","","qualitative"
"execution_date","term","Execution date.","text","subscription_reference","no","","qualitative"
"stewardship_policy","term","A stewardship or voting policy statement.","text","stewardship_policy","no","","qualitative"
