"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_8B9EDDC0F08EBBFCF019B1EE","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","IRR","1","irr","","16","16","source_section|subject_type"
"PAIR_DC2151629163315A51E060B2","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","Total Capital Contributed","1","paid_in_capital","","17","17","source_section|subject_type"
"PAIR_BCD3592821CDCDC91B76A61F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","Total Capital Distributed","1","distribution","","18","18","source_section|subject_type"
"PAIR_9BA111C301FDD67CA5818E4E","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund","Total Value Multiple","1","tvpi","","19","19","source_section|subject_type"
"PAIR_1BAA1A0EA84B09293D9AD69C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","Capital Commitment","1","commitment","","20","20","source_section|subject_type"
"PAIR_4825F9D57450B91AA372C809","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","Fair Market Value","1","nav","","21","21","source_section|subject_type"
"PAIR_28559BDA07ED5210767F7186","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","IRR","1","irr","","22","22","source_section|subject_type"
"PAIR_1E1CC95D242E01860C087115","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","Total Capital Contributed","1","paid_in_capital","","23","23","source_section|subject_type"
"PAIR_5B1EB5B5D009B13C0BD06131","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","Total Capital Distributed","1","distribution","","24","24","source_section|subject_type"
"PAIR_AFAA93D9C1E209F11159C290","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Appian Natural Resources Fund II","Total Value Multiple","1","tvpi","","25","25","source_section|subject_type"
"PAIR_AB394B22225404318D25A890","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","BIF IV Co-Investment","Capital Commitment","1","commitment","","26","26","source_section|subject_type"
"PAIR_3876995C3515FD3483F12F91","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","BIF IV Co-Investment","Fair Market Value","1","nav","","27","27","source_section|subject_type"
"PAIR_27C55B449EEA79E9C721545F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","BIF IV Co-Investment","Total Capital Contributed","1","paid_in_capital","","28","28","source_section|subject_type"
"PAIR_C4F534B6AB2E2BF4A34F4679","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","BIF IV Co-Investment","Total Capital Distributed","1","distribution","","29","29","source_section|subject_type"
"PAIR_D9D9020E7E35B85A2E708107","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","BIF IV Co-Investment","Total Value Multiple","1","tvpi","","30","30","source_section|subject_type"
"PAIR_3E8AD4267B37C4BAC7664B7C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners III","Capital Commitment","1","commitment","","31","31","source_section|subject_type"
"PAIR_4692F473CA37B4BC2D16E354","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners III","Fair Market Value","1","nav","","32","32","source_section|subject_type"
"PAIR_B0E0B9A67F721E3A9D1FF9E9","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners III","Total Capital Contributed","1","paid_in_capital","","33","33","source_section|subject_type"
"PAIR_DB66D40E4C3938484AC7D8CA","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners III","Total Capital Distributed","1","distribution","","34","34","source_section|subject_type"
"PAIR_6252A36038AD24789DBA6AC5","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners III","Total Value Multiple","1","tvpi","","35","35","source_section|subject_type"
"PAIR_A399D193C8FBCE0F8CEE08E8","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners IV","Capital Commitment","1","commitment","","36","36","source_section|subject_type"
"PAIR_CB317554E5004F6723D58C3A","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners IV","Fair Market Value","1","nav","","37","37","source_section|subject_type"
"PAIR_67615CD95032606294FB4E19","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners IV","Total Capital Contributed","1","paid_in_capital","","38","38","source_section|subject_type"
"PAIR_972ECF6CDBAACFB0F91E347E","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners IV","Total Capital Distributed","1","distribution","","39","39","source_section|subject_type"
"PAIR_3E25ED4100360AE00F86447D","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Blackstone Energy Partners IV","Total Value Multiple","1","tvpi","","40","40","source_section|subject_type"
"PAIR_BBBFE1ABFBF95159221BEB1D","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","Capital Commitment","1","commitment","","41","41","source_section|subject_type"
"PAIR_A4B97D70553B2FA770D6DD29","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","Fair Market Value","1","nav","","42","42","source_section|subject_type"
"PAIR_71FEDA2B55FAEA8183D1B3E0","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","IRR","1","irr","","43","43","source_section|subject_type"
"PAIR_5CC775ACD2178C3029BD3114","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","Total Capital Contributed","1","paid_in_capital","","44","44","source_section|subject_type"
"PAIR_CAC22A8E8F7642CEC404ADCE","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","Total Capital Distributed","1","distribution","","45","45","source_section|subject_type"
"PAIR_708AD557B84187F1685B39C0","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Bolt Energy LLC","Total Value Multiple","1","tvpi","","46","46","source_section|subject_type"
"PAIR_0DF84B7BD3119D3A9CAFF350","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","Capital Commitment","1","commitment","","47","47","source_section|subject_type"
"PAIR_2C45CBB8460833419FF9A8D6","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","Fair Market Value","1","nav","","48","48","source_section|subject_type"
"PAIR_4AD37E24DB5E18BDE0EBDCA9","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","IRR","1","irr","","49","49","source_section|subject_type"
"PAIR_C502BB4C31C26C49971DC129","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","Total Capital Contributed","1","paid_in_capital","","50","50","source_section|subject_type"
"PAIR_E50E595F928AC5F44C41CE4B","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","Total Capital Distributed","1","distribution","","51","51","source_section|subject_type"
"PAIR_CF77F903C1B78E05F830A59B","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Agriculture Fund II","Total Value Multiple","1","tvpi","","52","52","source_section|subject_type"
"PAIR_2C1B45E3B888A7848AF0798C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","Capital Commitment","1","commitment","","53","53","source_section|subject_type"
"PAIR_81A8A95178EF3614BB38A148","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","Fair Market Value","1","nav","","54","54","source_section|subject_type"
"PAIR_991389D5FD3664A25E5EB04C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","IRR","1","irr","","55","55","source_section|subject_type"
"PAIR_EFF5FAAAC0227983FF1CFABC","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","Total Capital Contributed","1","paid_in_capital","","56","56","source_section|subject_type"
"PAIR_5C6E825ADE2D4390F8C39F8F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","Total Capital Distributed","1","distribution","","57","57","source_section|subject_type"
"PAIR_811725F5E2E6E657B0D961C3","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund III","Total Value Multiple","1","tvpi","","58","58","source_section|subject_type"
"PAIR_47DF82309626751507638B31","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","Capital Commitment","1","commitment","","59","59","source_section|subject_type"
"PAIR_417D59300BD78368A662D78D","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","Fair Market Value","1","nav","","60","60","source_section|subject_type"
"PAIR_BCA63678273F9A9C264D60A1","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","IRR","1","irr","","61","61","source_section|subject_type"
"PAIR_6C83192A08442EB3D784D10C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","Total Capital Contributed","1","paid_in_capital","","62","62","source_section|subject_type"
"PAIR_129987E5E87B3D28CA2AAE1F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","Total Capital Distributed","1","distribution","","63","63","source_section|subject_type"
"PAIR_5595AB4ED332D419F2F9C564","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund IV","Total Value Multiple","1","tvpi","","64","64","source_section|subject_type"
"PAIR_1883A489BD11F5BAA67B4093","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund V","Capital Commitment","1","commitment","","65","65","source_section|subject_type"
"PAIR_3309C5EFF04682ADA834605F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund V","Fair Market Value","1","nav","","66","66","source_section|subject_type"
"PAIR_6CB980244526991EFEB8426A","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund V","Total Capital Contributed","1","paid_in_capital","","67","67","source_section|subject_type"
"PAIR_EBA448EF0723086755004DB7","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund V","Total Capital Distributed","1","distribution","","68","68","source_section|subject_type"
"PAIR_844701873103D46E1D77C072","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Infrastructure Fund V","Total Value Multiple","1","tvpi","","69","69","source_section|subject_type"
"PAIR_5A880EDAAEB267C36FE12830","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super Core Infrastructure Partners Project Aether","Capital Commitment","1","commitment","","70","70","source_section|subject_type"
"PAIR_8CC0E31071D54CCD1857A94C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super Core Infrastructure Partners Project Aether","Fair Market Value","1","nav","","71","71","source_section|subject_type"
"PAIR_67905065EAEADECFD49129C4","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super Core Infrastructure Partners Project Aether","Total Capital Contributed","1","paid_in_capital","","72","72","source_section|subject_type"
"PAIR_D8101FF78376C69A429BC054","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super Core Infrastructure Partners Project Aether","Total Capital Distributed","1","distribution","","73","73","source_section|subject_type"
"PAIR_87F7B3CB9C88E05B87B69724","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super Core Infrastructure Partners Project Aether","Total Value Multiple","1","tvpi","","74","74","source_section|subject_type"
"PAIR_1B9CDF2816E4B3ACCEE6D442","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners","Capital Commitment","1","commitment","","75","75","source_section|subject_type"
"PAIR_8B8C95A9EF3D9D77C8B0FD1C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners","Fair Market Value","1","nav","","76","76","source_section|subject_type"
"PAIR_8088DBCAA9A6778B1D23FD9A","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners","Total Capital Contributed","1","paid_in_capital","","77","77","source_section|subject_type"
"PAIR_3F51C3E7BF8D24AB80E6F753","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners","Total Capital Distributed","1","distribution","","78","78","source_section|subject_type"
"PAIR_AFC2D2A759A8414DFDFA89E7","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners","Total Value Multiple","1","tvpi","","79","79","source_section|subject_type"
"PAIR_A7DF4EAA6711E9AE98C3E7A7","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Kepler","Capital Commitment","1","commitment","","80","80","source_section|subject_type"
"PAIR_7BCFFCB91E9BDBEA9468367A","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Kepler","Fair Market Value","1","nav","","81","81","source_section|subject_type"
"PAIR_8EE76C7F81380314F93D46CB","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Kepler","Total Capital Contributed","1","paid_in_capital","","82","82","source_section|subject_type"
"PAIR_A08A09BC99FF7B80FEBEA978","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Kepler","Total Capital Distributed","1","distribution","","83","83","source_section|subject_type"
"PAIR_3C313E4422F3EFFC1A35F2F1","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Kepler","Total Value Multiple","1","tvpi","","84","84","source_section|subject_type"
"PAIR_F8A3E5898212C16BE56B0C6A","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Volta","Capital Commitment","1","commitment","","85","85","source_section|subject_type"
"PAIR_4E538AAE0474ACE2D917C289","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Volta","Fair Market Value","1","nav","","86","86","source_section|subject_type"
"PAIR_AD897EBCAB880A6499D08CF6","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Volta","Total Capital Contributed","1","paid_in_capital","","87","87","source_section|subject_type"
"PAIR_5E2D13056469B05CBFFE3F8E","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Volta","Total Capital Distributed","1","distribution","","88","88","source_section|subject_type"
"PAIR_696C9EDD8305ED8A43EA02DE","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Super-Core Infrastructure Partners Project Volta","Total Value Multiple","1","tvpi","","89","89","source_section|subject_type"
"PAIR_D7ABF547FF33E5611EC54377","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","Capital Commitment","1","commitment","","90","90","source_section|subject_type"
"PAIR_22C535DAF37B749F24AF6B58","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","Fair Market Value","1","nav","","91","91","source_section|subject_type"
"PAIR_55F9E7ECF67F3B4BA4D2865B","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","IRR","1","irr","","92","92","source_section|subject_type"
"PAIR_75A1B1F7187A00A413EB4C93","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","Total Capital Contributed","1","paid_in_capital","","93","93","source_section|subject_type"
"PAIR_11E034D48F6C7FF7846A4734","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","Total Capital Distributed","1","distribution","","94","94","source_section|subject_type"
"PAIR_726A8B8B7864FB702E806652","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Brookfield Timberlands Fund V","Total Value Multiple","1","tvpi","","95","95","source_section|subject_type"
"PAIR_70CC151AD01A00B6D87101BD","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Infrastructure Fund III","Capital Commitment","1","commitment","","96","96","source_section|subject_type"
"PAIR_F93BCC43F5272E3756EA9A68","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Infrastructure Fund III","Fair Market Value","1","nav","","97","97","source_section|subject_type"
"PAIR_8B75A8E3E8EF59AD14C5F011","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Infrastructure Fund III","Total Capital Contributed","1","paid_in_capital","","98","98","source_section|subject_type"
"PAIR_BCAFFF1F45B5A4029C15B1D2","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Infrastructure Fund III","Total Capital Distributed","1","distribution","","99","99","source_section|subject_type"
"PAIR_5956BDDD83CA4489D2923901","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Infrastructure Fund III","Total Value Multiple","1","tvpi","","100","100","source_section|subject_type"
"PAIR_4125FE2AF2EF40255A25C3BC","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Salem Co-Investment","Capital Commitment","1","commitment","","101","101","source_section|subject_type"
"PAIR_36D4EC938F255B4ADEB52E32","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Salem Co-Investment","Fair Market Value","1","nav","","102","102","source_section|subject_type"
"PAIR_DE90F25442B09A651D35E9F2","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Salem Co-Investment","Total Capital Contributed","1","paid_in_capital","","103","103","source_section|subject_type"
"PAIR_342B61D9B2A86FDE97468492","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Salem Co-Investment","Total Capital Distributed","1","distribution","","104","104","source_section|subject_type"
"PAIR_F046E3DAAC7D959695AE6F83","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Cube Salem Co-Investment","Total Value Multiple","1","tvpi","","105","105","source_section|subject_type"
"PAIR_6CAC9C75535950462034A25B","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","Capital Commitment","1","commitment","","106","106","source_section|subject_type"
"PAIR_77EB5515B526B555A9B26D70","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","Fair Market Value","1","nav","","107","107","source_section|subject_type"
"PAIR_9C6BAEBB801ADE797C689E50","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","IRR","1","irr","","108","108","source_section|subject_type"
"PAIR_FC456CD1AD688713DF0AD14F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","Total Capital Contributed","1","paid_in_capital","","109","109","source_section|subject_type"
"PAIR_E4F876989FFF802325C90230","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","Total Capital Distributed","1","distribution","","110","110","source_section|subject_type"
"PAIR_E88CCE9A51CAB3482A58B8A3","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","Digital Colony Partners","Total Value Multiple","1","tvpi","","111","111","source_section|subject_type"
"PAIR_7BDF1970075CA6B85FEBE724","CLASSIFICATION_CONFLICT","YES","1","document_context","Alternatives Portfolio","DOCUMENT","","1","","","1","1","source_table|subject_name|currency_scale|evidence_quote"
"PAIR_74C8CA2124784BC2043A1D6E","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","Capital Commitment","1","commitment","","112","112","source_section|subject_type"
"PAIR_54A93D4AEE41B1872B0D806F","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","Fair Market Value","1","nav","","113","113","source_section|subject_type"
"PAIR_6753AD117A80CD9267132BD8","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","IRR","1","irr","","114","114","source_section|subject_type"
"PAIR_848BD75F6EB3EDAC5A6678FB","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","Total Capital Contributed","1","paid_in_capital","","115","115","source_section|subject_type"
"PAIR_433A6CBE0D607AE71386F80C","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","Total Capital Distributed","1","distribution","","116","116","source_section|subject_type"
"PAIR_FD3D8AB623654D1320EB3323","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EMR Capital Resources Fund II","Total Value Multiple","1","tvpi","","117","117","source_section|subject_type"
"PAIR_A06BEA84870D6B3E1462875B","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","Capital Commitment","1","commitment","","118","118","source_section|subject_type"
"PAIR_9748BFD5CD7CE15C20D17D88","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","Fair Market Value","1","nav","","119","119","source_section|subject_type"
"PAIR_94443715B9B15BEBD22D8350","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","IRR","1","irr","","120","120","source_section|subject_type"
"PAIR_14F61430C9A573D59F922D10","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","Total Capital Contributed","1","paid_in_capital","","121","121","source_section|subject_type"
"PAIR_3F1D2520D2C435A1B182AA58","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","Total Capital Distributed","1","distribution","","122","122","source_section|subject_type"
"PAIR_9E58560297E13A4264BEDB97","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund III","Total Value Multiple","1","tvpi","","123","123","source_section|subject_type"
"PAIR_70E97B3E2722C28B65E308FA","CLASSIFICATION_CONFLICT","YES","1","fund_economics_observation","Alternatives Portfolio","EnCap Flatrock Midstream Fund IV","Capital Commitment","1","commitment","","124","124","source_section|subject_type"
