position_lineage_id,lineage_id,position_id,owner_id,target_id,as_of_date,acquisition_channel,first_acquisition_date,printed_name,lot_label,lot_count,prior_as_of_date,prior_lot_count,pairing_type,match_basis,link_status,lineage_cost,lineage_fair_value,cost_change,cost_change_flow_basis,cost_change_warning,grain_change,provenance_type,synthetic_parameter_set_id,record_status
PLINROW_047842AF8E1561B5A492,PLIN_B56839420422BE75A44B,POS_SOURCE_F169DC09D8FED6FB7DDD,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0303,2025-12-31,SECONDARY,,Archer Capital Trust 5B,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,654378,231871,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0484253C4E6E16B205C6,PLIN_7FE86D184FAC8E269E44,POS_SOURCE_111A33E4603758AE8EC6,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0436,2025-12-31,SECONDARY,,"Clearlake Capital Partners III, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,126092,169369,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_05420570F12B6354B3B0,PLIN_C7CF94A2B3F756858BC9,POS_SOURCE_A746474C4D8DEF11A1CA,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,TARGET_CO_0028,2021-12-31,UNKNOWN,,United Healthcare Group,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,89084155,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0567A90967F62C0879BA,PLIN_A3EE9B0F7B6D71FAEDD6,POS_SOURCE_A1F79D24DC4341823176,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0954,2025-12-31,SECONDARY,,"Thoma Bravo Fund XII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,4155654,3085201,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_05A96E535ADF570AD2BE,PLIN_6CDDC3D7FA256A3B9F62,POS_SOURCE_AF3B13238CE6E66DC239,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0784,2025-12-31,SECONDARY,,"Oak Investment Partners XII, Limited Partnership",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,166027,41163,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_061655B34EF54ECDDC0F,PLIN_1ABE41828F3E10374E55,POS_SOURCE_708894F97B3E16FB7533,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0878,2025-12-31,SECONDARY,,"Samson Brunello 2, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,865735,2346985,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_069C6E4C82B0DDCC8805,PLIN_C1A0C76E1E989F34FAAE,POS_SOURCE_16865901C0C9EDC152A2,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,TARGET_DEBT_16865901C0C9EDC152A2,2021-12-31,UNKNOWN,,FNMA Single Family Mortgage 3.0% 1/2022,,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,,37249844,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_06BB8E177CED1D1248E1,PLIN_FA3A6C90823B9A479CC5,POS_SOURCE_12B2354742E9750E84DA,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_AFBE5B35CCDA69C18368,2026-03-31,SECONDARY,2025-12-31,PrimeStone Capital Fund ICAV,,1,2025-12-31,1,ONE_TO_ONE,PRINTED_NAME,DETERMINISTIC,394732,556746,-12573,NOT_DISCLOSED,false,false,DERIVED,,ACTIVE
PLINROW_06EF25E270A1CE2AC898,PLIN_9B9A931C232297B601D3,POS_SOURCE_86674E3C5689DB99798C,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,TARGET_DEBT_86674E3C5689DB99798C,2021-12-31,UNKNOWN,,Gate SME Ser 144A 12/15/2025,,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,,42563068,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_07154861FB82EC749300,PLIN_206391CDD0E94CA07216,POS_SOURCE_49E605A9DF573572F306,OWNER_PACKARD_FOUNDATION,TARGET_PRI_AF9466CA18991B241688,,UNKNOWN,,"BLACKSTAR STABILITY - TO HELP LAUNCH THE BLACKSTAR STABILITY DISTRESSED DEBT FUND, A PROMISING VEHICLE FOR ADDRESSING PAST PREDATORY LENDING PRACTICES, AND BY RE-STRUCTURING THEM, TO ENABLE LOW-INCOME FAMILIES OF COLOR TO ACCESS STABLE HOUSING AND BUILD WEALTH.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,15000,,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_097606FC6701A09A30CB,PLIN_7525249E4E6C91927EB9,POS_SOURCE_B01FA88E7648346BF0F4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0608,2025-12-31,SECONDARY,,"Harvest Partners Structured Capital Fund II, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,21371973,26624256,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_099D0284995D13128BA0,PLIN_07C54A1F527D2CAF3CC3,POS_SOURCE_84A720256E884DBCD2B9,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0261,2025-12-31,SECONDARY,,A9 EUR (Feeder) L.P.,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,8378244,6590587,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0A069B9BA68B27BFCF6A,PLIN_3B26D5F8619906F5A1D1,POS_SOURCE_46175B196033573A47D2,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_F1940744033E87BAAA42,2025-12-31,SECONDARY,2025-09-30,Audax Private Equity Beacon CF,,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,17905961,21305683,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0A667849370DD9831254,PLIN_B852428CBBDFD90404F9,POS_SOURCE_460AB5254D9EA7DAF759,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0291,2025-12-31,SECONDARY,,"American Securities Partners VII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,25999394,18904241,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0A984192A3A38B6C8DA2,PLIN_40C5DB774E714B9E8093,POS_SOURCE_E717C61D2975B872D1E5,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,TARGET_CO_0034,2021-12-31,UNKNOWN,,Microsoft,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,327589469,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0AAE1123D5D0EC6197CA,PLIN_5FF645C7FA77D7C6AB3B,POS_SOURCE_C87286C0D94D89E8EB44,OWNER_FUND_1060,TARGET_FUND_0812,2025-06-30,UNKNOWN,,PENNYBACKER IV LP,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0BB9EF89942FD23ACC6A,PLIN_AED8A76CB79820F49DD6,POS_SOURCE_3BA117B1AB8FCAFA8C1D,OWNER_ALPINVEST_CAPS_HOLDINGS,TARGET_NATIVE_24E811835DD0C87470D7,2026-03-31,SECONDARY,2026-03-31,"Court Square Capital Partners IV-A, L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,13329997,16605004,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0C8076CFE7D0F064B886,PLIN_68DF4E5482F2CB45E1F0,POS_SOURCE_32A4F9D7EEE1CB515CE4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_1051,2025-12-31,SECONDARY,,"Vista Equity Partners Fund VII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,414002,918192,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0CF05D10CFF0B3B67311,PLIN_9E5EB0B3608B6E060082,POS_SOURCE_AFA026CF2A9EC36C2EFD,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_FCC8F7A183D263734469,2025-12-31,SECONDARY,2025-12-31,"C2 Capital Global Export-To-China Fund, L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,5222404,10456641,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0D5F7F86501AD1A6483C,PLIN_99DD44CB220A9AD1A666,POS_SOURCE_233D3A56F22EC52276A7,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0404,2025-12-31,SECONDARY,,"Carlyle Europe Partners V - EU, S.C.Sp.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,18987123,19336530,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0DCB26CB6BE330567825,PLIN_5917760130F3C3974BF6,POS_SOURCE_74B70B40424D3CDD94B4,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_27D4AFBC3F334F07E06D,2026-03-31,SECONDARY,2025-12-31,Apheon Svt Long Term Value Fund SCSp,,1,2025-12-31,1,ONE_TO_ONE,PRINTED_NAME,DETERMINISTIC,5722641,8984332,-182165,NOT_DISCLOSED,false,false,DERIVED,,ACTIVE
PLINROW_0DF2BD06EF9B88CF2ED5,PLIN_DE9355AFAAC7E2D0315E,POS_SOURCE_A47E1A40CA00AE9EBF4C,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0950,2025-12-31,SECONDARY,,"The Veritas Capital Fund VI, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,13353626,4143801,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_0E3BE3268B5672D948FE,PLIN_C1F04DD7031CD7D7E907,POS_SOURCE_AAC7B9A3CDE26CA4E769,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0341,2025-12-31,SECONDARY,,BC Partners XI GD - 2 LP,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,12271962,15710702,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_10BB61180ABC7F579836,PLIN_341AC60388C47A7A778E,POS_SOURCE_DF437B0FC75F5F021FDA,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0407,2025-12-31,SECONDARY,,"Carlyle Partners VII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,52976197,64058570,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_10D05EA422FDD3D35AD2,PLIN_146E592357AECB714BDE,POS_SOURCE_E3411EEB30B2791E50C4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0617,2025-12-31,SECONDARY,,"Heartwood Partners II, LP",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,2175569,701002,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1126F466C9CBCF4A359D,PLIN_B8A9ECFDCACED38DCFA0,POS_SOURCE_E165D44FE6B129842A48,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0964,2025-12-31,SECONDARY,,"TPF II-A, LP",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,14855,760,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_11564D7BE0D90E32A4DA,PLIN_0BA6D1F85127053AB2BA,POS_SOURCE_3938CB2845A0A81B5064,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_51A6226F1BC499171CA7,2025-12-31,SECONDARY,2025-12-31,Sagard Testing FPCI,,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,6020314,4497517,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_115BA2291AE2B2A0C644,PLIN_8E9AA01B8DA8A551C53D,POS_SOURCE_1A85D553D6D3B0F2981B,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_19F25DAA9A6A9F6CBFF8,2025-12-31,SECONDARY,2025-12-31,"Portage Capital Solutions Intenational Fund I, L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,1458040,1985543,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_137EE7642306460387BB,PLIN_4B2D2753D5F9E3025D96,POS_SOURCE_DC2D5512EACE803EEB40,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_284D8995181172616A4A,2025-12-31,SECONDARY,2025-12-31,"Epiris Fund III (B), L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,2255142,3796391,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1381EAD22DC73C9257A8,PLIN_54CCDE47F340E711EFF2,POS_SOURCE_FA225407F24B5025E877,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0968,2025-12-31,SECONDARY,,"TPG Partners VII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,610943,668960,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1386FC11A48171819FBE,PLIN_5638CA3EA7FBD015083D,POS_SOURCE_84554FBD9AFB0F7FBE55,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0785,2025-12-31,SECONDARY,,"Oaktree Opportunities Fund IX (Cayman), L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,431988,1521104,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_15A2A32AAE29A2887EB1,PLIN_530FD8D42989E504B7CD,POS_SOURCE_FDA1557072CBFB3B457B,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0677,2025-12-31,UNKNOWN,,JPMorgan US Government Money Market Fund,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,,1931432,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_15B1AEC0ED8CEA1C2B6E,PLIN_CD5BBA517BB56C6DC531,POS_SOURCE_A5D6AF75D78127B1C508,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0650,2025-12-31,SECONDARY,,Insight Equity II LP,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1954414,986222,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_15CB1A33185BEC7758EE,PLIN_DAD24DF0DE402CE52635,POS_SOURCE_A2C12FC50ECAEE2E2FB7,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0880,2025-12-31,SECONDARY,,"Samson Shield 1, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,606941,1183291,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_15DBC8CE9E9F9157BDC8,PLIN_40C5D1B1804206FE8736,POS_SOURCE_451990EF6023CE11FD07,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0361,2025-12-31,DIRECT,,Blue Owl GP Stakes Nimbus Cayman (B) LP,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,3961373,7541528,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_15F5444B7F056BDC6BD2,PLIN_74676CA59D6D6FD4C227,POS_SOURCE_E4AE6155D19EE757E539,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0779,2025-12-31,SECONDARY,,"Norwest Mezzanine Partners III, LP",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1582781,1270798,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_16A3F6B06C910CBDB562,PLIN_3D8AE73C319BADE571F7,POS_SOURCE_6B2331AA8F422B4C260E,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_CD56962FF4257265E05E,2026-03-31,SECONDARY,2025-10-03,"PSG LM Sequel, L.P.",,2,2025-12-31,2,MANY_TO_MANY,PRINTED_NAME,DETERMINISTIC,292060,366223,0,NOT_APPLICABLE,false,false,DERIVED,,ACTIVE
PLINROW_172B9CB0D49F440598F5,PLIN_AA659480BB15275306A7,POS_SOURCE_107AA7A9B660008B1C07,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0003,2025-12-31,SECONDARY,,"New Mountain Partners IV, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,896293,541266,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_17999EED6516FE931204,PLIN_4BF989B3F9AA54167AE0,POS_SOURCE_89D1961F2739435050CD,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0395,2025-12-31,SECONDARY,,"Camden Partners Strategic Fund VI, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1108891,3350273,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_182D5284D71C59F4393B,PLIN_F137D8825E17A25941A9,POS_SOURCE_B94ACE11735D4478E24B,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,TARGET_DEBT_B94ACE11735D4478E24B,2021-12-31,UNKNOWN,,FNMA Single Family Mortgage 0% 2/2022,,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,,248093513,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_185206C9B4F261ADB9B1,PLIN_D93E806898C3FB225236,POS_SOURCE_E165D5304ECE37D295C4,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0563,2025-12-31,SECONDARY,,"Gryphon Partners V, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,16199716,19227651,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1872440C2829492E4347,PLIN_D4DA465A76A96B7B7A3E,POS_SOURCE_1C58F661293816B0D80C,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0511,2025-12-31,SECONDARY,,"FS Equity Partners CV1, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,15405988,18334566,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_19755735EC8E1FBD1EAE,PLIN_3A6FAEAA74812AD7483A,POS_SOURCE_763B8FA102399D7B6926,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0709,2025-12-31,SECONDARY,,"Littlejohn Fund V, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,5168632,6944728,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1AA09E1B931D099644F0,PLIN_9CCB78FAD4FFF3F676A6,POS_SOURCE_92067B54F3E28E7633BD,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0315,2025-12-31,SECONDARY,,"Audax Private Equity Aspen CF, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,7370000,10059609,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1B69C565EEAC85E49B90,PLIN_517E8D0060FE771BE900,POS_SOURCE_AB1D97E7574EF96BF9C0,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0326,2025-12-31,SECONDARY,,"Bain Capital Europe Fund III, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,963168,1,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1BF7441E8819AF5B180C,PLIN_DD8F30F0AA2FDE38FFFE,POS_SOURCE_C426A9FB13CA4724DEF3,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0815,2025-12-31,SECONDARY,,Permira IV Feeder L.P.,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,3367755,7038173,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1C3B248B5C0798341889,PLIN_BD0C2D8831DE1E4BF29F,POS_SOURCE_E500540B7DAD316C3C62,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0370,2025-12-31,SECONDARY,,"BP ACE EV, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,1757299,1757299,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1D020F1F76FEC3D24FE9,PLIN_AC4EF8A20F1B4AB9E213,POS_SOURCE_CBB916DE880B867B1332,OWNER_ALPINVEST_CAPS_BLOCKER,TARGET_NATIVE_D9002EFA3A7D4089ADFC,2026-03-31,SECONDARY,2025-09-30,"Providence Strategic Growth Europe, L.P.",,1,2025-12-31,1,ONE_TO_ONE,PRINTED_NAME,DETERMINISTIC,1993492,1866165,0,NOT_APPLICABLE,false,false,DERIVED,,ACTIVE
PLINROW_1D13C1734126BFB74A02,PLIN_65BEA6C75670D9BFF938,POS_SOURCE_E49E13B100E040C6590D,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0575,2025-12-31,SECONDARY,,"H.I.G. Advantage Buyout Fund, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,17404687,16051726,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_1E648496D28369335F49,PLIN_181ACF2098EF91700BCE,POS_SOURCE_EF9074BC5705867F95EE,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0665,2025-12-31,SECONDARY,,"Insight Venture Partners VIII, L.P.",,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,2024605,2988784,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_20725B27404104B2BFB2,PLIN_D0059F94E9562743835D,POS_SOURCE_316A16B59877B45698FB,OWNER_ALPINVEST_SEED_FUND_II,TARGET_NATIVE_6E1C4B546735FB80953A,2025-12-31,SECONDARY,2025-12-31,"KKR Azur Co-lnvest, L.P.",,1,,,FIRST_SEEN,PRINTED_NAME,DETERMINISTIC,4959389,4934429,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_20913FD2B6BA0D139FD1,PLIN_92FE980CE033EFC2507F,POS_SOURCE_0C5A8705233B4174E8BC,OWNER_POMONA_INVESTMENT_FUND,TARGET_FUND_0685,2025-12-31,SECONDARY,,KKR European Fund V (USD) SCSp,,1,,,FIRST_SEEN,RESOLVED_TARGET,DETERMINISTIC,872058,1037753,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
PLINROW_21FC0D63584270E1A3B4,PLIN_6AF4BC18712454982610,POS_SOURCE_D2C92214B3F9A16E6608,OWNER_SRC034_VERSA_COMBINED,TARGET_SOURCE_D2C92214B3F9A16E6608,2018-03-31,UNKNOWN,,REDACTED,,1,,,FIRST_SEEN,SOURCE_HOLDING,DETERMINISTIC,43204400,90000000,,NOT_APPLICABLE,,,DERIVED,,ACTIVE
