position_id,source_holding_id,owner_id,owner_fund_id,instrument_id,position_class,accounting_scope,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,quantity_raw,quantity,quantity_unit,currency,cost,fair_value,market_value,reported_value,realized_proceeds,commitment,unfunded_commitment,principal_amount,notional_amount,fund_ownership_fraction,portfolio_weight_fraction,initial_investment_date,exit_date,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,origin_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,acquisition_channel,acquisition_date_basis,commitment_only,fair_value_level,balance_raw,balance_basis
POS_SOURCE_06F64AB9813AD75EBA70,0866c831b696236540f4,OWNER_ALPINVEST_CAPS_BLOCKER,,INSTR_SOURCE_06F64AB9813AD75EBA70,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,377486,952744,,,,,,,,,,2025-12-31,,MEDIUM,source_holding=0866c831b696236540f4; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_CAPS_BLOCKER,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-002,"Warburg Pincus Capital Solutions Founders Fund, L.P. $952,744",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_07E3B377C78B4BD36739,c1c51db822db16035d1a,OWNER_ALPINVEST_CAPS_BLOCKER,,INSTR_SOURCE_07E3B377C78B4BD36739,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,1272869,1375392,,,,,,,,,,2025-12-31,,MEDIUM,source_holding=c1c51db822db16035d1a; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_CAPS_BLOCKER,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-001,"Bregal Unternehmerkapital IV-B SCSp $1,272,869",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_09083C36E2F1940112B7,4146e96ebde0c5b53893,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_09083C36E2F1940112B7,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,27252856,41975173,,,,,,,,,,,,HIGH,source_holding=4146e96ebde0c5b53893; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Norwest Mezzanine Partners IV(f)(g) North America 09/29/2023 27,252,856 41,975,173",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_094D921705C85505475B,4997674d9ee7913b4ec2,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_094D921705C85505475B,DERIVATIVE,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,,-502856,,,,,,,604219,,,,,HIGH,source_holding=4997674d9ee7913b4ec2; owner_decision=OWNMAP008,Named derivative counterparty.,EXTRACTED,SOURCE_NORMALIZED,SRC407,7,"8/18/2026 Nomura Global Financial Products Inc. $ 604,219 $ 49.38 $ (502,856)",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_096A0C5E0CF7FDF2F65E,dfd56197663f427330fc,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_096A0C5E0CF7FDF2F65E,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,23354865,24263833,,,,,,,,,,,,HIGH,source_holding=dfd56197663f427330fc; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"The Resolute III Continuation Fund, L.P.(d)(f)(g) North America 09/20/2024 23,354,865 24,263,833",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0ACAB435F3F58666384C,76327062b8f9e00ece33,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,,INSTR_SOURCE_0ACAB435F3F58666384C,DIRECT_COMPANY,portfolio_total,as_of,"December 31, 2021",day,2021-12-31,,,,,"308,364",308364,,USD,,90692936,,,,,,,,,,,,HIGH,source_holding=76327062b8f9e00ece33; owner_decision=OWNMAP003,Reviewed source identity resolves the held name to a company.,EXTRACTED,SOURCE_NORMALIZED,SRC192,5,"Nvidia 308,364 90,692,936",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_0AF353C5BA5301F397BD,ee3396303d15acf4e321,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0AF353C5BA5301F397BD,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3924392,5272573,,,,,,,,,,,,HIGH,source_holding=ee3396303d15acf4e321; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,3,"Golden Gate Capital Opportunity Fund-A, LP(d)(f)(g) North America 12/31/2025 3,924,392 5,272,573",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0B11BFE76CB6FE0C0E06,a8db4a5e391abc8f2a0a,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0B11BFE76CB6FE0C0E06,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,854369,854369,,,,,,,,,,,,HIGH,source_holding=a8db4a5e391abc8f2a0a; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,1,"Solamere Capital AF V, LP(d)(f)(g) North America 12/31/2024 854,369 854,369",,ACTIVE,PRIMARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0B3FC51C43DA66358047,3ea91d314e30649da1da,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0B3FC51C43DA66358047,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,495237,111145,,,,,,,,,,,,HIGH,source_holding=3ea91d314e30649da1da; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"Summit Partners Private Equity Fund VII-A, L.P.(d)(g) North America 12/31/2018 495,237 111,145",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0B770F388B1C19C45AA6,4681c388778f642951f4,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0B770F388B1C19C45AA6,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1755711,241828,,,,,,,,,,,,HIGH,source_holding=4681c388778f642951f4; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"AP VIII Private Investors, LLC(d)(f) Europe 06/28/2019 1,755,711 241,828",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0BEC8FD215289AE25D4E,41a90868a0797fc63d72,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0BEC8FD215289AE25D4E,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3361688,4737223,,,,,,,,,,,,HIGH,source_holding=41a90868a0797fc63d72; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"NewView Capital Fund I, L.P.(d)(f) North America 10/31/2018 3,361,688 4,737,223",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0C06FE15BDBE7A88B4E9,8fd7fc2b52d8a59f9213,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0C06FE15BDBE7A88B4E9,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1436,2047,,,,,,,,,,,,HIGH,source_holding=8fd7fc2b52d8a59f9213; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Oaktree Opportunities Fund VIII (Cayman) Ltd.(g) North America 12/31/2021 1,436 2,047",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0C5A8705233B4174E8BC,d636b187bb27f4c5fa3c,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0C5A8705233B4174E8BC,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,872058,1037753,,,,,,,,,,,,HIGH,source_holding=d636b187bb27f4c5fa3c; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"KKR European Fund V (USD) SCSp(f)(g) Europe 03/28/2024 872,058 1,037,753",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0CF8DA16D069A4CB3567,dd55491c39e77febd501,OWNER_PACKARD_FOUNDATION,,INSTR_SOURCE_0CF8DA16D069A4CB3567,OTHER,portfolio_total,static_no_date,,unknown,,,,,,,,,,132585,,,,,,,,,,,,,MEDIUM,source_holding=dd55491c39e77febd501; owner_decision=OWNMAP006,The source names a program-related investment counterparty but the entity registry has no settled identity.,EXTRACTED,SOURCE_NORMALIZED,SRC373,116,"132,585",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_0DCF5760933B30828B63,2924232937806206d2f5,OWNER_SRC034_VERSA_COMBINED,,INSTR_SOURCE_0DCF5760933B30828B63,UNCLASSIFIED,portfolio_total,as_of,"March 31, 2018",day,2018-03-31,,,,,,,,USD,3073705,45000000,,,,,,,,,0.1026000000,,,LOW,source_holding=2924232937806206d2f5; owner_decision=OWNMAP001,The source row has no settled investee identity.,EXTRACTED,SOURCE_NORMALIZED,SRC034,4,"3,073,705",,ACTIVE,UNKNOWN,UNSTATED,,UNSTATED,,
POS_SOURCE_0DF3B4D7C2471115392D,337f14750d711d4a5c07,OWNER_ALPINVEST_CAPS_BLOCKER,,INSTR_SOURCE_0DF3B4D7C2471115392D,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,2664470,2859694,,,,,,,,,,2025-12-31,,MEDIUM,source_holding=337f14750d711d4a5c07; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_CAPS_BLOCKER,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-002,12/31/2025,,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0E115B5C18C2E69564B9,60532c279c80ae75c7f5,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0E115B5C18C2E69564B9,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,7695962,12153255,,,,,,,,,,,,HIGH,source_holding=60532c279c80ae75c7f5; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Pamlico Capital III Continuation Fund, L.P.(d)(f)(g) North America 01/27/2023 7,695,962 12,153,255",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0EE4554415BF87E99F01,a143c72287004dce7190,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0EE4554415BF87E99F01,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3322853,7267591,,,,,,,,,,,,HIGH,source_holding=a143c72287004dce7190; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"Astorg VII SLP(f)(g) Europe 03/31/2022 3,322,853 7,267,591",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0EF37677E1DE303CB912,c15c916873c2236c1fe5,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0EF37677E1DE303CB912,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,700729,772269,,,,,,,,,,,,HIGH,source_holding=c15c916873c2236c1fe5; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,4,"Green Equity Investors VII, L.P.(d)(f)(g) North America 03/28/2024 700,729 772,269",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_0FDE59B1A61D21592075,48ace82cdd696d65a1f8,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0FDE59B1A61D21592075,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1440901,1323798,,,,,,,,,,,,HIGH,source_holding=48ace82cdd696d65a1f8; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,3,"Great Hill Equity Partners IV, L.P.(d)(g) North America 06/28/2024 1,440,901 1,323,798",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_107AA7A9B660008B1C07,b674a1c21850cac0f8db,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_107AA7A9B660008B1C07,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,896293,541266,,,,,,,,,,,,HIGH,source_holding=b674a1c21850cac0f8db; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"New Mountain Partners IV, L.P.(d)(f)(g) North America 03/31/2023 896,293 541,266",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_10D5BB6BE9BDC1C86A0D,1c3fac71242bfc33b10f,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_10D5BB6BE9BDC1C86A0D,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,12913267,9743693,,,,,,,,,,,,HIGH,source_holding=1c3fac71242bfc33b10f; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"Apax IX USD L.P.(f)(g) Europe 10/19/2023 12,913,267 9,743,693",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_111A33E4603758AE8EC6,056786ccfd4460a01777,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_111A33E4603758AE8EC6,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,126092,169369,,,,,,,,,,,,HIGH,source_holding=056786ccfd4460a01777; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,3,"Clearlake Capital Partners III, L.P.(f)(g) North America 09/30/2022 126,092 169,369",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_114771E84AFA4C0CC3A5,728a5d3c51461478361f,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_114771E84AFA4C0CC3A5,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1907146,2459508,,,,,,,,,,,,HIGH,source_holding=728a5d3c51461478361f; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,1,"ABRY Partners IX, L.P.(f)(g) North America 03/28/2024 1,907,146 2,459,508",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_1173B34462CDDDA53AAE,1f4919ed34ffbc53c7b6,OWNER_ALPINVEST_SEED_FUND_II,,INSTR_SOURCE_1173B34462CDDDA53AAE,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,147118,131148,,,,,,,,,,2025-10-08,,MEDIUM,source_holding=1f4919ed34ffbc53c7b6; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_SEED_FUND_II,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-002,10/8/2025,,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_1239BD9CAF58511CE44B,16f4e473eb75b16c6131,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_1239BD9CAF58511CE44B,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1390540,1283443,,,,,,,,,,,,HIGH,source_holding=16f4e473eb75b16c6131; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"Verdane Capital IX AB(f)(g) Europe 12/31/2024 1,390,540 1,283,443",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_1245E6CED68E83784E4C,f6fec21df4ca15f95ca5,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_1245E6CED68E83784E4C,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1701384,118969,,,,,,,,,,,,HIGH,source_holding=f6fec21df4ca15f95ca5; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,4,"H.I.G. Capital Partners IV, L.P.(d) North America 12/31/2018 1,701,384 118,969",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_12B2354742E9750E84DA,677daaa76c614eb2e45e,OWNER_ALPINVEST_SEED_FUND_II,,INSTR_SOURCE_12B2354742E9750E84DA,FUND_INTEREST,portfolio_total,as_of,2026-03-31,day,2026-03-31,,,,,,,,USD,394732,556746,,,,,,,,,,2025-12-31,,MEDIUM,source_holding=677daaa76c614eb2e45e; owner_decision=NATIVEOWN_SRC623_OWNER_ALPINVEST_SEED_FUND_II,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC623,table-012,"PrimeStone Capital Fund ICAV $556,746",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_12FAADA7AA82DCBBABFC,6d8efa05090c157b6284,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_12FAADA7AA82DCBBABFC,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,4193650,3973347,,,,,,,,,,,,HIGH,source_holding=6d8efa05090c157b6284; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,1,"Norwest Mezzanine Partners V-A, LP(f)(g) North America 09/30/2023 4,193,650 3,973,347",,ACTIVE,PRIMARY,UNSTATED,,UNSTATED,,
POS_SOURCE_134783B32D531782F5E0,65ed2ed25402d5325deb,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_134783B32D531782F5E0,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,86179,21327,,,,,,,,,,,,HIGH,source_holding=65ed2ed25402d5325deb; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"Tennenbaum Opportunities Fund V, LLC(d) North America 09/29/2017 86,179 21,327",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_13E49302139ACF09CB9A,23fe4478cbd544e06d53,OWNER_ALPINVEST_SEED_FUND_II,,INSTR_SOURCE_13E49302139ACF09CB9A,FUND_INTEREST,portfolio_total,as_of,2025-12-31,day,2025-12-31,,,,,,,,USD,6804343,6463579,,,,,,,,,,2025-11-03,,MEDIUM,source_holding=23fe4478cbd544e06d53; owner_decision=NATIVEOWN_SRC624_OWNER_ALPINVEST_SEED_FUND_II,The native reader classed the row FUND_INTEREST; the entity registry has no settled identity for the printed name.,EXTRACTED,SOURCE_NORMALIZED,SRC624,table-001,11/3/2025,,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
POS_SOURCE_144D92FC8DA44EC7C25F,194655fcce212c4101a0,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_144D92FC8DA44EC7C25F,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,166905,865847,,,,,,,,,,,,HIGH,source_holding=194655fcce212c4101a0; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"BC Life Sciences Private Investors, L.P.(d)(f) North America 06/30/2020 166,905 865,847",,ACTIVE,SECONDARY,UNSTATED,,UNSTATED,,
