analysis_result_id,entity_id,as_of_date,metric_id,value_numeric,unit,formula_id,input_record_ids,benchmark_id,provenance_type,quality_population,notes,input_fee_basis,input_method
ANL_POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_a5f6d9f2fb28a7cd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_a5f6d9f2fb28a7cd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0008_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_a5f6d9f2fb28a7cd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_f9f7a60bb1396174,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_f9f7a60bb1396174,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0009_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_f9f7a60bb1396174,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.3572924,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_64c9efbfc489fb80,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.0133736,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_64c9efbfc489fb80,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0010_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.370666,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_64c9efbfc489fb80,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.1534298018,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_91d5d0f46f1679a7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.581219259,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_91d5d0f46f1679a7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0011_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.7346490608,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_91d5d0f46f1679a7,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_b1d2559f6e1d2553,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.01238875,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_b1d2559f6e1d2553,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0012_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.01238875,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_b1d2559f6e1d2553,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,2.690963664,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_5fca024d00e0f898,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_5fca024d00e0f898,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0013_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,2.690963664,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_5fca024d00e0f898,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.218611462,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_ff2e3f94c23b93d1,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.4105344003,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_ff2e3f94c23b93d1,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0014_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.6291458623,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_ff2e3f94c23b93d1,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,2.0238270249,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_e1cbc77e57cea7fc,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.25440136,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_e1cbc77e57cea7fc,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0015_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,2.2782283849,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_e1cbc77e57cea7fc,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,1.0564861372,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_893ee5ef6a200f22,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.7436213528,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_893ee5ef6a200f22,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0016_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.80010749,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_893ee5ef6a200f22,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_2b86da05ef31fa2d,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.9122425034,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_2b86da05ef31fa2d,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0017_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,0.9122425034,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_2b86da05ef31fa2d,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.6,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_f5323c74c9a457ed,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_f5323c74c9a457ed,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0018_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,0.6,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_f5323c74c9a457ed,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.6983412,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_a3cfec67c605d0fd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,2.2824956,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_a3cfec67c605d0fd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0019_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,2.9808368,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_a3cfec67c605d0fd,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,1.414977,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_a23f06ef601e8d3a,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,1.823713,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_a23f06ef601e8d3a,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0020_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,3.23869,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_a23f06ef601e8d3a,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.275140212,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_383300d811d9feae,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.883768518,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_383300d811d9feae,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0021_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,1.15890873,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_383300d811d9feae,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_DPI,POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,dpi,0.0003552041,multiple,DPI_DISTRIBUTIONS_OVER_PAID_IN_V1,FP_39cadf7a2d191dc8,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_RVPI,POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,rvpi,0.8703003019,multiple,RVPI_NAV_OVER_PAID_IN_V1,FP_39cadf7a2d191dc8,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
ANL_POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES_20211231_TVPI,POSITION_FUND_0022_LP_0018_UNNAMED_LP_ALL_CLASSES,2021-12-31,tvpi,0.8706555061,multiple,TVPI_VALUE_OVER_PAID_IN_V1,FP_39cadf7a2d191dc8,,EXTRACTED,ERROR_SEVERITY_APPROVED;run_id=EXTRACTED_QC_V1;approved=268;reviewed=269,"Period components recomputed from paid-in capital, distributions, and NAV.",unstated,unstated
