"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Tillridge Global Agribusiness Partners II","Tillridge Global Agribusiness Partners II","","FUND_0960","decided","02-performance","SRC060","6","0","sole printed variant"
"Timber","Timber","","FUND_0961","decided","02-performance","SRC058","6","0","The partnership schedule prints Timber as a distinct vehicle with its own vintage and economics."
"Timberline Annex Fund, L.P.","Timberline Annex Fund, L.P.","Timberline","FUND_0063","decided","A+B","SRC035","1","1","distinct from Timberline Venture Partners"
"Timberline Venture Partners, L.P.","Timberline Venture Partners, L.P.","Timberline","FUND_0064","decided","A+B","SRC035","1","1","distinct from Timberline Annex Fund"
"Tiverton AgriFinance II, L.P.","Tiverton AgriFinance II, L.P.","","FUND_0065","decided","A+B","SRC035","1","1","sole printed variant"
"TL Ventures VII, L.P.","TL Ventures VII, L.P.","","FUND_0066","decided","A+B","SRC035","1","1","sole printed variant"
"Tower Bridge Infrastructure Partners, L.P.","Tower Bridge Infrastructure Partners, L.P.","","FUND_0962","decided","02-performance","SRC063","3","0","distinct from TowerBrook Investors III"
"TowerBrook Investors III, L.P.","TowerBrook Investors III, L.P.","","FUND_0963","decided","06-statements-and-economics","SRC407","2","0","distinct from Tower Bridge Infrastructure Partners"
"TPF II-A, LP","TPF II-A, LP","","FUND_0964","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"TPG Asia VI, L.P.","TPG Asia VI, L.P.","TPG","FUND_0965","decided","06-statements-and-economics","SRC407","2","0","distinct TPG vehicle"
"TPG Growth III (A), L.P.","TPG Growth III (A), L.P.","TPG","FUND_0966","decided","06-statements-and-economics","SRC407","2","0","distinct TPG vehicle"
"TPG Partners VI, L.P.","TPG Partners VI, L.P.","TPG","FUND_0967","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"TPG Partners VII, L.P.","TPG Partners VII, L.P.","TPG","FUND_0968","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"TPG Partners VIII, L.P.","TPG Partners VIII, L.P.","TPG","FUND_0969","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"TPG Real Estate Partners III, L.P.","TPG Real Estate Partners III, L.P.","TPG","FUND_0970","decided","04-quarterly-report","SRC457","14","0","distinct TPG real estate vehicle"
"TransEuropean I","TransEuropean I","","FUND_0971","decided","02-performance","SRC058","6","0","sole printed variant"
"Trident VI, L.P.","Trident VI, L.P.","Trident","FUND_0972","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Trident VIII L.P.","Trident VIII L.P.","Trident","FUND_0973","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Trinity Ventures 2024, L.P.","Trinity Ventures 2024, L.P.","","FUND_0974","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Triton Fund 6 SCSp","Triton Fund 6 SCSp","Triton","FUND_0975","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Triton Fund IV L.P.","Triton Fund IV L.P.","Triton","FUND_0976","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Twin Creeks Timber","Twin Creeks Timber","","FUND_0977","decided","02-performance","SRC060","6","0","distinct from the generic Timber row"
"U.S. Value Income REIT Strategy","U.S. Value Income REIT Strategy","","FUND_0978","decided","04-quarterly-report","SRC457","15","0","strategy label kept as printed"
"UBS (US) Trumbull Property Fund, L.P.","UBS (US) Trumbull Property Fund, L.P.","","FUND_0252","decided","A+B","SRC137","1","1","sole printed variant"
"Updata Partners V, L.P.","Updata Partners V, L.P.","Updata Partners","FUND_0067","decided","A+B","SRC035","1","1","distinct series vehicle"
"Updata Partners VI, L.P.","Updata Partners VI, L.P.","Updata Partners","FUND_0068","decided","A+B","SRC035","1","1","distinct series vehicle"
"Utah Fund of Funds, LLC","Utah Fund of Funds, LLC","","FUND_0120","decided","A+B","SRC037","1","1","sole printed variant"
"Valeas Capital Partners Fund I-A LP","Valeas Capital Partners Fund I-A LP","","FUND_0980","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"VamosVentures Fund I, L.P.","VamosVentures Fund I, L.P.","","FUND_0069","decided","A+B","SRC035","1","1","sole printed variant"
"Vector Capital V, L.P.","Vector Capital V, L.P.","Vector Capital","FUND_0981","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Vector Capital VI, L.P.","Vector Capital VI, L.P.","Vector Capital","FUND_0982","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Verdane Capital IX AB","Verdane Capital IX AB","","FUND_0983","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"VERSA CAPITAL FUND II, L.P.","Versa Capital Fund II, L.P.","Versa Capital","FUND_0112","decided","A","SRC034","1","0","merged case-only variant"
"Versa Capital Fund II, L.P.","Versa Capital Fund II, L.P.","Versa Capital","FUND_0112","decided","B","SRC034","0","1","merged case-only variant"
"VERSA CAPITAL FUND II-A, L.P.","VERSA CAPITAL FUND II-A, L.P.","Versa Capital","FUND_0253","decided","A+B","SRC034","1","1","distinct from Versa Capital Fund II"
"VFC - Burnside Fund, L.P.","VFC - Burnside Fund, L.P.","","FUND_0070","decided","A+B","SRC035","1","1","sole printed variant"
"VISTA EQUITY ENDEAVOR FUND II LP","VISTA EQUITY ENDEAVOR FUND II LP","Vista Equity","FUND_0984","decided","03-institutional-report","SRC356","1","0","distinct Vista vehicle"
"Vista Equity Partners Fund V, L.P.","Vista Equity Partners Fund V, L.P.","Vista Equity","FUND_0985","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Vista Equity Partners Fund VI, L.P.","Vista Equity Partners Fund VI, L.P.","Vista Equity","FUND_0986","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"VISTA EQUITY PARTNERS FUND VII LP","Vista Equity Partners Fund VII, L.P.","Vista Equity","","decided","03-institutional-report","SRC356","1","0","merged case and punctuation variant"
"Vista Equity Partners Fund VII, L.P.","Vista Equity Partners Fund VII, L.P.","Vista Equity","","decided","06-statements-and-economics","SRC407","2","0","merged case and punctuation variant"
"Vista Equity Partners Fund VIII-A, L.P.","Vista Equity Partners Fund VIII-A, L.P.","Vista Equity","FUND_0987","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Vista Equity Partners Hubble, L.P.","Vista Equity Partners Hubble, L.P.","Vista Equity","FUND_0988","decided","06-statements-and-economics","SRC407","2","0","distinct Vista vehicle"
"Vornado Capital Partners L.P.","Vornado Capital Partners L.P.","","FUND_0989","decided","02-performance","SRC058","6","0","sole printed variant"
"Voyager Capital Fund IV, L.P.","Voyager Capital Fund IV, L.P.","Voyager Capital","FUND_0071","decided","A+B","SRC035","1","1","distinct series vehicle"
"Voyager Capital Fund V, L.P.","Voyager Capital Fund V, L.P.","Voyager Capital","FUND_0072","decided","A+B","SRC035","1","1","distinct series vehicle"
"VSS Structured Capital Parallel III, L.P.","VSS Structured Capital Parallel III, L.P.","","FUND_0990","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Walton Street Real Estate Core-Plus Fund","Walton Street Real Estate Core-Plus Fund","","FUND_0991","decided","02-performance","SRC058","6","0","sole printed variant"
"Warburg Pincus Global Growth, L.P.","Warburg Pincus Global Growth, L.P.","Warburg Pincus","FUND_0992","decided","06-statements-and-economics","SRC407","2","0","distinct Warburg Pincus vehicle"
"Warburg Pincus Private Equity XI, L.P.","Warburg Pincus Private Equity XI, L.P.","Warburg Pincus","FUND_0993","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Warburg Pincus Private Equity XI-B, L.P.","Warburg Pincus Private Equity XI-B, L.P.","Warburg Pincus","FUND_0994","decided","06-statements-and-economics","SRC407","2","0","distinct class of Fund XI"
"Warburg Pincus Private Equity XII, L.P.","Warburg Pincus Private Equity XII, L.P.","Warburg Pincus","FUND_0995","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Warburg Pincus Private Equity XII-B, L.P.","Warburg Pincus Private Equity XII-B, L.P.","Warburg Pincus","FUND_0996","decided","06-statements-and-economics","SRC407","2","0","distinct class of Fund XII"
"Warwick Partners III","Warwick Partners III","Warwick Partners","FUND_0997","decided","02-performance","SRC060","6","0","distinct series vehicle"
"Warwick Partners IV","Warwick Partners IV","Warwick Partners","FUND_0998","decided","02-performance","SRC060","6","0","distinct series vehicle"
"Water Property Investor II, L.P.","Water Property Investor II, L.P.","Water Property Investor","FUND_0999","decided","04-quarterly-report","SRC457","15","0","distinct from Water Property Investor L.P."
"Water Property Investor, L.P.","Water Property Investor, L.P.","Water Property Investor","FUND_1000","decided","04-quarterly-report","SRC457","16","0","distinct from Water Property Investor II"
"Waterton Fund IX PT Chicago, LLC","Waterton Fund IX PT Chicago, LLC","Waterton","FUND_1001","decided","02-performance","SRC058","4","0","distinct Waterton vehicle"
"Waterton Residential Prop Venture XIV","Waterton Residential Prop Venture XIV","Waterton","FUND_1002","decided","02-performance","SRC058","6","0","abbreviated spelling kept as printed"
"Waterton Residential Property Venture XI","Waterton Residential Property Venture XI","Waterton","FUND_1003","decided","02-performance","SRC058","6","0","distinct series vehicle"
"Waterton Residential Property Venture XII","Waterton Residential Property Venture XII","Waterton","FUND_1004","decided","02-performance","SRC058","6","0","distinct series vehicle"
"WCAS XIII, L.P.","WCAS XIII, L.P.","WCAS","FUND_1005","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"WCAS XIV, L.P.","WCAS XIV, L.P.","WCAS","FUND_1006","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Webster Equity Partners Bristol CF, L.P.","Webster Equity Partners Bristol CF, L.P.","","FUND_1007","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Westbourne Infrastructure Debt 6 (A)","Westbourne Infrastructure Debt 6 (A)","Westbourne","FUND_1008","decided","02-performance","SRC060","6","0","distinct class A vehicle"
"Westbourne Infrastructure Debt 6 ©","Westbourne Infrastructure Debt 6 ©","Westbourne","FUND_1009","decided","02-performance","SRC060","5","0","distinct class C vehicle - OCR spelling kept as printed"
"Westbrook I","Westbrook I","Westbrook","FUND_1010","decided","02-performance","SRC058","6","0","distinct - short label not merged with Westbrook Real Estate Fund I"
"Westbrook II","Westbrook II","Westbrook","FUND_1011","decided","02-performance","SRC058","6","0","distinct series vehicle"
"Westbrook III","Westbrook III","Westbrook","FUND_1012","decided","02-performance","SRC058","6","0","distinct series vehicle"
"Westbrook IV","Westbrook IV","Westbrook","FUND_1013","decided","02-performance","SRC058","6","0","distinct series vehicle"
"Westbrook Real Estate Fund I","Westbrook Real Estate Fund I","Westbrook","FUND_0254","decided","A+B","SRC137","1","1","distinct - full printed name from a separate source"
"Western National Co-Investment","Western National Co-Investment","Western National","FUND_1014","decided","02-performance","SRC058","6","0","distinct Western National vehicle"
"Western National Realty II","Western National Realty II","Western National","FUND_1015","decided","02-performance","SRC058","6","0","distinct Western National vehicle"
"Whitehall Street III & IV","Whitehall Street III & IV","Whitehall Street","FUND_0255","decided","A+B","SRC137","1","1","distinct combined reporting line"
"Whitehall Street V & VI","Whitehall Street V & VI","Whitehall Street","FUND_0256","decided","A+B","SRC137","1","1","distinct combined reporting line"
"Whitehall Street V-S & VI-S","Whitehall Street V-S & VI-S","Whitehall Street","FUND_0257","decided","A+B","SRC137","1","1","distinct combined reporting line"
"Whitehall Street VII & VIII","Whitehall Street VII & VIII","Whitehall Street","FUND_0258","decided","A+B","SRC137","1","1","distinct combined reporting line"
"William E Simon & Sons","William E Simon & Sons","","FUND_0259","decided","A+B","SRC137","1","1","sole printed variant"
"Wind Point Partners AAV, L.P.","Wind Point Partners AAV, L.P.","Wind Point Partners","FUND_1016","decided","06-statements-and-economics","SRC407","2","0","distinct Wind Point vehicle"
"Wind Point Partners VII-B, L.P.","Wind Point Partners VII-B, L.P.","Wind Point Partners","FUND_1017","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Windsor Columbia Realty Fund","Windsor Columbia Realty Fund","Windsor Columbia","FUND_1018","decided","02-performance","SRC058","4","0","distinct from the Non Core sleeve"
"Windsor Columbia Realty Fund Non Core","Windsor Columbia Realty Fund Non Core","Windsor Columbia","FUND_1019","decided","02-performance","SRC058","6","0","distinct non-core sleeve"
"Windsor Realty VII","Windsor Realty VII","","FUND_1020","decided","02-performance","SRC058","6","0","sole printed variant - generic Windsor stem left unfamilied"
"Women's VC Fund II, L.P.","Women's VC Fund II, L.P.","","FUND_0073","decided","A+B","SRC035","1","1","distinct from Women's Venture Capital Fund L.P."
"Women's Venture Capital Fund, L.P.","Women's Venture Capital Fund, L.P.","","FUND_0074","decided","A+B","SRC035","1","1","distinct from Women's VC Fund II L.P."
"Woodbourne","Woodbourne","","FUND_1021","decided","02-performance","SRC058","3","0","sole printed variant"
"WP AUSA, L.P.","WP AUSA, L.P.","","FUND_1022","decided","06-statements-and-economics","SRC407","2","0","sole printed variant - acronym not expanded"
"WRPV XI CK Expansion, L.L.C","WRPV XI CK Expansion, L.L.C","","FUND_1023","decided","02-performance","SRC058","6","0","distinct co-investment vehicle"
"Yaletown Ventures II (USA), L.P.","Yaletown Ventures II (USA), L.P.","","FUND_0075","decided","A+B","SRC035","1","1","sole printed variant"
"Yen Feeder","Yen Feeder","Bear Stearns High Grade Structured Credit Strategies Fund","FUND_1024","decided","05-fund-legal-docs","SRC107","1","0","The investment-vehicle table prints Yen Feeder as a distinct feeder of the named Bear Stearns fund."
"ZMC II, L.P.","ZMC II, L.P.","","FUND_1025","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
