fund_name_raw,standardized_fund_name,fund_family,fund_id,decision_status,seen_in_agents,source_files,a_count,b_count,merge_note
A10 USD (Feeder) L.P.,A10 USD (Feeder) L.P.,,FUND_0260,decided,06-statements-and-economics,SRC407,2,0,distinct; separate feeder vehicle from the A9 feeders
"American Securities Partners VI, L.P.","American Securities Partners VI, L.P.",American Securities,FUND_0290,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VI and Fund VII stay two standards
"American Securities Partners VII, L.P.","American Securities Partners VII, L.P.",American Securities,FUND_0291,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VII and Fund VI stay two standards
Antares Private Credit Fund (ABDC),Antares Private Credit Fund (ABDC),,FUND_0292,decided,04-quarterly-report,SRC606,33,0,confirmed; only printed variant and no sibling vehicle here
ANTIN INFRASTRUCTURE PARTNERS II LP,ANTIN INFRASTRUCTURE PARTNERS II LP,,FUND_0157,decided,A+B,SRC463,1,1,confirmed; only printed variant and no sibling vehicle here
"AP VIII Private Investors Offshore (USD), L.P.","AP VIII Private Investors Offshore (USD), L.P.",,FUND_0293,decided,06-statements-and-economics,SRC407,2,0,distinct; offshore USD vehicle is not the LLC
"AP VIII Private Investors, LLC","AP VIII Private Investors, LLC",,FUND_0294,decided,06-statements-and-economics,SRC407,2,0,distinct; LLC is a separate vehicle from the offshore USD partnership
"Apax Europe VI - A, L.P.","Apax Europe VI - A, L.P.",Apax,FUND_0295,decided,06-statements-and-economics,SRC407,2,0,distinct; Europe VI-A is its own series
"Apax Europe VII - B, L.P.","Apax Europe VII - B, L.P.",Apax,FUND_0296,decided,06-statements-and-economics,SRC407,2,0,distinct; Europe VII-B is its own series
Apax IX USD L.P.,Apax IX USD L.P.,Apax,FUND_0297,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund IX is its own series
Apax XI USD L.P.,Apax XI USD L.P.,Apax,FUND_0298,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund XI is its own series
"Apollo European Real Estate Fund III, L.P.","Apollo European Real Estate Fund III, L.P.",Apollo,FUND_0161,decided,A+B,SRC137,1,1,distinct; European real estate series is its own vehicle
"Apollo Investment Fund VI, L.P.","Apollo Investment Fund VI, L.P.",Apollo,FUND_0299,decided,06-statements-and-economics,SRC407,2,0,distinct; buyout series is separate from the real estate funds
Apollo Real Estate Finance Corp,Apollo Real Estate Finance Corp,Apollo,FUND_0162,decided,A+B,SRC137,1,1,distinct; corporation is separate from the AREFIN co-invest vehicle
"Apollo Value Enhancement Fund VII, L.P.","Apollo Value Enhancement Fund VII, L.P.",Apollo,FUND_0163,decided,A+B,SRC137,1,1,distinct; value enhancement series is its own vehicle
Appian Natural Resources Fund,Appian Natural Resources Fund,Appian,FUND_0300,decided,02-performance,SRC060,6,0,distinct; first fund of the series is not Fund II
Appian Natural Resources Fund II,Appian Natural Resources Fund II,Appian,FUND_0301,decided,02-performance,SRC060,6,0,distinct; Fund II is a separate vehicle from the first fund
ARA China Long Term Hold,ARA China Long Term Hold,,FUND_0302,decided,02-performance,SRC063,5,0,confirmed; only printed variant and no sibling vehicle here
"Arboretum Ventures IIa, L.P.","Arboretum Ventures IIa, L.P.",,FUND_0077,decided,A+B,SRC036,1,1,confirmed; only printed variant and no sibling vehicle here
Archer Capital Trust 5B,Archer Capital Trust 5B,,FUND_0303,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
"Archmore International Infrastructure Fund II (B), L.P.","Archmore International Infrastructure Fund II (B), L.P.",Archmore,FUND_0304,decided,02-performance,SRC063,4,0,distinct; parallel vehicle B is not vehicle C
"Archmore International Infrastructure Fund II (C), L.P.","Archmore International Infrastructure Fund II (C), L.P.",Archmore,FUND_0305,decided,02-performance,SRC063,4,0,distinct; parallel vehicle C is not vehicle B
AREFIN Co-Invest Corporation,AREFIN Co-Invest Corporation,,FUND_0164,decided,A+B,SRC137,1,1,distinct; co-invest vehicle kept apart from Apollo Real Estate Finance Corp
"Arsenal Venture Partners IIa, L.P.","Arsenal Venture Partners IIa, L.P.",,FUND_0078,decided,A+B,SRC036,1,1,confirmed; only printed variant and no sibling vehicle here
"Artiman Ventures III, L.P.","Artiman Ventures III, L.P.",,FUND_0306,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
ASB Allegiance Real Estate Fund,ASB Allegiance Real Estate Fund,,FUND_0307,decided,02-performance,SRC058,6,0,confirmed; only printed variant and no sibling vehicle here
Ascentris - OR Partners LLC,Ascentris - OR Partners LLC,Ascentris,FUND_0308,decided,02-performance,SRC058,4,0,distinct; separate account vehicle is not the core fund
Ascentris Core,Ascentris Core,Ascentris,FUND_0309,decided,02-performance,SRC058,4,0,distinct; core fund is not the OR Partners vehicle
Astorg Normec Fund,Astorg Normec Fund,Astorg,FUND_0310,decided,06-statements-and-economics,SRC407,2,0,distinct; single-asset vehicle is not a numbered Astorg fund
Astorg VI SLP,Astorg VI SLP,Astorg,FUND_0311,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VI and Fund VII stay two standards
Astorg VII SLP,Astorg VII SLP,Astorg,FUND_0312,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VII and Fund VI stay two standards
"Athenian Venture Partners III, L.P.","Athenian Venture Partners III, L.P.",,FUND_0080,decided,A+B,SRC036,1,1,confirmed; only printed variant and no sibling vehicle here
Atlas Capital Resources LP,Atlas Capital Resources LP,,FUND_0313,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
"Audax Mezzanine Fund III, L.P.","Audax Mezzanine Fund III, L.P.",Audax,FUND_0314,decided,06-statements-and-economics,SRC407,2,0,distinct; mezzanine series is separate from the private equity funds
"Audax Private Equity Aspen CF, L.P.","Audax Private Equity Aspen CF, L.P.",Audax,FUND_0315,decided,06-statements-and-economics,SRC407,2,0,distinct; continuation vehicle is its own fund
"Audax Private Equity Fund III, L.P.","Audax Private Equity Fund III, L.P.",Audax,FUND_0316,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund III is not the unnumbered Audax Private Equity Fund
"Audax Private Equity Fund, L.P.","Audax Private Equity Fund, L.P.",Audax,FUND_0317,decided,06-statements-and-economics,SRC407,2,0,distinct; printed unnumbered alongside Fund III in the same statement
"Aurora Equity Partners V, L.P.","Aurora Equity Partners V, L.P.",,FUND_0318,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
AUSTIN VENTURES IX LP,AUSTIN VENTURES IX LP,AUSTIN VENTURES,FUND_0319,decided,03-institutional-report,SRC356,1,0,distinct; Fund IX and Fund X stay two standards
AUSTIN VENTURES X LP,AUSTIN VENTURES X LP,AUSTIN VENTURES,FUND_0320,decided,03-institutional-report,SRC356,1,0,distinct; Fund X and Fund IX stay two standards
"AvalonBay Value Added Fund II, L.P.","AvalonBay Value Added Fund II, L.P.",AvalonBay,FUND_0165,decided,A+B,SRC137,1,1,distinct; Fund II is a separate vehicle from the first fund
"AvalonBay Value Added Fund, L.P.","AvalonBay Value Added Fund, L.P.",AvalonBay,FUND_0166,decided,A+B,SRC137,1,1,distinct; first fund of the series is not Fund II
Avenue Real Estate Fund (Parallel) L.P.,Avenue Real Estate Fund (Parallel) L.P.,,FUND_0167,decided,A+B,SRC137,1,1,confirmed; only printed variant and no sibling vehicle here
"Avista Healthcare Partners (Offshore) I, L.P.","Avista Healthcare Partners (Offshore) I, L.P.",,FUND_0321,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
"Bain Capital Asia Fund II, L.P.","Bain Capital Asia Fund II, L.P.",Bain Capital,FUND_0322,decided,06-statements-and-economics,SRC407,2,0,distinct; Asia Fund II and Fund III stay two standards
"Bain Capital Asia Fund III, L.P.","Bain Capital Asia Fund III, L.P.",Bain Capital,FUND_0323,decided,06-statements-and-economics,SRC407,2,0,distinct; Asia Fund III and Fund II stay two standards
"Bain Capital Distressed and Special Situations 2013 (E), L.P.","Bain Capital Distressed and Special Situations 2013 (E), L.P.",Bain Capital,FUND_0324,decided,06-statements-and-economics,SRC407,1,0,distinct; credit vehicle is its own series
"Bain Capital Empire Holdings, L.P.","Bain Capital Empire Holdings, L.P.",Bain Capital,FUND_0325,decided,06-statements-and-economics,SRC407,2,0,distinct; holdings vehicle is not a numbered Bain fund
"Bain Capital Europe Fund III, L.P.","Bain Capital Europe Fund III, L.P.",Bain Capital,FUND_0326,decided,06-statements-and-economics,SRC407,2,0,distinct; Europe Fund III and Fund V stay two standards
"Bain Capital Europe Fund V, SCSp","Bain Capital Europe Fund V, SCSp",Bain Capital,FUND_0327,decided,06-statements-and-economics,SRC407,2,0,distinct; Europe Fund V and Fund III stay two standards
"Bain Capital Fund VII, L.P.","Bain Capital Fund VII, L.P.",Bain Capital,FUND_0328,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VII is not the VII Coinvestment Fund
"Bain Capital Fund X, L.P.","Bain Capital Fund X, L.P.",Bain Capital,FUND_0329,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund X is its own series
"Bain Capital Fund XI, L.P.","Bain Capital Fund XI, L.P.",Bain Capital,FUND_0330,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund XI is its own series
"Bain Capital Fund XII, L.P.","Bain Capital Fund XII, L.P.",Bain Capital,FUND_0331,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund XII is its own series
"Bain Capital VII Coinvestment Fund, L.P.","Bain Capital VII Coinvestment Fund, L.P.",Bain Capital,FUND_0332,decided,06-statements-and-economics,SRC407,2,0,distinct; coinvestment vehicle is separate from Bain Capital Fund VII
Barley (No.1) Limited Partnership,Barley (No.1) Limited Partnership,,FUND_0333,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
"BC Asia III Private Investors, L.P.","BC Asia III Private Investors, L.P.",BC Partners,FUND_0334,decided,06-statements-and-economics,SRC407,1,0,distinct; Asia private investors vehicle is its own fund
"BC Europe IV Private Investors, L.P.","BC Europe IV Private Investors, L.P.",BC Partners,FUND_0335,decided,06-statements-and-economics,SRC407,2,0,distinct; Europe IV private investors vehicle is its own fund
BC European Capital IX-8 LP,BC European Capital IX-8 LP,BC Partners,FUND_0336,decided,06-statements-and-economics,SRC407,2,0,distinct; IX-8 is a separate numbered vehicle
BC European Capital X-10 LP,BC European Capital X-10 LP,BC Partners,FUND_0337,decided,06-statements-and-economics,SRC407,2,0,distinct; X-10 is a separate numbered vehicle from X-2 and X-7
BC European Capital X-2 LP,BC European Capital X-2 LP,BC Partners,FUND_0338,decided,06-statements-and-economics,SRC407,2,0,distinct; X-2 is a separate numbered vehicle from X-7 and X-10
BC European Capital X-7 LP,BC European Capital X-7 LP,BC Partners,FUND_0339,decided,06-statements-and-economics,SRC407,2,0,distinct; X-7 is a separate numbered vehicle from X-2 and X-10
"BC Life Sciences Private Investors, L.P.","BC Life Sciences Private Investors, L.P.",BC Partners,FUND_0340,decided,06-statements-and-economics,SRC407,2,0,distinct; life sciences private investors vehicle is its own fund
BC Partners XI GD - 2 LP,BC Partners XI GD - 2 LP,BC Partners,FUND_0341,decided,06-statements-and-economics,SRC407,2,0,distinct; XI GD-2 is not the XI Private Investor vehicle
"BC XI Private Investor, L.P.","BC XI Private Investor, L.P.",BC Partners,FUND_0342,decided,06-statements-and-economics,SRC407,2,0,distinct; XI private investor vehicle is not XI GD-2
"BC XII Private Investors, L.P.","BC XII Private Investors, L.P.",BC Partners,FUND_0343,decided,06-statements-and-economics,SRC407,2,0,distinct; XII private investors vehicle is its own fund
BCP V-S L.P.,BCP V-S L.P.,,FUND_0344,decided,06-statements-and-economics,SRC407,1,0,distinct; abbreviated V-S vehicle not merged into Blackstone Capital Partners V L.P.
"Beacon Capital Strategic Partners V, L.P.","Beacon Capital Strategic Partners V, L.P.",Beacon Capital,FUND_0168,decided,A+B,SRC137,1,1,distinct; Fund V and Fund VI stay two standards
"Beacon Capital Strategic Partners VI, LP","Beacon Capital Strategic Partners VI, LP",Beacon Capital,FUND_0345,decided,02-performance,SRC058,6,0,distinct; Fund VI and Fund V stay two standards
Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,,FUND_0346,decided,05-fund-legal-docs,SRC107,26,0,confirmed; only printed variant and no sibling vehicle here
"Bell Institutional Fund IV, LLC","Bell Institutional Fund IV, LLC",,FUND_0169,decided,A+B,SRC137,1,1,confirmed; only printed variant and no sibling vehicle here
"Berkshire Fund VI, Limited Partnership","Berkshire Fund VI, Limited Partnership",Berkshire Fund,FUND_0347,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VI is its own series
"Berkshire Fund VII, L.P.","Berkshire Fund VII, L.P.",Berkshire Fund,FUND_0348,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VII is its own series
"Berkshire Fund VIII (IND), L.P.","Berkshire Fund VIII (IND), L.P.",Berkshire Fund,FUND_0349,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VIII is its own series
BIF IV Co-Investment,BIF IV Co-Investment,,FUND_0350,decided,02-performance,SRC060,5,0,confirmed; the printed abbreviation does not identify a sponsor; family is blank
BioScience Facilities Fund,BioScience Facilities Fund,,FUND_0121,decided,B,SRC039,0,1,confirmed; only printed variant and no sibling vehicle here
Blackstone Capital Partners V L.P.,Blackstone Capital Partners V L.P.,Blackstone,FUND_0351,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund V is its own series
"Blackstone Capital Partners VII, L.P.","Blackstone Capital Partners VII, L.P.",Blackstone,FUND_0352,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VII is its own series
"Blackstone Capital Partners VIII (Lux), SCSp","Blackstone Capital Partners VIII (Lux), SCSp",Blackstone,FUND_0353,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund VIII Lux vehicle is its own series
Blackstone Energy Partners III,Blackstone Energy Partners III,Blackstone,FUND_0354,decided,02-performance,SRC060,5,0,distinct; Energy III and Energy IV stay two standards
Blackstone Energy Partners IV,Blackstone Energy Partners IV,Blackstone,FUND_0355,decided,02-performance,SRC060,5,0,distinct; Energy IV and Energy III stay two standards
Blackstone Mileway Logistics L.P.,Blackstone Mileway Logistics L.P.,Blackstone,FUND_0356,decided,02-performance,SRC063,2,0,distinct; single-platform vehicle is not a numbered Blackstone fund
"Blackstone Property Partners Europe, L.P.","Blackstone Property Partners Europe, L.P.",Blackstone,FUND_0357,decided,02-performance,SRC063,4,0,distinct; Europe property vehicle is not the Life Sciences vehicle
Blackstone Property Partners Life Sciences L.P.,Blackstone Property Partners Life Sciences L.P.,Blackstone,FUND_0358,decided,02-performance,SRC063,2,0,distinct; Life Sciences vehicle is not the Europe property vehicle
