standardized_fund_name,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
Actis Energy 5 LP,,,,,Actis,WEB_MANAGER: https://pitchbook.com/profiles/fund/15976-27F | Actis Energy 5 is a 2021 vintage infrastructure fund managed by Actis.  [AUTO: identical]
Advent Global Technology II Limited Partnership,,,,,Advent International,FAMILY Advent: WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
Advent International GPE VI-A Limited Partnership,,,,,Advent International,FAMILY Advent: WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
Advent International GPE VII-B Limited Partnership,,,,,Advent International,FAMILY Advent: WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
Advent International GPE VIII-B-2 Limited Partnership,,,,,Advent International,FAMILY Advent: WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
Advent International GPE VIII-C Limited Partnership,,,,,Advent International,FAMILY Advent: WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
"Adventure Fund I, L.P.",,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
AEA EXC CF LP,,,,,AEA Investors LP,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1927415/000192741522000001/xslFormDX01/primary_doc.xml | AEA EXC CF LP's Form D lists its executive at 520 Madison Ave, 40th Floor, New York, AEA Investors LP's headquarters address, and PitchBook identifies AEA EXC CF as a fund managed by AEA Investors.  [AUTO: one-sided]"
"Aerospace, Transportation and Logistics Fund II LP",,,,,ATL Partners,"WEB_MANAGER: https://www.atlpartners.com/news/atl-advisor-closes-the-aerospace-transportation-and-logistics-fund-ii-lp/ | ATL Partners announced the closing of the Aerospace, Transportation and Logistics Fund II LP with $575 million of capital commitments."
Aetos Capital Asia TE II,,,,,Aetos Capital Real Estate,FAMILY Aetos Capital: WEB_MANAGER: https://www.pei-privaterealestate.com/institution-profiles/aetos-capital-real-estate.html | Aetos Capital Real Estate is a New York-headquartered investment management firm founded in 2001 that has sponsored four institutional funds investing primarily across Japan and Greater China.  [AUTO: identical]
Aetos Capital Asia TE III,,,,,Aetos Capital Real Estate,FAMILY Aetos Capital: WEB_MANAGER: https://www.pei-privaterealestate.com/institution-profiles/aetos-capital-real-estate.html | Aetos Capital Real Estate is a New York-headquartered investment management firm founded in 2001 that has sponsored four institutional funds investing primarily across Japan and Greater China.  [AUTO: identical]
AEW Core Property Trust,,,,,"AEW Capital Management, L.P.","FAMILY AEW: WEB_MANAGER: https://www.aew.com/ | AEW Capital Management, L.P. has provided real estate investment management services to investors worldwide for nearly 45 years.  [AUTO: AEW Capital Management = AEW Capital Management, L.P.]"
"AEW Essential Housing Fund, L.P.",,,,,"AEW Capital Management, L.P.","FAMILY AEW: WEB_MANAGER: https://www.aew.com/ | AEW Capital Management, L.P. has provided real estate investment management services to investors worldwide for nearly 45 years.  [AUTO: AEW Capital Management = AEW Capital Management, L.P.]"
"AG Asia Realty Fund II, L.P.",,,,,TPG Angelo Gordon,WEB_MANAGER: https://pitchbook.com/profiles/fund/12937-42F | AG Asia Realty Fund II is a real estate value-added fund managed by TPG Angelo Gordon.  [AUTO: identical]
"AG Core Plus Realty Fund III, L.P.","Angelo, Gordon & Co.","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2012/res14.pdf | AG Core Plus Realty Fund III, LP is sponsored by Angelo, Gordon & Co.","Angelo, Gordon & Co., L.P.","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2012/res14.pdf | PSERS: The investment adviser to this fund is Angelo, Gordon & Co., L.P.","Angelo, Gordon & Co., L.P.","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2012/res14.pdf | PSERS: The investment adviser to this fund is Angelo, Gordon & Co., L.P."
"Alinda Infrastructure Fund II, L.P.",,,,,Astatine Investment Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/11566-45F | Alinda Capital Partners rebranded to Astatine Investment Partners in April 2022; Alinda Infrastructure Fund II is managed by Astatine Investment Partners.
"Allos Ventures II, L.P.",Allos Ventures,"WEB_MANAGER: https://allosventures.com/about | Allos Ventures is a venture capital firm founded in Cincinnati, Ohio in 2010.",Allos Ventures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13455-37F | PitchBook: Allos Ventures II is an early-stage venture capital fund managed by Allos Ventures.,Allos Ventures,WEB_MANAGER: https://pitchbook.com/profiles/fund/13455-37F | PitchBook: Allos Ventures II is an early-stage venture capital fund managed by Allos Ventures.
"Almanac Realty Securities V, L.P.",Almanac Realty Investors,"WEB_MANAGER: https://www.crunchbase.com/organization/almanac-realty-investors | Almanac Realty Investors, formerly Rothschild Realty Managers, manages the Almanac Realty Securities fund series.","Almanac Realty Investors, LLC","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2017/res52.pdf | PSERS: Almanac Realty Securities I-VI are in the ARS series managed by Almanac Realty Investors, LLC.","Almanac Realty Investors, LLC","FAMILY Almanac Realty Securities: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2017/res52.pdf | PSERS: Almanac Realty Securities I-VI are in the ARS series managed by Almanac Realty Investors, LLC."
"Almanac Realty Securities VI, L.P.",Almanac Realty Investors,"WEB_MANAGER: https://www.crunchbase.com/organization/almanac-realty-investors | Almanac Realty Investors, formerly Rothschild Realty Managers, manages the Almanac Realty Securities fund series.","Almanac Realty Investors, LLC","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2017/res52.pdf | PSERS: Almanac Realty Securities I-VI are in the ARS series managed by Almanac Realty Investors, LLC.","Almanac Realty Investors, LLC","FAMILY Almanac Realty Securities: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2017/res52.pdf | PSERS: Almanac Realty Securities I-VI are in the ARS series managed by Almanac Realty Investors, LLC."
Alpha Asia Macro Trends Fund,,,,,Alpha Investment Partners,"FAMILY Alpha Asia Macro Trends: WEB_MANAGER: https://www.keppel.com/media/keppel-capital-achieves-first-closing-of-us295-million-for-its-follow-on-alpha-asia-macro-trends-fund-iv/ | Alpha Investment Partners is a wholly-owned subsidiary of Keppel Capital, and the flagship Alpha Asia Macro Trends Funds series focuses on value-add investments in the Asia Pacific region.  [AUTO: identical]"
Alpha Asia Macro Trends Fund II,,,,,Alpha Investment Partners,"FAMILY Alpha Asia Macro Trends: WEB_MANAGER: https://www.keppel.com/media/keppel-capital-achieves-first-closing-of-us295-million-for-its-follow-on-alpha-asia-macro-trends-fund-iv/ | Alpha Investment Partners is a wholly-owned subsidiary of Keppel Capital, and the flagship Alpha Asia Macro Trends Funds series focuses on value-add investments in the Asia Pacific region.  [AUTO: identical]"
Alpha Private Equity Fund 7 (SCA) SICAR,,,,,Alpha Private Equity Funds Management Company Sàrl,WEB_MANAGER: https://lpea.lu/alpha-private-equity-successfully-raises-e903-million-for-its-latest-luxembourg-fund/ | The fund is a SICAR managed by the group's Alpha Private Equity Funds Management Company (AIFM) in Luxembourg.
Alterna Core Capital Assets Fund II,,,,,Alterna Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/13636-72F | Alterna Core Capital Assets Fund II is a buyout fund managed by Alterna Capital Partners.
"American Industrial Partners Fund IV, L.P.",,,,,American Industrial Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/10914-94F | American Industrial Partners Capital Fund IV is a buyout fund managed by American Industrial Partners.
"American Securities Partners VI, L.P.",,,,,American Securities LLC,"FAMILY American Securities: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1589526/000114036121008279/brhc10021635_sc13da.htm | American Securities LLC provides investment advisory services to each Sponsor, including American Securities Partners VII, L.P.  [AUTO: American Securities = American Securities LLC]"
"American Securities Partners VII, L.P.",,,,,American Securities LLC,"FAMILY American Securities: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1589526/000114036121008279/brhc10021635_sc13da.htm | American Securities LLC provides investment advisory services to each Sponsor, including American Securities Partners VII, L.P.  [AUTO: American Securities = American Securities LLC]"
Antares Private Credit Fund (ABDC),,,,,Antares Capital Credit Advisers LLC,WEB_MANAGER: https://www.antares.com/our-perspectives/media/antares-private-credit-fund-launches-with-more-than-1-4-billion-in-investable-capital/ | Antares Private Credit Fund (ABDC) is a business development company managed by Antares Capital Credit Advisers LLC.  [AUTO: identical]
ANTIN INFRASTRUCTURE PARTNERS II LP,Antin Infrastructure Partners,WEB_MANAGER: https://find-and-update.company-information.service.gov.uk/company/LP015630/filing-history | Companies House filing confirms Antin Infrastructure Partners as the general partner managing ANTIN INFRASTRUCTURE PARTNERS II LP.,Antin Infrastructure Partners UK Ltd,WEB_MANAGER: https://privatefunddata.com/private-funds/antin-infrastructure-partners-ii-lp | Form ADV listing: Antin Infrastructure Partners Ii LP is operated by Antin Infrastructure Partners Uk Ltd.,Antin Infrastructure Partners,WEB_MANAGER: https://find-and-update.company-information.service.gov.uk/company/LP015630/filing-history | Companies House filing confirms Antin Infrastructure Partners as the general partner managing ANTIN INFRASTRUCTURE PARTNERS II LP.
"AP VIII Private Investors Offshore (USD), L.P.",,,,,"Apollo Management VIII, L.P.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0001631825/000163182517000009/psdofy176301710-k.htm | Apollo Management VIII, L.P. serves as manager of Apollo Investment Fund VIII, L.P. and its related AP VIII co-investment vehicles.  [AUTO: one-sided]"
"AP VIII Private Investors, LLC",,,,,"Apollo Management VIII, L.P.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0001631825/000163182517000009/psdofy176301710-k.htm | Apollo Management VIII, L.P. serves as manager of Apollo Investment Fund VIII, L.P. and its related AP VIII co-investment vehicles.  [AUTO: one-sided]"
"Apax Europe VI - A, L.P.",,,,,Apax Partners,"FAMILY Apax: WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.  [AUTO: identical]"
"Apax Europe VII - B, L.P.",,,,,Apax Partners,"FAMILY Apax: WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.  [AUTO: identical]"
Apax IX USD L.P.,,,,,Apax Partners,"FAMILY Apax: WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.  [AUTO: identical]"
Apax XI USD L.P.,,,,,Apax Partners,"FAMILY Apax: WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.  [AUTO: identical]"
"Apollo European Real Estate Fund III, L.P.",Apollo Global Management,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy.",,,Apollo Global Management,"FAMILY Apollo: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy."
"Apollo Investment Fund VI, L.P.",,,,,Apollo Global Management,"FAMILY Apollo: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy."
Apollo Real Estate Finance Corp,,WEB_MANAGER: no public manager match found,,,Apollo Global Management,"FAMILY Apollo: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy."
"Apollo Value Enhancement Fund VII, L.P.",Apollo Global Management,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy.",,,Apollo Global Management,"FAMILY Apollo: WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy."
Appian Natural Resources Fund,,,,,Appian Capital Advisory LLP,"FAMILY Appian: WEB_MANAGER: https://appiancapitaladvisory.com/ | Appian Capital Advisory LLP is the investment advisor to the Appian Natural Resources Private Equity Funds investing solely in mining or mining-related companies, assets and management teams.  [AUTO: Appian Capital Advisory LLP = Appian Capital Advisory]"
Appian Natural Resources Fund II,,,,,Appian Capital Advisory LLP,"FAMILY Appian: WEB_MANAGER: https://appiancapitaladvisory.com/ | Appian Capital Advisory LLP is the investment advisor to the Appian Natural Resources Private Equity Funds investing solely in mining or mining-related companies, assets and management teams.  [AUTO: Appian Capital Advisory LLP = Appian Capital Advisory]"
ARA China Long Term Hold,,,,,ARA Asset Management,WEB_MANAGER: https://www.perenews.com/calpers-adds-300m-to-ara-china-vehicle/ | CalPERS added $300m to the ARA China Long Term Hold vehicle managed by ARA Asset Management.  [AUTO: identical]
"Arboretum Ventures IIa, L.P.",Arboretum Ventures,"WEB_MANAGER: https://www.arboretumvc.com/team/ | Arboretum Ventures is a healthcare venture capital firm based in Ann Arbor, Michigan.",Arboretum Ventures,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Arboretum Ventures II & III.,Arboretum Ventures,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Arboretum Ventures II & III.
Archer Capital Trust 5B,,,,,Archer Capital,"WEB_MANAGER: https://pitchbook.com/profiles/fund/13074-67F | Archer Capital Fund 5 is a buyout fund managed by Archer Capital, a Sydney-based private equity firm.  [AUTO: identical]"
"Archmore International Infrastructure Fund II (B), L.P.",,,,,UBS Asset Management,FAMILY Archmore: WEB_MANAGER: https://www.privateequitywire.co.uk/archmore-international-infrastructure-fund-ii-acquire-108-cent-interest-cpv/ | UBS Asset Managements Archmore International Infrastructure Fund II acquired a 10.8 per cent interest in CPV Towantic Energy Centre.  [AUTO: identical]
"Archmore International Infrastructure Fund II (C), L.P.",,,,,UBS Asset Management,FAMILY Archmore: WEB_MANAGER: https://www.privateequitywire.co.uk/archmore-international-infrastructure-fund-ii-acquire-108-cent-interest-cpv/ | UBS Asset Managements Archmore International Infrastructure Fund II acquired a 10.8 per cent interest in CPV Towantic Energy Centre.  [AUTO: identical]
AREFIN Co-Invest Corporation,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found,,WEB_MANAGER: no public manager match found
"Arsenal Venture Partners IIa, L.P.","Arsenal Venture Partners, Inc.","WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/160426 | Arsenal Venture Partners, Inc., established in 2004, functions as sponsor, general partner, and managing member for private pooled investments.",Arsenal Venture Partners,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Arsenal Venture Partners II.,"Arsenal Venture Partners, Inc.","WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/160426 | Arsenal Venture Partners, Inc., established in 2004, functions as sponsor, general partner, and managing member for private pooled investments."
"Artiman Ventures III, L.P.",,,,,Artiman Ventures,"WEB_MANAGER: https://pitchbook.com/profiles/fund/12738-25F | Artiman Ventures III is a venture capital fund managed by Artiman Ventures.  [AUTO: Artiman, LLC = Artiman Ventures]"
ASB Allegiance Real Estate Fund,,,,,ASB Real Estate Investments,"WEB_MANAGER: https://irei.com/wp-content/uploads/2019/04/May-2019-ASB-SponsorProfile.pdf | ASB Real Estate Investments (ASB), a division of ASB Capital Management, LLC, manages the ASB Allegiance Real Estate Fund, its sole vehicle for core investing."
Ascentris - OR Partners LLC,,,,,Ascentris,FAMILY Ascentris: WEB_MANAGER: https://pitchbook.com/profiles/fund/18149-14F | The Ascentris-OR Partners Fund is a real estate value added fund managed by Ascentris.  [AUTO: identical]
Ascentris Core,,,,,Ascentris,FAMILY Ascentris: WEB_MANAGER: https://pitchbook.com/profiles/fund/18149-14F | The Ascentris-OR Partners Fund is a real estate value added fund managed by Ascentris.  [AUTO: identical]
Astorg Normec Fund,,,,,Astorg,FAMILY Astorg: WEB_MANAGER: https://pitchbook.com/profiles/fund/16513-84F | Astorg VII is a buyout fund managed by Astorg and is located in Luxembourg.  [AUTO: identical]
Astorg VI SLP,,,,,Astorg,FAMILY Astorg: WEB_MANAGER: https://pitchbook.com/profiles/fund/16513-84F | Astorg VII is a buyout fund managed by Astorg and is located in Luxembourg.  [AUTO: identical]
Astorg VII SLP,,,,,Astorg,FAMILY Astorg: WEB_MANAGER: https://pitchbook.com/profiles/fund/16513-84F | Astorg VII is a buyout fund managed by Astorg and is located in Luxembourg.  [AUTO: identical]
"Athenian Venture Partners III, L.P.",Athenian Venture Partners,"WEB_MANAGER: https://rocketreach.co/athenian-venture-partners-profile_b5cc44ecf42e0ab7 | Athenian Venture Partners was founded in 1997, based in Athens, Ohio, specializing in early stage Information Technology and Healthcare investments.",Athenian Venture Partners,"WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Athenian Venture Partners III.""Athenian Venture Partners""",Athenian Venture Partners,WEB_MANAGER: https://www.ohiocapitalfund.com/investments | The Ohio Capital Fund portfolio includes underlying funds managed by the following venture capital firms. Lists Athenian Venture Partners III.
Atlas Capital Resources LP,,,,,Atlas FRM LLC,WEB_MANAGER: https://aum13f.com/fund/atlas-capital-resources-lp | Atlas Capital Resources LP lists Atlas FRM LLC as Manager in its public filings; Atlas FRM LLC does business as Atlas Holdings LLC.
"Audax Mezzanine Fund III, L.P.",,,,,Audax Group,"FAMILY Audax: WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.  [AUTO: identical]"
"Audax Private Equity Aspen CF, L.P.",,,,,Audax Group,"FAMILY Audax: WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.  [AUTO: identical]"
"Audax Private Equity Fund III, L.P.",,,,,Audax Group,"FAMILY Audax: WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.  [AUTO: identical]"
"Audax Private Equity Fund, L.P.",,,,,Audax Group,"FAMILY Audax: WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.  [AUTO: identical]"
"Aurora Equity Partners V, L.P.",,,,,Aurora Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15360-85F | Aurora Equity Partners V is a buyout fund managed by Aurora Capital Partners.  [AUTO: identical]
AUSTIN VENTURES IX LP,,,,,Austin Ventures,"FAMILY AUSTIN VENTURES: WEB_MANAGER: https://en.wikipedia.org/wiki/Austin_Ventures | Austin Ventures is a venture capital firm founded in 1984 and headquartered in Austin, Texas.  [AUTO: identical]"
AUSTIN VENTURES X LP,,,,,Austin Ventures,"FAMILY AUSTIN VENTURES: WEB_MANAGER: https://en.wikipedia.org/wiki/Austin_Ventures | Austin Ventures is a venture capital firm founded in 1984 and headquartered in Austin, Texas.  [AUTO: identical]"
"AvalonBay Value Added Fund II, L.P.","AvalonBay Capital Management, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0000915912/000115752311001108/a6613886ex10-2.htm | AvalonBay Value Added Fund, L.P. has AvalonBay Capital Management, Inc. (c/o AvalonBay Communities, Inc.) as its general partner.",,,"AvalonBay Capital Management, Inc.","FAMILY AvalonBay: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0000915912/000115752311001108/a6613886ex10-2.htm | AvalonBay Value Added Fund, L.P. has AvalonBay Capital Management, Inc. (c/o AvalonBay Communities, Inc.) as its general partner."
"AvalonBay Value Added Fund, L.P.","AvalonBay Capital Management, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0000915912/000115752311001108/a6613886ex10-2.htm | AvalonBay Value Added Fund, L.P. has AvalonBay Capital Management, Inc. (c/o AvalonBay Communities, Inc.) as its general partner.",,,"AvalonBay Capital Management, Inc.","FAMILY AvalonBay: WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0000915912/000115752311001108/a6613886ex10-2.htm | AvalonBay Value Added Fund, L.P. has AvalonBay Capital Management, Inc. (c/o AvalonBay Communities, Inc.) as its general partner."
Avenue Real Estate Fund (Parallel) L.P.,,WEB_MANAGER: no public manager match found,,,Avenue Capital Group,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1523566/000110465911037155/a11-15781_2s11.htm | Avenue Capital Group runs the Avenue Real Estate Strategy, including the 2007 Avenue Real Estate Fund vehicles.  [AUTO: one-sided]"
"Avista Healthcare Partners (Offshore) I, L.P.",,,,,"Avista Capital Holdings, L.P.","WEB_MANAGER: https://radientanalytics.com/firm/adv/avista-capital-partners-160750 | Avista Capital Holdings, L.P. is the registered adviser for the Avista Healthcare Partners fund general partners."
"Bain Capital Asia Fund II, L.P.",,,,,Bain Capital,FAMILY Bain Capital: WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.  [AUTO: identical]
"Bain Capital Asia Fund III, L.P.",,,,,Bain Capital,FAMILY Bain Capital: WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.  [AUTO: identical]
"Bain Capital Distressed and Special Situations 2013 (E), L.P.",,,,,Bain Capital,FAMILY Bain Capital: WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.  [AUTO: identical]
"Bain Capital Empire Holdings, L.P.",,,,,Bain Capital,FAMILY Bain Capital: WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.  [AUTO: identical]
