lookup_key,lookup_kind,member_count,member_funds,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
Apax,family,4,"Apax Europe VI - A, L.P. | Apax Europe VII - B, L.P. | Apax IX USD L.P. | Apax XI USD L.P.",Apax Partners,"WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.",Apax Partners,"WEB_MANAGER: https://www.apax.com/our-firm/governance/ | The general partners or investment managers of the Apax Funds are responsible for investment management and portfolio management, drawing on investment advice from Apax.",Apax Partners,"WEB_MANAGER: https://www.apax.com/news-views/apax-holds-final-close-for-eleventh-global-buyout-fund/ | Apax XI is comprised of two USD partnerships and two EUR partnerships, continuing the Apax Partners global buyout series.  [AUTO: identical]"
Apollo,family,4,"Apollo European Real Estate Fund III, L.P. | Apollo Investment Fund VI, L.P. | Apollo Real Estate Finance Corp | Apollo Value Enhancement Fund VII, L.P.",,,,,Apollo Global Management,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/apollo_value_added.pdf | Apollo VEF Advisors VII, L.P. (General Partner) is the sole general partner of the Fund, part of Apollo Global Management's opportunistic real estate strategy."
Appian,family,2,Appian Natural Resources Fund | Appian Natural Resources Fund II,Appian Capital Advisory LLP,"WEB_MANAGER: https://appiancapitaladvisory.com/ | Appian Capital Advisory LLP is the investment advisor to the Appian Natural Resources Private Equity Funds investing solely in mining or mining-related companies, assets and management teams.",Appian Capital Advisory,"WEB_MANAGER: https://appiancapitaladvisory.com/appian-capital-raises-775-million-for-second-mining-fund/ | Appian Capital Advisory raised $775 million for its second mining fund, Appian Natural Resources Fund II.",Appian Capital Advisory LLP,"WEB_MANAGER: https://appiancapitaladvisory.com/ | Appian Capital Advisory LLP is the investment advisor to the Appian Natural Resources Private Equity Funds investing solely in mining or mining-related companies, assets and management teams.  [AUTO: Appian Capital Advisory LLP = Appian Capital Advisory]"
Archmore,family,2,"Archmore International Infrastructure Fund II (B), L.P. | Archmore International Infrastructure Fund II (C), L.P.",UBS Asset Management,WEB_MANAGER: https://www.privateequitywire.co.uk/archmore-international-infrastructure-fund-ii-acquire-108-cent-interest-cpv/ | UBS Asset Managements Archmore International Infrastructure Fund II acquired a 10.8 per cent interest in CPV Towantic Energy Centre.,UBS Asset Management,WEB_MANAGER: https://realassets.ipe.com/ubs-asset-management-makes-second-us-investment-for-infrastructure-fund/10020347.article | UBS Asset Management made a second US investment for its Archmore International Infrastructure Fund.,UBS Asset Management,WEB_MANAGER: https://www.privateequitywire.co.uk/archmore-international-infrastructure-fund-ii-acquire-108-cent-interest-cpv/ | UBS Asset Managements Archmore International Infrastructure Fund II acquired a 10.8 per cent interest in CPV Towantic Energy Centre.  [AUTO: identical]
Ascentris,family,2,Ascentris - OR Partners LLC | Ascentris Core,Ascentris,WEB_MANAGER: https://pitchbook.com/profiles/fund/18149-14F | The Ascentris-OR Partners Fund is a real estate value added fund managed by Ascentris.,Ascentris,WEB_MANAGER: https://pitchbook.com/profiles/fund/18149-14F | Ascentris-OR Partners Fund is a real estate value added fund managed by Ascentris.,Ascentris,WEB_MANAGER: https://pitchbook.com/profiles/fund/18149-14F | The Ascentris-OR Partners Fund is a real estate value added fund managed by Ascentris.  [AUTO: identical]
Astorg,family,3,Astorg Normec Fund | Astorg VI SLP | Astorg VII SLP,Astorg,WEB_MANAGER: https://pitchbook.com/profiles/fund/16513-84F | Astorg VII is a buyout fund managed by Astorg and is located in Luxembourg.,Astorg,WEB_MANAGER: https://www.astorg.com/news/astorg-raises-a-1-4-billion-continuation-fund-in-partnership-with-cvc-secondary-partners-pantheon-lexington-partners-and-eurazeo-to-support-portfolio-company-normec | Astorg raised a EUR 1.4 billion continuation fund to support portfolio company Normec.,Astorg,WEB_MANAGER: https://pitchbook.com/profiles/fund/16513-84F | Astorg VII is a buyout fund managed by Astorg and is located in Luxembourg.  [AUTO: identical]
Audax,family,4,"Audax Mezzanine Fund III, L.P. | Audax Private Equity Aspen CF, L.P. | Audax Private Equity Fund III, L.P. | Audax Private Equity Fund, L.P.",Audax Group,"WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.",Audax Group,"WEB_MANAGER: https://www.audaxgroup.com/ | Audax operates two businesses, Audax Private Equity and Audax Private Debt, both focused on middle market companies.",Audax Group,"WEB_MANAGER: https://www.audaxgroup.com/ | Audax Group is a Boston-based investment firm founded in 1999 that launched with Private Equity Fund I and Mezzanine Fund I and today runs private equity, private debt and strategic capital platforms.  [AUTO: identical]"
AvalonBay,family,2,"AvalonBay Value Added Fund II, L.P. | AvalonBay Value Added Fund, L.P.",,,,,"AvalonBay Capital Management, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/0000915912/000115752311001108/a6613886ex10-2.htm | AvalonBay Value Added Fund, L.P. has AvalonBay Capital Management, Inc. (c/o AvalonBay Communities, Inc.) as its general partner."
BC Partners,family,10,"BC Asia III Private Investors, L.P. | BC Europe IV Private Investors, L.P. | BC European Capital IX-8 LP | BC European Capital X-10 LP | BC European Capital X-2 LP | BC European Capital X-7 LP | BC Life Sciences Private Investors, L.P. | BC Partners XI GD - 2 LP | BC XI Private Investor, L.P. | BC XII Private Investors, L.P.",BC Partners,"WEB_MANAGER: https://www.bcpartners.com/legal/ | BCEC Management X Limited acts as Manager and General Partner to the BC European Capital X Fund, and BC Partners LLP acts as adviser to CIE Management II Ltd, CIE Management IX Ltd and BCEC Management X Ltd.",BC Partners,WEB_MANAGER: https://www.bcpartners.com/news/bc-partners-closes-tenth-flagship-private-equity-fund-at-e7bn/ | BC Partners announced the final close of BC European Capital X at its target size of EUR 7bn.,BC Partners,"WEB_MANAGER: https://www.bcpartners.com/legal/ | BCEC Management X Limited acts as Manager and General Partner to the BC European Capital X Fund, and BC Partners LLP acts as adviser to CIE Management II Ltd, CIE Management IX Ltd and BCEC Management X Ltd.  [AUTO: identical]"
BP Natural Gas Opportunity Partners,family,2,"BP Natural Gas Opportunity Partners II, L.P. | BP Natural Gas Opportunity Partners, L.P.",BP Energy Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/16329-07F | BP Natural Gas Opportunity Partners II is a 2018 vintage private equity growth expansion fund managed by BP Energy Partners.,BP Energy Partners,"WEB_MANAGER: https://bpenergy-partners.files.svdcdn.com/production/images/news-insights/PDF-articles/BP_Raises_350_Million.pdf | BP Energy Partners raised about $350 million for its second fund, BP Natural Gas Opportunity Partners II.",BP Energy Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/16329-07F | BP Natural Gas Opportunity Partners II is a 2018 vintage private equity growth expansion fund managed by BP Energy Partners.  [AUTO: identical]
BPEA,family,2,"BPEA EQT Mid-Market Growth Partnership, SCSp | BPEA Private Equity Fund VI, L.P.",EQT Private Capital Asia,WEB_MANAGER: https://pitchbook.com/profiles/fund/14534-47F | BPEA Private Equity Fund VI is a 2015 vintage buyout fund managed by EQT Private Capital Asia.,EQT Private Capital Asia,WEB_MANAGER: https://pitchbook.com/profiles/fund/24498-28F | BPEA EQT Mid-Market Growth Partnership is a 2023 vintage buyout fund managed by EQT Private Capital Asia.,EQT Private Capital Asia,WEB_MANAGER: https://pitchbook.com/profiles/fund/14534-47F | BPEA Private Equity Fund VI is a 2015 vintage buyout fund managed by EQT Private Capital Asia.  [AUTO: identical]
BPG,family,4,"BPG Investment Partnership IV, L.P. | BPG Investment Partnership V, L.P. | BPG Investment Partnership VI, L.P. | BPG/PSERS Co-Investment Fund",,,,,Equus Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/12882-43F | BPG Investment Partnership V is a 1999 vintage real estate value-added fund managed by Equus Capital Partners.
Bain Capital,family,11,"Bain Capital Asia Fund II, L.P. | Bain Capital Asia Fund III, L.P. | Bain Capital Distressed and Special Situations 2013 (E), L.P. | Bain Capital Empire Holdings, L.P. | Bain Capital Europe Fund III, L.P. | Bain Capital Europe Fund V, SCSp | Bain Capital Fund VII, L.P. | Bain Capital Fund X, L.P. | Bain Capital Fund XI, L.P. | Bain Capital Fund XII, L.P. | Bain Capital VII Coinvestment Fund, L.P.",Bain Capital,WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.,Bain Capital,"WEB_MANAGER: https://www.baincapital.com/news/bain-capital-closes-fourteenth-flagship-private-equity-fund-14-billion | Bain Capital's private equity platform, which manages approximately $68 billion in total assets, combines the scale of a global leader with the agility of regionally focused funds.",Bain Capital,WEB_MANAGER: https://pitchbook.com/profiles/fund/15834-43F | Bain Capital Fund XII is a 2017 vintage buyout fund managed by Bain Capital.  [AUTO: identical]
Beacon Capital,family,2,"Beacon Capital Strategic Partners V, L.P. | Beacon Capital Strategic Partners VI, LP",,,,,Beacon Capital Partners,WEB_MANAGER: https://en.wikipedia.org/wiki/Beacon_Capital_Partners | Beacon Capital Strategic Partners V was a 2007 vintage real estate value-added fund managed by Beacon Capital Partners.
Bear Stearns High Grade Structured Credit Strategies Fund,family,3,Offshore Feeder | Onshore Feeder | Yen Feeder,,,,,Bear Stearns Asset Management,WEB_MANAGER: https://www.sec.gov/news/press/2008/2008-115.htm | SEC press release describes Ralph Cioffi as senior portfolio manager for the Bear Stearns High-Grade Structured Credit Strategies Fund within Bear Stearns Asset Management.  [AUTO: one-sided] [FAMILY: applied to the three feeder vehicles printed under the same named fund.]
Berkshire Fund,family,3,"Berkshire Fund VI, Limited Partnership | Berkshire Fund VII, L.P. | Berkshire Fund VIII (IND), L.P.",Berkshire Partners LLC,WEB_MANAGER: https://berkshirepartners.com/berkshire-partners-closes-berkshire-fund-viii/ | Berkshire Partners LLC closed Berkshire Fund VIII with total equity commitments of $4.5 billion.,Berkshire Partners,"WEB_MANAGER: https://berkshirepartners.com/berkshire-partners-closes-berkshire-fund-viii/ | Berkshire Partners LLC announced the closing of the firm's eighth private equity investment fund, Berkshire Fund VIII, with total equity commitments of $4.5 billion.",Berkshire Partners LLC,WEB_MANAGER: https://berkshirepartners.com/berkshire-partners-closes-berkshire-fund-viii/ | Berkshire Partners LLC closed Berkshire Fund VIII with total equity commitments of $4.5 billion.  [AUTO: Berkshire Partners LLC = Berkshire Partners]
Blackstone,family,15,"Blackstone Capital Partners V L.P. | Blackstone Capital Partners VII, L.P. | Blackstone Capital Partners VIII (Lux), SCSp | Blackstone Energy Partners III | Blackstone Energy Partners IV | Blackstone Mileway Logistics L.P. | Blackstone Property Partners Europe, L.P. | Blackstone Property Partners Life Sciences L.P. | Blackstone RE Partners X LP | Blackstone Real Estate Debt Strategies II, L.P. | Blackstone Real Estate Partners Europe III, L.P. | Blackstone Real Estate Partners IX | Blackstone Real Estate Partners V, L.P. | Blackstone Real Estate Partners VI, L.P. | Blackstone Real Estate Partners VII, L.P.",,,,,Blackstone,"WEB_MANAGER: https://www.blackstone.com/news/press/blackstone-strategic-partners-closes-eighth-real-estate-secondaries-fund-at-2-6-billion/ | Blackstone's partnerships are managed and operated by their general partner, Blackstone Group Management L.L.C."
Blue Owl,family,6,Blue Owl GP Stakes Nimbus Cayman (B) LP | Blue Owl GP Stakes Nimbus U.S. (A) LLC | Blue Owl GP Stakes US Investors LP | Blue Owl GP Stakes V Offshore Investors LP | Blue Owl Real Estate Capital Fund V | Blue Owl Real Estate Capital Fund VI,Blue Owl Capital,WEB_MANAGER: https://pitchbook.com/profiles/fund/24122-26F | Blue Owl GP Stakes VI is a buyout fund managed by Blue Owl Capital.,Blue Owl Capital,"WEB_MANAGER: https://www.privateequityinternational.com/institution-profiles/blue-owl-capital.html | Blue Owl Capital is a New York-headquartered asset management firm that focuses on private equity, real estate, debt and secondary investments.",Blue Owl Capital,WEB_MANAGER: https://pitchbook.com/profiles/fund/24122-26F | Blue Owl GP Stakes VI is a buyout fund managed by Blue Owl Capital.  [AUTO: identical]
Bluescape,family,2,"Bluescape Energy Recapitalization and Restructuring Fund III, L.P. | Bluescape Energy Recapitalization and Restructuring Fund IV, L.P.",Bluescape Energy Partners LLC,"WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-108105/BLUESCAPE-ENERGY-PARTNERS--LLC | Bluescape provides investment advisory services to Bluescape Energy Recapitalization and Restructuring Fund III LP, Fund IV and other related funds.",Bluescape Energy Partners LLC,"WEB_MANAGER: https://adviserinfo.sec.gov/firm/summary/283812 | Bluescape Energy Partners LLC is an SEC-registered investment adviser in Dallas, Texas that acts in sponsor and general partner capacities for the funds it manages.",Bluescape Energy Partners LLC,"WEB_MANAGER: https://hedgefunddb.com/Home/FundDetails/801-108105/BLUESCAPE-ENERGY-PARTNERS--LLC | Bluescape provides investment advisory services to Bluescape Energy Recapitalization and Restructuring Fund III LP, Fund IV and other related funds.  [AUTO: identical]"
Bridgepoint,family,3,Bridgepoint Europe IV 'A' L.P. | Bridgepoint Europe IV 'E' L.P. | Bridgepoint Europe Portfolio IV LP,Bridgepoint Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/11704-96F | Bridgepoint Europe IV was a 2008 vintage buyout fund managed by Bridgepoint Group.,Bridgepoint Advisers II Limited,"WEB_MANAGER: https://www.calpers.ca.gov/documents/202011-invest-item06e-03-a/download | Bridgepoint Advisers II Limited (BAIIL), the manager of the Bridgepoint Europe funds, is regulated in the UK by the Financial Conduct Authority.",Bridgepoint Advisers II Limited,"WEB_MANAGER: https://www.calpers.ca.gov/documents/202011-invest-item06e-03-a/download | Bridgepoint Advisers II Limited (BAIIL), the manager of the Bridgepoint Europe funds, is regulated in the UK by the Financial Conduct Authority."
Broadway Partners,family,2,"Broadway Partners Real Estate Fund II, L.P. | Broadway Partners Real Estate Fund III, L.P.",,,,,"Broadway Real Estate Partners, LLC","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2007/boradway.pdf | Broadway Partners Real Estate Fund III, L.P. is sponsored by Broadway Real Estate Partners, LLC."
Brookfield,family,11,"Brookfield Agriculture Fund II | Brookfield Brazil Timber Fund II, L.P. | Brookfield Infrastructure Fund III | Brookfield Infrastructure Fund IV | Brookfield Infrastructure Fund V | Brookfield Strategic Real Estate Partners, L.P. | Brookfield Super Core Infrastructure Partners Project Aether | Brookfield Super-Core Infrastructure Partners | Brookfield Super-Core Infrastructure Partners Project Kepler | Brookfield Super-Core Infrastructure Partners Project Volta | Brookfield Timberlands Fund V",,,,,Brookfield Asset Management,"WEB_MANAGER: https://www.friedfrank.com/news-and-insights/brookfield-asset-management-closes-17b-brookfield-strategic-real-estate-partners-iv-11017 | Brookfield Asset Management formed Brookfield Strategic Real Estate Partners IV, its flagship opportunistic real estate fund."
CBRE Strategic Partners,family,2,CBRE Strategic Partners US Value Fund 5 | CBRE Strategic Partners US Value Fund 6,CBRE Investment Management,"WEB_MANAGER: https://www.cbreim.com/strategies-and-solutions/direct-strategic-partners-us-value | CBRE Investment Management, formerly known as CBRE Global Investors, sponsors the Strategic Partners U.S. Value series of value-add real estate funds.",CBRE Global Investors,WEB_MANAGER: https://www.pei-privaterealestate.com/equity/cbre-global-investors-closes-its-latest-us-value-added-fund/ | CBRE Global Investors has closed its Strategic Partners U.S. Value 6 L.P. fund with equity commitments of almost $1.1 billion.,CBRE Investment Management,"WEB_MANAGER: https://www.cbreim.com/strategies-and-solutions/direct-strategic-partners-us-value | CBRE Investment Management, formerly known as CBRE Global Investors, sponsors the Strategic Partners U.S. Value series of value-add real estate funds."
CIM,family,2,"CIM Fund III, L.P. | CIM Infrastructure Fund, L.P.",CIM Group,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2022/cim%20infrastructure%20fund%20iii%20-%20public%20im.pdf | CIM Group is the manager of the CIM Infrastructure Fund series, a Los Angeles based real estate, infrastructure and natural resources investment firm.",CIM Group,WEB_MANAGER: https://pitchbook.com/profiles/fund/21118-06F | CIM Infrastructure Fund III is an infrastructure value added fund managed by CIM Group.,CIM Group,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2022/cim%20infrastructure%20fund%20iii%20-%20public%20im.pdf | CIM Group is the manager of the CIM Infrastructure Fund series, a Los Angeles based real estate, infrastructure and natural resources investment firm.  [AUTO: identical]"
CSFB Strategic Partners,family,2,"CSFB Strategic Partners II RE, L.P. | CSFB Strategic Partners III RE, L.P.",,,,,"Credit Suisse First Boston Private Equity, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/773660/000095010306001095/dp02418_13d.htm | Credit Suisse First Boston Private Equity, Inc. serves as the managing general partner of CSFB Strategic Associates, L.P., the general partner of Strategic Partners III and Strategic Partners Parallel III."
CVC,family,5,CVC Capital Partners VI (A) L.P. | CVC Capital Partners VI (B) L.P. | CVC Capital Partners VII (A) L.P. | CVC European Equity Partners V (A) L.P. | CVC European Equity Partners V (C) L.P.,CVC Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.,CVC Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.,CVC Capital Partners,WEB_MANAGER: https://pitchbook.com/profiles/fund/15640-30F | CVC Capital Partners VII is a 2017 vintage buyout fund managed by CVC Capital Partners.  [AUTO: identical]
CalEast,family,3,"CalEast Canada Limited Partnership | CalEast Industrial Investors, LLC | CalEast Solstice, LLC","LaSalle Investment Management, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/912893/000110465906017330/a06-6982_110k.htm | CalEast and its sister company CalEast Industrial Investors, LLC are leading investors in logistics warehouse and related real estate whose members include CalPERS and an affiliate of LaSalle Investment Management, Inc., and LaSalle serves as the managing member of CalEast and CalEast Industrial.",LaSalle Investment Management,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/912893/000110465906017330/a06-6982_110k.htm | LaSalle serves as the managing member of CalEast and CalEast Industrial, whose members include CalPERS and an affiliate of LaSalle Investment Management, Inc.","LaSalle Investment Management, Inc.","WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/912893/000110465906017330/a06-6982_110k.htm | CalEast and its sister company CalEast Industrial Investors, LLC are leading investors in logistics warehouse and related real estate whose members include CalPERS and an affiliate of LaSalle Investment Management, Inc., and LaSalle serves as the managing member of CalEast and CalEast Industrial.  [AUTO: LaSalle Investment Management, Inc. = LaSalle Investment Management]"
Capvis,family,2,Capvis Equity IV L.P. | Capvis Equity V L.P.,Capvis AG,WEB_MANAGER: https://www.capvis.com/en/news/capvis-announces-closing-of-capvis-equity-iv-on-eur-720-million.html | Capvis announced the closing of Capvis Equity IV with capital commitments of EUR 720 million.,Capvis AG,WEB_MANAGER: https://www.capvis.com/en/disclaimer.html | Capvis General Partner IV Limited and Capvis General Partner V Limited are regulated by the JFSC pursuant to the Financial Services (Jersey) Law 1998.,Capvis AG,WEB_MANAGER: https://www.capvis.com/en/news/capvis-announces-closing-of-capvis-equity-iv-on-eur-720-million.html | Capvis announced the closing of Capvis Equity IV with capital commitments of EUR 720 million.  [AUTO: identical]
Carlyle,family,14,"Carlyle Credit Opportunities Fund (Parallel), L.P. | Carlyle Europe Partners IV, L.P. | Carlyle Europe Partners V - EU, S.C.Sp. | Carlyle Europe Real Estate Partners III, L.P. | Carlyle Infrastructure Partners, L.P. | Carlyle Partners V, L.P. | Carlyle Partners VII, L.P. | Carlyle Partners VIII, L.P. | Carlyle Property Investors, L.P. | Carlyle Realty Partners III, L.P. | Carlyle Realty Partners IV, L.P. | Carlyle Realty Partners V, L.P. | Carlyle Realty Partners VI, L.P. | Carlyle US Equity Opportunity Fund II, L.P.",,,,,The Carlyle Group,"WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2021/2021-05.pdf | Carlyle Realty Partners is managed by The Carlyle Group; Carlyle typically serves as the general partner, investment manager or collateral manager of its real estate funds."
