owner_id,owner_kind,owner_role,canonical_name,source_entity_id,owner_fund_id,parent_owner_id,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,decision_id,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
OWNER_FUND_SYNTH_000019,fund,REPORTING_FUND,Synthetic Buyout Fund 0019,FUND_SYNTH_000019,FUND_SYNTH_000019,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000020,fund,REPORTING_FUND,Synthetic Private Credit Fund 0020,FUND_SYNTH_000020,FUND_SYNTH_000020,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000021,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0021,FUND_SYNTH_000021,FUND_SYNTH_000021,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000022,fund,REPORTING_FUND,Synthetic Growth Fund 0022,FUND_SYNTH_000022,FUND_SYNTH_000022,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000023,fund,REPORTING_FUND,Synthetic Private Credit Fund 0023,FUND_SYNTH_000023,FUND_SYNTH_000023,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000024,fund,REPORTING_FUND,Synthetic Growth Fund 0024,FUND_SYNTH_000024,FUND_SYNTH_000024,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000025,fund,REPORTING_FUND,Synthetic Growth Fund 0025,FUND_SYNTH_000025,FUND_SYNTH_000025,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000026,fund,REPORTING_FUND,Synthetic Secondaries Fund 0026,FUND_SYNTH_000026,FUND_SYNTH_000026,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000027,fund,REPORTING_FUND,Synthetic Buyout Fund 0027,FUND_SYNTH_000027,FUND_SYNTH_000027,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000028,fund,REPORTING_FUND,Synthetic Growth Fund 0028,FUND_SYNTH_000028,FUND_SYNTH_000028,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000029,fund,REPORTING_FUND,Synthetic Buyout Fund 0029,FUND_SYNTH_000029,FUND_SYNTH_000029,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000030,fund,REPORTING_FUND,Synthetic Venture Fund 0030,FUND_SYNTH_000030,FUND_SYNTH_000030,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000031,fund,REPORTING_FUND,Synthetic Venture Fund 0031,FUND_SYNTH_000031,FUND_SYNTH_000031,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000032,fund,REPORTING_FUND,Synthetic Real Estate Fund 0032,FUND_SYNTH_000032,FUND_SYNTH_000032,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000033,fund,REPORTING_FUND,Synthetic Venture Fund 0033,FUND_SYNTH_000033,FUND_SYNTH_000033,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000034,fund,REPORTING_FUND,Synthetic Buyout Fund 0034,FUND_SYNTH_000034,FUND_SYNTH_000034,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000035,fund,REPORTING_FUND,Synthetic Buyout Fund 0035,FUND_SYNTH_000035,FUND_SYNTH_000035,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000036,fund,REPORTING_FUND,Synthetic Real Estate Fund 0036,FUND_SYNTH_000036,FUND_SYNTH_000036,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000037,fund,REPORTING_FUND,Synthetic Venture Fund 0037,FUND_SYNTH_000037,FUND_SYNTH_000037,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000038,fund,REPORTING_FUND,Synthetic Venture Fund 0038,FUND_SYNTH_000038,FUND_SYNTH_000038,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000039,fund,REPORTING_FUND,Synthetic Venture Fund 0039,FUND_SYNTH_000039,FUND_SYNTH_000039,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000040,fund,REPORTING_FUND,Synthetic Buyout Fund 0040,FUND_SYNTH_000040,FUND_SYNTH_000040,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000041,fund,REPORTING_FUND,Synthetic Fund Of Funds Fund 0041,FUND_SYNTH_000041,FUND_SYNTH_000041,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000042,fund,REPORTING_FUND,Synthetic Private Credit Fund 0042,FUND_SYNTH_000042,FUND_SYNTH_000042,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000043,fund,REPORTING_FUND,Synthetic Private Credit Fund 0043,FUND_SYNTH_000043,FUND_SYNTH_000043,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000044,fund,REPORTING_FUND,Synthetic Growth Fund 0044,FUND_SYNTH_000044,FUND_SYNTH_000044,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000045,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0045,FUND_SYNTH_000045,FUND_SYNTH_000045,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000046,fund,REPORTING_FUND,Synthetic Buyout Fund 0046,FUND_SYNTH_000046,FUND_SYNTH_000046,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000047,fund,REPORTING_FUND,Synthetic Buyout Fund 0047,FUND_SYNTH_000047,FUND_SYNTH_000047,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000048,fund,REPORTING_FUND,Synthetic Buyout Fund 0048,FUND_SYNTH_000048,FUND_SYNTH_000048,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000049,fund,REPORTING_FUND,Synthetic Buyout Fund 0049,FUND_SYNTH_000049,FUND_SYNTH_000049,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000050,fund,REPORTING_FUND,Synthetic Growth Fund 0050,FUND_SYNTH_000050,FUND_SYNTH_000050,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000051,fund,REPORTING_FUND,Synthetic Buyout Fund 0051,FUND_SYNTH_000051,FUND_SYNTH_000051,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000052,fund,REPORTING_FUND,Synthetic Real Estate Fund 0052,FUND_SYNTH_000052,FUND_SYNTH_000052,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000053,fund,REPORTING_FUND,Synthetic Real Estate Fund 0053,FUND_SYNTH_000053,FUND_SYNTH_000053,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000054,fund,REPORTING_FUND,Synthetic Venture Fund 0054,FUND_SYNTH_000054,FUND_SYNTH_000054,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000055,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0055,FUND_SYNTH_000055,FUND_SYNTH_000055,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000056,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0056,FUND_SYNTH_000056,FUND_SYNTH_000056,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000057,fund,REPORTING_FUND,Synthetic Growth Fund 0057,FUND_SYNTH_000057,FUND_SYNTH_000057,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000058,fund,REPORTING_FUND,Synthetic Venture Fund 0058,FUND_SYNTH_000058,FUND_SYNTH_000058,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000059,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0059,FUND_SYNTH_000059,FUND_SYNTH_000059,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000060,fund,REPORTING_FUND,Synthetic Venture Fund 0060,FUND_SYNTH_000060,FUND_SYNTH_000060,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000061,fund,REPORTING_FUND,Synthetic Secondaries Fund 0061,FUND_SYNTH_000061,FUND_SYNTH_000061,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000062,fund,REPORTING_FUND,Synthetic Private Credit Fund 0062,FUND_SYNTH_000062,FUND_SYNTH_000062,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000063,fund,REPORTING_FUND,Synthetic Real Estate Fund 0063,FUND_SYNTH_000063,FUND_SYNTH_000063,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000064,fund,REPORTING_FUND,Synthetic Venture Fund 0064,FUND_SYNTH_000064,FUND_SYNTH_000064,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000065,fund,REPORTING_FUND,Synthetic Buyout Fund 0065,FUND_SYNTH_000065,FUND_SYNTH_000065,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000066,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0066,FUND_SYNTH_000066,FUND_SYNTH_000066,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000067,fund,REPORTING_FUND,Synthetic Buyout Fund 0067,FUND_SYNTH_000067,FUND_SYNTH_000067,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000068,fund,REPORTING_FUND,Synthetic Fund Of Funds Fund 0068,FUND_SYNTH_000068,FUND_SYNTH_000068,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000069,fund,REPORTING_FUND,Synthetic Secondaries Fund 0069,FUND_SYNTH_000069,FUND_SYNTH_000069,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000070,fund,REPORTING_FUND,Synthetic Fund Of Funds Fund 0070,FUND_SYNTH_000070,FUND_SYNTH_000070,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000071,fund,REPORTING_FUND,Synthetic Private Credit Fund 0071,FUND_SYNTH_000071,FUND_SYNTH_000071,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000072,fund,REPORTING_FUND,Synthetic Secondaries Fund 0072,FUND_SYNTH_000072,FUND_SYNTH_000072,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000073,fund,REPORTING_FUND,Synthetic Private Credit Fund 0073,FUND_SYNTH_000073,FUND_SYNTH_000073,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000074,fund,REPORTING_FUND,Synthetic Buyout Fund 0074,FUND_SYNTH_000074,FUND_SYNTH_000074,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000075,fund,REPORTING_FUND,Synthetic Venture Fund 0075,FUND_SYNTH_000075,FUND_SYNTH_000075,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000076,fund,REPORTING_FUND,Synthetic Real Estate Fund 0076,FUND_SYNTH_000076,FUND_SYNTH_000076,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
