instrument_id,target_id,instrument_kind,security_title_raw,security_type_raw,currency,seniority,secured_status,stated_rate,rate_type,rate_basis_raw,spread_bps,maturity_date_raw,maturity_date,identifier_type,identifier_value,instrument_status,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status
NORM_INSTR_SYNTH_000002_04,TARGET_COMPANY_SYNTH_000002_04,LOAN,Synthetic Instrument 000002-04,Senior Debt,EUR,,,0.09984235,,,375,2028-12-31,2028-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000002_05,TARGET_COMPANY_SYNTH_000002_05,LOAN,Synthetic Instrument 000002-05,Senior Debt,EUR,,,0.09075856,,,750,2030-12-31,2030-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000003_01,TARGET_COMPANY_SYNTH_000003_01,LOAN,Synthetic Instrument 000003-01,Senior Debt,USD,,,0.09344027,,,550,2021-12-31,2021-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000003_02,TARGET_COMPANY_SYNTH_000003_02,LOAN,Synthetic Instrument 000003-02,Unitranche,USD,,,0.09833206,,,475,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000003_03,TARGET_COMPANY_SYNTH_000003_03,LOAN,Synthetic Instrument 000003-03,Unitranche,USD,,,0.07877286,,,675,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000003_04,TARGET_COMPANY_SYNTH_000003_04,PREFERRED_EQUITY,Synthetic Instrument 000003-04,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_01,TARGET_COMPANY_SYNTH_000004_01,LOAN,Synthetic Instrument 000004-01,Senior Debt,USD,,,0.12507869,,,500,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_02,TARGET_COMPANY_SYNTH_000004_02,LOAN,Synthetic Instrument 000004-02,Senior Debt,USD,,,0.09825708,,,600,2022-12-31,2022-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_03,TARGET_COMPANY_SYNTH_000004_03,OTHER_EQUITY,Synthetic Instrument 000004-03,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_04,TARGET_COMPANY_SYNTH_000004_04,LOAN,Synthetic Instrument 000004-04,Unitranche,USD,,,0.12482069,,,575,2022-12-31,2022-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_05,TARGET_COMPANY_SYNTH_000004_05,LOAN,Synthetic Instrument 000004-05,Unitranche,USD,,,0.08106724,,,350,2023-12-31,2023-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_06,TARGET_COMPANY_SYNTH_000004_06,LOAN,Synthetic Instrument 000004-06,Unitranche,USD,,,0.11853775,,,500,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_07,TARGET_COMPANY_SYNTH_000004_07,OTHER_EQUITY,Synthetic Instrument 000004-07,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000004_08,TARGET_COMPANY_SYNTH_000004_08,LOAN,Synthetic Instrument 000004-08,Senior Debt,USD,,,0.10247717,,,700,2026-12-31,2026-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_01,TARGET_COMPANY_SYNTH_000005_01,PREFERRED_EQUITY,Synthetic Instrument 000005-01,Preferred Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_02,TARGET_COMPANY_SYNTH_000005_02,OTHER_EQUITY,Synthetic Instrument 000005-02,Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_03,TARGET_COMPANY_SYNTH_000005_03,OTHER_EQUITY,Synthetic Instrument 000005-03,Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_04,TARGET_COMPANY_SYNTH_000005_04,LOAN,Synthetic Instrument 000005-04,Unitranche,EUR,,,0.09980149,,,650,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_05,TARGET_COMPANY_SYNTH_000005_05,LOAN,Synthetic Instrument 000005-05,Senior Debt,EUR,,,0.07506990,,,475,2026-12-31,2026-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_06,TARGET_COMPANY_SYNTH_000005_06,LOAN,Synthetic Instrument 000005-06,Unitranche,EUR,,,0.08543628,,,700,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000005_07,TARGET_COMPANY_SYNTH_000005_07,LOAN,Synthetic Instrument 000005-07,Senior Debt,EUR,,,0.12976572,,,400,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_01,TARGET_COMPANY_SYNTH_000006_01,LOAN,Synthetic Instrument 000006-01,Senior Debt,USD,,,0.09695409,,,525,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_02,TARGET_COMPANY_SYNTH_000006_02,PREFERRED_EQUITY,Synthetic Instrument 000006-02,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_03,TARGET_COMPANY_SYNTH_000006_03,LOAN,Synthetic Instrument 000006-03,Unitranche,USD,,,0.11639778,,,675,2023-12-31,2023-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_04,TARGET_COMPANY_SYNTH_000006_04,OTHER_EQUITY,Synthetic Instrument 000006-04,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_05,TARGET_COMPANY_SYNTH_000006_05,OTHER_EQUITY,Synthetic Instrument 000006-05,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000006_06,TARGET_COMPANY_SYNTH_000006_06,PREFERRED_EQUITY,Synthetic Instrument 000006-06,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_01,TARGET_COMPANY_SYNTH_000007_01,OTHER_EQUITY,Synthetic Instrument 000007-01,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_02,TARGET_COMPANY_SYNTH_000007_02,OTHER_EQUITY,Synthetic Instrument 000007-02,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_03,TARGET_COMPANY_SYNTH_000007_03,LOAN,Synthetic Instrument 000007-03,Unitranche,USD,,,0.11806945,,,450,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_04,TARGET_COMPANY_SYNTH_000007_04,OTHER_EQUITY,Synthetic Instrument 000007-04,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_05,TARGET_COMPANY_SYNTH_000007_05,LOAN,Synthetic Instrument 000007-05,Unitranche,USD,,,0.09872427,,,425,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_06,TARGET_COMPANY_SYNTH_000007_06,LOAN,Synthetic Instrument 000007-06,Unitranche,USD,,,0.12233011,,,650,2023-12-31,2023-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000007_07,TARGET_COMPANY_SYNTH_000007_07,LOAN,Synthetic Instrument 000007-07,Senior Debt,USD,,,0.10111936,,,725,2021-12-31,2021-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000008_01,TARGET_COMPANY_SYNTH_000008_01,LOAN,Synthetic Instrument 000008-01,Unitranche,EUR,,,0.07324201,,,375,2026-12-31,2026-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000008_02,TARGET_COMPANY_SYNTH_000008_02,LOAN,Synthetic Instrument 000008-02,Unitranche,EUR,,,0.08260534,,,575,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000008_03,TARGET_COMPANY_SYNTH_000008_03,LOAN,Synthetic Instrument 000008-03,Unitranche,EUR,,,0.10321760,,,650,2029-12-31,2029-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000008_04,TARGET_COMPANY_SYNTH_000008_04,LOAN,Synthetic Instrument 000008-04,Unitranche,EUR,,,0.11746380,,,475,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000008_05,TARGET_COMPANY_SYNTH_000008_05,OTHER_EQUITY,Synthetic Instrument 000008-05,Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000009_01,TARGET_COMPANY_SYNTH_000009_01,PREFERRED_EQUITY,Synthetic Instrument 000009-01,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000009_02,TARGET_COMPANY_SYNTH_000009_02,LOAN,Synthetic Instrument 000009-02,Unitranche,USD,,,0.08972102,,,625,2021-12-31,2021-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000009_03,TARGET_COMPANY_SYNTH_000009_03,LOAN,Synthetic Instrument 000009-03,Unitranche,USD,,,0.10485895,,,725,2023-12-31,2023-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000009_04,TARGET_COMPANY_SYNTH_000009_04,PREFERRED_EQUITY,Synthetic Instrument 000009-04,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000009_05,TARGET_COMPANY_SYNTH_000009_05,OTHER_EQUITY,Synthetic Instrument 000009-05,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_01,TARGET_COMPANY_SYNTH_000010_01,LOAN,Synthetic Instrument 000010-01,Senior Debt,USD,,,0.12558421,,,550,2019-12-31,2019-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_02,TARGET_COMPANY_SYNTH_000010_02,LOAN,Synthetic Instrument 000010-02,Unitranche,USD,,,0.10095747,,,650,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_03,TARGET_COMPANY_SYNTH_000010_03,PREFERRED_EQUITY,Synthetic Instrument 000010-03,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_04,TARGET_COMPANY_SYNTH_000010_04,LOAN,Synthetic Instrument 000010-04,Senior Debt,USD,,,0.08875780,,,675,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_05,TARGET_COMPANY_SYNTH_000010_05,LOAN,Synthetic Instrument 000010-05,Senior Debt,USD,,,0.12195951,,,375,2022-12-31,2022-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_06,TARGET_COMPANY_SYNTH_000010_06,LOAN,Synthetic Instrument 000010-06,Unitranche,USD,,,0.09467955,,,350,2024-12-31,2024-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000010_07,TARGET_COMPANY_SYNTH_000010_07,LOAN,Synthetic Instrument 000010-07,Senior Debt,USD,,,0.07948904,,,375,2024-12-31,2024-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000011_01,TARGET_COMPANY_SYNTH_000011_01,OTHER_EQUITY,Synthetic Instrument 000011-01,Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000011_02,TARGET_COMPANY_SYNTH_000011_02,OTHER_EQUITY,Synthetic Instrument 000011-02,Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000011_03,TARGET_COMPANY_SYNTH_000011_03,LOAN,Synthetic Instrument 000011-03,Senior Debt,EUR,,,0.11082133,,,625,2029-12-31,2029-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000011_04,TARGET_COMPANY_SYNTH_000011_04,LOAN,Synthetic Instrument 000011-04,Unitranche,EUR,,,0.11970620,,,725,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000011_05,TARGET_COMPANY_SYNTH_000011_05,LOAN,Synthetic Instrument 000011-05,Unitranche,EUR,,,0.10053052,,,700,2028-12-31,2028-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_01,TARGET_COMPANY_SYNTH_000012_01,OTHER_EQUITY,Synthetic Instrument 000012-01,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_02,TARGET_COMPANY_SYNTH_000012_02,OTHER_EQUITY,Synthetic Instrument 000012-02,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_03,TARGET_COMPANY_SYNTH_000012_03,LOAN,Synthetic Instrument 000012-03,Senior Debt,USD,,,0.11626591,,,500,2028-12-31,2028-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_04,TARGET_COMPANY_SYNTH_000012_04,OTHER_EQUITY,Synthetic Instrument 000012-04,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_05,TARGET_COMPANY_SYNTH_000012_05,LOAN,Synthetic Instrument 000012-05,Senior Debt,USD,,,0.11650301,,,400,2028-12-31,2028-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_06,TARGET_COMPANY_SYNTH_000012_06,LOAN,Synthetic Instrument 000012-06,Unitranche,USD,,,0.09489699,,,750,2029-12-31,2029-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_07,TARGET_COMPANY_SYNTH_000012_07,LOAN,Synthetic Instrument 000012-07,Unitranche,USD,,,0.08929135,,,550,2027-12-31,2027-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000012_08,TARGET_COMPANY_SYNTH_000012_08,OTHER_EQUITY,Synthetic Instrument 000012-08,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000013_01,TARGET_COMPANY_SYNTH_000013_01,PREFERRED_EQUITY,Synthetic Instrument 000013-01,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000013_02,TARGET_COMPANY_SYNTH_000013_02,LOAN,Synthetic Instrument 000013-02,Unitranche,USD,,,0.11247138,,,525,2018-12-31,2018-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000013_03,TARGET_COMPANY_SYNTH_000013_03,LOAN,Synthetic Instrument 000013-03,Unitranche,USD,,,0.07741383,,,450,2020-12-31,2020-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000013_04,TARGET_COMPANY_SYNTH_000013_04,OTHER_EQUITY,Synthetic Instrument 000013-04,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000013_05,TARGET_COMPANY_SYNTH_000013_05,LOAN,Synthetic Instrument 000013-05,Unitranche,USD,,,0.09003097,,,700,2023-12-31,2023-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000014_01,TARGET_COMPANY_SYNTH_000014_01,OTHER_EQUITY,Synthetic Instrument 000014-01,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000014_02,TARGET_COMPANY_SYNTH_000014_02,PREFERRED_EQUITY,Synthetic Instrument 000014-02,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000014_03,TARGET_COMPANY_SYNTH_000014_03,PREFERRED_EQUITY,Synthetic Instrument 000014-03,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000014_04,TARGET_COMPANY_SYNTH_000014_04,LOAN,Synthetic Instrument 000014-04,Senior Debt,USD,,,0.10587702,,,600,2026-12-31,2026-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000014_05,TARGET_COMPANY_SYNTH_000014_05,OTHER_EQUITY,Synthetic Instrument 000014-05,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000015_01,TARGET_COMPANY_SYNTH_000015_01,LOAN,Synthetic Instrument 000015-01,Senior Debt,USD,,,0.07279874,,,500,2018-12-31,2018-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000015_02,TARGET_COMPANY_SYNTH_000015_02,LOAN,Synthetic Instrument 000015-02,Unitranche,USD,,,0.11581751,,,650,2021-12-31,2021-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000015_03,TARGET_COMPANY_SYNTH_000015_03,OTHER_EQUITY,Synthetic Instrument 000015-03,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
