input_value,output_value,decided_by,evidence,note,context
foundation,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
program_related_investment,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
service_provider,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
clause_party,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
subscription,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
other_printed_scope,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:217,What subject_name names on the page.,subject_type
illustrative,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
template,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
requirement,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
definition,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
redacted,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
unknown,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:211,An evidence class a REFERENCE-tier document may carry beyond the core pair.,reference_evidence_class
subject_type,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
subject_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
asset_class,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
strategy,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
geography,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
vintage_year,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
period_start,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
period_end,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
as_of_date,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
horizon,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
currency_scale,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
metric_category,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
metric_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
metric_value_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
unit,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
sector,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
basis_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
condition_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
definition_keys,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
method,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
fee_basis,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
value_scope,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:318,A business column a metric family may fill.,common_metric_fields
subject_type,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
subject_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
manager_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
investor_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
portfolio_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
period_start,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
period_end,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
as_of_date,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
currency_scale,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
term_category,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
text_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
basis_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
condition_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
definition_keys,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:319,A business column a term family may fill.,common_term_fields
subject_type,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
subject_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
as_of_date,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
definition_keys,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
text_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
condition_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:320,A business column the definition_context family may fill.,definition_fields
subject_type,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
subject_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
asset_class,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
strategy,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
geography,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
manager_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
investor_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
portfolio_name,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
vintage_year,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
period_start,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
period_end,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
as_of_date,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
currency_scale,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
text_raw,allowed,"extraction contract vocabulary move, 2026-09-02",src/catalog/simple_pdf_extraction/csv_wide_contract.py:321,A business column the document_context family may fill.,context_fields
