input_value,output_value,decided_by,evidence,note
currency_scale,"The printed currency and scale statement that makes the number readable, such as $ in millions, copied verbatim including any parentheses.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
metric_category,"What the value measures, chosen from the one metric vocabulary by the printed meaning; the family says where the cell sat, the category says what it is. This is the field the database joins on.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
metric_name,"The printed label for the measure, taken from whichever axis names it: the row label where rows are measures and columns are periods, the leaf column header where rows are entities and columns are measures, and the table's own title only where neither axis names a measure. Never a section heading, and never identical to horizon. The page's own wording, not a controlled value.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
metric_value_raw,"The printed value, copied verbatim: currency symbol, thousands separators, decimals, sign, and parentheses all preserved. Never calculated, rounded, rescaled, or repunctuated.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
unit,"The unit of measure printed for the value: %, x, bps, years, shares. A currency is never a unit; it belongs in currency_scale.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
term_category,"For provisions only: which term of the one term vocabulary the clause states, such as management_fee or key_person.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
text_raw,For legal provisions and qualitative facts: the printed wording of the provision.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
basis_raw,"For legal provisions: the printed basis a rate or amount is calculated on, such as committed capital.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
condition_raw,For legal provisions: the printed condition or qualification attached to the term.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
evidence_quote,"One short line copied verbatim from the cited page that contains the value. Checked against the page, so it cannot be paraphrased.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
evidence_class,"Whether the value is an actual reported figure, an illustrative or template figure, a stated requirement, a definition, or redacted.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
notes,Free-text remarks. Also carries the NO_ELIGIBLE_REASON and IMAGE_ONLY prefixes where the field list requires them.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_agents,"On a final adjudicated row, which extractors the fact came from: A, B, A+B, or ADJUDICATOR.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
adjudication_status,"On a final adjudicated row, how it was settled: AGREED, VERIFIED_ONE_SIDED, RESOLVED, or ADDED.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
definition_keys,"On a definition_context row, the printed marker the note is keyed by; on a value row, the pipe-joined printed markers citing the definitions that govern it.","metric vocabulary review, 2026-09-01",SRC063 p1 footnotes; SRC457 p2 footnotes 1-4,
method,"How a return was computed, from the page's own statement: time_weighted, money_weighted, modified_dietz, simple_period, annualized, actuarial, or unstated.","metric vocabulary review, 2026-09-01",SRC063 footnote 1; SRC457 footnote 1,
fee_basis,"The fee treatment the page states for the value: net, gross, partial, or unstated.","metric vocabulary review, 2026-09-01",SRC063 footnote 1; SRC375 footnote 2,
value_scope,"The grain the page states for a value: fund_position, single_holding, portfolio_total, plan_total, statement_line, allocation_bucket, or unstated.","metric vocabulary review, 2026-09-01",METRIC-STANDARD-MEASURES.csv,
sector,The printed industry or economic sector of the subject; it remains separate from the fund's asset class and strategy.,"metric vocabulary review, 2026-09-01",SRC034 portfolio-company industries,
