input_value,output_value,decided_by,evidence,note
header_stack_rows,2,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:425,At most two consecutive header rows govern one table.
header_phrase_gap,7.0,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:299,Words within one column phrase may be separated by seven points.
header_fragment_gap,0.5,"grid-quality review 2026-09-01",tests/test_page_grid.py:31,Adjacent single-character text-layer fragments rejoin without inserted spaces.
header_annotation_gap,2.5,"grid-quality review 2026-09-01",tests/test_page_grid.py:31,A small number or footnote marker immediately after a phrase stays with that phrase.
header_overlap_min,2.0,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:353,An unhinted phrase needs two points of overlap with a value span.
header_fallback_tolerance,25.0,"grid-quality review 2026-09-01",tests/test_page_grid.py:47,A phrase more than twenty-five points from a column centre remains unassigned.
header_search_reach,120.0,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:425,A table header search stops one hundred twenty points above its first row.
header_first_gap,40.0,"grid-quality review 2026-09-01",tests/test_page_grid.py:61,A first header candidate must sit within forty vertical points of the table; this excludes a continuation page title.
header_min_hits,2,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:396,A header candidate must land in at least two distinct columns.
header_min_names,2,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:396,A text header candidate must name at least two columns.
header_min_years,2,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:396,A year-only statement header must name at least two columns.
unit_suffix_gap,3.5,"grid-quality review 2026-09-01",tests/test_page_grid.py:24,A detached numeric unit joins only within three and one-half horizontal points on the same line.
one_row_block,drop_prose_numeric_collision_or_headerlike,"grid-quality review 2026-09-01",tests/test_page_grid.py:73,"A one-row block is removed only when it is prose, a header, or contains two numeric tokens assigned to one cell."
header_continuation,adjacent_previous_page_same_columns,"grid-quality review 2026-09-01",tests/test_page_grid.py:104,Only the physically adjacent prior page may supply continuation headers.
header_continuation_tolerance,15.0,"grid-quality review 2026-09-01",tests/test_page_grid.py:104,Continuation columns must remain within fifteen coordinate points.
header_continuation_page_gap,1,"grid-quality review 2026-09-01",tests/test_page_grid.py:104,The donor page must immediately precede the receiving page.
leading_year_column,fold_period_labels_only,"grid-quality review 2026-09-01",tests/test_page_grid.py:79,A complete leading year column folds only when every printed row label is a period label or contains no alphabetic name.
leading_year_min_count,3,"grid-quality review 2026-09-01",tests/test_page_grid.py:79,At least three populated years establish a year column.
page_block_headers,inherit_within_page,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:570,Later blocks on the same page inherit the last qualifying header.
page_header_summary,most_named_row,"grid-quality review 2026-09-01",tests/test_page_grid.py:122,The page summary uses the row header set with the most named columns instead of whichever block appeared first.
