input_value,output_value,decided_by,evidence,note,priority,source_category,record_family,subject_type,value_scope,method,fee_basis,unit,label_pattern,target_table,target_column,conflict_policy,excluded_record_family,document_id
RULE_CASHFLOW_CAPITAL_CALL,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,capital_call,cash_flow_observation,,,,,,,fund_cashflows,capital_call,block,,
RULE_CASHFLOW_CONTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,contribution,cash_flow_observation,,,,,,,fund_cashflows,capital_call,block,,
RULE_CASHFLOW_DISTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,distribution,cash_flow_observation,,,,,,,fund_cashflows,distribution,block,,
RULE_CASHFLOW_EXPENSE,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,expense,cash_flow_observation,,,,,,,fund_cashflows,fee,block,,
RULE_CASHFLOW_FEE,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,fee,cash_flow_observation,,,,,,,fund_cashflows,fee,block,,
RULE_CASHFLOW_PREFERRED_RETURN,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,preferred_return,cash_flow_observation,,,,,,,fund_cashflows,distribution,block,,
RULE_CASHFLOW_RECALLABLE_DISTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,recallable_distribution,cash_flow_observation,,,,,,,fund_cashflows,recallable_distribution,block,,
RULE_CASHFLOW_RETURN_OF_CAPITAL,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,return_of_capital,cash_flow_observation,,,,,,,fund_cashflows,distribution,block,,
RULE_CASHFLOW_SUBSCRIPTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:120,Baseline: restates today's cash-flow typing.,100,subscription,cash_flow_observation,,,,,,,fund_cashflows,subscription,block,,
RULE_CASHFLOW_OTHER,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-cashflow-type.csv; src/load/promote_extracted_to_fund_level.py:467,"Baseline fallback: any other category in the cash-flow family becomes type other, exactly as today.",900,,cash_flow_observation,,,,,,,fund_cashflows,other,block,,
RULE_HOLDING_VALUE,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",holding-column-source.csv; src/load/promote_extracted_to_fund_level.py:602|src/load/promote_extracted_to_fund_level.py:603,"Baseline: the holding value fallback order, unchanged.",100,fair_value,position_observation,,,,,,,fund_holdings,fair_value|market_value,block,,
RULE_FUND_RESIDUAL_VALUE_FROM_PRINTED_MARKET_VALUE,fund_residual_value,"metric vocabulary review, 2026-09-01","SRC063 pages 1 and 2, footnote 1 on the Partnership column: market values of Real Asset Partnerships are net of investment expenses; the printed column heading is Ending Market Value (MM)",A partnership's printed ending market value at fund grain is that fund's residual value. The name of the column is why it was never promoted: the fund model stores residual value under nav and only the fund_economics vocabulary reached it.,50,fair_value,performance_observation,fund,fund_position,,,,,fund_periods,nav,block,cash_flow_observation,
RULE_MONEY_WEIGHTED_RETURN_IS_NET_IRR,net_irr,"metric vocabulary review, 2026-09-01",SRC192 page 3 footnote 4: the money weighted rate of return is the internal rate of return on dated cash flows,A money-weighted return is an internal rate of return whatever the column is headed; it belongs beside the reported IRR and not beside a time-weighted return.,40,return,,fund,,money_weighted,net,,,fund_periods,reported_irr,block,cash_flow_observation,
RULE_MONEY_WEIGHTED_RETURN_IS_GROSS_IRR,gross_irr,"metric vocabulary review, 2026-09-01",SRC192 page 3 footnote 4 with the gross fee basis the same page states,The same measure before fees.,40,return,,fund,,money_weighted,gross,,,fund_periods,reported_irr,block,cash_flow_observation,
RULE_ACTUARIAL_RATE_IS_EVIDENCE_ONLY,actuarial_assumed_rate,"metric vocabulary review, 2026-09-01",SRC192 page 3 footnote 1: the smoothed expected rate of return is an actuarial assumption,An assumed rate is not a measured return and is never promoted; it stays on the evidence surface where its own footnote sits beside it.,40,return,,,,actuarial,,,,none,,block,,
RULE_DISTRIBUTION_RATE_IS_A_YIELD,distribution_rate,"metric vocabulary review, 2026-09-01","SRC606 page 2 column heading: Annualized Distribution Rate, printed as a percentage","An annualized distribution rate remains a rate observation, not an income amount or total return.",40,income,,fund,,,,%,Annualized Distribution Rate,fund_observations,,block,,
RULE_MANAGEMENT_FEE_RATE,management_fee_rate,"metric vocabulary review, 2026-09-01",SRC107 page 7: Management fee printed as 2%,A fee printed as a percentage is the rate charged and not a fee amount.,40,management_fee,,fund,,,,%,,none,,block,,
RULE_LIQUIDITY_NOTICE_DAYS,notice_days,"metric vocabulary review, 2026-09-01",SRC107 page 8: redemption cash proceeds time period printed in days,A liquidity figure printed in days is a notice or settlement period.,40,liquidity,,fund,,,,days,,none,,block,,
RULE_LIQUIDITY_PROCEEDS_PERCENTAGE,liquidity_proceeds_percentage,"metric vocabulary review, 2026-09-01",SRC107 page 8: the share of redemption proceeds paid within the stated period,A liquidity percentage under a redemption-proceeds label is the share of proceeds paid.,40,liquidity,,fund,,,,%,[Rr]edemption cash proceeds,none,,block,,
RULE_WITHDRAWAL_PERCENT_OF_NAV,withdrawal_percent_of_nav,"metric vocabulary review, 2026-09-01",SRC107 page 12: the largest withdrawals stated as a share of the fund,A liquidity percentage under a withdrawals label is the size of a withdrawal against the fund's value.,40,liquidity,,fund,,,,%,[Ww]ithdrawal,none,,block,,
RULE_MARKET_VALUE_AT_FUND_GRAIN_IS_RESIDUAL_VALUE,fund_residual_value,"metric vocabulary review, 2026-09-01","the same reading as SRC063's ending market value, applied where a page heads the column Market Value at fund grain","A fund's printed market value is its residual value under either heading, on a fund-grain row only. Bound to performance_observation like the fair_value rule above it: a position_observation row is an investor's stake in the fund (SRC356 Economically Targeted Investments, 21 rows, 2026-09-02), never the fund's own value, and with the family blank the rule mapped those stakes to nav.",50,market_value,performance_observation,fund,fund_position,,,,,fund_periods,nav,block,cash_flow_observation,
RULE_DISTRIBUTION_YIELD,distribution_rate,"source review, 2026-09-04",SRC606 page 1 and page 6 footnote 2: next declared monthly distribution annualized against month-end NAV,"The source definition remains distinct from fund NAV, investor commitments, and total return.",40,yield,,fund,,,,,^Annualized Distribution Rate$,fund_observations,,block,,
RULE_INVESTMENT_YIELD,weighted_average_investment_yield,"source review, 2026-09-04",SRC606 page 3: ABDC Private Credit Portfolio Borrower Statistics; Weighted average investment yield 8.5%,"The source definition remains distinct from fund NAV, investor commitments, and total return.",40,yield,,fund,,,,,^Weighted average investment yield$,fund_observations,,block,,
RULE_LOAN_COMMITMENTS,portfolio_loan_commitments,"source review, 2026-09-04","SRC606 page 6 footnote 3: Represents total loan commitments as of April 30, 2026.","The source definition remains distinct from fund NAV, investor commitments, and total return.",40,commitment,,fund,portfolio_total,,,,^Investments$,fund_observations,,block,,SRC606
