input_value,output_value,decided_by,evidence,note,since_contract
31,geography,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
32,vintage_year,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
33,horizon,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
34,date_precision,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
35,as_of_date_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
36,as_of_date,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
37,period_start_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
38,period_start,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
39,period_end_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
40,period_end,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
41,value_kind,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
42,value_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
43,value_numeric,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
44,value_text,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
45,value_sign,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
46,currency,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
47,unit,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
48,unit_scale,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
49,unit_scale_multiplier,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
50,currency_scale_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
51,term_category,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
52,basis_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
53,condition_raw,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
54,evidence_quote,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
55,evidence_class,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
56,adjudication_status,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
57,source_agents,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
58,extractor_model,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
59,contract_version,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
60,notes,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
61,definition_keys,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
62,method,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
63,fee_basis,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
64,value_scope,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
65,canonical_measure_id,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
66,mapping_rule_id,"metric vocabulary review, 2026-09-01",record-columns.csv rows 43-46; metric-semantic-map design,blank until the definition backfill and the semantic map fill them,2026-09-01.1
67,sector,"metric vocabulary review, 2026-09-01",record-columns.csv row 47,"The printed industry of the subject, where the page groups by industry.",2026-09-01.2
68,canonical_asset_class,"metric vocabulary review, 2026-09-01",context-grouping-map.csv; FIELD-SEMANTICS-ASSET-CLASS-STRATEGY-VALUE-KIND.md,"Derived at flatten from the printed grouping so every downstream reader and the database carry it, not only the reviewer surface.",2026-09-01.2
69,canonical_strategy,"metric vocabulary review, 2026-09-01",context-grouping-map.csv; FIELD-SEMANTICS-ASSET-CLASS-STRATEGY-VALUE-KIND.md,"Derived at flatten from the printed grouping so every downstream reader and the database carry it, not only the reviewer surface.",2026-09-01.2
70,canonical_sub_strategy,"metric vocabulary review, 2026-09-01",context-grouping-map.csv; FIELD-SEMANTICS-ASSET-CLASS-STRATEGY-VALUE-KIND.md,"Derived at flatten from the printed grouping so every downstream reader and the database carry it, not only the reviewer surface.",2026-09-01.2
71,canonical_sector,"metric vocabulary review, 2026-09-01",context-grouping-map.csv; FIELD-SEMANTICS-ASSET-CLASS-STRATEGY-VALUE-KIND.md,"Derived at flatten from the printed grouping so every downstream reader and the database carry it, not only the reviewer surface.",2026-09-01.2
72,is_monetary,"metric vocabulary review, 2026-09-01",context-grouping-map.csv; FIELD-SEMANTICS-ASSET-CLASS-STRATEGY-VALUE-KIND.md,"Derived at flatten from the printed grouping so every downstream reader and the database carry it, not only the reviewer surface.",2026-09-01.2
