"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector","extractor_model"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","2","other_printed_scope","portfolio managers","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","30","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","3","other_printed_scope","research analysts","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","43","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","4","other_printed_scope","other investment professionals","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","52","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","UNLABELED_COLUMN_1","1","investor","Bear Stearns employees","","","","","","","","","","","","","ownership_percentage","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","40%","%","","","","","employees hold approximately 40% of Bear Steams' stock with the","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","UNLABELED_COLUMN_1","2","investor","Private Capital Management, L.P.","","","","","","","","","","","","","ownership_percentage","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","6.1%","%","","","","","Management, L.P. owns 6.\% of the common stock. The largest","actual","IMAGE_ONLY: page-006.png prints 6.1%; the PDF's own text layer renders it 6.\%.","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","UNLABELED_COLUMN_1","3","investor","James Cayne","","","","","","","","","","","","","ownership_percentage","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","5.6%","%","","","","","Officer of Bear Steams, with 5.6% of the firm's stock.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FEES","Incentive fee","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","performance_fee","Incentive fee","20%","%","","","","","The Fund charges a 20% incentive fee that is subject to a lifetime high","actual","","A+B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FEES","Management fee","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","management_fee","Management fee","2%","%","","","","","2% of the net asset value.","actual","","A+B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FEES","Redemption fee","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","Redemption fee","60","days","","","","","anniversary of their initial contribution upon not less than 60 days' prior","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FEES","Redemption fee","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","Redemption fee","40","days","","","","","any month upon not less than 40 days prior written notice, subject to a 2%","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FUND DETAILS","Fund structure","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","leverage","Fund structure","2x","x","","","","","In addition to the onshore and offshore feeders, 2x and 3x leveraged versions of the Fund are available for investment.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","7","TABLE","","FUND DETAILS","Fund structure","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","leverage","Fund structure","3x","x","","","","","In addition to the onshore and offshore feeders, 2x and 3x leveraged versions of the Fund are available for investment.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Does the fund have any lock-up period or any other liquidity constraints?","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","lockup","Does the fund have any lock-up period or any other liquidity constraints?","1","year","","","","","1 year lock-up period.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Minimum initial investment","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","minimum_investment","Minimum initial investment","$1,000,000","","","","","","The minimum investment is SI,ooo,ooO.","actual","IMAGE_ONLY: page-008.png prints $1,000,000; the PDF's own text layer renders it SI,ooo,ooO.","A+B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Redemption cash proceeds time period","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","liquidity","Redemption cash proceeds time period","90%","%","","","","","90""10 of the withdrawal proceeds will be paid within 30 days of the relevant","actual","IMAGE_ONLY: page-008.png prints 90%; the PDF's own text layer renders it 90""10.","A+B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Redemption cash proceeds time period","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","liquidity","Redemption cash proceeds time period","30","days","","","","","90""10 of the withdrawal proceeds will be paid within 30 days of the relevant","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Redemption cash proceeds time period","UNLABELED_COLUMN_1","3","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","liquidity","Redemption cash proceeds time period","60","days","","","","","will be paid within 60 days ofthc withdrawal date.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Redemption notice period","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","Redemption notice period","60","days","","","","","60 days with no fee. 40 days with a 2% fee.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","8","TABLE","","INVESTMENT/REDEMPTION AND LOCK UP TERMS","Redemption notice period","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","Redemption notice period","40","days","","","","","60 days with no fee. 40 days with a 2% fee.","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","List the total assets under management and their respective changes over the last year","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","March 31, 2006","","billion","aum","List the total assets under management and their respective changes over the last year","$1.495","","","","FUND ASSETS","","$1.495 billion as of March 31, 2006, up from $1.267 Billion as of March","actual","IMAGE_ONLY: page-011.png prints $1.495; the PDF's own text layer renders it S 1.495.","B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","List the total assets under management and their respective changes over the last year","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","March 31, 2005","","Billion","aum","List the total assets under management and their respective changes over the last year","$1.267","","","","FUND ASSETS","","$1.495 billion as of March 31, 2006, up from $1.267 Billion as of March","actual","","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","Please list the size of assets by investment vehicle","UNLABELED_COLUMN_1","1","fund","Onshore Feeder","","","","","","","","","","","","Million","aum","Please list the size of assets by investment vehicle","$450","","","","FUND ASSETS","","The Onshore Feeder currently has approximately S450 Million. The","actual","IMAGE_ONLY: page-011.png prints $450; the PDF's own text layer renders it S450.","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","Please list the size of assets by investment vehicle","UNLABELED_COLUMN_1","2","fund","Offshore Feeder","","","","","","","","","","","","Billion","aum","Please list the size of assets by investment vehicle","$1.0","","","","FUND ASSETS","","Offshore Feeder has approximately SI.O Billion. There is a Yen Feeder","actual","IMAGE_ONLY: page-011.png prints $1.0; the PDF's own text layer renders it SI.O.","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","Please list the size of assets by investment vehicle","UNLABELED_COLUMN_1","3","fund","Yen Feeder","","","","","","","","","","","","million","aum","Please list the size of assets by investment vehicle","$30","","","","FUND ASSETS","","which has approximately S30 million.","actual","IMAGE_ONLY: page-011.png prints $30; the PDF's own text layer renders it S30.","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","Please list the size of the fund's net assets","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","March 31, 2006","","billion","aum","Please list the size of the fund's net assets","$1.495","","","","FUND ASSETS","","S 1.495 billion as of March 31, 2006.","actual","IMAGE_ONLY: page-011.png prints $1.495; the PDF's own text layer renders it S 1.495.","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","11","TABLE","","FUND ASSETS","What percentage of assets is represented by the largest investor","UNLABELED_COLUMN_1","1","investor","largest investor","","","","","","","","","","","","","ownership_percentage","What percentage of assets is represented by the largest investor","2%","%","","","","","Currently, the largest investor represents about 2% of the Master Fund's","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","12","TABLE","","WITHDRAWALS","What were the largest withdrawals in your fund since inception?","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","liquidity","What were the largest withdrawals in your fund since inception?","4.5%","%","","","","","Date: 4.5%ofNAV.","actual","","ADJUDICATOR","ADDED","","","","","","claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","13","TABLE","","MANAGER TRACK RECORD","Number of portfolios/accounts managed by the company","UNLABELED_COLUMN_1","1","fund","HighYield Opportunities Fund","","","","","","","","","","","","Million","aum","Number of portfolios/accounts managed by the company","$50","","","","BSAM","","Opportunities Fund (which currently has approximately S50 Million in","actual","IMAGE_ONLY: page-013.png prints $50; the PDF's own text layer renders it S50.","A+B+ADJUDICATOR","RESOLVED","","","","fund_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","13","TABLE","","MANAGER TRACK RECORD","Total assets managed/advised by the company","UNLABELED_COLUMN_1","1","manager","BSAM","","","","","","","","","","March 31, 2006","","billion","aum","Total assets managed/advised by the company","$36.1","","","","BSAM","","As of March 31,2006 BSAM managed a total of $36.1 billion of assets","actual","","A+B+ADJUDICATOR","RESOLVED","","","","manager_total","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","14","TABLE","INVESTMENT STRATEGY","INVESTMENT STRATEGY","Net Leverage","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","leverage","Net Leverage","10 to 1","","","","","","Net Leverage: 10 to I","actual","IMAGE_ONLY: page-014.png prints 10 to 1; the PDF's own text layer renders it 10 to I.","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","15","TABLE","","INVESTMENT STRATEGY","How do you deal with redemptions?","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","How do you deal with redemptions?","60","days","","","","","anniversary of their initial contribution upon not less than 60 days' prior","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","15","TABLE","","INVESTMENT STRATEGY","How do you deal with redemptions?","UNLABELED_COLUMN_1","2","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","redemption_notice","How do you deal with redemptions?","40","days","","","","","any month upon not less than 40 days prior written notice, subject to a 4%","actual","","B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","16","TABLE","RISK","LEVERAGE","Discuss your leverage exposure policy and its management over different market cycles","UNLABELED_COLUMN_1","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","","","","leverage","Discuss your leverage exposure policy and its management over different market cycles","10 to 1","","","","","","of its investments of 10 to I, though the General Partner may usc greater","actual","IMAGE_ONLY: page-016.png prints 10 to 1; the PDF's own text layer renders it 10 to I.","A+B+ADJUDICATOR","RESOLVED","","","","","","claude-sonnet-5+gpt-5+claude-opus-5"
