"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","extractor_model"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","DFJ Frontier Fund II, L.P.","Distributed","1","fund","DFJ Frontier Fund II, L.P.","","Venture Capital","","","","","2007","","","December 31, 2021","","","distribution","Distributed","$1,786,462","","","","","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","DFJ Frontier Fund II, L.P.","IRR (%)","1","fund","DFJ Frontier Fund II, L.P.","","Venture Capital","","","","","2007","","","December 31, 2021","","","irr","IRR (%)","3.59","%","","","","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","DFJ Frontier Fund II, L.P.","Remaining Value","1","fund","DFJ Frontier Fund II, L.P.","","Venture Capital","","","","","2007","","","December 31, 2021","","","nav","Remaining Value","$5,066,868","","","","","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","DFJ Frontier Fund II, L.P.","TVPI (X)","1","fund","DFJ Frontier Fund II, L.P.","","Venture Capital","","","","","2007","","","December 31, 2021","","","tvpi","TVPI (X)","1.37","x","","","","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","DFJ Frontier Fund II, L.P.","Unfunded","1","fund","DFJ Frontier Fund II, L.P.","","Venture Capital","","","","","2007","","","December 31, 2021","","","unfunded_commitment","Unfunded","$0","","","","","","DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","Committed","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","commitment","Committed","$7,000,000","","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","Contributed","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","paid_in_capital","Contributed","$7,059,089","","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","Distributed","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","distribution","Distributed","$18,995,752","","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","IRR (%)","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","irr","IRR (%)","29.66","%","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","Remaining Value","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","nav","Remaining Value","$0","","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","TVPI (X)","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","tvpi","TVPI (X)","2.69","x","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Endeavour Capital Fund III, L.P.","Unfunded","1","fund","Endeavour Capital Fund III, L.P.","","Buyout","","","","","2000","","","December 31, 2021","","","unfunded_commitment","Unfunded","$0","","","","","","Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","Committed","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","commitment","Committed","$5,000,000","","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","Contributed","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","paid_in_capital","Contributed","$4,958,865","","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","Distributed","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","distribution","Distributed","$10,035,885","","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","IRR (%)","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","irr","IRR (%)","13.17","%","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","Remaining Value","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","nav","Remaining Value","$1,261,542","","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","TVPI (X)","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","tvpi","TVPI (X)","2.28","x","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Epic Venture Fund IV, L.P.","Unfunded","1","fund","Epic Venture Fund IV, L.P.","","Venture Capital","","","","","2009","","","December 31, 2021","","","unfunded_commitment","Unfunded","$99,500","","","","","","Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","Committed","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","commitment","Committed","$2,000,000","","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","Contributed","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","paid_in_capital","Contributed","$2,000,000","","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","Distributed","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","distribution","Distributed","$1,200,000","","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","IRR (%)","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","irr","IRR (%)","-4.47","%","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","Remaining Value","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","nav","Remaining Value","$0","","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","TVPI (X)","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","tvpi","TVPI (X)","0.60","x","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Fluke Venture Partners II, L.P.","Unfunded","1","fund","Fluke Venture Partners II, L.P.","","Venture Capital","","","","","2004","","","December 31, 2021","","","unfunded_commitment","Unfunded","$0","","","","","","Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Madrona Venture Fund III, L.P.","Committed","1","fund","Madrona Venture Fund III, L.P.","","Venture Capital","","","","","2005","","","December 31, 2021","","","commitment","Committed","$5,000,000","","","","","","Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Madrona Venture Fund III, L.P.","Contributed","1","fund","Madrona Venture Fund III, L.P.","","Venture Capital","","","","","2005","","","December 31, 2021","","","paid_in_capital","Contributed","$4,950,000","","","","","","Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Madrona Venture Fund III, L.P.","Distributed","1","fund","Madrona Venture Fund III, L.P.","","Venture Capital","","","","","2005","","","December 31, 2021","","","distribution","Distributed","$34,267,275","","","","","","Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Madrona Venture Fund III, L.P.","IRR (%)","1","fund","Madrona Venture Fund III, L.P.","","Venture Capital","","","","","2005","","","December 31, 2021","","","irr","IRR (%)","23.59","%","","","","","Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","Performance","02-performance","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Performance Analysis","Fund Performance: Sorted By Vintage And Strategy","Madrona Venture Fund III, L.P.","Remaining Value","1","fund","Madrona Venture Fund III, L.P.","","Venture Capital","","","","","2005","","","December 31, 2021","","","nav","Remaining Value","$1,512,027","","","","","","Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
