"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","extractor_model"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","Purchases","1","asset_class","Private equity","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","1,059,436","","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","Sales and Redemptions","1","asset_class","Private equity","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(680,891)","","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","2021 Beginning Fair Value","1","asset_class","Real assets","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","5,232,310","","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","2021 Ending Fair Value Balance","1","asset_class","Real assets","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","6,948,865","","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","Increase (Decrease) in Fair Value","1","asset_class","Real assets","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","796,491","","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","Purchases","1","asset_class","Real assets","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","1,701,615","","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","Sales and Redemptions","1","asset_class","Real assets","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(781,551)","","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","2021 Beginning Fair Value","1","asset_class","Short-term securities","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","$2,631,822","","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","2021 Ending Fair Value Balance","1","asset_class","Short-term securities","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","3,370,779","","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","Increase (Decrease) in Fair Value","1","asset_class","Short-term securities","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","(3,527)","","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","Purchases","1","asset_class","Short-term securities","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","34,353,284","","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","Sales and Redemptions","1","asset_class","Short-term securities","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(33,610,800)","","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","2021 Beginning Fair Value","1","portfolio","Totals","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","$39,308,008","","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","2021 Ending Fair Value Balance","1","portfolio","Totals","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","45,537,673","","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","Increase (Decrease) in Fair Value","1","portfolio","Totals","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","2,977,124","","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","Purchases","1","portfolio","Totals","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","75,028,640","","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","Sales and Redemptions","1","portfolio","Totals","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(71,776,099)","","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","2","NARRATIVE","Defined Benefit Investments (Continued)","Defined Benefit Investments (Continued)","Absolute return","Board-Reported Allocation","1","asset_class","Absolute return","","","","","","","","","","December 31, 2021","","","actual_allocation","Board-Reported Allocation","15.7%","%","","","","","board are as follows: Equity securities 37.5%, Debt securities 18.6%, Absolute return 15.7%, Private equity 13.2% and Real assets 15.0%.","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","2","NARRATIVE","Defined Benefit Investments (Continued)","Defined Benefit Investments (Continued)","Debt securities","Board-Reported Allocation","1","asset_class","Debt securities","","","","","","","","","","December 31, 2021","","","actual_allocation","Board-Reported Allocation","18.6%","%","","","","","board are as follows: Equity securities 37.5%, Debt securities 18.6%, Absolute return 15.7%, Private equity 13.2% and Real assets 15.0%.","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
