"route","file_id","source_sha256","physical_pages","pages_with_data","extractor_a_rows","extractor_b_rows","pair_rows","physical_pairs","raw_value_agreements","raw_value_agreement_rate","value_conflicts","classification_conflicts","context_conflicts","exact_all_field_pairs","a_only","b_only","merge_decisions","accept_a_decisions","accept_b_decisions","add_decisions","reject_decisions","final_rows"
"03-institutional-report","SRC216","5c03d8f73453f799cd0bff82f0d4a880e783247918a72dd35e8cdd352a6d2a50","3","1","3","3","3","3","2","0.666667","1","0","2","0","0","0","2","1","0","0","0","3"
"03-institutional-report","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","5","4","74","84","86","72","68","0.944444","4","24","43","1","2","12","50","2","21","0","12","74"
"03-institutional-report","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","2","2","80","100","105","75","60","0.800000","15","7","53","0","5","25","54","4","41","11","6","110"
"03-institutional-report","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","6","5","54","62","65","51","42","0.823529","9","16","26","0","3","11","57","1","5","0","2","63"
"03-institutional-report","SRC602","2ed0fcbdba2e9190c119988a53fc7336f39f37d2a2126c4d16706021ebba7db8","11","9","172","158","187","143","143","1.000000","0","71","72","0","29","15","145","34","0","3","8","182"
"04-quarterly-report","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","21","15","339","322","393","268","266","0.992537","2","144","122","0","71","54","324","20","0","4","49","348"
"04-quarterly-report","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","4","4","545","576","595","526","500","0.950570","26","161","339","0","19","50","573","0","3","6","19","582"
"04-quarterly-report","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","16","14","1329","1563","1583","1309","1182","0.902979","127","1062","119","1","20","254","1363","17","148","262","55","1790"
"04-quarterly-report","SRC606","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","8","8","102","132","134","100","93","0.930000","7","24","64","5","2","32","72","1","33","0","23","111"
"05-fund-legal-docs","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","22","12","36","52","72","16","16","1.000000","0","15","1","0","20","36","48","0","0","1","24","49"
"05-fund-legal-docs","SRC421","8fbaa442a5f926fb750aba15b64a328a8a737995b1492a65e539ab39b5cc165c","135","64","177","18","188","7","1","0.142857","6","1","0","0","170","11","14","152","6","25","16","197"
"05-fund-legal-docs","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","43","11","7","16","20","3","0","0.000000","3","0","0","0","4","13","15","0","1","12","4","28"
"05-fund-legal-docs","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","48","19","10","34","41","3","0","0.000000","3","0","0","0","7","31","24","0","0","19","17","43"
"06-statements-and-economics","SRC028","91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5","1","1","88","88","88","88","88","1.000000","0","1","87","0","0","0","42","1","45","0","0","88"
"06-statements-and-economics","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","3","2","10","42","48","4","2","0.500000","2","1","1","0","6","38","23","0","0","1","25","24"
"06-statements-and-economics","SRC247","6fd8c243900f1595c3cdb0b4b5e44eacac39db50a5f75d39d13626fd3a8ed5e0","4","4","94","120","123","91","79","0.868132","12","74","5","0","3","29","98","0","17","0","8","115"
"06-statements-and-economics","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","11","9","794","767","797","764","749","0.980366","15","2","747","0","30","3","797","0","0","14","0","811"
"06-statements-and-economics","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","2","2","70","82","84","68","65","0.955882","3","64","0","1","2","14","79","0","0","0","5","79"
"06-statements-and-economics","SRC463","ac5d733acff368c8d0df821d1311f97f2474a707afdae5eeeb7b23ab817372f3","2","2","68","49","68","49","48","0.979592","1","48","0","0","19","0","62","0","0","3","6","65"
"07-institutional-mission","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","19","11","43","89","106","26","25","0.961538","1","25","0","0","17","63","82","0","0","0","24","82"
"07-institutional-mission","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","18","3","7","5","12","0","0","","0","0","0","0","7","5","2","6","1","5","3","14"
"07-institutional-mission","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","32","18","89","322","339","72","67","0.930556","5","67","0","0","17","250","28","4","146","0","161","178"
"07-institutional-mission","SRC373","8975f55541fe0b27e768395c4b453b9debbcca6e6e4eb30ce03f9a8adf817747","188","21","250","172","326","96","96","1.000000","0","58","38","0","154","76","74","148","0","4","104","226"
