"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"72","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"73","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"75","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"79","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"82","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"84","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"85","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","POTENTIAL CONFLICTS OF INTEREST","","legal_term","","page_status|expected_observation_count|source_structures|relevant_record_families"
"86","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"88","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","Board Structure and Committees","MANAGEMENT OF THE FUND","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"89","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"90","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"91","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","1","Investment Advisory and Management Agreement and Reimbursement Arrangements | Management Fee","INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT","definition_context | legal_term","legal_term","expected_observation_count|source_structures|relevant_record_families"
"92","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","1","Expense Limitation Agreement | Investment Advisory and Management Agreement | Investment Advisory and Management Agreement and Reimbursement Arrangements","INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT","legal_term","legal_term","expected_observation_count|source_structures"
"93","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","NET ASSET VALUATION","NET ASSET VALUATION","definition_context","","page_status|expected_observation_count|relevant_record_families"
"95","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"96","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"97","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","ELIGIBLE INVESTORS","ELIGIBLE INVESTORS","definition_context","","page_status|expected_observation_count|relevant_record_families"
"98","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","Distribution Agreement | Distributor","PLAN OF DISTRIBUTION","definition_context | legal_term","","page_status|expected_observation_count|source_structures|relevant_record_families"
"99","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","Distribution and Servicing Plan","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"100","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","PURCHASING SHARES","","","source_structures"
"101","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","General Purchase Terms","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"102","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Class I2 Shares | Class S2 Shares","","","source_structures"
"103","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","CLOSED-END FUND STRUCTURE; NO RIGHT OF REDEMPTION","","","layout_checked|source_structures"
"104","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","TRANSFER RESTRICTIONS","","","source_structures"
"105","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","REPURCHASE OF SHARES","","","source_structures"
"106","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","Repurchase of Shares Process","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"107","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"108","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","ERISA CONSIDERATIONS","ERISA CONSIDERATIONS","definition_context","","page_status|expected_observation_count|relevant_record_families"
"109","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","DISTRIBUTIONS","","","source_structures"
"110","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","DIVIDEND REINVESTMENT PLAN","","","source_structures"
"111","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","DESCRIPTION OF SHARES | Share Class table","","","source_structures"
"112","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","CERTAIN PROVISIONS IN THE DECLARATION OF TRUST","","","source_structures"
"113","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","Derivative Actions, Direct Actions and Exclusive Jurisdiction","Derivative Actions, Direct Actions and Exclusive Jurisdiction","definition_context","","page_status|expected_observation_count|relevant_record_families"
"114","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","Amendment of the Declaration of Trust | Term, Dissolution, and Liquidation","","","layout_checked|source_structures"
"115","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","MATERIAL U.S. FEDERAL INCOME TAX CONSIDERATIONS","MATERIAL U.S. FEDERAL INCOME TAX CONSIDERATIONS","definition_context","","page_status|expected_observation_count|relevant_record_families"
"116","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","Qualification and Taxation as a Regulated Investment Company","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"117","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","Qualification and Taxation as a Regulated Investment Company","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"118","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","Qualification and Taxation as a Regulated Investment Company","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"120","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","Non-U.S. Investments, including PFICs and CFCs","Non-U.S. Investments, including PFICs and CFCs","definition_context","","page_status|expected_observation_count|relevant_record_families"
"121","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Taxation of U.S. Shareholders","","","source_structures"
"125","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","Taxation of Non-U.S. Shareholders | Taxation of Tax-Exempt Investors","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"126","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","Taxation of Non-U.S. Shareholders","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"127","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","Information Reporting and Backup Withholding | Net Investment Income Tax | Tax Shelter Reporting Regulations","Net Investment Income Tax | Tax Shelter Reporting Regulations","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"128","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","CUSTODIAN","","","layout_checked|source_structures"
"129","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","ADMINISTRATION AND ACCOUNTING SERVICES","","","source_structures"
"130","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","TRANSFER AGENT AND DIVIDEND PAYING AGENT","","","layout_checked|source_structures"
"131","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","FISCAL YEAR; REPORTS TO SHAREHOLDERS","FISCAL YEAR; REPORTS TO SHAREHOLDERS","definition_context","","page_status|expected_observation_count|relevant_record_families"
"132","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM","","","layout_checked|source_structures"
"133","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","LEGAL COUNSEL","","","layout_checked|source_structures"
"134","NO_ELIGIBLE_DATA","REFERENCE_ONLY","NO","YES","0","0","","","","","page_status|layout_checked"
"135","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
