fact_id,case_id,manager_id,fund_id,document_family,field_name,value_numeric,value_text,unit,effective_date,available_at,locator,review_status,conflict_group,source_kind,synthetic_flag,generator_version
FACT_CASE_002_004,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,management_fee_rate,0.018,,decimal_rate,2026-06-30,2026-07-15,#fact_case_002_004,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_005,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,carry_rate,0.20,,decimal_rate,2026-06-30,2026-07-15,#fact_case_002_005,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_006,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,hurdle_rate,0.08,,decimal_rate,2026-06-30,2026-07-15,#fact_case_002_006,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_007,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,gp_commitment_pct,0.030,,decimal_rate,2026-06-30,2026-07-15,#fact_case_002_007,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_008,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,team_roster,senior_departure,,One senior partner departed on 2025-03-31 after leading a case investment before departure.,,2025-03-31,2025-04-15,#fact_case_002_008,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_009,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,ddq,succession_plan,,Internal successor was appointed to the departed partner's portfolio coverage.,,2026-06-30,2026-07-15,#fact_case_002_009,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_010,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,ddq,governance_event,,none_observed_in_case_material,,2026-06-30,2026-07-15,#fact_case_002_010,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_001,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,ddq,current_strategy,,secondaries / lp_led,,2026-06-30,2026-07-15,#fact_case_003_001,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_002,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,ddq,valuation_policy,,Quarterly marks are reviewed by the valuation committee; material overrides require documented rationale.,,2026-06-30,2026-07-15,#fact_case_003_002,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_003,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,key_person_provision,,Departure of two named senior professionals suspends the investment period pending LPAC review.,,2026-06-30,2026-07-15,#fact_case_003_003,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_004,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,management_fee_rate,0.018,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_004,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_005,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,carry_rate,0.20,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_005,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_006,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,hurdle_rate,0.08,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_006,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_007,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,gp_commitment_pct,0.015,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_007,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_008,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,subscription_facility_limit_pct,0.15,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_008,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_009,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,subscription_facility_cost_rate,0.055,,decimal_rate,2026-06-30,2026-07-15,#fact_case_003_009,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_010,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,subscription_facility_max_days,180,,days,2026-06-30,2026-07-15,#fact_case_003_010,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_011,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,nav_facility_flag,,false,,2026-06-30,2026-07-15,#fact_case_003_011,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_003_012,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,ddq,governance_event,,none_observed_in_case_material,,2026-06-30,2026-07-15,#fact_case_003_012,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
