master_id,source,inventory_ids,proposed_matrices,evidence_locations
M035,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T076|C:T013,data/normalization/transformations/doc-type-route.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38
M036,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T077|C:T014,data/normalization/transformations/doc-type-route.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:43
M037,src/catalog/simple_pdf_extraction/csv_wide_contract.py,C:T015,data/normalization/transformations/retired-fields.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:65
M038,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T085,data/normalization/transformations/closed-vocabularies.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:206
M039,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T073|C:T016|C:T017,data/normalization/transformations/metric-vocabulary.csv|data/normalization/transformations/term-vocabulary.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379
M040,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T075,data/normalization/transformations/metric-vocabulary.csv|data/normalization/transformations/term-vocabulary.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:420
M041,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T074|C:T018,data/normalization/transformations/text-categories.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:423
M042,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T079|C:T019,data/normalization/transformations/record-families.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:543
M043,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T078|C:T020,data/normalization/transformations/doc-type-families.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:676
M044,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T080|C:T021,data/normalization/transformations/null-like-values.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:733
M045,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T081|C:T022,data/normalization/transformations/template-patterns.csv|data/normalization/transformations/template-placeholder.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:736
M046,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T082,data/normalization/transformations/key-normalization.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:750
M047,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T083,data/normalization/transformations/pair-key.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:756
M048,src/catalog/simple_pdf_extraction/csv_wide_contract.py,A:T084,data/normalization/transformations/sampling-policy.csv,src/catalog/simple_pdf_extraction/csv_wide_contract.py:825
M049,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T196,data/normalization/transformations/conflict-severity.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:102
M050,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T197,data/normalization/transformations/conflict-severity.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:121
M051,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T198,data/normalization/transformations/eligibility-signals.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:122
M052,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T199,data/normalization/transformations/eligibility-signals.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:147
M053,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T200,data/normalization/transformations/model-attribution.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:321
M054,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T201,data/normalization/transformations/model-attribution.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:352
M055,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T202,data/normalization/transformations/grid-thresholds.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:455
M056,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T203,,src/catalog/simple_pdf_extraction/csv_workflow.py:548
M057,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T204,data/normalization/transformations/coverage-metadata-policy.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:600
M058,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T205,data/normalization/transformations/value-repair.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:631
M059,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T207|C:T023,data/normalization/transformations/printed-not-meaningful.csv|data/normalization/transformations/printed-tokens.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:902
M060,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T208|C:T024,data/normalization/transformations/currency-not-unit.csv|data/normalization/transformations/printed-tokens.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:909
M061,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T209|C:T025,data/normalization/transformations/printed-tokens.csv|data/normalization/transformations/qualitative-metrics.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:914
M062,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T210,data/normalization/transformations/eligibility-signals.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:919
M063,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T211,data/normalization/transformations/value-repair.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1121
M064,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T206,data/normalization/transformations/value-repair.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1236
M065,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T212,data/normalization/transformations/pair-realignment.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1436
M066,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T213,data/normalization/transformations/pair-realignment.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1456
M067,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T214,data/normalization/transformations/pair-realignment.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1494
M068,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T215,data/normalization/transformations/pair-realignment.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1500
M069,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T216,data/normalization/transformations/review-sampling.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1600
M070,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T217,data/normalization/transformations/conflict-severity.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1628
M071,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T218,data/normalization/transformations/review-sampling.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1645
M072,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T219,data/normalization/transformations/adjudication-outcomes.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1727
M073,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T220,data/normalization/transformations/adjudication-outcomes.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1878
M074,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T221,data/normalization/transformations/coverage-layout-policy.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:1979
M075,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T225,data/normalization/transformations/extraction-lane-selection.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:2035
M076,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T224,data/normalization/transformations/conflict-severity.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:2285
M077,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T222,data/normalization/transformations/model-attribution.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:2343
M078,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T223,data/normalization/transformations/model-attribution.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:2368
M079,src/catalog/simple_pdf_extraction/csv_workflow.py,A:T226,data/normalization/transformations/benchmark-malformed-share.csv,src/catalog/simple_pdf_extraction/csv_workflow.py:2448
M080,src/catalog/simple_pdf_extraction/field_guide.py,A:T195,data/normalization/transformations/field-descriptions.csv,src/catalog/simple_pdf_extraction/field_guide.py:27
M081,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T126,data/normalization/transformations/attribute-status-policy.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:49
M082,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T125|C:T026,data/normalization/transformations/attribute-status-policy.csv|data/normalization/transformations/settled-attribute-statuses.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:50|src/catalog/simple_pdf_extraction/fund_attributes.py:157
M083,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T123|C:T027,data/normalization/transformations/attribute-spelling-rules.csv|data/normalization/transformations/vintage-parse.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:128
M084,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T122|C:T028,data/normalization/transformations/attribute-canon-rules.csv|data/normalization/transformations/attribute-spelling-rules.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:133
M085,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T124,data/normalization/transformations/attribute-spelling-rules.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:151
M086,src/catalog/simple_pdf_extraction/fund_attributes.py,A:T127,data/normalization/transformations/evidence-preference-order.csv,src/catalog/simple_pdf_extraction/fund_attributes.py:477
M087,src/catalog/simple_pdf_extraction/name_normalization.py,A:T131,data/normalization/transformations/name-status-policy.csv,src/catalog/simple_pdf_extraction/name_normalization.py:64
M088,src/catalog/simple_pdf_extraction/name_normalization.py,A:T128|C:T029,data/normalization/transformations/subject-kind.csv|data/normalization/transformations/subject-type-entity-kind.csv,src/catalog/simple_pdf_extraction/name_normalization.py:70
M089,src/catalog/simple_pdf_extraction/name_normalization.py,C:T030,data/normalization/transformations/column-kind.csv,src/catalog/simple_pdf_extraction/name_normalization.py:81
M090,src/catalog/simple_pdf_extraction/name_normalization.py,A:T129|C:T031,data/normalization/transformations/legal-noise.csv|data/normalization/transformations/name-match-key.csv,src/catalog/simple_pdf_extraction/name_normalization.py:119
M091,src/catalog/simple_pdf_extraction/name_normalization.py,A:T134|C:T032,data/normalization/transformations/non-names.csv|data/normalization/transformations/null-like-values.csv,src/catalog/simple_pdf_extraction/name_normalization.py:124
M092,src/catalog/simple_pdf_extraction/name_normalization.py,A:T130,data/normalization/transformations/name-match-key.csv,src/catalog/simple_pdf_extraction/name_normalization.py:235
M093,src/catalog/simple_pdf_extraction/name_normalization.py,A:T133,data/normalization/transformations/manager-auto-settle-rules.csv,src/catalog/simple_pdf_extraction/name_normalization.py:723
M094,src/catalog/simple_pdf_extraction/name_normalization.py,A:T132|C:T033,data/normalization/transformations/manager-auto-settle-rules.csv|data/normalization/transformations/manager-autosettle-rules.csv,src/catalog/simple_pdf_extraction/name_normalization.py:885
M095,src/catalog/simple_pdf_extraction/page_grid.py,A:T182|C:T034,data/normalization/transformations/grid-geometry.csv|data/normalization/transformations/numeric-token.csv,src/catalog/simple_pdf_extraction/page_grid.py:31
M096,src/catalog/simple_pdf_extraction/page_grid.py,A:T180,data/normalization/transformations/grid-geometry.csv,src/catalog/simple_pdf_extraction/page_grid.py:75
M097,src/catalog/simple_pdf_extraction/page_grid.py,C:T035,data/normalization/transformations/header-stopwords.csv,src/catalog/simple_pdf_extraction/page_grid.py:106
M098,src/catalog/simple_pdf_extraction/page_grid.py,A:T181,data/normalization/transformations/grid-geometry.csv,src/catalog/simple_pdf_extraction/page_grid.py:133
M099,src/catalog/sweep_manager_loci.py,A:T186|C:T036,data/normalization/transformations/manager-locus-labels.csv|data/normalization/transformations/manager-locus-patterns.csv,src/catalog/sweep_manager_loci.py:45
M100,src/common/finance.py,A:T045,data/normalization/transformations/cashflow-aggregation.csv,src/common/finance.py:22
M101,src/common/finance.py,A:T046|C:T037,data/normalization/transformations/daycount-convention.csv|data/normalization/transformations/xirr-conventions.csv,src/common/finance.py:37
M102,src/common/finance.py,A:T047,data/normalization/transformations/solver-settings.csv,src/common/finance.py:83
M103,src/flatten/flatten_extracted.py,A:T034|B:T061|C:T038,data/normalization/transformations/family-pivot.csv|data/normalization/transformations/holding-family.csv|data/normalization/transformations/record-family-routing.csv,src/flatten/flatten_extracted.py:62
M104,src/flatten/flatten_extracted.py,A:T022|B:T035|C:T039,data/normalization/transformations/holding-columns.csv|data/normalization/transformations/holding-metric-to-column.csv|data/normalization/transformations/metric-to-holding-column.csv,src/flatten/flatten_extracted.py:65
M105,src/flatten/flatten_extracted.py,A:T025|B:T036|C:T040,data/normalization/transformations/date-token-map.csv|data/normalization/transformations/month-name.csv|data/normalization/transformations/month-names.csv,src/flatten/flatten_extracted.py:77
M106,src/flatten/flatten_extracted.py,A:T023|B:T037|C:T041,data/normalization/transformations/scale-words.csv|data/normalization/transformations/unit-scale.csv,src/flatten/flatten_extracted.py:90
M107,src/flatten/flatten_extracted.py,A:T024|B:T038|B:T039|C:T042|C:T043,data/normalization/transformations/currency-parse.csv|data/normalization/transformations/currency-symbols.csv|data/normalization/transformations/currency-token-map.csv|data/normalization/transformations/currency-words.csv,src/flatten/flatten_extracted.py:98|src/flatten/flatten_extracted.py:105
M108,src/flatten/flatten_extracted.py,B:T040,data/normalization/transformations/csv-value-serialization.csv,src/flatten/flatten_extracted.py:195
M109,src/flatten/flatten_extracted.py,B:T041,data/normalization/transformations/csv-value-serialization.csv,src/flatten/flatten_extracted.py:198
M110,src/flatten/flatten_extracted.py,B:T042,data/normalization/transformations/numeric-serialization.csv,src/flatten/flatten_extracted.py:200
M111,src/flatten/flatten_extracted.py,B:T043,data/normalization/transformations/identifier-generation-rules.csv,src/flatten/flatten_extracted.py:206
M112,src/flatten/flatten_extracted.py,A:T026|B:T044|C:T044,data/normalization/transformations/date-format-rules.csv|data/normalization/transformations/date-shape.csv|data/normalization/transformations/date-shapes.csv,src/flatten/flatten_extracted.py:236
M113,src/flatten/flatten_extracted.py,B:T045,data/normalization/transformations/date-precision-policy.csv,src/flatten/flatten_extracted.py:286
M114,src/flatten/flatten_extracted.py,C:T045,data/normalization/transformations/scale-defaults.csv,src/flatten/flatten_extracted.py:300
M115,src/flatten/flatten_extracted.py,B:T046,data/normalization/transformations/unit-scale-defaults.csv,src/flatten/flatten_extracted.py:304
M116,src/flatten/flatten_extracted.py,B:T047,data/normalization/transformations/currency-token-map.csv,src/flatten/flatten_extracted.py:317
M117,src/flatten/flatten_extracted.py,B:T048,data/normalization/transformations/unit-scale-defaults.csv,src/flatten/flatten_extracted.py:319
M118,src/flatten/flatten_extracted.py,A:T028|B:T049|C:T046,data/normalization/transformations/number-format-rules.csv|data/normalization/transformations/number-pattern.csv|data/normalization/transformations/value-kind-parse.csv,src/flatten/flatten_extracted.py:327
M119,src/flatten/flatten_extracted.py,A:T027|C:T047,data/normalization/transformations/value-kind-parse.csv|data/normalization/transformations/value-kinds.csv,src/flatten/flatten_extracted.py:330
M120,src/flatten/flatten_extracted.py,B:T050,data/normalization/transformations/value-kind-defaults.csv,src/flatten/flatten_extracted.py:338
M121,src/flatten/flatten_extracted.py,B:T051,data/normalization/transformations/number-format-rules.csv,src/flatten/flatten_extracted.py:346
M122,src/flatten/flatten_extracted.py,B:T052,data/normalization/transformations/value-kind-classification.csv,src/flatten/flatten_extracted.py:354
M123,src/flatten/flatten_extracted.py,B:T053,data/normalization/transformations/unmatched-entity-policy.csv,src/flatten/flatten_extracted.py:405
M124,src/flatten/flatten_extracted.py,A:T032,data/normalization/transformations/subject-type-entity-kind.csv,src/flatten/flatten_extracted.py:428
M125,src/flatten/flatten_extracted.py,B:T054,data/normalization/transformations/alias-evidence-aggregation.csv,src/flatten/flatten_extracted.py:431
M126,src/flatten/flatten_extracted.py,B:T055,data/normalization/transformations/fund-manager-inheritance.csv,src/flatten/flatten_extracted.py:483
M127,src/flatten/flatten_extracted.py,B:T056,data/normalization/transformations/fund-manager-inheritance.csv,src/flatten/flatten_extracted.py:488
M128,src/flatten/flatten_extracted.py,B:T057,data/normalization/transformations/metric-identifier-rules.csv,src/flatten/flatten_extracted.py:524
M129,src/flatten/flatten_extracted.py,A:T031|B:T058,data/normalization/transformations/field-fallback-order.csv|data/normalization/transformations/text-value-fallback.csv,src/flatten/flatten_extracted.py:543|src/flatten/flatten_extracted.py:544
M130,src/flatten/flatten_extracted.py,A:T030|B:T059,data/normalization/transformations/date-role-precedence.csv|data/normalization/transformations/field-fallback-order.csv,src/flatten/flatten_extracted.py:591
M131,src/flatten/flatten_extracted.py,A:T029|B:T060|C:T048,data/normalization/transformations/currency-fallback.csv|data/normalization/transformations/currency-parse.csv|data/normalization/transformations/currency-precedence.csv,src/flatten/flatten_extracted.py:603
M132,src/flatten/flatten_extracted.py,B:T062,data/normalization/transformations/holding-context-precedence.csv,src/flatten/flatten_extracted.py:684
M133,src/flatten/flatten_extracted.py,B:T063,data/normalization/transformations/holding-value-source.csv,src/flatten/flatten_extracted.py:711
M134,src/flatten/flatten_extracted.py,A:T033|B:T064|C:T049,data/normalization/transformations/collision-policy.csv|data/normalization/transformations/holding-collision-policy.csv|data/normalization/transformations/holding-collision.csv,src/flatten/flatten_extracted.py:716
M135,src/flatten/flatten_extracted.py,B:T065,data/normalization/transformations/page-row-precedence.csv,src/flatten/flatten_extracted.py:727
M136,src/flatten/flatten_extracted.py,B:T066,data/normalization/transformations/page-data-status.csv,src/flatten/flatten_extracted.py:757
M137,src/flatten/flatten_extracted.py,B:T067,data/normalization/transformations/document-row-precedence.csv,src/flatten/flatten_extracted.py:760
M138,src/flatten/flatten_extracted.py,B:T068,data/normalization/transformations/entity-name-precedence.csv,src/flatten/flatten_extracted.py:815
M139,src/flatten/flatten_extracted.py,A:T035|B:T069,data/normalization/transformations/metric-catalogue-status.csv,src/flatten/flatten_extracted.py:841
M140,src/flatten/flatten_extracted.py,B:T070,data/normalization/transformations/metric-value-kind-policy.csv,src/flatten/flatten_extracted.py:842
M141,src/flatten/flatten_extracted.py,B:T071,data/normalization/transformations/entity-resolution-status.csv,src/flatten/flatten_extracted.py:851
M142,src/flatten/load_star.py,A:T044|B:T072,data/normalization/transformations/database-null-policy.csv|data/normalization/transformations/load-null-policy.csv,src/flatten/load_star.py:108
M143,src/flatten/pivot_wide.py,A:T043|B:T073|C:T050,data/normalization/transformations/context-family.csv|data/normalization/transformations/family-pivot.csv|data/normalization/transformations/wide-family-routing.csv,src/flatten/pivot_wide.py:55
M144,src/flatten/pivot_wide.py,A:T036|B:T074|C:T051,data/normalization/transformations/category-column-type.csv|data/normalization/transformations/text-categories.csv|data/normalization/transformations/wide-category-type.csv,src/flatten/pivot_wide.py:63
M145,src/flatten/pivot_wide.py,A:T038|B:T075|C:T052,data/normalization/transformations/wide-grain.csv|data/normalization/transformations/wide-row-grain.csv,src/flatten/pivot_wide.py:66
M146,src/flatten/pivot_wide.py,A:T041|B:T076,data/normalization/transformations/category-column-name.csv|data/normalization/transformations/wide-column-renames.csv,src/flatten/pivot_wide.py:162
M147,src/flatten/pivot_wide.py,A:T039|B:T077,data/normalization/transformations/category-field-precedence.csv|data/normalization/transformations/field-fallback-order.csv,src/flatten/pivot_wide.py:180
M148,src/flatten/pivot_wide.py,A:T040|B:T078,data/normalization/transformations/field-fallback-order.csv|data/normalization/transformations/wide-cell-value-source.csv,src/flatten/pivot_wide.py:184
M149,src/flatten/pivot_wide.py,B:T079,data/normalization/transformations/wide-column-grouping.csv,src/flatten/pivot_wide.py:195
M150,src/flatten/pivot_wide.py,B:T080,data/normalization/transformations/wide-context-precedence.csv,src/flatten/pivot_wide.py:224
M151,src/flatten/pivot_wide.py,B:T081,data/normalization/transformations/wide-unparsed-value-policy.csv,src/flatten/pivot_wide.py:238
M152,src/flatten/pivot_wide.py,A:T042|B:T082|C:T053,data/normalization/transformations/collision-policy.csv|data/normalization/transformations/wide-collision-policy.csv|data/normalization/transformations/wide-collision.csv,src/flatten/pivot_wide.py:243
M153,src/flatten/pivot_wide.py,B:T083,data/normalization/transformations/wide-scale-status.csv,src/flatten/pivot_wide.py:252
M154,src/flatten/pivot_wide.py,B:T084,data/normalization/transformations/context-alias-fallback.csv,src/flatten/pivot_wide.py:283
M155,src/flatten/pivot_wide.py,B:T085,data/normalization/transformations/record-family-routing.csv,src/flatten/pivot_wide.py:335
M156,src/flatten/pivot_wide.py,A:T037,data/normalization/transformations/category-column-type.csv,src/flatten/pivot_wide.py:384
M157,src/generate/generate_synthetic_funds.py,A:T161,data/normalization/transformations/fixture-strategy-parameters.csv,src/generate/generate_synthetic_funds.py:72
M158,src/generate/generate_synthetic_funds.py,A:T163,data/normalization/transformations/defect-definitions.csv,src/generate/generate_synthetic_funds.py:100
M159,src/generate/generate_synthetic_funds.py,A:T164|C:T054|C:T055,data/normalization/transformations/fixture-benchmark-parameters.csv|data/normalization/transformations/strategy-benchmark.csv|data/normalization/transformations/synthetic-benchmark-series.csv,src/generate/generate_synthetic_funds.py:133|src/generate/generate_synthetic_funds.py:141
M160,src/generate/generate_synthetic_funds.py,A:T165|C:T056,data/normalization/transformations/fixture-strategy-parameters.csv|data/normalization/transformations/strategy-income-yield.csv,src/generate/generate_synthetic_funds.py:153
M161,src/generate/generate_synthetic_funds.py,A:T166|C:T057|C:T058,data/normalization/transformations/fixture-currency.csv|data/normalization/transformations/fund-currency-weights.csv|data/normalization/transformations/fx-to-usd.csv,src/generate/generate_synthetic_funds.py:161|src/generate/generate_synthetic_funds.py:168
M162,src/generate/generate_synthetic_funds.py,C:T059,data/normalization/transformations/strategy-volatility.csv,src/generate/generate_synthetic_funds.py:176
M163,src/generate/generate_synthetic_funds.py,C:T060,data/normalization/transformations/strategy-liquidity.csv,src/generate/generate_synthetic_funds.py:187
M164,src/generate/generate_synthetic_funds.py,A:T162,data/normalization/transformations/fixture-strategy-parameters.csv,src/generate/generate_synthetic_funds.py:402
M165,src/generate/generate_synthetic_funds.py,A:T173,data/normalization/transformations/rounding-policy.csv,src/generate/generate_synthetic_funds.py:702
M166,src/generate/generate_synthetic_funds.py,A:T167,data/normalization/transformations/fixture-schedule-shape.csv,src/generate/generate_synthetic_funds.py:774
M167,src/generate/generate_synthetic_funds.py,A:T168,data/normalization/transformations/fixture-schedule-shape.csv,src/generate/generate_synthetic_funds.py:1084
