file_id,expansion_document_id,source_system,source_record_id,regulatory_form,sec_cik,sec_accession,filing_date,period_of_report,exhibit_type,exhibit_sequence,native_source_url,native_file_ext,native_sha256,canonical_pdf_sha256,derived_from_native_sha256,renderer_id,document_family,document_subtype,deal_context,lookthrough_level,package_id,parent_file_id,version_status,execution_status,access_basis,confidentiality_class,redistribution_rights,pii_class,license_contract_id,duplicate_of_file_id,supersedes_file_id,admission_status,admission_reason
,EXPDOC-011,ILPA,EXP-011,,,,,,,,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf,pdf,5fe91c5f7859aae5cc3164ea205ff722e13d165b37fb40781fe692c2558ec18a,5fe91c5f7859aae5cc3164ea205ff722e13d165b37fb40781fe692c2558ec18a,,,Cash_Flow_Notice,Capital_Call_Detail,NONE,NONE,PKG-ILPA-CCD,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,canonical corpus pins remain 442; no merge this run
,EXPDOC-012,ILPA,EXP-012,,,,,,,,https://ilpa.org/wp-content/uploads/2026/07/ILPA-Portfolio-Company-Template_Comment-PeriodvF.xlsx,xlsx,3a686db8d423ce8314551acf6fb0347460e7a0f6e3d278be8e450bf6ca330ff3,,,,Portfolio_Company_Report,ILPA_PortCo_Template,NONE,PORTFOLIO_COMPANY,PKG-ILPA-PORTCO,,DRAFT,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Portfolio_Company_Report is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-013,ILPA,EXP-013,,,,,,,,https://ilpa.org/wp-content/uploads/2025/09/ILPA-CCD-Template-Examples-1.xlsx,xlsx,8df11eea1455e3a3f69e86cc00c8177c50441a9a58386a21c8980d63bbd66f32,,,,Cash_Flow_Notice,Capital_Call_Detail,NONE,NONE,PKG-ILPA-CCD,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-014,ILPA,EXP-014,,,,,,,,https://ilpa.org/wp-content/uploads/2026/01/ILPA-Continuation-Fund-Disclosure-Template.docx,docx,69f1e89329d634b9ea32b131b45a691f8e63da7b846d8593ce5673254252621d,,,,Continuation_Fund,Continuation_Disclosure,CONTINUATION,FUND_INTEREST,PKG-ILPA-CONTINUATION,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,new doc_type Continuation_Fund is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-015,ILPA,EXP-015,,,,,,,,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Capital-Call-Distribution-Template-v.-2.0.xlsx,xlsx,2900ed5cd6a4c1ad597b8501134da7bb00a378a87142626dde528d99550876a6,,,,Cash_Flow_Notice,Capital_Call_Detail,NONE,NONE,PKG-ILPA-CCD,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
,EXPDOC-016,SEC_EDGAR,000205826326000005,N_CSR,2058263,000205826326000005,,,,,https://www.sec.gov/Archives/edgar/data/2058263/000205826326000005/caps_202603xn-csr.htm,html,f53c4a2309f2323889b22be47f21049149cb0b325d0d78182f7929bf5d99a646,,,,Financials,N_CSR,NONE,MULTI_LEVEL,PKG-CARLYLE-ALPINVEST,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-017,SEC_EDGAR,000104916926000693,NPORT_EX,2058263,000104916926000693,,,,,https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/CAPS_2025.12_N-PORT_PART_F.htm,html,c4a66a28478c1861fff90eb921d1d92380e24d4382f2fa38c8b5be45cd99e2ba,,,,Schedule_Inv,NPORT_EX,NONE,MULTI_LEVEL,PKG-CARLYLE-ALPINVEST,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-018,SEC_EDGAR,000104916926000693,NPORT_P,2058263,000104916926000693,,,,,https://www.sec.gov/Archives/edgar/data/2058263/000104916926000693/primary_doc.xml,xml,6b83584ac1dec615b478dd451fc1d7c40c93acec63646d591d9bed5c3376a751,,,,Schedule_Inv,NPORT_P,NONE,MULTI_LEVEL,PKG-CARLYLE-ALPINVEST,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-019,SEC_EDGAR,000139834426013055,N_2,2058263,000139834426013055,,,,,https://www.sec.gov/Archives/edgar/data/2058263/000139834426013055/fp0100147-1_486bposixbrl.htm,html,bc6d35caa3e7a1793ad2d9cb38cb2209605a3f7f6a9f7d8b5870ccf91b93751e,,,,PPM,N_2,NONE,NONE,PKG-CARLYLE-ALPINVEST,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-020,SEC_EDGAR,000110465926070882,N_CSR,1969180,000110465926070882,,,,,https://www.sec.gov/Archives/edgar/data/1969180/000110465926070882/tm266851d1_ncsr.htm,html,c0348de2ff762b9a3c43bd791cb6e2bda7d5f1bf8687eec9c6821815fd8c938c,,,,Financials,N_CSR,NONE,MULTI_LEVEL,PKG-COLLER-SECONDARIES,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-021,SEC_EDGAR,000141036826020768,NPORT_EX,1969180,000141036826020768,,,,,https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/NPORT_CZVC_38764804_1225.htm,html,c687cf6c45b036c288098600dd0d9008b77e0b0ff258fe8190b5b0222a12b5a8,,,,Schedule_Inv,NPORT_EX,NONE,MULTI_LEVEL,PKG-COLLER-SECONDARIES,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-022,SEC_EDGAR,000141036826020768,NPORT_P,1969180,000141036826020768,,,,,https://www.sec.gov/Archives/edgar/data/1969180/000141036826020768/primary_doc.xml,xml,13bcadce79d829d179a2506669be7c0a3cf9ee50c3a4a4488cdc3e5f56afa7d9,,,,Schedule_Inv,NPORT_P,NONE,MULTI_LEVEL,PKG-COLLER-SECONDARIES,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-023,SEC_EDGAR,000121390026057349,Secondary_Sale_RFP,1969180,000121390026057349,,,,,https://www.sec.gov/Archives/edgar/data/1969180/000121390026057349/ea0289481-01_sctoi.htm,html,f63d2301d4bea1357e0f4c1b3b52378bb843e6f3bcc52e2a168f13c8032c5dab,,,,Institutional_Report,Secondary_Sale_RFP,LP_LED,FUND_INTEREST,PKG-COLLER-SECONDARIES,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-024,SEC_EDGAR,000110465926070470,N_CSR,1876006,000110465926070470,,,,,https://www.sec.gov/Archives/edgar/data/1876006/000110465926070470/tm2616630d1_ncsr.htm,html,d475b60990691533b47b7cabb01753ec2b51d3fa318a39e0c0743ccce130f839,,,,Financials,N_CSR,NONE,MULTI_LEVEL,PKG-ARES-PMF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-025,SEC_EDGAR,000104916926000700,NPORT_EX,1876006,000104916926000700,,,,,https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/fp0097777_nportex.htm,html,55feeaac338b7cd8d8411a25f5e1910751882097a94816c61f12202d95146d32,,,,Schedule_Inv,NPORT_EX,NONE,MULTI_LEVEL,PKG-ARES-PMF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-026,SEC_EDGAR,000104916926000700,NPORT_P,1876006,000104916926000700,,,,,https://www.sec.gov/Archives/edgar/data/1876006/000104916926000700/primary_doc.xml,xml,2fcfebf6af589fc4f0ce48ff81ec9d546f7ecb7d081ffd031335632407ba2ae8,,,,Schedule_Inv,NPORT_P,NONE,MULTI_LEVEL,PKG-ARES-PMF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-027,SEC_EDGAR,000110465926022851,Secondary_Sale_RFP,1876006,000110465926022851,,,,,https://www.sec.gov/Archives/edgar/data/1876006/000110465926022851/tm267622d1_sctoi.htm,html,d6b9f17aae6eb3179e0d3ac9f1574191970801669cf37456f0548e0066ec2f16,,,,Institutional_Report,Secondary_Sale_RFP,LP_LED,FUND_INTEREST,PKG-ARES-PMF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-028,SEC_EDGAR,000121390026066804,N_CSR,1803491,000121390026066804,,,,,https://www.sec.gov/Archives/edgar/data/1803491/000121390026066804/ea0291054-01_ncsr.htm,html,f601ea04a192df1e8e74def1effbbe4ae4b33de0162ecda39172dbf7bd535eda,,,,Financials,N_CSR,NONE,MULTI_LEVEL,PKG-HL-PAF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-029,SEC_EDGAR,000119312526373881,NPORT_EX,1803491,000119312526373881,,,,,https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/hlpafsoi6302026.htm,html,22d8c60c5391827f0e754c45fca1bd59696ad90631a235e913c986953fb09eb4,,,,Schedule_Inv,NPORT_EX,NONE,MULTI_LEVEL,PKG-HL-PAF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-030,SEC_EDGAR,000119312526373881,NPORT_P,1803491,000119312526373881,,,,,https://www.sec.gov/Archives/edgar/data/1803491/000119312526373881/primary_doc.xml,xml,f4b97047dc1343cbecc957d3d6df373d1b65d4f475ca6c41a6ab93ea49329a25,,,,Schedule_Inv,NPORT_P,NONE,MULTI_LEVEL,PKG-HL-PAF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
,EXPDOC-031,SEC_EDGAR,000121390026013125,Secondary_Sale_RFP,1803491,000121390026013125,,,,,https://www.sec.gov/Archives/edgar/data/1803491/000121390026013125/ea0274415-01_sctoi.htm,html,b27280cb870bba1e55c851ea08f95f5fa65ae7f7359af55fda080b644cb657f6,,,,Institutional_Report,Secondary_Sale_RFP,LP_LED,FUND_INTEREST,PKG-HL-PAF,,FINAL,NOT_APPLICABLE,PUBLIC,PUBLIC,PUBLIC_REDISTRIBUTABLE,NONE,,,,HOLD,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
