"source_page","final_page_status","final_expected_observation_count","reason"
"15","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: completed accredited-investor and qualified-purchaser questions. The dollar thresholds printed here belong to the qualification tests themselves, and qualification questionnaires and representations are excluded for this document type; none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"16","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: completed accredited-investor and qualified-purchaser questions. The dollar thresholds printed here belong to the qualification tests themselves, and qualification questionnaires and representations are excluded for this document type; none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"17","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: completed accredited-investor and qualified-purchaser questions. The dollar thresholds printed here belong to the qualification tests themselves, and qualification questionnaires and representations are excluded for this document type; none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"18","REFERENCE_ONLY","0","Section 4, the definitions of 'Investments' and related terms used by the qualified-purchaser questions. Definitions. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"19","REFERENCE_ONLY","0","Continuation of the Section 4 definitions, including the valuation rule and its dollar thresholds. Definitions, and the amounts printed are part of the definition rather than facts about this subscription. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"20","REFERENCE_ONLY","0","The Schedule K-1 electronic delivery consent and its disclosure list. The consent line is unsigned and unmarked, and the disclosures are boilerplate. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"21","ELIGIBLE_DATA_EXTRACTED","1","Counted off page-021.png: the questionnaire is executed here and dated 6/25/14 on the Date rule, which is one execution_date record. The purchaser's name above it has no whitelisted category, and the bank and wire lines below it are unfilled and excluded in any case. Both lanes reported zero; the TXT for this scanned page OCRs the date as '125l1y', which is why."
"22","REFERENCE_ONLY","0","Cover and instructions for Annex A-1, which applies only to a purchaser that selected question 3.3(k). This purchaser selected 3.3(h) and (i), so the annex does not apply and is unfilled. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"23","REFERENCE_ONLY","0","Annex A-1 equity-owner questions, unfilled because the annex does not apply to this purchaser, and asking for personal identifiers that are excluded in any case. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"24","REFERENCE_ONLY","0","Continuation of the unfilled Annex A-1 equity-owner questions. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"25","REFERENCE_ONLY","0","Continuation of the unfilled Annex A-1 equity-owner questions; the income thresholds printed are part of the unanswered test. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"26","REFERENCE_ONLY","0","Cover and instructions for Annex A-2, which applies only to a purchaser that selected question 3.4(e). It does not apply here and is unfilled. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"27","REFERENCE_ONLY","0","Annex A-2 beneficial-owner questions and their definitions, unfilled, and asking for excluded personal identifiers. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"28","REFERENCE_ONLY","0","Continuation of the unfilled Annex A-2 beneficial-owner questions. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"29","ELIGIBLE_DATA_EXTRACTED","3","Counted off page-029.png: the operative subscription clause prints three facts in allowed categories, the addressee line naming the general partner, the fund subscribed for, and that fund's Delaware organisation. Three records. A counted four and B three, but A's fourth was its misplaced document_context row, which belongs on page 1; on the observations themselves the two lanes agree and the image confirms three."
"30","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"31","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"32","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"33","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"34","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"35","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"36","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"37","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"38","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"39","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"40","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: operative provisions of the subscription agreement, including its securities-law representations, fee acknowledgements, power of attorney and tax covenants. These are substantive legal terms, but legal_term and legal_clause are not permitted families for a Subscription document, and none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"41","ELIGIBLE_DATA_EXTRACTED","5","Counted off page-041.png. Counted off the PNG: the amount subscribed, the purchaser's execution date, the amount accepted by the general partner, the general partner's acceptance date, and the general partner's own execution block. Five printed facts in allowed categories, so five records. A reported three, having missed the acceptance date and the general partner block, and counted the signed 'Date' at the wrong occurrence; B's five are the right set and neither lane's count was taken on trust."
"42","REFERENCE_ONLY","0","A divider printing only 'DUPLICATE SIGNATURE PAGE FOR SUBSCRIPTION AGREEMENT'. It carries no data of its own, but it is what establishes that page 43 is a second executed counterpart the document intends to carry and not a stray re-scan, which page 2 confirms in instruction C: there are two copies of the signature page and both are to be completed and signed. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"43","ELIGIBLE_DATA_EXTRACTED","5","Counted off page-043.png. Counted off the PNG: the amount subscribed, the purchaser's execution date, the amount accepted by the general partner, the general partner's acceptance date, and the general partner's own execution block. Five printed facts in allowed categories, so five records. A reported three, having missed the acceptance date and the general partner block, and counted the signed 'Date' at the wrong occurrence; B's five are the right set and neither lane's count was taken on trust. The five facts repeat page 41's because this is the executed duplicate counterpart announced by the divider on page 42, and they are recorded because the page is printed, completed and signed. A marked the page NO_ELIGIBLE_DATA, which no category test supports."
