"rule_id","route","file_id","pair_id","field","old_value","new_value","source_page","evidence_page","source_quote","reason"
"SR0032","01-financials","SRC152","PAIR_846E888186C97B4B3D25BFCC","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0033","01-financials","SRC152","PAIR_B76E50EC80CB639F8C9DEE9D","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0034","01-financials","SRC152","PAIR_DFD9E4597BB34CCA93496EBB","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0035","01-financials","SRC152","PAIR_47C546A123D0AC41382A438E","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0036","01-financials","SRC152","PAIR_8120FC0E3255FCA9FB144C4B","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0037","01-financials","SRC152","PAIR_0371015AAEFAEA1C8E7D48B1","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0038","01-financials","SRC152","PAIR_D95484C495955FAB5620A3C8","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0039","01-financials","SRC152","PAIR_2A39D226601726E8C5B15E71","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0040","01-financials","SRC152","PAIR_25061BE25FA89469187D5D6C","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0041","01-financials","SRC152","PAIR_43833D131836E1D3F387FD71","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0042","01-financials","SRC152","PAIR_66C3A01D724C8A0D8B8F3DCA","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0043","01-financials","SRC152","PAIR_000A78021C80D7F847643996","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0044","01-financials","SRC152","PAIR_EC7A459F0957E9B3AE04C9C0","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0045","01-financials","SRC152","PAIR_020817370422DA89D9DA3AE3","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0046","01-financials","SRC152","PAIR_44460A0C294570A9AE5F3D71","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0047","01-financials","SRC152","PAIR_5335283F367C818ABFDFEFC4","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0048","01-financials","SRC152","PAIR_56E56306370EE7A307066A39","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0049","01-financials","SRC152","PAIR_793AE84B6F56D4DCDD243DE1","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0050","01-financials","SRC152","PAIR_9CCECD12DD224E5663097531","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0051","01-financials","SRC152","PAIR_DF8019B5F1A19D0DC65C5F28","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0052","01-financials","SRC152","PAIR_20328705AA98F5F4D9A4CDB5","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0053","01-financials","SRC152","PAIR_1652E5EE269AD71633D5E986","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0054","01-financials","SRC152","PAIR_5B3090B4C7F31531C4592CE5","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0055","01-financials","SRC152","PAIR_D94CBBF45317208ED4D79FAF","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0056","01-financials","SRC152","PAIR_2762555E974E8930344F7411","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0057","01-financials","SRC152","PAIR_A57E9297D93020688D258FD5","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0058","01-financials","SRC152","PAIR_A4B80BCF0ECD6DBC2B1E7428","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0059","01-financials","SRC152","PAIR_0D6E7E3382AE9944ED4FC341","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0060","01-financials","SRC152","PAIR_76DC1B6F20609A8C5C57C63D","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0061","01-financials","SRC152","PAIR_260642E4A444FBF3FE817E51","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0062","01-financials","SRC152","PAIR_F8ECEED8E8288F7B3A68D87A","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0063","01-financials","SRC152","PAIR_66EC85D710FC7EE216724BA2","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0064","01-financials","SRC152","PAIR_D7F496EFE0433B5161FA29EF","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0065","01-financials","SRC152","PAIR_D100F13ACB8B5E850AB8600C","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0066","01-financials","SRC152","PAIR_47D7A1490CF75CA9C80B990C","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0067","01-financials","SRC152","PAIR_E7343F8AA673C08C1427E905","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0068","01-financials","SRC152","PAIR_C5AA1C6185A42F1183886651","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0069","01-financials","SRC152","PAIR_4373098D2D7265758C00A042","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0070","01-financials","SRC152","PAIR_29F6308F41FE0EAB29F9F055","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0071","01-financials","SRC152","PAIR_15C76A5EEBAAA5F9FF480EFD","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0072","01-financials","SRC152","PAIR_BA11A769FA8253E456DFEE42","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0073","01-financials","SRC152","PAIR_2CF835F261940B1A3F31D624","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0074","01-financials","SRC152","PAIR_C26EB149A297DB66EE62EE03","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0075","01-financials","SRC152","PAIR_28208FB36E8F0277A566412D","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0076","01-financials","SRC152","PAIR_E832E196533D874B0E85E490","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0077","01-financials","SRC152","PAIR_0591027CFCBA52CA51E34F10","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0078","01-financials","SRC152","PAIR_1F0E2E228EAC5FCC2A2EB1CA","value_scope","","statement_line","2","2","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0079","01-financials","SRC152","PAIR_B1D0B6257FB5531FE468363C","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0080","01-financials","SRC152","PAIR_95B72890151AF08B8E1A66F9","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0081","01-financials","SRC152","PAIR_23C1D426A668B3A09BEE57D9","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0082","01-financials","SRC152","PAIR_FF098F1A9164DE9D7A44C123","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0083","01-financials","SRC152","PAIR_16BE18AADA3084B3D5044194","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0084","01-financials","SRC152","PAIR_49C83832F62EB41C5DEF1B1B","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0085","01-financials","SRC152","PAIR_0492A7C7397F9E9A8B549338","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0086","01-financials","SRC152","PAIR_4D39EE7B4EE8A61B6CA430CA","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0087","01-financials","SRC152","PAIR_1ABBC1DF732D151D2FF44950","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0088","01-financials","SRC152","PAIR_A9EBDFBED41AD5F6C40814C5","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0089","01-financials","SRC152","PAIR_38149A94790B6E37CADE6714","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0090","01-financials","SRC152","PAIR_CC44EC72F8D01F7A37E846F1","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0091","01-financials","SRC152","PAIR_9AF3C614DF751A4013473D30","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0092","01-financials","SRC152","PAIR_A02246C05CE6FC4EE5B65B90","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0093","01-financials","SRC152","PAIR_C043B8E2F159EA859759D666","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0094","01-financials","SRC152","PAIR_C49A8B8227ABC4AF50B56A6E","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0095","01-financials","SRC152","PAIR_8168733E2A17598F8EA2CC16","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0096","01-financials","SRC152","PAIR_A632A836F41CE7FD0ED36B91","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0097","01-financials","SRC152","PAIR_AC84FE5CC8D6EE9D0F9C238B","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0098","01-financials","SRC152","PAIR_7235DF4328FFA765FA38A553","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0099","01-financials","SRC152","PAIR_F088CE0C07224085B06B0E65","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0100","01-financials","SRC152","PAIR_2A2410BCEAA889C2AAFCEE0A","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0101","01-financials","SRC152","PAIR_6633946B50D68A204D1E9405","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0102","01-financials","SRC152","PAIR_6CB71DF2369D0E3694CA4EBA","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0103","01-financials","SRC152","PAIR_70F9505AAAF2D90BBF84FCC0","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0104","01-financials","SRC152","PAIR_2EC1F2F05A81769AF7B820A3","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0105","01-financials","SRC152","PAIR_87A495B8780CC3CC427AD6D1","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0106","01-financials","SRC152","PAIR_94947D710FE232CCC8391154","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0107","01-financials","SRC152","PAIR_9CAA82F7ADA8757C5C9DEDCF","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0108","01-financials","SRC152","PAIR_578E499E42740DC3314F7961","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0109","01-financials","SRC152","PAIR_31178F8CE441A2AF7266AC24","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0110","01-financials","SRC152","PAIR_EC7A7E61AE3EBFAD49DC8912","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0111","01-financials","SRC152","PAIR_4C473976A7E91AFB762A99E1","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0112","01-financials","SRC152","PAIR_ABC040A928228E730E058258","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0113","01-financials","SRC152","PAIR_FF480810931FB6CA5F865A98","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0114","01-financials","SRC152","PAIR_F5DF06150E05FC5BF6ABE9F8","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0115","01-financials","SRC152","PAIR_F63BB68866B62042D7EA6B0D","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0116","01-financials","SRC152","PAIR_31F3520E421721B603519927","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0117","01-financials","SRC152","PAIR_F0872DF1B5CBFD64FE5BC1BA","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0118","01-financials","SRC152","PAIR_8C3B6D5FD55266F7A7FAF192","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0119","01-financials","SRC152","PAIR_3AC0558F7EFAADE71A7FA140","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0120","01-financials","SRC152","PAIR_827ABAF4338BFBAD1B7A48DC","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0121","01-financials","SRC152","PAIR_E780D4F228DB8213053577FE","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0122","01-financials","SRC152","PAIR_9A01E08351374D69ADE28819","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0123","01-financials","SRC152","PAIR_7CDAE70A66C010EB9E31CAC6","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0124","01-financials","SRC152","PAIR_4C4AE714F5395C4FA1C14AE4","value_scope","","statement_line","3","3","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0125","01-financials","SRC152","PAIR_43A82345586755E0A4BC4495","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0126","01-financials","SRC152","PAIR_E079C12A033AF4C893FBDCED","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0127","01-financials","SRC152","PAIR_50EC2D9A7A52B6BF7D885F1B","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0128","01-financials","SRC152","PAIR_66C28C28815A82EE49AE34D6","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0129","01-financials","SRC152","PAIR_AF9089816185361F84AF181A","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0130","01-financials","SRC152","PAIR_5EE9CE822D19A8F32AF88D0B","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0131","01-financials","SRC152","PAIR_8DF3CF7967B2C9EBCF7CFAAE","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0132","01-financials","SRC152","PAIR_58EC619BD184AAB6FAA09D96","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0133","01-financials","SRC152","PAIR_D7B421419B9C1BBC8D134C89","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0134","01-financials","SRC152","PAIR_06E658663E57DD63CDAD6F56","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0135","01-financials","SRC152","PAIR_BB1F9288B37B1513CE3E59B9","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0136","01-financials","SRC152","PAIR_613EB635ECECE2817C13B11E","value_scope","","statement_line","4","4","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0137","01-financials","SRC152","PAIR_FAA83C337A580F6C24AA6BAE","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0138","01-financials","SRC152","PAIR_ED5F0049489226C31D189762","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0139","01-financials","SRC152","PAIR_112346924D710FD3DB206E96","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0140","01-financials","SRC152","PAIR_ACF4A837612A88579CBF121B","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0141","01-financials","SRC152","PAIR_5A18F1BF8A1A0F8AC62ED5A1","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0142","01-financials","SRC152","PAIR_493EEB1B8DAA404408974025","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0143","01-financials","SRC152","PAIR_DF02556B30DF70FB8F0FA305","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0144","01-financials","SRC152","PAIR_8A66CC4D4F253C8B0A9855A1","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0145","01-financials","SRC152","PAIR_95CD161877A9A5C85FC22DFF","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0146","01-financials","SRC152","PAIR_2C7DC4FD60BA32E319F434E2","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0147","01-financials","SRC152","PAIR_A13401B4A8D2A189DAB1D875","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0148","01-financials","SRC152","PAIR_59D231A95AD570C18E592150","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0149","01-financials","SRC152","PAIR_DA92DF274448A5D4412EB53D","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0150","01-financials","SRC152","PAIR_12062E92D0DB38D29C5B9D36","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0151","01-financials","SRC152","PAIR_F0F3469A887918DCC5090DF8","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0152","01-financials","SRC152","PAIR_D3468F76254092F03B49163E","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0153","01-financials","SRC152","PAIR_5C61CAEF70C7308A8B266950","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0154","01-financials","SRC152","PAIR_9329B638CC9B543EFEE6CAB6","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0155","01-financials","SRC152","PAIR_B2D421203883490B95B5A8EB","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0156","01-financials","SRC152","PAIR_6A0699E399999327264CCE46","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0157","01-financials","SRC152","PAIR_9151C53DE5ADC1900BD8544A","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0158","01-financials","SRC152","PAIR_9B3F9B9CFA4A96631677EE5D","value_scope","","statement_line","5","5","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0159","01-financials","SRC377","PAIR_EC0A3D46EFC8713C937BB8BE","value_scope","","statement_line","3","3","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0160","01-financials","SRC377","PAIR_2F9DDEA0DA2D0CF0AC3ACAB8","value_scope","","statement_line","3","3","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0161","01-financials","SRC377","PAIR_7DC2D503278D735BB40A8562","value_scope","","statement_line","4","4","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0162","01-financials","SRC377","PAIR_0BA785D4F791993AE8AD058B","value_scope","","statement_line","4","4","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0163","01-financials","SRC377","PAIR_144F888FD20F4AD825D822AD","value_scope","","statement_line","4","4","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0164","01-financials","SRC377","PAIR_394764205132A95492D607D5","value_scope","","statement_line","4","4","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0165","01-financials","SRC377","PAIR_A4BE0FDCF105D0A37D9B53D2","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0166","01-financials","SRC377","PAIR_E9B84856BD411991CAA7DCB9","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0167","01-financials","SRC377","PAIR_0C6C7421C9A5DA332F94439B","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0168","01-financials","SRC377","PAIR_018F363EBA5ECBF2BD35183C","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0169","01-financials","SRC377","PAIR_47349B1ACC4639EAFD6E7FFB","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0170","01-financials","SRC377","PAIR_CA66B2F14DE2D16CEB62C068","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0171","01-financials","SRC377","PAIR_3EAD16751AC65AFED84188E1","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
"SR0172","01-financials","SRC377","PAIR_F2DBE72F0FDDFFD75741CAAB","value_scope","","statement_line","8","8","BILL & MELINDA GATES FOUNDATION TRUST","The statement or note reports this line and its valuation column separately."
