change_id,stage_id,target_table,target_record_id,fund_id,field,old_value,new_value,change_type,source_observation_id,source_document_id,source_page,source_table,source_quote,source_printed_value,rule_id,matrix_status,notes
AC_14a441144e33f65471a5,fund-constant-attributes,fund_master,FUND_0013,FUND_0013,vintage_year,2000,2000,BASELINE_CONFIRMED,11c83cbdced63151f7ff,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66",2000,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_16f7026ba4088142fc00,fund-constant-attributes,fund_master,FUND_0014,FUND_0014,strategy,Growth Equity,Growth Equity,BASELINE_CONFIRMED,45be14bfae33565f0070,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Enlightened Hospitality Investments, L.P. 2017 Growth Equity $5,000,000 $4,572,752 $441,466 $999,656 $6,450,024 1.63 23.03",Growth Equity,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_6e4c65fea328827679a1,fund-constant-attributes,fund_master,FUND_0014,FUND_0014,vintage_year,2017,2017,BASELINE_CONFIRMED,45be14bfae33565f0070,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Enlightened Hospitality Investments, L.P. 2017 Growth Equity $5,000,000 $4,572,752 $441,466 $999,656 $6,450,024 1.63 23.03",2017,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_89c2dfc6216b2898df57,fund-constant-attributes,fund_master,FUND_0015,FUND_0015,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,1a67713cbc42c069766a,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_83ce48b63de02dcd58cc,fund-constant-attributes,fund_master,FUND_0015,FUND_0015,vintage_year,2009,2009,BASELINE_CONFIRMED,1a67713cbc42c069766a,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Epic Venture Fund IV, L.P. 2009 Venture Capital $5,000,000 $4,958,865 $99,500 $10,035,885 $1,261,542 2.28 13.17",2009,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_e8bad6bf1861216d2a26,fund-constant-attributes,fund_master,FUND_0016,FUND_0016,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,03d170a824aab26704a7,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Epic Venture Fund V, L.P. 2016 Venture Capital $7,000,000 $5,808,912 $1,191,088 $6,137,035 $4,319,631 1.80 21.79",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_3db7a4ea6ec69813a7e0,fund-constant-attributes,fund_master,FUND_0016,FUND_0016,vintage_year,2016,2016,BASELINE_CONFIRMED,03d170a824aab26704a7,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Epic Venture Fund V, L.P. 2016 Venture Capital $7,000,000 $5,808,912 $1,191,088 $6,137,035 $4,319,631 1.80 21.79",2016,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_71e5aebf6738d18d4778,fund-constant-attributes,fund_master,FUND_0017,FUND_0017,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,678fa2dbde2f5b159203,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Epic Ventures VI, L.P. 2020 Venture Capital $5,000,000 $903,410 $4,096,500 $0 $824,129 NM NM",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_ae4d8140b0cf3fe8b17f,fund-constant-attributes,fund_master,FUND_0017,FUND_0017,vintage_year,2020,2020,BASELINE_CONFIRMED,678fa2dbde2f5b159203,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Epic Ventures VI, L.P. 2020 Venture Capital $5,000,000 $903,410 $4,096,500 $0 $824,129 NM NM",2020,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_a73e565ee052582c11f0,fund-constant-attributes,fund_master,FUND_0018,FUND_0018,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,1087c30259abe5d53892,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_6f902f3fcb15c2da5c5e,fund-constant-attributes,fund_master,FUND_0018,FUND_0018,vintage_year,2004,2004,BASELINE_CONFIRMED,1087c30259abe5d53892,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Fluke Venture Partners II, L.P. 2004 Venture Capital $2,000,000 $2,000,000 $0 $1,200,000 $0 0.60 -4.47",2004,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_fb39ef7f9fcc096dc96c,fund-constant-attributes,fund_master,FUND_0019,FUND_0019,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,129276a7c71afb0f232d,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Founders' Co-op III, L.P. 2014 Venture Capital $2,500,000 $2,500,000 $0 $1,745,853 $5,706,239 2.98 23.84",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_acba93f551ae4ecfc43a,fund-constant-attributes,fund_master,FUND_0019,FUND_0019,vintage_year,2014,2014,BASELINE_CONFIRMED,129276a7c71afb0f232d,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Founders' Co-op III, L.P. 2014 Venture Capital $2,500,000 $2,500,000 $0 $1,745,853 $5,706,239 2.98 23.84",2014,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_3ff7ce4ccc638dec2087,fund-constant-attributes,fund_master,FUND_0020,FUND_0020,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,37f0bab418cc04e2677b,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Founders’ Co-op IV, L.P. 2018 Venture Capital $2,500,000 $2,000,000 $500,000 $2,829,954 $3,647,426 3.24 75.44",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_b83b54d21cb753c1e421,fund-constant-attributes,fund_master,FUND_0020,FUND_0020,vintage_year,2018,2018,BASELINE_CONFIRMED,37f0bab418cc04e2677b,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Founders’ Co-op IV, L.P. 2018 Venture Capital $2,500,000 $2,000,000 $500,000 $2,829,954 $3,647,426 3.24 75.44",2018,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_4cdb9b20f77f7f624ed7,fund-constant-attributes,fund_master,FUND_0021,FUND_0021,strategy,Growth Equity,Growth Equity,BASELINE_CONFIRMED,270581bec99821dd5405,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Goode Partners Consumer Fund III, L.P. 2016 Growth Equity $5,000,000 $6,872,983 $38,075 $1,891,034 $6,074,126 1.16 6.44",Growth Equity,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_39ccf4ce537ec4e6cbb4,fund-constant-attributes,fund_master,FUND_0021,FUND_0021,vintage_year,2016,2016,BASELINE_CONFIRMED,270581bec99821dd5405,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Goode Partners Consumer Fund III, L.P. 2016 Growth Equity $5,000,000 $6,872,983 $38,075 $1,891,034 $6,074,126 1.16 6.44",2016,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_a8499305228fc1b91985,fund-constant-attributes,fund_master,FUND_0022,FUND_0022,strategy,Infrastructure,Infrastructure,BASELINE_CONFIRMED,0556b08ff5a66ae8c417,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Grain Communications Opportunity Fund III, L.P. 2021 Infrastructure $5,000,000 $1,813,042 $3,188,225 $644 $1,577,891 NM NM",Infrastructure,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_714c6cf1fa38a0667042,fund-constant-attributes,fund_master,FUND_0022,FUND_0022,vintage_year,2021,2021,BASELINE_CONFIRMED,0556b08ff5a66ae8c417,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Grain Communications Opportunity Fund III, L.P. 2021 Infrastructure $5,000,000 $1,813,042 $3,188,225 $644 $1,577,891 NM NM",2021,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_da8740a227055a53f491,fund-constant-attributes,fund_master,FUND_0023,FUND_0023,strategy,Natural Resources,Natural Resources,BASELINE_CONFIRMED,0341b750c640d5d9b689,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Homestead Capital USA Farmland Fund III, L.P. 2018 Natural Resources $7,000,000 $3,656,797 $3,345,976 $84,954 $3,597,627 1.01 0.87",Natural Resources,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_b91e7a5b3fb8e01f67e1,fund-constant-attributes,fund_master,FUND_0023,FUND_0023,vintage_year,2018,2018,BASELINE_CONFIRMED,0341b750c640d5d9b689,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Homestead Capital USA Farmland Fund III, L.P. 2018 Natural Resources $7,000,000 $3,656,797 $3,345,976 $84,954 $3,597,627 1.01 0.87",2018,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_7cf3e3cd0f0a199c4d06,fund-constant-attributes,fund_master,FUND_0024,FUND_0024,strategy,Buyout,Buyout,BASELINE_CONFIRMED,07a0598c8efbb6b10751,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"K1 Special Opportunities Fund, L.P. 2016 Buyout $5,000,000 $5,059,928 $216,153 $752,687 $14,352,618 2.99 27.63",Buyout,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_25b4936357514117d804,fund-constant-attributes,fund_master,FUND_0024,FUND_0024,vintage_year,2016,2016,BASELINE_CONFIRMED,07a0598c8efbb6b10751,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"K1 Special Opportunities Fund, L.P. 2016 Buyout $5,000,000 $5,059,928 $216,153 $752,687 $14,352,618 2.99 27.63",2016,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_dfe7e016f726ab2e4817,fund-constant-attributes,fund_master,FUND_0025,FUND_0025,strategy,Buyout,Buyout,BASELINE_CONFIRMED,14afa673ff176833ad29,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"K4 Private Investors, L.P. 2018 Buyout $10,000,000 $7,894,837 $2,560,559 $455,404 $13,286,105 1.74 25.87",Buyout,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_d35b32b6d9a3f774a2bc,fund-constant-attributes,fund_master,FUND_0025,FUND_0025,vintage_year,2018,2018,BASELINE_CONFIRMED,14afa673ff176833ad29,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"K4 Private Investors, L.P. 2018 Buyout $10,000,000 $7,894,837 $2,560,559 $455,404 $13,286,105 1.74 25.87",2018,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_10eedc4a735a093067df,fund-constant-attributes,fund_master,FUND_0026,FUND_0026,strategy,Buyout,Buyout,BASELINE_CONFIRMED,391b48c81576ce4b05f4,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"K5 Private Investors, L.P. 2020 Buyout $5,000,000 $1,238,751 $3,761,249 $0 $1,262,981 NM NM",Buyout,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_25f415b82a506890ed91,fund-constant-attributes,fund_master,FUND_0026,FUND_0026,vintage_year,2020,2020,BASELINE_CONFIRMED,391b48c81576ce4b05f4,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"K5 Private Investors, L.P. 2020 Buyout $5,000,000 $1,238,751 $3,761,249 $0 $1,262,981 NM NM",2020,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_bf6b248361da8694a616,fund-constant-attributes,fund_master,FUND_0027,FUND_0027,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,5f944cac3f40a7b5a4f2,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_7712e1fb0c5b4ef9d039,fund-constant-attributes,fund_master,FUND_0027,FUND_0027,vintage_year,2005,2005,BASELINE_CONFIRMED,5f944cac3f40a7b5a4f2,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Madrona Venture Fund III, L.P. 2005 Venture Capital $5,000,000 $4,950,000 $50,000 $34,267,275 $1,512,027 7.23 23.59",2005,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_ce6528af81c38ce7baa9,fund-constant-attributes,fund_master,FUND_0028,FUND_0028,strategy,Growth Equity,Growth Equity,BASELINE_CONFIRMED,0574e8953a8c10ac2650,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Montlake Capital II, L.P. 2007 Growth Equity $5,000,000 $4,750,000 $0 $9,986,136 $0 2.10 11.32",Growth Equity,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_9d48a9ff7b2d03225564,fund-constant-attributes,fund_master,FUND_0028,FUND_0028,vintage_year,2007,2007,BASELINE_CONFIRMED,0574e8953a8c10ac2650,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Montlake Capital II, L.P. 2007 Growth Equity $5,000,000 $4,750,000 $0 $9,986,136 $0 2.10 11.32",2007,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_1c557bde26049a98c5c6,fund-constant-attributes,fund_master,FUND_0029,FUND_0029,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,330d57cbce7aa1868ad7,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Northwest Technology Ventures, L.P. 2002 Venture Capital $14,000,000 $13,997,557 $0 $3,599,655 $1,442,315 0.36 -13.06",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_0b2df56ee80e3f229c99,fund-constant-attributes,fund_master,FUND_0029,FUND_0029,vintage_year,2002,2002,BASELINE_CONFIRMED,330d57cbce7aa1868ad7,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Northwest Technology Ventures, L.P. 2002 Venture Capital $14,000,000 $13,997,557 $0 $3,599,655 $1,442,315 0.36 -13.06",2002,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_f81b0407be96670ca502,fund-constant-attributes,fund_master,FUND_0030,FUND_0030,strategy,Special Situations,Special Situations,BASELINE_CONFIRMED,158c0c163abfecbb1f5d,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2011 2011 Special Situations $145,000 $145,000 $0 $2,565 $142,435 1.00 0.00",Special Situations,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_813fba218d57ea58283e,fund-constant-attributes,fund_master,FUND_0030,FUND_0030,vintage_year,2011,2011,BASELINE_CONFIRMED,158c0c163abfecbb1f5d,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2011 2011 Special Situations $145,000 $145,000 $0 $2,565 $142,435 1.00 0.00",2011,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_2c806a56c1574fe927e5,fund-constant-attributes,fund_master,FUND_0031,FUND_0031,strategy,Special Situations,Special Situations,BASELINE_CONFIRMED,1b3030d78c3370fcf3ed,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2012 2012 Special Situations $175,000 $175,000 $0 $755 $174,245 1.00 0.00",Special Situations,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_d9c31ab8cc40d1d30207,fund-constant-attributes,fund_master,FUND_0031,FUND_0031,vintage_year,2012,2012,BASELINE_CONFIRMED,1b3030d78c3370fcf3ed,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2012 2012 Special Situations $175,000 $175,000 $0 $755 $174,245 1.00 0.00",2012,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_d5391dc1930835019e0e,fund-constant-attributes,fund_master,FUND_0032,FUND_0032,strategy,Special Situations,Special Situations,BASELINE_CONFIRMED,17250fbc75907753cb5c,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2013 2013 Special Situations $222,250 $222,250 $0 $0 $222,250 1.00 0.00",Special Situations,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_303da8e70b6419488211,fund-constant-attributes,fund_master,FUND_0032,FUND_0032,vintage_year,2013,2013,BASELINE_CONFIRMED,17250fbc75907753cb5c,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2013 2013 Special Situations $222,250 $222,250 $0 $0 $222,250 1.00 0.00",2013,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_7b5443d85231930cc198,fund-constant-attributes,fund_master,FUND_0033,FUND_0033,strategy,Special Situations,Special Situations,BASELINE_CONFIRMED,352be0b9b6e14b9ae06e,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2014 2014 Special Situations $225,000 $225,000 $0 $0 $225,000 1.00 0.00",Special Situations,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_a31e46dfff984022704c,fund-constant-attributes,fund_master,FUND_0033,FUND_0033,vintage_year,2014,2014,BASELINE_CONFIRMED,352be0b9b6e14b9ae06e,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Oregon Angel Conferences 2014 2014 Special Situations $225,000 $225,000 $0 $0 $225,000 1.00 0.00",2014,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
