source_holding_id,source_document_id,source_page,holding_label,subject_type,refusal_code,refusal_reason,owner_id,source_observation_ids
41df2b4751ff4c021cb7,SRC407,7,Secondary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,4ee72e89426d7906ea1f
46b1bc050eac2f0920f6,SRC407,7,Total Private Equity Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,37d635364287ae235d73;5d5242d7a067a8632e54
48dfef4f253fb66af723,SRC407,11,Total Other Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,604d74f23b8557aca6fb;80bdefa61685df543b62
514639b367a3f06953ab,SRC407,1,Total Direct Investments/Co-Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,0e92519f2be08467f2b3;fc7b7ce1aa9a0f1d0da8
58dfa69e9c0939eae940,SRC356,5,Total,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_FUND_1060,c47de9309fb59ae68732
58fe285923d538b0a0dd,SRC407,1,Total Primary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,25b401b43c93693d2e0f;97c0f6be6bc7dde57584
5d5d9cb6ff257f746ebe,SRC377,12,Futures,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,4cb421a5e124b66432dc;96eecd78cb078a3edfd9
760db62a0da52a02521f,SRC377,12,Forward contracts,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,7933fb7851e842c31229;e01813042a9c03022d07
7a5e8648694675922879,SRC407,7,Private Equity Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,0a961609d5a5b1d03b78
8c9e4f0f9b48f8b4cba1,SRC377,12,Forward contracts,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,aea527f1709566aec62a;e6386e513dfe561e44e3
8f3e1667f2fbbe39689a,SRC407,7,Total Money Market Funds,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,6156ae41895a79acf339
9075b27f05e09e4d4f62,SRC407,11,Total Investments in Securities,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,3497bcd9c07deaf63949;afd75e9a7b109f05edc7
a17867c116f7f735c3f3,SRC407,11,Equity Forward Contract,investment,NON_POSITION_SUMMARY,A statement or hierarchy summary remains evidence and is not an additional position.,OWNER_POMONA_INVESTMENT_FUND,0e26e2931fa5e971dc63;53fa47808dda027a79bc
aee5d3ba1d204dbc17c3,SRC407,1,Direct Investments/Co-Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,50b8122a4004f0b197d8
ba7628bcef466385f3d8,SRC407,7,Total Foreign Currency Forward Contracts,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,b202c9313a6f626dda25
c5b65df2730658aee6c7,SRC407,1,Early Secondary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,83ff1b206a35bd77c373
ca50a7e0ed93e40bdee6,SRC407,7,Money Market Funds,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,4aade72fc0ff0fe2f37f
cf5a141ca91058973663,SRC377,12,Futures,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,c01ecb1035beb9e39c9d;f12b3c3fc134f6e13b08
e4d356ec06dfd7115f40,SRC407,11,Foreign Currency Forward Contract,investment,NON_POSITION_SUMMARY,A statement or hierarchy summary remains evidence and is not an additional position.,OWNER_POMONA_INVESTMENT_FUND,e6b6241d37d215556988;ec4cad831e45f376a228
e63378168dc1644d2416,SRC377,12,Swaps,asset_class,NON_INVESTEE_AGGREGATE,An asset-class row is an aggregate and not one investee position.,OWNER_GATES_FOUNDATION_TRUST,436526862951dc18803f;70dc1252465227fe1f49
e82e85b056c899ad3daf,SRC407,7,Short-Term Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,8df05121a61c2bdb7f47
f559e7b77bf22b938313,SRC407,1,Total Early Secondary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,68e4f854d116c4964484;d90cc62d89b638961bf7
fcfab3fa6aebf51140d4,SRC407,1,Primary Investments,portfolio,NON_INVESTEE_AGGREGATE,A portfolio row is an aggregate and not one investee position.,OWNER_POMONA_INVESTMENT_FUND,c0ef47b17eb7104888d7
