observation_id,document_id,source_page,source_row_label,source_column_label,fund_id,metric_category,period_column,value_kind,value_raw,finding
2abdb1c425e92229fca3,SRC457,10,"Ecosystem Investment Partners IV, L.P.",PIC,FUND_1037,paid_in_capital,paid_in_capital_itd,number,0.14,"category paid_in_capital expects a currency value, page printed number"
2cf451b156ac49efa8f1,SRC457,10,"Bluescape Energy Recapitalization and Restructuring Fund IV, L.P.",PIC,FUND_1028,paid_in_capital,paid_in_capital_itd,number,0.69,"category paid_in_capital expects a currency value, page printed number"
3295a509629c8710722c,SRC457,9,"Crow Holdings Realty Partners VII, L.P.",PIC,FUND_0455,paid_in_capital,paid_in_capital_itd,number,0.98,"category paid_in_capital expects a currency value, page printed number"
3382e80191f611f4fd8c,SRC457,10,"Lime Rock Resources III, L.P.",PIC,FUND_1040,paid_in_capital,paid_in_capital_itd,number,1.05,"category paid_in_capital expects a currency value, page printed number"
339027acad3e40fe1950,SRC457,9,"Crow Holdings Realty Partners VI, L.P.",PIC,FUND_1032,paid_in_capital,paid_in_capital_itd,number,0.95,"category paid_in_capital expects a currency value, page printed number"
34d505a5ae1de644435e,SRC457,9,"Crow Holdings Realty Partners IX, L.P.",PIC,FUND_0454,paid_in_capital,paid_in_capital_itd,number,0.00,"category paid_in_capital expects a currency value, page printed number"
34fdec9ba288709ab645,SRC457,10,"Blue Road Capital, L.P.",PIC,FUND_0367,paid_in_capital,paid_in_capital_itd,number,1.73,"category paid_in_capital expects a currency value, page printed number"
375e69acdca1f5b21958,SRC457,9,"RAM Realty Partners IV, L.P.",PIC,FUND_1044,paid_in_capital,paid_in_capital_itd,number,1.12,"category paid_in_capital expects a currency value, page printed number"
3b4698c1840700115b98,SRC457,10,"Conservation Forestry Capital Fund II, L.P.",PIC,FUND_1030,paid_in_capital,paid_in_capital_itd,number,1.10,"category paid_in_capital expects a currency value, page printed number"
3f40952ace9e34fb79d2,SRC457,10,"Water Property Investor II, L.P.",PIC,FUND_0999,paid_in_capital,paid_in_capital_itd,number,0.66,"category paid_in_capital expects a currency value, page printed number"
4028aa51b711f70fd17f,SRC457,9,"TPG Real Estate Partners III, L.P.",PIC,FUND_0970,paid_in_capital,paid_in_capital_itd,number,0.23,"category paid_in_capital expects a currency value, page printed number"
405aea12f63e9e9478ed,SRC457,10,"Eastern Timberland Opportunities III, L.P.",PIC,FUND_1034,paid_in_capital,paid_in_capital_itd,number,0.27,"category paid_in_capital expects a currency value, page printed number"
40a626ae3c5ae8e8eafa,SRC457,9,"Realterm Logistics Fund III, L.P.",PIC,FUND_1047,paid_in_capital,paid_in_capital_itd,number,0.00,"category paid_in_capital expects a currency value, page printed number"
431df773a4b992979c07,SRC457,9,"Lone Star Real Estate Fund VI, L.P.",PIC,FUND_0731,paid_in_capital,paid_in_capital_itd,number,0.04,"category paid_in_capital expects a currency value, page printed number"
52b638f9bc8d2d009cd8,SRC457,9,RAPM NM Secondary Opportunity Fund L.P.,PIC,FUND_0842,paid_in_capital,paid_in_capital_itd,number,0.96,"category paid_in_capital expects a currency value, page printed number"
64f3ff14a1564bd1e252,SRC457,9,RAPM-NMERB Co-Investment Fund L.P.,PIC,FUND_0843,paid_in_capital,paid_in_capital_itd,number,0.98,"category paid_in_capital expects a currency value, page printed number"
6ce3574c816e03e7a62d,SRC457,10,"Water Property Investor, L.P.",PIC,FUND_1000,paid_in_capital,paid_in_capital_itd,number,1.01,"category paid_in_capital expects a currency value, page printed number"
715a58ea22f05b85704b,SRC457,9,"RAM Realty Partners V, L.P.",PIC,FUND_1045,paid_in_capital,paid_in_capital_itd,number,0.21,"category paid_in_capital expects a currency value, page printed number"
71d2e5ba3370592441d3,SRC457,10,"Five Point Energy Fund II, L.P.",PIC,FUND_0502,paid_in_capital,paid_in_capital_itd,number,0.78,"category paid_in_capital expects a currency value, page printed number"
7253fe53cf3c2cd923c7,SRC457,10,"Ecosystem Investment Partners II, L.P.",PIC,FUND_1035,paid_in_capital,paid_in_capital_itd,number,1.01,"category paid_in_capital expects a currency value, page printed number"
74768a528a8087a9bad2,SRC457,10,"Folium Agriculture Fund I, L.P.",PIC,FUND_1038,paid_in_capital,paid_in_capital_itd,number,0.94,"category paid_in_capital expects a currency value, page printed number"
7673b7decf04d94f0c10,SRC457,9,U.S. Value Income REIT Strategy,PIC,FUND_0978,paid_in_capital,paid_in_capital_itd,number,1.04,"category paid_in_capital expects a currency value, page printed number"
76e4a560a3ebde650178,SRC457,9,"Realterm Logistics Fund II, L.P.",PIC,FUND_1046,paid_in_capital,paid_in_capital_itd,number,1.02,"category paid_in_capital expects a currency value, page printed number"
78180483a672df8dfc84,SRC457,9,"Kildare European Partners II, L.P.",PIC,FUND_0682,paid_in_capital,paid_in_capital_itd,number,0.71,"category paid_in_capital expects a currency value, page printed number"
7c0d6c1ca328e59b797c,SRC457,10,"Bluescape Energy Recapitalization and Restructuring Fund III, L.P.",PIC,FUND_1027,paid_in_capital,paid_in_capital_itd,number,1.14,"category paid_in_capital expects a currency value, page printed number"
8310569ed1604bd2a20a,SRC457,9,"Rockpoint Real Estate Fund V, L.P.",PIC,FUND_0869,paid_in_capital,paid_in_capital_itd,number,0.97,"category paid_in_capital expects a currency value, page printed number"
83288044b675ab831dbc,SRC457,9,"Edgewood Partners, L.P.",PIC,FUND_0476,paid_in_capital,paid_in_capital_itd,number,0.39,"category paid_in_capital expects a currency value, page printed number"
86ed0d9a70fce1403c81,SRC457,9,"Prudential Senior Housing Partners IV, L.P.",PIC,FUND_1041,paid_in_capital,paid_in_capital_itd,number,1.13,"category paid_in_capital expects a currency value, page printed number"
8c0c5e504d4d0d346ca9,SRC457,9,Raith NMERB Core Plus Real Estate Credit SMA,PIC,FUND_0839,paid_in_capital,paid_in_capital_itd,number,0.24,"category paid_in_capital expects a currency value, page printed number"
987a6b3a80ceadcf3bc4,SRC457,9,"Raith Real Estate Fund II, L.P.",PIC,FUND_0840,paid_in_capital,paid_in_capital_itd,number,0.59,"category paid_in_capital expects a currency value, page printed number"
a617dc31b80e6050ddc0,SRC457,10,"Five Point Energy Fund I, L.P.",PIC,FUND_0501,paid_in_capital,paid_in_capital_itd,number,1.07,"category paid_in_capital expects a currency value, page printed number"
a9bf9548ca9fd0b7f6e2,SRC457,9,"Lone Star Real Estate Fund II (U.S.), L.P.",PIC,FUND_0726,paid_in_capital,paid_in_capital_itd,number,1.00,"category paid_in_capital expects a currency value, page printed number"
ba57f034ad5e07e2e4a8,SRC457,10,"BP Natural Gas Opportunity Partners, L.P.",PIC,FUND_0372,paid_in_capital,paid_in_capital_itd,number,0.87,"category paid_in_capital expects a currency value, page printed number"
bbae79b5a9c0065d07a0,SRC457,9,"Kildare European Partners I, L.P.",PIC,FUND_0681,paid_in_capital,paid_in_capital_itd,number,1.16,"category paid_in_capital expects a currency value, page printed number"
c67af3d0313ea11ed58c,SRC457,10,"BP Natural Gas Opportunity Partners II, L.P.",PIC,FUND_0371,paid_in_capital,paid_in_capital_itd,number,0.11,"category paid_in_capital expects a currency value, page printed number"
c8759dfec95e8c6aae6c,SRC457,9,"Lone Star Fund VIII (U.S.), L.P.",PIC,FUND_0720,paid_in_capital,paid_in_capital_itd,number,0.98,"category paid_in_capital expects a currency value, page printed number"
c977c9a0699f76b28375,SRC457,9,"Realterm Logistics Fund, L.P.",PIC,FUND_0848,paid_in_capital,paid_in_capital_itd,number,0.98,"category paid_in_capital expects a currency value, page printed number"
c9b195047a9d1542bc68,SRC457,9,"Sares Regis Multifamily Value-Add Fund III, L.P.",PIC,FUND_1049,paid_in_capital,paid_in_capital_itd,number,0.45,"category paid_in_capital expects a currency value, page printed number"
cad5b6c8a4e59202bc4b,SRC457,9,"Hammes Partners III, L.P.",PIC,FUND_0587,paid_in_capital,paid_in_capital_itd,number,0.35,"category paid_in_capital expects a currency value, page printed number"
cd093b3e6e1ab6636bf3,SRC457,9,"Lone Star Fund X (U.S.), L.P.",PIC,FUND_0721,paid_in_capital,paid_in_capital_itd,number,0.85,"category paid_in_capital expects a currency value, page printed number"
cea3ddcec7f6dffb2ca6,SRC457,10,"Hancock GLC Farms, LLC",PIC,FUND_0591,paid_in_capital,paid_in_capital_itd,number,0.99,"category paid_in_capital expects a currency value, page printed number"
d21e76d41432cd80cd0a,SRC457,10,Halderman Farmland Separate Account,PIC,FUND_0580,paid_in_capital,paid_in_capital_itd,number,0.89,"category paid_in_capital expects a currency value, page printed number"
d81c402346fb235b0f3e,SRC457,9,"Crow Retail Fund II, L.P.",PIC,FUND_0456,paid_in_capital,paid_in_capital_itd,number,0.74,"category paid_in_capital expects a currency value, page printed number"
dcafe422350fe282d9ec,SRC457,10,"EnerVest Fund XIV, L.P.",PIC,FUND_0483,paid_in_capital,paid_in_capital_itd,number,1.06,"category paid_in_capital expects a currency value, page printed number"
eae4436f46d512944c6a,SRC457,9,"Lone Star Real Estate Fund V (U.S.), L.P.",PIC,FUND_0730,paid_in_capital,paid_in_capital_itd,number,0.47,"category paid_in_capital expects a currency value, page printed number"
eb445686b7b97ffbdb69,SRC457,10,"Eastern Timberland Opportunities II, L.P.",PIC,FUND_1033,paid_in_capital,paid_in_capital_itd,number,1.00,"category paid_in_capital expects a currency value, page printed number"
ec05aadb5310ce3c8276,SRC457,10,"Brookfield Brazil Timber Fund II, L.P.",PIC,FUND_1029,paid_in_capital,paid_in_capital_itd,number,0.82,"category paid_in_capital expects a currency value, page printed number"
ec0af91aa92ccecc2c9b,SRC457,9,"Sares Regis Multifamily Value-Add Fund II, L.P.",PIC,FUND_1048,paid_in_capital,paid_in_capital_itd,number,1.46,"category paid_in_capital expects a currency value, page printed number"
ee5620ec93241c0e1f26,SRC457,9,"Raith Real Estate Fund I-A, L.P.",PIC,FUND_1043,paid_in_capital,paid_in_capital_itd,number,1.55,"category paid_in_capital expects a currency value, page printed number"
2173a93eac7486aa57c9,SRC606,2,"As of April 30, 2026",Annualized Distribution Rate,FUND_0292,income,net_income_period,percent,9.00%,"category income expects a currency value, page printed percent"
2ab484224ffde54b6425,SRC606,2,"As of January 31, 2026",Annualized Distribution Rate,FUND_0292,income,net_income_period,percent,9.50%,"category income expects a currency value, page printed percent"
371366343d2ea652874b,SRC606,2,"As of February 28, 2026",Annualized Distribution Rate,FUND_0292,income,net_income_period,percent,9.25%,"category income expects a currency value, page printed percent"
ceb826ad4501db28660a,SRC606,2,"As of March 31, 2026",Annualized Distribution Rate,FUND_0292,income,net_income_period,percent,9.00%,"category income expects a currency value, page printed percent"
