"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"38","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","EXHIBIT C","","","layout_checked|source_structures"
"39","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","COMMONWEALTH OF PENNSYLVANIA CONTRACT PROVISIONS | Exhibit D | I. Term of Contract | II. Contractor Integrity Provisions | III. Non-Discrimination/Sexual Harassment Clause | IV. Contractor Responsibility Provisions | IX. Disadvantaged Business Information | V. Assignment of Anti-Trust Claims | VI. Offset Provision | VII. Certification of Taxpayer Identification Number | VIII. The Americans With Disabilities Act | X. Information Concerning Small Businesses In Enterprise Zones | XI. Recycled Content Products Provision | XII. Hold Harmless Provision","","","layout_checked|source_structures"
"40","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","2","COMMONWEALTH CONTRACT PROVISIONS","I. TERM OF CONTRACT","legal_clause","legal_clause","expected_observation_count|source_structures"
"41","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","II. CONTRACTOR INTEGRITY PROVISIONS (August 2010)","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"42","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","II. CONTRACTOR INTEGRITY PROVISIONS (August 2010)","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"43","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","II. CONTRACTOR INTEGRITY PROVISIONS (August 2010)","","legal_term","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"44","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","IV. CONTRACTOR RESPONSIBILITY PROVISIONS (October 2006)","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"45","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","3","","IV. CONTRACTOR RESPONSIBILITY PROVISIONS (October 2006) | V. ASSIGNMENT OF ANTITRUST CLAIMS (October 2006) | VII. CERTIFICATION OF TAXPAYER IDENTIFICATION NUMBER","","legal_clause","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"46","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","IX. DISADVANTAGED BUSINESS INFORMATION (March 2010) | VIII. THE AMERICANS WITH DISABILITIES ACT (October 2006) | X. INFORMATION CONCERNING SMALL BUSINESSES IN ENTERPRISE ZONES (March 2010)","","","layout_checked|source_structures"
"47","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","X. INFORMATION CONCERNING SMALL BUSINESSES IN ENTERPRISE ZONES (March 2010) | XI. RECYCLED CONTENT PRODUCTS PROVISION | XII. HOLD HARMLESS PROVISION (November 30, 2006)","","","layout_checked|source_structures"
"48","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","EXHIBIT E","","","layout_checked|source_structures"
