wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,method,frequency,valuer,oversight,independent_review,enterprise_value,observation_ids,observation_count,unparsed_values,scale_note,collision_note
bc3e2a8fab0a471ddae2,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Share class NAV adjustment,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,"adjusted for additional issuances of stock, repurchases and class-specific expense accruals to determine the current day’s NAV",,,,,,9c53629be96a4808e3ec,1,,,
c87e6fa76e4ec320ba34,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Valuation advisor compensation basis,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,based on the number of properties and is not based on the values of properties,,,150ef17c82bca831233c,1,,,
7befb6e3381b97a78027,SRC132,06-statements-and-economics,Valuation,c5c3543f9beddb0104a3,2,INDEPENDENT APPRAISALS,INDEPENDENT APPRAISALS,Valuation advisor reporting line,1,,fund,16918998b152a1f113cd,FUND_0674,JLL Income Property Trust,JLL Income Property Trust,"LaSalle Investment Management, Inc.",,,,,,,,,,,absolute,1,,,,reports directly to JLL Income Property Trust’s majority independent board of directors,,,bd11a7d0d39f9cac2e90,1,,,
38575f40a1bac099f77e,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"July 1, 2024 Transaction Price","July 1, 2024 Transaction Price",Transaction price equals NAV per share,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,"equal to such class’s NAV per share as of May 31, 2024",,,,,,0dff67658dbcc5c2b620,1,,,
3e57e434b64897503f44,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"May 31, 2024 NAV Per Share","May 31, 2024 NAV Per Share",Board-approved valuation guidelines,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,,,,approved by our board of directors,,,15c34ad8a764e0756375,1,,,
de836e577788bec710db,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"May 31, 2024 NAV Per Share","May 31, 2024 NAV Per Share",NAV advisor responsibility,1,,service_provider,49cc356fa6d6b27240d7,MGR_0092,Advisor,Advisor,,,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,,,ultimately responsible for determining our NAV,,,,e61f85ee2f00d99be4db,1,,,
792bbfe30c3153aca547,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"May 31, 2024 NAV Per Share","May 31, 2024 NAV Per Share",NAV per share calculation,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,calculated in accordance with the valuation guidelines,,,,,,c49c3f87b03815396ed2,1,,,
db3fee85461f515fa3df,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"May 31, 2024 NAV Per Share","May 31, 2024 NAV Per Share",NAV update frequency,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,,updated as of the last calendar day of each month,,,,,736fc4f811eeed6b2e55,1,,,
de6555676c1c5ba16973,SRC247,06-statements-and-economics,NAV_Statement,ad641f10d7fd9e932f59,3,,UNTITLED_TABLE_1,Advisor assumption determination,1,,service_provider,49cc356fa6d6b27240d7,MGR_0092,Advisor,Advisor,,,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,,,assumptions are determined by the Advisor,,,,e396c0e774c303443c59,1,,,
c0acb7e464344bec6c45,SRC247,06-statements-and-economics,NAV_Statement,ad641f10d7fd9e932f59,3,,UNTITLED_TABLE_1,Assumption impact on property values,1,,reporting_entity,7cfbb56a26f14d381253,PLAN_0044,"Starwood Real Estate Income Trust, Inc.","Starwood Real Estate Income Trust, Inc.","Starwood REIT Advisors, L.L.C.",,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,would impact the calculation of the value of our property investments,,,,,,b5362fd30673ffa2c122,1,,,
928e4ebb3f934d2b0ee4,SRC247,06-statements-and-economics,NAV_Statement,ad641f10d7fd9e932f59,3,,UNTITLED_TABLE_1,Independent valuation advisor review,1,,service_provider,dfffcae54f73a7b4e88d,MGR_0107,independent valuation advisor,independent valuation advisor,,,,,,,"May 31, 2024",2024-05-31,,,,absolute,1,,,,,independent valuation advisor,,d7d3bddf6bb55eef9d7f,1,,,
