wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_structure_type,source_section,source_table,definition_keys,definition_text,applies_to,evidence_quote,observation_ids,observation_count
081ab8c9f78bbd7710db,SRC099,04-quarterly-report,Quarterly_Report,3bf2ac1796e7fbcb010e,6,FOOTNOTE,RE Performance by Investment Structure – 2Q17,RE Performance by Investment Structure – 2Q17,c,Dollar-weighted (IRR),,Dollar-weighted (IRR),d15229f329b74940ff50,1
354ee37243e01ae37044,SRC099,04-quarterly-report,Quarterly_Report,3bf2ac1796e7fbcb010e,6,FOOTNOTE,RE Performance by Investment Structure – 2Q17,RE Performance by Investment Structure – 2Q17,d,Includes Private Placement for the 10-year and Inception Periods.,,Includes Private Placement for the 10-year and Inception Periods.,b90740ded29b48db5370,1
366f9f004560ebb32923,SRC099,04-quarterly-report,Quarterly_Report,a977f857e8947787eef2,7,FOOTNOTE,Benchmark Footnotes for Performance Returns,Benchmark Footnotes for Performance Returns,1,"Comprised of NCREIF-ODCE net, value-weighted index (NFI-ODCE VW) since January 1, 2013 (NTFI-ODCE net, VW fromApril 1, 2010 to December 31, 2012). NCREIF was the benchmark prior toApril 2010.",,"Comprised of NCREIF-ODCE net, value-weighted index (NFI-ODCE VW) since January 1, 2013 (NTFI-ODCE net, VW fromApril 1, 2010 to December 31, 2012). NCREIF was the benchmark prior toApril 2010.",e98a61ca40984b3e008b,1
7c30e30fd29a15337d09,SRC099,04-quarterly-report,Quarterly_Report,a977f857e8947787eef2,7,FOOTNOTE,Benchmark Footnotes for Performance Returns,Benchmark Footnotes for Performance Returns,2,"Effective January 1, 2015, source is Burgiss. Previous benchmarks included NCREIF CEVA for the periods from the 4th quarter of 2013 to the 4th quarter of 2014; NCREIF/Townsend (Value-added and Opportunistic) for the periods from the 2nd quarter of 1010 to the 3rd quarter of 2013 and NCREIF NPI since inception.",,"Effective January 1, 2015, source is Burgiss. Previous benchmarks included NCREIF CEVA for the periods from the 4th quarter of 2013 to the 4th quarter of 2014; NCREIF/Townsend (Value-added and Opportunistic) for the periods from the 2nd quarter of 1010 to the 3rd quarter of 2013 and NCREIF NPI since inception.",ed5e8660d5e2e3ee8b42,1
cf37c8d8c55ada4fe5ea,SRC099,04-quarterly-report,Quarterly_Report,a977f857e8947787eef2,7,FOOTNOTE,Benchmark Footnotes for Performance Returns,Benchmark Footnotes for Performance Returns,3,"Effective January 1, 2015, source is Burgiss (Value-added and Opportunistic) and NCREIF-ODCE (Core); Previous benchmarks included NCREIF CEVA for the periods from the 4th quarter of 2013 to the 4th quarter of 2014 and NCREIF/Townsend (Value-added and Opportunistic) since inception.",,"Effective January 1, 2015, source is Burgiss (Value-added and Opportunistic) and NCREIF-ODCE (Core); Previous benchmarks included NCREIF CEVA for the periods from the 4th quarter of 2013 to the 4th quarter of 2014 and NCREIF/Townsend (Value-added and Opportunistic) since inception.",4a9440bb76f71f4a9530,1
6c95020433fde5610da0,SRC099,04-quarterly-report,Quarterly_Report,a977f857e8947787eef2,7,FOOTNOTE,Benchmark Footnotes for Performance Returns,Benchmark Footnotes for Performance Returns,4,"FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) effective October 1, 2015; Previous benchmarks includes Wilshire (WRESI, REIT Index) and FTSE EPRA/NAREIT Global RE Index.",,"FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) effective October 1, 2015; Previous benchmarks includes Wilshire (WRESI, REIT Index) and FTSE EPRA/NAREIT Global RE Index.",37eb9a8a38367a45b4b0,1
ebadae66afb66e897e56,SRC099,04-quarterly-report,Quarterly_Report,a977f857e8947787eef2,7,FOOTNOTE,Benchmark Footnotes for Performance Returns,Benchmark Footnotes for Performance Returns,5,The blended benchmark is based on Private vs. Public weights using various private indices (Burgiss for Value-added and Opportunistic; NCREIF-ODCE for Core) and FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) for public. Previous period benchmarks consisted of differing weights (Private vs. Public) and benchmarks (NCREIF/NTFI for Private and various public equity benchmarksfor Public).,,The blended benchmark is based on Private vs. Public weights using various private indices (Burgiss for Value-added and Opportunistic; NCREIF-ODCE for Core) and FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) for public. Previous period benchmarks consisted of differing weights (Private vs. Public) and benchmarks (NCREIF/NTFI for Private and various public equity benchmarksfor Public).,5b6da332078c8f11088a,1
759c71aaf2d24f3abd0d,SRC099,04-quarterly-report,Quarterly_Report,ef31aeb2d5ecd34515e1,8,FOOTNOTE,Real Estate By Investment Structure – 2Q17,Real Estate By Investment Structure – 2Q17,a,Publicly Traded Real Estate Securities,,Publicly Traded Real Estate Securities,ca428ab57d3d606c4c96,1
d389838379fc3773b0f3,SRC099,04-quarterly-report,Quarterly_Report,ef31aeb2d5ecd34515e1,8,FOOTNOTE,Real Estate By Investment Structure – 2Q17,Real Estate By Investment Structure – 2Q17,b,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,051710ed539ba5702d8a,1
6733353a19d634593821,SRC099,04-quarterly-report,Quarterly_Report,ad8ca7d9079c2cc50383,9,FOOTNOTE,RE Performance by Strategic Asset Allocation – 2Q17,RE Performance by Strategic Asset Allocation – 2Q17,a,Time-weighted,,Time-weighted,63bc4e90ad9aa6a9a0ac,1
df4cf3bfec0193053f6f,SRC099,04-quarterly-report,Quarterly_Report,ad8ca7d9079c2cc50383,9,FOOTNOTE,RE Performance by Strategic Asset Allocation – 2Q17,RE Performance by Strategic Asset Allocation – 2Q17,b,Dollar-weighted (IRR),,Dollar-weighted (IRR),057e7bf0f9f76e654d04,1
0971532b3fe251979061,SRC099,04-quarterly-report,Quarterly_Report,ad8ca7d9079c2cc50383,9,FOOTNOTE,RE Performance by Strategic Asset Allocation – 2Q17,RE Performance by Strategic Asset Allocation – 2Q17,c,The blended benchmark is based on Private vs. Public weights using various private indices (Burgissfor Value-added and Opportunistic; NCREIF-ODCE for Core) and FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) for public. Previous period benchmarks consisted of differing weights (Private vs. Public) and benchmarks (NCREIF/NTFI for Private and various public equity benchmarksfor Public).,,The blended benchmark is based on Private vs. Public weights using various private indices (Burgissfor Value-added and Opportunistic; NCREIF-ODCE for Core) and FTSE EPRA/NAREIT Custom Developed 100% Hedged USD (net) for public. Previous period benchmarks consisted of differing weights (Private vs. Public) and benchmarks (NCREIF/NTFI for Private and various public equity benchmarksfor Public).,e5933e5a508ea54a3707,1
4c5306836eb2b3b6d624,SRC099,04-quarterly-report,Quarterly_Report,327f9d2a63d9b665cd76,10,FOOTNOTE,Real Estate by Strategic Asset Allocation – 2Q17,Real Estate by Strategic Asset Allocation – 2Q17,a,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,04ffad8fd92efb018b58,1
8eb8bf0f17c00a015e7e,SRC099,04-quarterly-report,Quarterly_Report,7fc58bd550d221a79e34,11,FOOTNOTE,Preliminary Real Estate Performance – 3Q17,Preliminary Real Estate Performance – 3Q17,a,Time-weighted,,Time-weighted,3231b8e965689c8e165b,1
eb193a91dfb0faffbcd2,SRC099,04-quarterly-report,Quarterly_Report,b7906c20739be2acd8c0,13,FOOTNOTE,Cash Flow Activity,Cash Flow Activity,a,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,f9ad8cb3ab2795febec7,1
ed3176139867f440e113,SRC099,04-quarterly-report,Quarterly_Report,3568c35b94049e78e83b,14,FOOTNOTE,Portfolio Summary for Real Estate,Portfolio Summary for Real Estate,a,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,8fed011a267d4227a4bc,1
b716f498b8795fad1ae0,SRC099,04-quarterly-report,Quarterly_Report,e14bb1566beb325143a0,17,FOOTNOTE,Real Estate Portfolio Asset Allocation,Real Estate Portfolio Asset Allocation,*,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,4a31f5b0dd5b935df9af,1
f65602510edc11711615,SRC099,04-quarterly-report,Quarterly_Report,693c82ba3bd2c54f8054,18,FOOTNOTE,Real Estate – Regional Distribution – 2Q17,Real Estate – Regional Distribution – 2Q17,*,"Pennsylvania represents 5.8% of the East total, 1.2% of the U.S. total, and 1% of total assets.",,"Pennsylvania represents 5.8% of the East total, 1.2% of the U.S. total, and 1% of total assets.",672cd728b47786827a15,1
55d33adf9ff10c0aa342,SRC102,01-financials,Financials,26fe42f5d29b6d6d813b,6,NARRATIVE,Significant accounting policies,Significant accounting policies,1a,"Investments are carried at fair value. The fair value of investments having a quoted market value are valued at the bid price at the balance sheet date. Investments for which there are no readily available market quotations are valued at fair value, as determined by the General Partner. The General Partner uses International Private Equity and Venture Capital Valuation Guidelines to assess fair value, as prescribed by Canada's Venture Capital & Private Equity Association. As the Fund invests in early-stage technology companies which may not have stable revenues or earnings, determining the value of the securities includes taking into consideration the purchase price of the securities, developments concerning the investee company subsequent to the acquisition of the securities, any financial data and projections of the investee company provided to the General Partner, the preferred nature of the securities, and such other factor or factors as the General Partner may reasonably deem relevant.",,"Investments are carried at fair value. The fair value of investments having a quoted market value are valued at the bid price at the balance sheet date. Investments for which there are no readily available market quotations are valued at fair value, as determined by the General Partner. The General Partner uses International Private Equity and Venture Capital Valuation Guidelines to assess fair value, as prescribed by Canada's Venture Capital &",c6f250fe6d84f59647bd,1
f573582e10148f2f8fa6,SRC102,01-financials,Financials,879d47d5b9b0946f59cc,7,NARRATIVE,Significant accounting policies,Significant accounting policies,1b,"Investment transactions are accounted for on the closing date when the funds are advanced. On the statement of investments, bridge loans outstanding for 12 months or under are classified as short term. Bridge loans outstanding for over 12 months are classified as long term.",,"Investment transactions are accounted for on the closing date when the funds are advanced. On the statement of investments, bridge loans outstanding for 12 months or under are classified as short term. Bridge loans outstanding for over 12 months are classified as long term.",ab70cfd2d0fd388da124,1
3b515a2dab4f53510763,SRC102,01-financials,Financials,879d47d5b9b0946f59cc,7,NARRATIVE,Significant accounting policies,Significant accounting policies,LEVEL_1,quoted prices in active markets for identical investments as of the reporting date;,,quoted prices in active markets for identical investments as of the reporting date;,fecfe3a6e752d1c9994f,1
0170d35e0cd18f2b8513,SRC102,01-financials,Financials,879d47d5b9b0946f59cc,7,NARRATIVE,Significant accounting policies,Significant accounting policies,LEVEL_2,"pricing inputs are other than quoted prices in active markets, which are either directly or indirectly observable as of the reporting date, are the values at prices for similar assets or liabilities in markets that are not active, or determined through the use of models or other valuation methodologies; and",,"pricing inputs are other than quoted prices in active markets, which are either directly or indirectly observable as of the reporting date, are the values at prices for similar assets or liabilities in markets that are not active, or determined through the use of models or other valuation methodologies; and",bca38942ef5ebbf9563d,1
afd05cd935dc79c07bf1,SRC102,01-financials,Financials,879d47d5b9b0946f59cc,7,NARRATIVE,Significant accounting policies,Significant accounting policies,LEVEL_3,"pricing inputs are unobservable and include situations where there is little, if any, market activity for the investment. The inputs into the determination of fair value require significant management judgment. Due to the inherent uncertainty of these estimates, these values may differ materially from the values that would have been used had a ready market for these investments existed. At September 30, 2016, all of the Fund's investments are classified under this hierarchy as Level 3 investments.",,"pricing inputs are unobservable and include situations where there is little, if any, market activity for the investment. The inputs into the determination of fair value require significant management judgment. Due to the inherent uncertainty of these estimates, these values may differ materially from the values that would have been used had a ready market for these investments existed. At September 30, 2016, all of the Fund's investments are",30f26849849654b55a6f,1
b2e60de28dab989ec1d7,SRC102,01-financials,Financials,1a4f5209ffcb5a8dc079,8,NARRATIVE,Significant accounting policies,Significant accounting policies,1c,Interest income is recorded on an accrual basis. Interest income is offset by the provision and is shown in net balance when the investment is deemed to be non-performing. Dividend income is recognized on the ex-dividend date.,,Interest income is recorded on an accrual basis. Interest income is offset by the provision and is shown in net balance when the investment is deemed to be non-performing. Dividend income is recognized on the ex-dividend date.,0e0457fa27c5eb94944a,1
acde9c342e2fa8e62853,SRC102,01-financials,Financials,1a4f5209ffcb5a8dc079,8,NARRATIVE,Significant accounting policies,Significant accounting policies,1d,"The market values of cash and other assets and liabilities denominated in foreign currencies are translated into Canadian dollars at the closing rates of exchange on the balance sheet date. Purchases and sales of investments, income and expenses are translated into Canadian dollars at the rates of exchange prevailing on the respective dates of such transactions. In determining the fair values of investments denominated in foreign currencies, these investments are translated at the closing rates of exchange on the balance sheet date.",,"The market values of cash and other assets and liabilities denominated in foreign currencies are translated into Canadian dollars at the closing rates of exchange on the balance sheet date. Purchases and sales of investments, income and expenses are translated into Canadian dollars at the rates of exchange prevailing on the respective dates of such transactions. In determining the fair values of investments denominated in foreign currencies,",2f6bc45bc769f4a71ea6,1
674e21d9cfb35c0a62c6,SRC102,01-financials,Financials,1a4f5209ffcb5a8dc079,8,NARRATIVE,Significant accounting policies,Significant accounting policies,1e,"Offering and organizational expenses of the Fund, which include legal and other costs related to the formation of the Fund, are deducted from the partners' capital account.",,"Offering and organizational expenses of the Fund, which include legal and other costs related to the formation of the Fund, are deducted from the partners' capital account.",b966a6007ff57678e418,1
6e38b3334ea9bd3b7758,SRC102,01-financials,Financials,1a4f5209ffcb5a8dc079,8,NARRATIVE,Significant accounting policies,Significant accounting policies,1f,"The preparation of financial statements requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities and disclosure of contingent assets and liabilities at the date of the financial statements and the reported amounts of revenue and expenses during the year. Actual results could differ from those estimates. Estimates relating to the determination of the fair value of investments particularly require the exercise of judgment. While the General Partner uses available information to assess the need for a fair value adjustment, additional adjustments may be necessary based upon changes in the financial conditions and prospects of the investee companies. The process of valuing investments for which no published market exists is inevitably subjective and is based upon inherent uncertainties and the resulting values may be higher or lower by a material amount than those that would have been used had a ready market existed for the investments.",,The preparation of financial statements requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities and disclosure of contingent assets and liabilities at the date of the financial statements and the reported amounts of revenue and expenses during the year. Actual results could differ from those estimates. Estimates relating to the determination of the fair value of investments particularly,eb5d2002b82f8f4cd786,1
b676a9fb6b56e2ec6a8e,SRC102,01-financials,Financials,ad3374dbdb61a8e44afa,14,NARRATIVE,Notes to Financial Statements (continued),Notes to Financial Statements (continued),11,"The Canadian Accounting Standards Board (""AcSB"") has confirmed the ability to defer the adoption of International Financial Reporting Standards (""IFRS"") to fiscal periods beginning on or after January 1, 2014 for entities applying Accounting Guideline 18, Investment Companies. The Fund also has the option to adopt the Accounting Standards for Private Enterprises (""ASPE""), which are the independent Canadian accounting standards issued by the AcSB for profit-oriented entities that are not publicly accountable. The Fund continues to monitor the changes to IFRS and is in the process of determining whether it will transition to IFRS or ASPE.",,"The Canadian Accounting Standards Board (""AcSB"") has confirmed the ability to defer the adoption of International Financial Reporting Standards (""IFRS"") to fiscal periods beginning on or after January 1, 2014 for entities applying Accounting Guideline 18, Investment Companies. The Fund also has the option to adopt the Accounting Standards for Private Enterprises (""ASPE""), which are the independent Canadian accounting standards issued by the AcSB",71effc3a7e635e49a731,1
beea93aec119d35c284e,SRC102,01-financials,Financials,ad3374dbdb61a8e44afa,14,NARRATIVE,Notes to Financial Statements (continued),Notes to Financial Statements (continued),9,"The fair values of financial assets and liabilities, other than investments, approximate their carrying values due to the short-term nature of these financial instruments. The investments are not publicly traded and are carried at fair value, as explained in note 1(a).",,"The fair values of financial assets and liabilities, other than investments, approximate their carrying values due to the short-term nature of these financial instruments. The investments are not publicly traded and are carried at fair value, as explained in note 1(a).",43668c1054ca5687eb4c,1
9d04aa7d91bda96cab93,SRC147,01-financials,Financials,c93c5d55ad38cff94ae8,1,NARRATIVE,Notes to Financial Statements (continued),2. Summary of Significant Accounting Policies,2A,"The financial statements of the System are prepared on the accrual basis of accounting under which expenses are recorded when the liability is incurred, revenues are recorded in the accounting period in which they are earned and become measurable, and investment purchases and sales are recorded as of their trade date. Member and employer contributions are recognized in the period for which employees’ salaries are reported. Benefits and refunds are recognized when due and payable in accordance with the terms of the plan. The accounting and reporting policies of the System conform to accounting principles generally accepted in the United States of America (GAAP). The preparation of financial statements in conformity with GAAP requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities and disclosure of contingent assets and liabilities at the date of the financial statements and the reported amounts of additions and deductions in fiduciary net position during the reporting period. Actual results could differ from those estimates.",,"The financial statements of the System are prepared on the accrual basis of accounting under which expenses are recorded when the liability is incurred, revenues are recorded in the accounting period in which they are earned and become measurable, and investment purchases and sales are recorded as of their trade date. Member and employer contributions are recognized in the period for which employees’ salaries are reported.",f55213cb94a114536213,1
30ccf90ceb7451ebec5d,SRC147,01-financials,Financials,c93c5d55ad38cff94ae8,1,NARRATIVE,Notes to Financial Statements (continued),2. Summary of Significant Accounting Policies,2B,"The System’s investments are reported at fair value. Fair value is the amount that the System can reasonably expect to receive for an investment in a current sale between a willing buyer and a willing seller, that is, other than in a forced or liquidation sale. See Note 4(B) for the description of the Fair Value of Investments. Net appreciation (depreciation) is determined by calculating the change in fair value of investments between the beginning of the year and end of the year, less purchases of investments at cost, plus sales of investments at fair value. Investment purchases and sales are recorded as of the trade date. Interest income is comprised of dividend, interest, and other investment income. Dividend income is recognized on the ex-dividend date. Interest and other investment income is recognized when earned. Investment expenses consist of investment manager fees and those administrative expenses directly related to the System’s investment operations. Investment proceeds receivable generally includes unsettled investment sales and unsettled investment purchases are included in investment purchases and other liabilities. At June 30, 2017, investment proceeds receivable also includes $480,771,000 in receivables due to the sale of limited partnership and real estate interests during FY 2015 and FY 2016.",,"The System’s investments are reported at fair value. Fair value is the amount that the System can reasonably expect to receive for an investment in a current sale between a willing buyer and a willing seller, that is, other than in a forced or liquidation sale. See Note 4(B) for the description of the Fair Value of Investments. Net appreciation (depreciation) is determined by calculating the change in fair value of",02940f5d18683d82b03f,1
456fa6abf54bbbe51e30,SRC147,01-financials,Financials,c93c5d55ad38cff94ae8,1,NARRATIVE,Notes to Financial Statements (continued),2. Summary of Significant Accounting Policies,2C,"Capital assets consist primarily of data processing equipment, software, and internally developed computer software recognized as intangible assets. Capital assets are depreciated using the straight-line method over an estimated useful life of five years. Intangible assets are amortized using the straight-line method over an estimated useful life of twenty years for assets purchased prior to July 1, 2012 and 5 years for assets purchased after June 30, 2012.",,"Capital assets consist primarily of data processing equipment, software, and internally developed computer software recognized as intangible assets. Capital assets are depreciated using the straight-line method over an estimated useful life of five years. Intangible assets are amortized using the straight-line method over an estimated useful life of twenty years for assets purchased prior to July 1, 2012 and 5 years for",6aafb742dad4317bab63,1
15503fb714536e85da18,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,1,1 Equity Securities 37.14%,,1 Equity Securities 37.14% 4 Private Equity 13.12%,6cf7ba3eed0a58826130,1
3c4f7627083d1cdcd8f5,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,2,2 Real Assets 15.26%,,2 Real Assets 15.26% 5 Debt Securities 11.98%,9c69f72c310c6d511f68,1
190698b84f94cb60370a,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,3,3 Absolute Return 15.10%,,3 Absolute Return 15.10% 6 Short Term 7.40%,453bfb89a080dad2b915,1
cfd1a78ab54197cb8e70,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,4,4 Private Equity 13.12%,,1 Equity Securities 37.14% 4 Private Equity 13.12%,7b54782a1581fbc2d974,1
958d4670fdef88dabe93,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,5,5 Debt Securities 11.98%,,2 Real Assets 15.26% 5 Debt Securities 11.98%,959bcd9809139b1e2416,1
ad6893648c4856fea4a7,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,FIGURE,Defined Benefit Systems Investments at Fair Value,Defined Benefit Systems Investments at Fair Value,6,6 Short Term 7.40%,,3 Absolute Return 15.10% 6 Short Term 7.40%,7134211786b90a78e0d4,1
d9d07363dba91f342389,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,NARRATIVE,Defined Benefit Investments,Investment Policy Asset Allocation,ALLOCATION_METHODOLOGY,These allocation percentages differ from investment asset percentages presented in the MD&A and Statement of Fiduciary Net Position as a result of different methodologies used to categorize investment assets and the impact of derivatives for investment purposes versus financial statement presentation purposes. For investment purposes the impact of derivatives used to rebalance the defined portfolio are expressed using the notional value of those derivatives.,The allocation of assets as reported to the board,percentages presented in the MD&A and Statement,ddd2f313222c01654b38,1
cef6edfd4cbd14b36c53,SRC192,03-institutional-report,Institutional_Report,6ce83d66f45e6eeddc5b,2,NARRATIVE,Defined Benefit Investments,Defined Benefit Investments,METHODOLOGY,Investment return calculations are prepared using a time-weighted rate of return.,Investment return calculations,using a time-weighted rate of return.,b6e6d8cc37e3ef7c9c61,1
585774d2ee52d0988642,SRC192,03-institutional-report,Institutional_Report,8bfe4a65bcba8a88b61f,3,FOOTNOTE,Defined Benefit Investments (Continued),10-Year Total Pension Investment Rates of Return,1,(1) Smoothed Expected Rate of Return consists of investment income in excess or shortfall of the expected 6.85% on fair value smoothed over a 5-year period with 20% of a year’s excess or shortfall being recognized each year beginning with the current year.,Smoothed Expected Rate of Return,Smoothed Expected Rate of Return consists of investment,f59cb5651e3278ef9956,1
b043e65b909b0a236a00,SRC192,03-institutional-report,Institutional_Report,8bfe4a65bcba8a88b61f,3,FOOTNOTE,Defined Benefit Investments (Continued),10-Year Total Pension Investment Rates of Return,2,"(2) Fair Value Rate of Return consists of cash income plus gains and losses due to changes in fair value, whether realized or unrealized (before deduction of investment fees). (For 2021, 17.29% net of fees.)",Fair Value Rate of Return,(2) Fair Value Rate of Return consists of cash income plus gains,b313b94a37769b0f91c6,1
811febf0df2ed6e1138a,SRC192,03-institutional-report,Institutional_Report,8bfe4a65bcba8a88b61f,3,FOOTNOTE,Defined Benefit Investments (Continued),10-Year Total Pension Investment Rates of Return,3,"(3) Actuarial Assumed Interest Rate is the assumed rate of return on the fair value of assets, and is used in establishing retirement contribution rates and in determining current benefit reserve requirements.",Actuarial Assumed Interest Rate,(3) Actuarial Assumed Interest Rate is the assumed rate of,e14dcb24a5815b98d031,1
52f0dca568b5a8450d09,SRC192,03-institutional-report,Institutional_Report,8bfe4a65bcba8a88b61f,3,FOOTNOTE,Defined Benefit Investments (Continued),10-Year Total Pension Investment Rates of Return,4,"(4) Money Weighted Rate or Return is calculated as the internal rate of return on pension plan investments, net of investment expenses.",Money Weighted Rate of Return,(4) Money Weighted Rate or Return is calculated as the,1c531043a2c1ff2bcea0,1
ffaaafea14ddb53c2095,SRC192,03-institutional-report,Institutional_Report,32ae3f1220330612eaec,4,FOOTNOTE,Defined Benefit Investments (Continued),Comparative Investment Results,*,*Global equity and fixed income returns are reported at gross for comparability to the benchmarks which are reported as gross of fees. All other returns are reported a net of fees.,Global Equity and Global Debt Securities,*Global equity and fixed income returns are reported at gross for comparability to the benchmarks which are reported as,923bc36ad239d0a53043,1
