"canonical_doc_type","default_product_tier","record_family","grain","category_kind","required_business_fields","allowed_business_fields","preferred_categories","table_cell_rule","exclusions"
"Institutional_Report","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Institutional_Report","CORE","performance_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","return|irr|alpha|pme|direct_alpha|sharpe_ratio|tracking_error|yield|aum","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Institutional_Report","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Institutional_Report","CORE","position_observation","one populated allowed source value cell for one named position","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","quantity|cost|fair_value|market_value|notional|portfolio_weight|interest_rate|maturity_date","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Institutional_Report","CORE","allocation_observation","one populated allowed source value cell for one allocation bucket","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","actual_allocation|target_allocation","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Quarterly_Report","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"Quarterly_Report","CORE","performance_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","return|irr|alpha|pme|direct_alpha|sharpe_ratio|tracking_error|yield|aum","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"Quarterly_Report","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"Quarterly_Report","CORE","allocation_observation","one populated allowed source value cell for one allocation bucket","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","actual_allocation|target_allocation","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"Quarterly_Report","CORE","cash_flow_observation","one populated allowed source value cell or one notice component the page states in words","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","capital_call|return_of_capital|preferred_return|expense|interest|net_cash_flow","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"Quarterly_Report","CORE","position_observation","one populated allowed source value cell for one named position","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","quantity|cost|fair_value|market_value|notional|portfolio_weight|interest_rate|maturity_date","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Unapproved exposure charts and generic breakdowns; use position or allocation only when the printed structure matches."
"PPM","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Risk-factor transcription and clauses outside the term whitelist."
"PPM","CORE","legal_term","one printed term or one numbered provision whose primary meaning matches the whitelist","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","management_fee|carried_interest|catch_up|waterfall|clawback|fee_offset|organizational_expense|recycling|fund_term|term_extension|commitment_period|investment_period","NOT_APPLICABLE","Risk-factor transcription and clauses outside the term whitelist."
"LPA","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"LPA","CORE","legal_term","one printed term or one numbered provision whose primary meaning matches the whitelist","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","management_fee|carried_interest|catch_up|waterfall|clawback|fee_offset|organizational_expense|recycling|fund_term|term_extension|commitment_period|investment_period","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"LPA","CORE","legal_clause","one numbered or separately headed operative provision whose primary meaning matches the whitelist","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","key_person|gp_removal|no_fault_termination|mfn|reporting|transfer|tax|governing_law|confidentiality|notice","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"Subscription","SECONDARY","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Qualification questionnaires; representations; personal identifiers; bank/wire data; signatures."
"Subscription","SECONDARY","subscription_reference","one whitelisted subscription reference fact","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","subscription_fund|general_partner|requested_commitment|accepted_commitment|subscriber_entity_type|fund_jurisdiction|execution_date","NOT_APPLICABLE","Qualification questionnaires; representations; personal identifiers; bank/wire data; signatures."
"Side_Letter","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"Side_Letter","CORE","legal_term","one printed term or one numbered provision whose primary meaning matches the whitelist","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","management_fee|carried_interest|catch_up|waterfall|clawback|fee_offset|organizational_expense|recycling|fund_term|term_extension|commitment_period|investment_period","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"Side_Letter","CORE","legal_clause","one numbered or separately headed operative provision whose primary meaning matches the whitelist","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","key_person|gp_removal|no_fault_termination|mfn|reporting|transfer|tax|governing_law|confidentiality|notice","NOT_APPLICABLE","Clauses outside the term whitelist and generic document transcription."
"DDQ","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Exhaustive question-and-answer transcription; personal names; broker lists; narrative answers without a selected quantitative fact."
"DDQ","CORE","ddq_quantitative_observation","one printed quantitative answer or table value","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","staff_count|lockup|redemption_notice|position_limit|leverage|liquidity|minimum_investment|service_provider_count","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Exhaustive question-and-answer transcription; personal names; broker lists; narrative answers without a selected quantitative fact."
"Schedule_Inv","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Schedule_Inv","CORE","position_observation","one populated allowed source value cell for one named position","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","quantity|cost|fair_value|market_value|notional|portfolio_weight|interest_rate|maturity_date","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Fee_Report","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Fee_Report","CORE","fee_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","management_fee|performance_fee|cost_bps|offset|fee_benchmark|nav_aum_denominator","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Fee_Report","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Valuation","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Valuation","CORE","valuation_observation","one printed valuation fact or one populated value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","method|frequency|valuer|oversight|independent_review|enterprise_value","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"NAV_Statement","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"NAV_Statement","CORE","nav_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","nav_per_share|shares_units|transaction_price|nav_component|repurchase_limit|request_satisfaction|valuation_assumption|valuation_sensitivity","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"NAV_Statement","CORE","valuation_observation","one printed valuation fact or one populated value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","method|frequency|valuer|oversight|independent_review|enterprise_value","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Cash_Flow_Notice","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Cash_Flow_Notice","CORE","cash_flow_observation","one populated allowed source value cell or one notice component the page states in words","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","capital_call|return_of_capital|preferred_return|expense|interest|net_cash_flow","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Cash_Flow_Notice","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"PCAP","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"PCAP","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"PCAP","CORE","cash_flow_observation","one populated allowed source value cell or one notice component the page states in words","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","capital_call|return_of_capital|preferred_return|expense|interest|net_cash_flow","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Foundations_Annual","SECONDARY","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Grants, officers, compensation, personal identifiers, and non-investment schedules."
"Stewardship_Proxy_Report","SECONDARY","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Case-study narration without a policy or bounded metric."
"Stewardship_Proxy_Report","SECONDARY","stewardship_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","meeting_count|vote_count|engagement_count|coverage|score|target","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Case-study narration without a policy or bounded metric."
"Stewardship_Proxy_Report","SECONDARY","stewardship_policy","one separately headed operative policy statement","term","term_category|text_raw","as_of_date|basis_raw|condition_raw|currency_scale|investor_name|manager_name|period_end|period_start|portfolio_name|subject_name|subject_type|term_category|text_raw","stewardship_policy","NOT_APPLICABLE","Case-study narration without a policy or bounded metric."
