field,group,channel_hint,files_with_label,share_of_corpus,total_occurrences,top_doc_types,example_file_id,example_line
fund_domicile,identity,txt,183,31.6%,562,Financials=90; Schedule_Inv=35; Performance=20,SRC001,. Executive Summary The Partnership is a Delaware limited partnership formed in The Investment Manager is also the investment manager of January 2020
share_class_name,identity,txt,148,25.6%,16892,Financials=66; Schedule_Inv=45; Performance=16,SRC002,sness or willful malfeasance with respect to the Fund or its Assets. “Class A Members” means those Members that hold Class A Units. “Class A Units”
manager_investment_manager,identity,txt,145,25.0%,5208,Financials=67; Performance=23; Schedule_Inv=18,SRC001,=========================== Confidential Private Placement Memorandum Investment Manager Fundsmith LLP January 2024 Limited Partner Interests ===============
manager_general_partner,identity,txt,118,20.4%,2858,Financials=53; Performance=22; Reporting=9,SRC001,"s The Partnership will not be registered as an investment company the General Partner may from time to time determine, upon sixty under the 1940 Act, in re"
vintage_year,identity,both,96,16.6%,709,Performance=52; Financials=15; Schedule_Inv=11,SRC017,Value Bridge Update Net Value Drivers o Diversification by Strategy & Vintage Year Top Holding Exposures CExposure 22 Exposure by Relationship Private M
lp_name_limited_partner,identity,txt,79,13.6%,1413,Financials=37; Reporting=7; NAV_Statement=7,SRC001,te Placement Memorandum Investment Manager Fundsmith LLP January 2024 Limited Partner Interests ==========================================================
portfolio_company_name,identity,pdf_table,73,12.6%,1017,Schedule_Inv=30; Performance=12; Reporting=11,SRC003,"is under common control with, the Person specified, provided that (i) Portfolio Companies, Fund Vehicles and Feeder Entities shall not be deemed to be “Affilia"
period_return,performance,pdf_table,190,32.8%,1019,Financials=70; Performance=58; Schedule_Inv=25,SRC002,up to four consecutive quarters after any shortfall of the Preferred Return (see “Manager EDC Clawback” in the Definition of Terms). CONFIDENTIAL 2
irr,performance,pdf_table,161,27.8%,2426,Performance=66; Financials=48; Reporting=11,SRC010,"fully exited investments, the fund investment's total MOIC and gross IRR o Amount of carry accrued and/or paid to the GP (fund level); how muc"
moic,performance,pdf_table,137,23.7%,783,Performance=38; Schedule_Inv=33; Financials=31,SRC010,"investment; For fully exited investments, the fund investment's total MOIC and gross IRR o Amount of carry accrued and/or paid to the GP (fund l"
tvpi,performance,pdf_table,58,10.0%,634,Performance=45; Reporting=6; PCAP=1,SRC012,"as percent of total commitments  Key Valuation Metrics, including o TVPI: Total Value to Paid In o RVPI: Residual Value to Paid In o DPI: Dist"
dpi,performance,pdf_table,46,7.9%,483,Performance=35; Reporting=4; Quarterly_Report=2,SRC012,ng o TVPI: Total Value to Paid In o RVPI: Residual Value to Paid In o DPI: Distributions to Paid In  Historical Fund Performance o The provide
rvpi,performance,pdf_table,18,3.1%,87,Performance=10; Reporting=3; PCAP=1,SRC012,"s  Key Valuation Metrics, including o TVPI: Total Value to Paid In o RVPI: Residual Value to Paid In o DPI: Distributions to Paid In  Historic"
benchmark_return,performance,pdf_table,13,2.2%,48,Performance=11; Quarterly_Report=2,SRC017,"1/2018 - Source: AON (As provided by PSERS) 5 Since Inception Blended Index Return unavailable; thus, Since Inception MSCI World Net Total Return USD In"
extension_years,term,txt,159,27.5%,650,Financials=77; Schedule_Inv=33; Regulatory=16,SRC001,for an case as described above. Although no guidance has been issued extension of time to file their U.S. federal income tax returns. regarding the
hurdle_rate,term,txt,59,10.2%,374,Financials=22; Schedule_Inv=12; Reporting=7,SRC002,the sole judgment of the Manager; and (iii) the Fund distributes the Preferred Return to the Members. The EDC will be determined quarterly the Manager in i
fund_term_years,term,txt,14,2.4%,57,Schedule_Inv=3; LPA=2; Financials=2,SRC003,"Fund. 18. TERM, DISSOLUTION AND WINDING UP OF THE FUND 18.1 Term. The term of the Fund commenced on the Initial Closing Date and the Fund shall continue, un"
carry_rate,term,txt,8,1.4%,9,Performance=5; DDQ=1; Fee_Report=1,SRC025,sted for those parties that participate? What happens to the unvested carry of former Team Members? Answer here 10.5 Describe how the General Partne
nav,value,pdf_table,305,52.7%,13518,Financials=139; Performance=60; Schedule_Inv=47,SRC001,"ue death, incapacity, departure, insolvency, or withdrawal of any of (NAV), to decline, potentially suddenly and significantly. As a these indi"
cost_basis,value,pdf_table,233,40.2%,2632,Financials=111; Schedule_Inv=49; Regulatory=23,SRC003,"ustees, officers and employees of such Limited Partner). “Acquisition Cost” means, with respect to a Portfolio Investment, the aggregate amount"
fair_value,value,pdf_table,228,39.4%,4168,Financials=136; Schedule_Inv=51; Performance=14,SRC003,"e determined by the General Partner in accordance with [FASB ASC 820 (Fair Value Measurement)]7, provided that all such values shall be disclosed to t"
nav_per_share,value,pdf_table,134,23.1%,2117,Financials=74; Schedule_Inv=33; Performance=10,SRC026,nvestments. Those estimates are typically based on adjustments to the NAV per share (or its equivalent) using inputs such as transactions in principal-to
net_assets,value,pdf_table,134,23.1%,1076,Financials=60; Schedule_Inv=42; Performance=13,SRC037,........................... 6 Statements of Activities and Changes in Net Assets........................................................ 7 Statements
net_income,value,pdf_table,96,16.6%,623,Schedule_Inv=36; Financials=36; Regulatory=12,SRC003,"on which a determination of Material Adverse Effect is being made).5 “Net Income” and “Net Loss” means, for each Fiscal Year or other period, an amoun"
unrealized_gain,value,pdf_table,55,9.5%,182,Schedule_Inv=35; Financials=13; Reporting=3,SRC012,"/2015 12/31/2014 ASSETS Investments at Cost $ 38,000,000 $ 39,000,000 Unrealized Gain / Loss on Investments 3,300,000 2,900,000 Investments at Fair Value 4"
realized_gain,value,pdf_table,30,5.2%,85,Schedule_Inv=20; Reporting=3; Financials=3,SRC010,her - Miscellaneous distributions not otherwise defined above o Dist: Realized Gain - Cash - Realized gain from the full or partial sale of an underlying
ending_balance,value,pdf_table,26,4.5%,84,Financials=16; Schedule_Inv=3; Reporting=2,SRC010,Prior Period Notice1 Balance Name (e.g. Unfunded Commitment Balance) Ending Balance - Prior Period (as reported in prior notice) Beginning Balance - Curr
beginning_balance,value,pdf_table,21,3.6%,75,Financials=8; Reporting=3; Schedule_Inv=3,SRC010,Balance) Ending Balance - Prior Period (as reported in prior notice) Beginning Balance - Current Period (as reported in current notice) Variance 0.00 Reason
