source,file_id,pages,damaged_pages,repaired_pages,example,error
Financials_Tetragon_Financial_Group_Annual2025.pdf,SRC105,88,3,1,"p65: 4 4,207.8",
Financials_Tetragon_Financial_Group_Annual2022.pdf,SRC106,136,2,0,"p100: 4 2,919.2",
Financials_PershingSquareHoldings_Annual2025.pdf,SRC109,126,4,0,"p73: 13 176,327,860",
Financials_BlueCrest_AllBlue_Fund_2013.pdf,SRC110,110,16,0,"p61: 7 13,909,270",
Financials_ThirdPoint_Investors_Annual2022.pdf,SRC111,63,3,2,"p33: 2 42,500",
Financials_KPMG_HedgeFund_Illustrative_2025.pdf,SRC113,118,5,0,"p11: 2 37,269,000",
Performance_LACERA_Private_Equity_Holdings_2020Q3.pdf,SRC121,4,1,1,"p4: 1 8,881.30",
Performance_SFERS_Private_Equity_Update_2025.pdf,SRC124,68,3,1,"p21: 976
1,000",
Performance_NY_OSC_Pension_In_State_Investments.pdf,SRC126,80,1,0,"p38: 13 1,112",
Performance_PSERS_PEVCPD_Partnership_Data_20130331.pdf,SRC134,7,5,0,"p1: 0 45,221,797",
Performance_PSERS_PEVCPD_Partnership_Data_20141231.pdf,SRC135,8,8,8,"p1: 2 20,000,000.00",
Performance_PSERS_PEVCPD_Partnership_Data_20150930.pdf,SRC136,16,8,8,"p1: 2 ,500,000.00",
Performance_PSERS_Real_Estate_Partnership_Data_1Q2013.pdf,SRC137,3,3,3,"p1: 1 35,465,564.65",
Performance_PSERS_PEVCSS_PEIP_Partnership_Data_4Q2016.pdf,SRC138,7,7,7,"p1: 1 70,541,558",
Performance_PSERS_Real_Estate_Partnership_Data_3Q2017.pdf,SRC139,4,1,1,"p4: 9 ,469,095",
Performance_PSERS_PEVCPD_PEI_Partnership_Data_4Q2015.pdf,SRC140,6,5,0,"p1: 0 10,595,830.00",
