fund_id,fund_name,derived_manager,manager_id,formula_id,derived_at
FUND_0019,"Founders' Co-op III, L.P.",Founders' Co-op,MGR_0024,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0020,"Founders’ Co-op IV, L.P.",Founders’ Co-op,MGR_0024,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0021,"Goode Partners Consumer Fund III, L.P.",Goode Partners Consumer,MGR_0025,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0022,"Grain Communications Opportunity Fund III, L.P.",Grain Communications Opportunity,MGR_0026,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0023,"Homestead Capital USA Farmland Fund III, L.P.",Homestead Capital USA Farmland,MGR_0027,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0024,"K1 Special Opportunities Fund, L.P.",K1 Special Opportunities,MGR_0028,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0025,"K4 Private Investors, L.P.",K4 Private Investors,MGR_0029,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0026,"K5 Private Investors, L.P.",K5 Private Investors,MGR_0030,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0027,"Madrona Venture Fund III, L.P.",Madrona Venture,MGR_0031,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0028,"Montlake Capital II, L.P.",Montlake Capita,MGR_0032,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0029,"Northwest Technology Ventures, L.P.",Northwest Technology Ventures,MGR_0033,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0030,Oregon Angel Conferences 2011,Oregon Angel Conferences,MGR_0034,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0031,Oregon Angel Conferences 2012,Oregon Angel Conferences,MGR_0034,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0032,Oregon Angel Conferences 2013,Oregon Angel Conferences,MGR_0034,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0033,Oregon Angel Conferences 2014,Oregon Angel Conferences,MGR_0034,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0034,"Oregon Angel Fund 2008, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0035,"Oregon Angel Fund 2009, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0036,"Oregon Angel Fund 2010, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0037,"Oregon Angel Fund 2011, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0038,"Oregon Angel Fund 2012, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0039,"Oregon Angel Fund 2013, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0040,"Oregon Angel Fund 2014, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0041,"Oregon Angel Fund 2015, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0042,"Oregon Angel Fund 2016, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0043,"Oregon Angel Fund 2017, LLC",Oregon Ange,MGR_0035,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0044,"Oregon Venture Fund XII, LLC",Oregon Venture,MGR_0036,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0045,"OVP Venture Partners VII, L.P.",OVP Venture Partners,MGR_0037,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0046,"Phoenix Venture Partners II, L.P.",Phoenix Venture Partners,MGR_0038,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0047,"Phoenix Venture Partners III, L.P.",Phoenix Venture Partners,MGR_0038,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0048,"Phoenix Venture Partners, L.P.",Phoenix Venture Partners,MGR_0038,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0049,Pioneer Square Ventures Fund II,Pioneer Square Ventures,MGR_0039,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0050,"Pivotal Investments Partners Fund I, L.P.",Pivotal Investments Partners,MGR_0040,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0051,"Portland Seed Fund I, L.P.",Portland Seed,MGR_0041,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0052,"Portland Seed Fund II, L.P.",Portland Seed,MGR_0041,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0053,"Portland Seed Fund III, L.P.",Portland Seed,MGR_0041,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0054,"Portland Seed Fund III - Side Car, L.P.",Portland Seed Fund III - Side Car,MGR_0042,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0055,Rethink Impact Fund II,Rethink Impact,MGR_0043,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0056,"Riverlake Equity Partners I, L.P.",Riverlake Equity Partners,MGR_0044,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0057,"Riverlake Equity Partners II, L.P.",Riverlake Equity Partners,MGR_0044,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0058,"Seven Peaks Ventures Fund II, L.P.",Seven Peaks Ventures,MGR_0045,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0059,"Seven Peaks Ventures Fund, L.P.",Seven Peaks Ventures,MGR_0045,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0060,"SmartForest Ventures I, L.P.",SmartForest Ventures,MGR_0046,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0061,Stellex Capital Partners II,Stellex Capital Partners,MGR_0047,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0062,"Tamarack Mezzanine Partners, L.P.",Tamarack Mezzanine Partners,MGR_0048,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0063,"Timberline Annex Fund, L.P.",Timberline Anne,MGR_0049,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0064,"Timberline Venture Partners, L.P.",Timberline Venture Partners,MGR_0050,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0065,"Tiverton AgriFinance II, L.P.",Tiverton AgriFinance,MGR_0051,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0066,"TL Ventures VII, L.P.",TL Ventures,MGR_0052,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0067,"Updata Partners V, L.P.",Updata Partners,MGR_0053,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0068,"Updata Partners VI, L.P.",Updata Partners,MGR_0053,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0070,"VFC - Burnside Fund, L.P.",VFC - Burnside,MGR_0054,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0071,"Voyager Capital Fund IV, L.P.",Voyager Capita,MGR_0055,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0072,"Voyager Capital Fund V, L.P.",Voyager Capita,MGR_0055,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0074,"Women's Venture Capital Fund, L.P.",Women's Venture Capita,MGR_0056,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0075,"Yaletown Ventures II (USA), L.P.",Yaletown Ventures,MGR_0057,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0076,"Allos Ventures II, L.P.",Allos Ventures,MGR_0058,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0077,"Arboretum Ventures IIa, L.P.",Arboretum Ventures,MGR_0059,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0078,"Arsenal Venture Partners IIa, L.P.",Arsenal Venture Partners,MGR_0060,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0079,Arsenal Ventures IIa,Arsenal Ventures,MGR_0061,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0080,"Athenian Venture Partners III, L.P.",Athenian Venture Partners,MGR_0062,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0081,"Charter Life Sciences (Ohio) II, L.P.",Charter Life Sciences,MGR_0063,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0082,"Chrysalis Ventures (Ohio) III, L.P.",Chrysalis Ventures,MGR_0064,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0083,Draper Triangle III,Draper Triangle,MGR_0065,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0084,"Draper Triangle Ohio Ventures, L.P.",Draper Triangle Ohio Ventures,MGR_0066,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0085,"Draper Triangle Ventures Ohio III, L.P.",Draper Triangle Ventures Ohio,MGR_0067,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0086,"Early Stage Partners Fund II, L.P.",Early Stage Partners,MGR_0068,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0087,Early Stage Partners II,Early Stage Partners,MGR_0068,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0088,"Early Stage Partners II, L.P.",Early Stage Partners,MGR_0068,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0089,"Edison Venture Fund VII, L.P.",Edison Venture,MGR_0069,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0090,"Edison Venture Fund VIII, L.P.",Edison Venture,MGR_0069,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0091,Edison VII AF I,Edison VII AF,MGR_0070,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0092,"Emerging Market Fund, LLC",Emerging Market,MGR_0071,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0096,"NCT Ventures Fund I, L.P.",NCT Ventures,MGR_0072,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0097,"NCT Ventures Fund II, L.P.",NCT Ventures,MGR_0072,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0098,"Primus Capital Fund VI, L.P.",Primus Capita,MGR_0073,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0099,"QCA First Fund III, LLC",QCA First,MGR_0074,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0100,"Radius Venture Partners (Ohio) III, QP, L.P.","Radius Venture Partners (Ohio) III, QP",MGR_0075,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0101,"Reservoir Venture Partners II, L.P.",Reservoir Venture Partners,MGR_0076,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0102,"River Cities Capital Fund IV, L.P.",River Cities Capita,MGR_0077,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0103,"RiverVest Venture Fund II (Ohio), L.P.",RiverVest Venture,MGR_0078,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0104,"RiverVest Venture Fund III (Ohio), L.P.",RiverVest Venture,MGR_0078,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0105,"SunBridge Partners Technology Fund III, L.P.",SunBridge Partners Technology,MGR_0079,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0106,"SV Life Sciences Fund IV, L.P.",SV Life Sciences,MGR_0080,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0113,Khosla Ventures III,Khosla Ventures,MGR_0081,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0114,Media Technology Ventures V,Media Technology Ventures,MGR_0082,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0115,New Enterprise Associates 13,New Enterprise Associates,MGR_0083,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0116,Sorenson Capital Partners II Cont. Vehicle,Sorenson Capital Partners II Cont. Vehicle,MGR_0084,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0118,SV Life Sciences IV CF,SV Life Sciences IV CF,MGR_0085,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0127,Connecticut State Treasurer's Short-Term Investment Fund,Connecticut State Treasurer's Short-Term Investment,MGR_0086,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0153,"Jefferson Partners Fund IV, L.P.",Jefferson Partners,MGR_0087,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0155,"Jefferson Partners Fund IV, (U.S.), L.P.",Jefferson Partners,MGR_0087,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0156,"Global Infrastructure Partners II-C, L.P.",Global Infrastructure Partners,MGR_0088,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0157,ANTIN INFRASTRUCTURE PARTNERS II LP,ANTIN INFRASTRUCTURE PARTNERS,MGR_0089,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
