"route","agent_role","extractor_model","claimed_at","claimed_by"
"03-institutional-report","J1","claude-opus-5[1m]","2026-08-24T00:45:15Z",""
"03-institutional-report","J2","claude-opus-5","2026-08-24T00:45:36Z",""
"05-fund-legal-docs","J2","claude-opus-5[1m]","2026-08-24T01:04:52Z",""
"05-fund-legal-docs","J1","claude-opus-5[1m]","2026-08-24T01:04:58Z",""
"06-statements-and-economics","J1","claude-opus-5","2026-08-24T01:38:13Z",""
"06-statements-and-economics","J2","claude-opus-5","2026-08-24T01:38:33Z",""
"07-institutional-mission","J1","claude-opus-5[1m]","2026-08-24T01:40:41Z",""
"07-institutional-mission","J2","claude-opus-5","2026-08-24T01:40:48Z",""
"02-performance","A","claude-fable-5","2026-09-01T02:18:53Z",""
"02-performance","B","claude-fable-5","2026-09-01T02:18:57Z",""
"03-institutional-report","A","claude-fable-5","2026-09-01T02:19:06Z",""
"03-institutional-report","B","claude-fable-5","2026-09-01T02:19:18Z",""
"04-quarterly-report","A","claude-fable-5","2026-09-01T02:19:25Z",""
"04-quarterly-report","B","claude-fable-5","2026-09-01T02:19:35Z",""
"02-performance","J1","claude-fable-5","2026-09-01T02:27:32Z",""
"06-statements-and-economics","A","claude-sonnet-5","2026-09-01T05:55:35Z",""
"05-fund-legal-docs","A","claude-sonnet-5","2026-09-01T05:56:58Z",""
"05-fund-legal-docs","B","gpt-5","2026-09-01T05:58:25Z",""
"06-statements-and-economics","B","gpt-5 (Codex)","2026-09-01T05:58:50Z",""
"07-institutional-mission","B","unidentified","2026-09-01T06:04:10Z",""
"07-institutional-mission","A","MiniMax-M3","2026-09-01T06:06:30Z",""
"06-statements-and-economics","A","claude-sonnet-5","2026-09-01T06:16:17Z",""
"07-institutional-mission","B","minimax-m3","2026-09-01T12:14:57Z",""
"04-quarterly-report","A","unknown Codex model","2026-09-01T13:00:56Z",""
"07-institutional-mission","B","gpt-5.5-xhigh","2026-09-01T13:01:49Z",""
"02-performance","A","claude-fable-5-1","2026-09-01T19:44:43Z","definition backfill of the six unread return documents, 2026-09-01"
"02-performance","B","claude-fable-5-1","2026-09-01T19:44:44Z","definition backfill of the six unread return documents, 2026-09-01"
"03-institutional-report","A","claude-fable-5-1","2026-09-01T19:44:44Z","definition backfill of the six unread return documents, 2026-09-01"
"03-institutional-report","B","claude-fable-5-1","2026-09-01T19:44:44Z","definition backfill of the six unread return documents, 2026-09-01"
"04-quarterly-report","A","claude-fable-5-1","2026-09-01T19:44:44Z","definition backfill of the six unread return documents, 2026-09-01"
"04-quarterly-report","B","claude-fable-5-1","2026-09-01T19:44:45Z","definition backfill of the six unread return documents, 2026-09-01"
"02-performance","B","claude-sonnet-5","2026-09-03T21:39:44Z",""
"01-financials","B","claude-sonnet-5","2026-09-03T21:39:48Z",""
"01-financials","A","gpt-5 (model identifier not exposed)","2026-09-03T21:40:05Z",""
"03-institutional-report","A","gpt-5.5","2026-09-03T21:41:06Z",""
"02-performance","A","gpt-5","2026-09-03T21:41:53Z",""
"03-institutional-report","B","claude-sonnet-5","2026-09-03T21:43:10Z",""
"04-quarterly-report","B","claude-sonnet-5","2026-09-03T21:43:45Z",""
"04-quarterly-report","A","gpt-5","2026-09-03T21:44:51Z",""
"06-statements-and-economics","B","claude-sonnet-5","2026-09-03T21:44:51Z",""
"06-statements-and-economics","A","gpt-5","2026-09-03T21:47:09Z",""
"01-financials","J2","claude-opus-5[1m]","2026-09-03T23:13:31Z",""
"02-performance","J2","claude-opus-5[1m]","2026-09-03T23:13:46Z",""
"03-institutional-report","J2","claude-opus-5","2026-09-03T23:14:14Z",""
"04-quarterly-report","J2","claude-opus-5[1m]","2026-09-03T23:14:26Z",""
"06-statements-and-economics","J2","claude-opus-5[1m]","2026-09-03T23:14:35Z",""
"01-financials","J1","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"01-financials","J2","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"03-institutional-report","J1","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"03-institutional-report","J2","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"04-quarterly-report","J1","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"04-quarterly-report","J2","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"05-fund-legal-docs","J1","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"05-fund-legal-docs","J2","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"06-statements-and-economics","J1","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"06-statements-and-economics","J2","Codex","2026-09-05T20:16:21Z","source-review checker; exact model identifier not exposed by this session"
"07-institutional-mission","A","gpt-5","2026-09-06T00:00:02Z",""
"07-institutional-mission","B","claude-sonnet-5","2026-09-06T00:03:17Z",""
"07-institutional-mission","J1","claude-opus-5","2026-09-06T18:18:53Z",""
"05-fund-legal-docs","A","GPT-5 (Codex)","2026-09-06T19:53:45Z",""
"05-fund-legal-docs","J1","claude-opus-5[1m]","2026-09-06T21:24:58Z",""
"05-fund-legal-docs","J1","claude-opus-5[1m]","2026-09-06T21:46:20Z",""
