"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"54","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"55","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"56","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"57","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"58","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"59","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"60","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"61","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"62","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"63","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"64","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"65","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"66","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"67","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"68","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"69","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"70","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"71","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"72","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"73","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"74","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"75","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"76","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"77","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"78","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"79","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"80","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"81","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"82","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"83","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"84","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"85","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"86","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"87","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"88","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"89","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"90","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"91","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"92","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"93","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"94","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"95","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"96","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"97","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"98","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"99","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"100","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"101","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"102","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"103","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"104","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"105","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"106","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"107","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"108","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"109","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"110","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"111","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"112","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"113","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"114","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part VI, Section B, Line 5D Expenditure Responsibility (continued)","Part VI, Section B, Line 5D Expenditure Responsibility","","","source_structures"
"116","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","14","0","Summary of Program-Related Investments (continued)","Part VIII Section B Summary of Program-Related Investments (continued)","position_observation","","page_status|expected_observation_count|source_structures|relevant_record_families"
"117","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"118","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"119","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"120","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"121","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"122","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"123","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"124","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"125","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"126","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"127","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"128","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"129","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"130","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"131","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
"132","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Part XIV, Line 3a Grants and Contributions Paid During the Year (continued)","Part XIV, Line 3a Grants and Contributions Paid During the Year","","","source_structures"
