entity_level,entity_id,strategy,dimension,supported_fields,required_fields,coverage,supported_field_names,missing_field_names,status,population
fund,FUND_SYNTH_000010,fund_of_funds,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000010,fund_of_funds,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000011,private_credit,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000011,private_credit,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000011,private_credit,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000011,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000012,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000012,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000012,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000012,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000013,buyout,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000013,buyout,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000013,buyout,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000013,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000014,fund_of_funds,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000014,fund_of_funds,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000014,fund_of_funds,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000014,fund_of_funds,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000015,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000015,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000015,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000015,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000016,growth,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000016,growth,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000016,growth,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000016,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000017,private_credit,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000017,private_credit,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000017,private_credit,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000017,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000018,buyout,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000018,buyout,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000018,buyout,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000018,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000019,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000019,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000019,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000019,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000020,private_credit,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000020,private_credit,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000020,private_credit,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000020,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000021,infrastructure,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000021,infrastructure,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000021,infrastructure,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000021,infrastructure,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000022,growth,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000022,growth,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000022,growth,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000022,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000023,private_credit,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000023,private_credit,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000023,private_credit,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000023,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000024,growth,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000024,growth,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000024,growth,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000024,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000025,growth,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000025,growth,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000025,growth,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000025,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000026,secondaries,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000026,secondaries,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000026,secondaries,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000026,secondaries,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000027,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000027,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000027,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000027,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000028,growth,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000028,growth,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000028,growth,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000028,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000029,buyout,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000029,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000029,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000029,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000030,venture,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000030,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000030,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000030,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000031,venture,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000031,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000031,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000031,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000032,real_estate,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000032,real_estate,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000032,real_estate,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000032,real_estate,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000033,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000033,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000033,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000033,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000034,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000034,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000034,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000034,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000035,buyout,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000035,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000035,buyout,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000035,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000036,real_estate,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000036,real_estate,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000036,real_estate,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000036,real_estate,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000037,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000037,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000037,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000037,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000038,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000038,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000038,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000038,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000039,venture,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000039,venture,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000039,venture,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000039,venture,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000040,buyout,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000040,buyout,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000040,buyout,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000040,buyout,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000041,fund_of_funds,track_record,3,5,0.6,"[""tvpi"",""dpi"",""xirr""]","[""ks_pme"",""direct_alpha""]",PARTIAL,fixture
fund,FUND_SYNTH_000041,fund_of_funds,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000041,fund_of_funds,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000041,fund_of_funds,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000042,private_credit,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000042,private_credit,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000042,private_credit,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000042,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000043,private_credit,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000043,private_credit,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000043,private_credit,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000043,private_credit,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000044,growth,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000044,growth,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
fund,FUND_SYNTH_000044,growth,portfolio,5,5,1.0,"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",[],READY,fixture
fund,FUND_SYNTH_000044,growth,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000045,infrastructure,track_record,0,5,0.0,[],"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",UNKNOWN,fixture
fund,FUND_SYNTH_000045,infrastructure,realization,0,3,0.0,[],"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",UNKNOWN,fixture
fund,FUND_SYNTH_000045,infrastructure,portfolio,0,5,0.0,[],"[""company_hhi"",""top_company_share"",""top3_company_share"",""sector_hhi"",""top_sector_share""]",UNKNOWN,fixture
fund,FUND_SYNTH_000045,infrastructure,terms,2,2,1.0,"[""management_fee_rate"",""waterfall_type""]",[],READY,fixture
fund,FUND_SYNTH_000046,buyout,track_record,5,5,1.0,"[""tvpi"",""dpi"",""xirr"",""ks_pme"",""direct_alpha""]",[],READY,fixture
fund,FUND_SYNTH_000046,buyout,realization,3,3,1.0,"[""realized_share"",""nav_reliance"",""distribution_recency_months""]",[],READY,fixture
